freq,ref_area,ind_type,measure,tipologia_fam,ampiezza_comune,time_period,obs_value,year
A,ITCD,SOGLIA_POVASS,14,24,5,2010,1463.93,2010
A,ITCD,SOGLIA_POVASS,14,24,5,2011,1499.17,2011
A,ITCD,SOGLIA_POVASS,14,24,5,2012,1541.9,2012
A,ITCD,SOGLIA_POVASS,14,24,5,2013,1569.7,2013
A,ITCD,SOGLIA_POVASS,14,25,1,2010,1609.61,2010
A,ITCD,SOGLIA_POVASS,14,25,1,2011,1647.22,2011
A,ITCD,SOGLIA_POVASS,14,25,1,2012,1692.49,2012
A,ITCD,SOGLIA_POVASS,14,25,1,2013,1722.55,2013
A,ITCD,SOGLIA_POVASS,14,25,4,2010,1545.7,2010
A,ITCD,SOGLIA_POVASS,14,25,4,2011,1582.25,2011
A,ITCD,SOGLIA_POVASS,14,25,4,2012,1626.35,2012
A,ITCD,SOGLIA_POVASS,14,25,4,2013,1655.45,2013
A,ITCD,SOGLIA_POVASS,14,25,5,2010,1475.76,2010
A,ITCD,SOGLIA_POVASS,14,25,5,2011,1511.14,2011
A,ITCD,SOGLIA_POVASS,14,25,5,2012,1553.95,2012
A,ITCD,SOGLIA_POVASS,14,25,5,2013,1582.0,2013
A,ITCD,SOGLIA_POVASS,14,26,1,2010,1567.25,2010
A,ITCD,SOGLIA_POVASS,14,26,1,2011,1603.83,2011
A,ITCD,SOGLIA_POVASS,14,26,1,2012,1648.05,2012
A,ITCD,SOGLIA_POVASS,14,26,1,2013,1677.14,2013
A,ITCD,SOGLIA_POVASS,14,26,4,2010,1503.34,2010
A,ITCD,SOGLIA_POVASS,14,26,4,2011,1538.86,2011
A,ITCD,SOGLIA_POVASS,14,26,4,2012,1581.91,2012
A,ITCD,SOGLIA_POVASS,14,26,4,2013,1610.04,2013
A,ITCD,SOGLIA_POVASS,14,26,5,2010,1433.4,2010
A,ITCD,SOGLIA_POVASS,14,26,5,2011,1467.75,2011
A,ITCD,SOGLIA_POVASS,14,26,5,2012,1509.51,2012
A,ITCD,SOGLIA_POVASS,14,26,5,2013,1536.59,2013
A,ITCD,SOGLIA_POVASS,14,27,1,2010,1524.46,2010
A,ITCD,SOGLIA_POVASS,14,27,1,2011,1559.99,2011
A,ITCD,SOGLIA_POVASS,14,27,1,2012,1603.16,2012
A,ITCD,SOGLIA_POVASS,14,27,1,2013,1631.27,2013
A,ITCD,SOGLIA_POVASS,14,27,4,2010,1460.55,2010
A,ITCD,SOGLIA_POVASS,14,27,4,2011,1495.02,2011
A,ITCD,SOGLIA_POVASS,14,27,4,2012,1537.02,2012
A,ITCD,SOGLIA_POVASS,14,27,4,2013,1564.17,2013
A,ITCD,SOGLIA_POVASS,14,27,5,2010,1390.61,2010
A,ITCD,SOGLIA_POVASS,14,27,5,2011,1423.91,2011
A,ITCD,SOGLIA_POVASS,14,27,5,2012,1464.62,2012
A,ITCD,SOGLIA_POVASS,14,27,5,2013,1490.72,2013
A,ITCD,SOGLIA_POVASS,14,28,1,2010,1433.48,2010
A,ITCD,SOGLIA_POVASS,14,28,1,2011,1466.84,2011
A,ITCD,SOGLIA_POVASS,14,28,1,2012,1507.59,2012
A,ITCD,SOGLIA_POVASS,14,28,1,2013,1534.03,2013
A,ITCD,SOGLIA_POVASS,14,28,4,2010,1369.58,2010
A,ITCD,SOGLIA_POVASS,14,28,4,2011,1401.87,2011
A,ITCD,SOGLIA_POVASS,14,28,4,2012,1441.45,2012
A,ITCD,SOGLIA_POVASS,14,28,4,2013,1466.93,2013
A,ITCD,SOGLIA_POVASS,14,28,5,2010,1299.63,2010
A,ITCD,SOGLIA_POVASS,14,28,5,2011,1330.76,2011
A,ITCD,SOGLIA_POVASS,14,28,5,2012,1369.05,2012
A,ITCD,SOGLIA_POVASS,14,28,5,2013,1393.48,2013
A,ITCD,SOGLIA_POVASS,14,29,1,2010,1555.37,2010
A,ITCD,SOGLIA_POVASS,14,29,1,2011,1591.8,2011
A,ITCD,SOGLIA_POVASS,14,29,1,2012,1635.95,2012
A,ITCD,SOGLIA_POVASS,14,29,1,2013,1664.77,2013
A,ITCD,SOGLIA_POVASS,14,29,4,2010,1491.47,2010
A,ITCD,SOGLIA_POVASS,14,29,4,2011,1526.83,2011
A,ITCD,SOGLIA_POVASS,14,29,4,2012,1569.81,2012
A,ITCD,SOGLIA_POVASS,14,29,4,2013,1597.67,2013
A,ITCD,SOGLIA_POVASS,14,29,5,2010,1421.52,2010
A,ITCD,SOGLIA_POVASS,14,29,5,2011,1455.72,2011
A,ITCD,SOGLIA_POVASS,14,29,5,2012,1497.41,2012
A,ITCD,SOGLIA_POVASS,14,29,5,2013,1524.22,2013
A,ITCD,SOGLIA_POVASS,14,3,1,2010,699.27,2010
A,ITCD,SOGLIA_POVASS,14,3,1,2011,715.85,2011
A,ITCD,SOGLIA_POVASS,14,3,1,2012,736.89,2012
A,ITCD,SOGLIA_POVASS,14,3,1,2013,749.0,2013
A,ITCD,SOGLIA_POVASS,14,3,4,2010,662.15,2010
A,ITCD,SOGLIA_POVASS,14,3,4,2011,678.11,2011
A,ITCD,SOGLIA_POVASS,14,3,4,2012,698.47,2012
A,ITCD,SOGLIA_POVASS,14,3,4,2013,710.03,2013
A,ITCD,SOGLIA_POVASS,14,3,5,2010,619.28,2010
A,ITCD,SOGLIA_POVASS,14,3,5,2011,634.52,2011
A,ITCD,SOGLIA_POVASS,14,3,5,2012,654.1,2012
A,ITCD,SOGLIA_POVASS,14,3,5,2013,665.01,2013
A,ITCD,SOGLIA_POVASS,14,30,1,2010,1344.86,2010
A,ITCD,SOGLIA_POVASS,14,30,1,2011,1376.07,2011
A,ITCD,SOGLIA_POVASS,14,30,1,2012,1414.46,2012
A,ITCD,SOGLIA_POVASS,14,30,1,2013,1439.22,2013
A,ITCD,SOGLIA_POVASS,14,30,4,2010,1280.95,2010
A,ITCD,SOGLIA_POVASS,14,30,4,2011,1311.1,2011
A,ITCD,SOGLIA_POVASS,14,30,4,2012,1348.32,2012
A,ITCD,SOGLIA_POVASS,14,30,4,2013,1372.12,2013
A,ITCD,SOGLIA_POVASS,14,30,5,2010,1211.01,2010
A,ITCD,SOGLIA_POVASS,14,30,5,2011,1239.99,2011
A,ITCD,SOGLIA_POVASS,14,30,5,2012,1275.92,2012
A,ITCD,SOGLIA_POVASS,14,30,5,2013,1298.67,2013
A,ITCD,SOGLIA_POVASS,14,31,1,2010,1517.18,2010
A,ITCD,SOGLIA_POVASS,14,31,1,2011,1553.33,2011
A,ITCD,SOGLIA_POVASS,14,31,1,2012,1597.34,2012
A,ITCD,SOGLIA_POVASS,14,31,1,2013,1625.84,2013
A,ITCD,SOGLIA_POVASS,14,31,4,2010,1453.27,2010
A,ITCD,SOGLIA_POVASS,14,31,4,2011,1488.36,2011
A,ITCD,SOGLIA_POVASS,14,31,4,2012,1531.2,2012
A,ITCD,SOGLIA_POVASS,14,31,4,2013,1558.74,2013
A,ITCD,SOGLIA_POVASS,14,31,5,2010,1383.33,2010
A,ITCD,SOGLIA_POVASS,14,31,5,2011,1417.25,2011
A,ITCD,SOGLIA_POVASS,14,31,5,2012,1458.8,2012
A,ITCD,SOGLIA_POVASS,14,31,5,2013,1485.29,2013
A,ITCD,SOGLIA_POVASS,14,32,1,2010,1476.18,2010
A,ITCD,SOGLIA_POVASS,14,32,1,2011,1510.58,2011
A,ITCD,SOGLIA_POVASS,14,32,1,2012,1552.38,2012
A,ITCD,SOGLIA_POVASS,14,32,1,2013,1579.81,2013
A,ITCD,SOGLIA_POVASS,14,32,4,2010,1412.27,2010
A,ITCD,SOGLIA_POVASS,14,32,4,2011,1445.61,2011
A,ITCD,SOGLIA_POVASS,14,32,4,2012,1486.24,2012
A,ITCD,SOGLIA_POVASS,14,32,4,2013,1512.71,2013
A,ITCD,SOGLIA_POVASS,14,32,5,2010,1342.33,2010
A,ITCD,SOGLIA_POVASS,14,32,5,2011,1374.5,2011
A,ITCD,SOGLIA_POVASS,14,32,5,2012,1413.84,2012
A,ITCD,SOGLIA_POVASS,14,32,5,2013,1439.26,2013
A,ITCD,SOGLIA_POVASS,14,33,1,2010,1829.05,2010
A,ITCD,SOGLIA_POVASS,14,33,1,2011,1872.18,2011
A,ITCD,SOGLIA_POVASS,14,33,1,2012,1924.02,2012
A,ITCD,SOGLIA_POVASS,14,33,1,2013,1958.2,2013
A,ITCD,SOGLIA_POVASS,14,33,4,2010,1755.45,2010
A,ITCD,SOGLIA_POVASS,14,33,4,2011,1797.36,2011
A,ITCD,SOGLIA_POVASS,14,33,4,2012,1847.84,2012
A,ITCD,SOGLIA_POVASS,14,33,4,2013,1880.92,2013
A,ITCD,SOGLIA_POVASS,14,33,5,2010,1676.06,2010
A,ITCD,SOGLIA_POVASS,14,33,5,2011,1716.64,2011
A,ITCD,SOGLIA_POVASS,14,33,5,2012,1765.68,2012
A,ITCD,SOGLIA_POVASS,14,33,5,2013,1797.56,2013
A,ITCD,SOGLIA_POVASS,14,34,1,2010,1840.4,2010
A,ITCD,SOGLIA_POVASS,14,34,1,2011,1883.69,2011
A,ITCD,SOGLIA_POVASS,14,34,1,2012,1935.57,2012
A,ITCD,SOGLIA_POVASS,14,34,1,2013,1969.99,2013
A,ITCD,SOGLIA_POVASS,14,34,4,2010,1766.8,2010
A,ITCD,SOGLIA_POVASS,14,34,4,2011,1808.87,2011
A,ITCD,SOGLIA_POVASS,14,34,4,2012,1859.39,2012
A,ITCD,SOGLIA_POVASS,14,34,4,2013,1892.71,2013
A,ITCD,SOGLIA_POVASS,14,34,5,2010,1687.41,2010
A,ITCD,SOGLIA_POVASS,14,34,5,2011,1728.15,2011
A,ITCD,SOGLIA_POVASS,14,34,5,2012,1777.23,2012
A,ITCD,SOGLIA_POVASS,14,34,5,2013,1809.35,2013
A,ITCD,SOGLIA_POVASS,14,35,1,2010,1823.95,2010
A,ITCD,SOGLIA_POVASS,14,35,1,2011,1866.52,2011
A,ITCD,SOGLIA_POVASS,14,35,1,2012,1917.56,2012
A,ITCD,SOGLIA_POVASS,14,35,1,2013,1951.56,2013
A,ITCD,SOGLIA_POVASS,14,35,4,2010,1750.35,2010
A,ITCD,SOGLIA_POVASS,14,35,4,2011,1791.7,2011
A,ITCD,SOGLIA_POVASS,14,35,4,2012,1841.38,2012
A,ITCD,SOGLIA_POVASS,14,35,4,2013,1874.28,2013
A,ITCD,SOGLIA_POVASS,14,35,5,2010,1670.96,2010
A,ITCD,SOGLIA_POVASS,14,35,5,2011,1710.98,2011
A,ITCD,SOGLIA_POVASS,14,35,5,2012,1759.22,2012
A,ITCD,SOGLIA_POVASS,14,35,5,2013,1790.92,2013
A,ITCD,SOGLIA_POVASS,14,36,1,2010,1851.77,2010
A,ITCD,SOGLIA_POVASS,14,36,1,2011,1895.19,2011
A,ITCD,SOGLIA_POVASS,14,36,1,2012,1947.14,2012
A,ITCD,SOGLIA_POVASS,14,36,1,2013,1981.8,2013
A,ITCD,SOGLIA_POVASS,14,36,4,2010,1778.17,2010
A,ITCD,SOGLIA_POVASS,14,36,4,2011,1820.37,2011
A,ITCD,SOGLIA_POVASS,14,36,4,2012,1870.96,2012
A,ITCD,SOGLIA_POVASS,14,36,4,2013,1904.52,2013
A,ITCD,SOGLIA_POVASS,14,36,5,2010,1698.78,2010
A,ITCD,SOGLIA_POVASS,14,36,5,2011,1739.65,2011
A,ITCD,SOGLIA_POVASS,14,36,5,2012,1788.8,2012
A,ITCD,SOGLIA_POVASS,14,36,5,2013,1821.16,2013
A,ITCD,SOGLIA_POVASS,14,37,1,2010,1812.52,2010
A,ITCD,SOGLIA_POVASS,14,37,1,2011,1854.96,2011
A,ITCD,SOGLIA_POVASS,14,37,1,2012,1905.93,2012
A,ITCD,SOGLIA_POVASS,14,37,1,2013,1939.69,2013
A,ITCD,SOGLIA_POVASS,14,37,4,2010,1738.92,2010
A,ITCD,SOGLIA_POVASS,14,37,4,2011,1780.14,2011
A,ITCD,SOGLIA_POVASS,14,37,4,2012,1829.75,2012
A,ITCD,SOGLIA_POVASS,14,37,4,2013,1862.41,2013
A,ITCD,SOGLIA_POVASS,14,37,5,2010,1659.53,2010
A,ITCD,SOGLIA_POVASS,14,37,5,2011,1699.42,2011
A,ITCD,SOGLIA_POVASS,14,37,5,2012,1747.59,2012
A,ITCD,SOGLIA_POVASS,14,37,5,2013,1779.05,2013
A,ITCD,SOGLIA_POVASS,14,38,1,2010,1784.36,2010
A,ITCD,SOGLIA_POVASS,14,38,1,2011,1825.96,2011
A,ITCD,SOGLIA_POVASS,14,38,1,2012,1876.01,2012
A,ITCD,SOGLIA_POVASS,14,38,1,2013,1909.07,2013
A,ITCD,SOGLIA_POVASS,14,38,4,2010,1710.76,2010
A,ITCD,SOGLIA_POVASS,14,38,4,2011,1751.14,2011
A,ITCD,SOGLIA_POVASS,14,38,4,2012,1799.83,2012
A,ITCD,SOGLIA_POVASS,14,38,4,2013,1831.79,2013
A,ITCD,SOGLIA_POVASS,14,38,5,2010,1631.37,2010
A,ITCD,SOGLIA_POVASS,14,38,5,2011,1670.42,2011
A,ITCD,SOGLIA_POVASS,14,38,5,2012,1717.67,2012
A,ITCD,SOGLIA_POVASS,14,38,5,2013,1748.43,2013
A,ITCD,SOGLIA_POVASS,14,4,1,2010,1057.18,2010
A,ITCD,SOGLIA_POVASS,14,4,1,2011,1081.91,2011
A,ITCD,SOGLIA_POVASS,14,4,1,2012,1112.12,2012
