ANNO;CL_ETA';COD_QUALIFICA;DESC_QUALIFICA;N_PERS_DR
1998;30 - 34;2PA;Professore II fascia (associato);8
1998;35 - 39;2PA;Professore II fascia (associato);340
1998;40 - 44;2PA;Professore II fascia (associato);1304
1998;45 - 49;2PA;Professore II fascia (associato);2682
1998;50 - 54;2PA;Professore II fascia (associato);4640
1998;55 - 59;2PA;Professore II fascia (associato);3401
1998;60 - 64;2PA;Professore II fascia (associato);1932
1998;>= 65;2PA;Professore II fascia (associato);1312
1998;25 - 29;3RU;Ricercatore a tempo indeterminato;137
1998;30 - 34;3RU;Ricercatore a tempo indeterminato;2178
1998;35 - 39;3RU;Ricercatore a tempo indeterminato;4521
1998;40 - 44;3RU;Ricercatore a tempo indeterminato;3615
1998;45 - 49;3RU;Ricercatore a tempo indeterminato;4887
1998;50 - 54;3RU;Ricercatore a tempo indeterminato;3645
1998;55 - 59;3RU;Ricercatore a tempo indeterminato;901
1998;60 - 64;3RU;Ricercatore a tempo indeterminato;237
1998;>= 65;3RU;Ricercatore a tempo indeterminato;55
1998;Età sconosciuta;3RU;Ricercatore a tempo indeterminato;11
1999;30 - 34;1PO;Professore I fascia (ordinario);3
1999;35 - 39;1PO;Professore I fascia (ordinario);56
1999;40 - 44;1PO;Professore I fascia (ordinario);349
1999;45 - 49;1PO;Professore I fascia (ordinario);944
1999;50 - 54;1PO;Professore I fascia (ordinario);2508
1999;55 - 59;1PO;Professore I fascia (ordinario);3216
1999;60 - 64;1PO;Professore I fascia (ordinario);2842
1999;>= 65;1PO;Professore I fascia (ordinario);2994
1999;25 - 29;2PA;Professore II fascia (associato);1
1999;30 - 34;2PA;Professore II fascia (associato);228
1999;35 - 39;2PA;Professore II fascia (associato);1187
1999;40 - 44;2PA;Professore II fascia (associato);2100
1999;45 - 49;2PA;Professore II fascia (associato);2808
1999;50 - 54;2PA;Professore II fascia (associato);4864
1999;55 - 59;2PA;Professore II fascia (associato);3555
1999;60 - 64;2PA;Professore II fascia (associato);2121
1999;>= 65;2PA;Professore II fascia (associato);1168
1999;< 25;3RU;Ricercatore a tempo indeterminato;2
1999;25 - 29;3RU;Ricercatore a tempo indeterminato;216
1999;30 - 34;3RU;Ricercatore a tempo indeterminato;2403
1999;35 - 39;3RU;Ricercatore a tempo indeterminato;4309
1999;40 - 44;3RU;Ricercatore a tempo indeterminato;3241
1999;45 - 49;3RU;Ricercatore a tempo indeterminato;3871
1999;50 - 54;3RU;Ricercatore a tempo indeterminato;4149
1999;55 - 59;3RU;Ricercatore a tempo indeterminato;1026
1999;60 - 64;3RU;Ricercatore a tempo indeterminato;290
1999;>= 65;3RU;Ricercatore a tempo indeterminato;48
1999;Età sconosciuta;3RU;Ricercatore a tempo indeterminato;2
2000;30 - 34;1PO;Professore I fascia (ordinario);10
2000;35 - 39;1PO;Professore I fascia (ordinario);190
2000;40 - 44;1PO;Professore I fascia (ordinario);701
2000;45 - 49;1PO;Professore I fascia (ordinario);1290
2000;50 - 54;1PO;Professore I fascia (ordinario);3119
2000;55 - 59;1PO;Professore I fascia (ordinario);3346
2000;60 - 64;1PO;Professore I fascia (ordinario);3232
2000;>= 65;1PO;Professore I fascia (ordinario);3138
2000;25 - 29;2PA;Professore II fascia (associato);1
2000;30 - 34;2PA;Professore II fascia (associato);232
2000;35 - 39;2PA;Professore II fascia (associato);1315
2000;40 - 44;2PA;Professore II fascia (associato);2160
2000;45 - 49;2PA;Professore II fascia (associato);2379
2000;50 - 54;2PA;Professore II fascia (associato);4391
2000;55 - 59;2PA;Professore II fascia (associato);3347
2000;60 - 64;2PA;Professore II fascia (associato);2235
2000;>= 65;2PA;Professore II fascia (associato);1199
2000;25 - 29;3RU;Ricercatore a tempo indeterminato;247
2000;30 - 34;3RU;Ricercatore a tempo indeterminato;2465
2000;35 - 39;3RU;Ricercatore a tempo indeterminato;4366
2000;40 - 44;3RU;Ricercatore a tempo indeterminato;3417
2000;45 - 49;3RU;Ricercatore a tempo indeterminato;3115
2000;50 - 54;3RU;Ricercatore a tempo indeterminato;4417
2000;55 - 59;3RU;Ricercatore a tempo indeterminato;1225
2000;60 - 64;3RU;Ricercatore a tempo indeterminato;370
2000;>= 65;3RU;Ricercatore a tempo indeterminato;46
2001;30 - 34;1PO;Professore I fascia (ordinario);22
2001;35 - 39;1PO;Professore I fascia (ordinario);295
2001;40 - 44;1PO;Professore I fascia (ordinario);963
2001;45 - 49;1PO;Professore I fascia (ordinario);1563
2001;50 - 54;1PO;Professore I fascia (ordinario);3335
2001;55 - 59;1PO;Professore I fascia (ordinario);3835
2001;60 - 64;1PO;Professore I fascia (ordinario);3583
2001;>= 65;1PO;Professore I fascia (ordinario);3295
2001;25 - 29;2PA;Professore II fascia (associato);8
2001;30 - 34;2PA;Professore II fascia (associato);318
2001;35 - 39;2PA;Professore II fascia (associato);1788
2001;40 - 44;2PA;Professore II fascia (associato);2555
2001;45 - 49;2PA;Professore II fascia (associato);2460
2001;50 - 54;2PA;Professore II fascia (associato);3862
2001;55 - 59;2PA;Professore II fascia (associato);3421
2001;60 - 64;2PA;Professore II fascia (associato);2252
2001;>= 65;2PA;Professore II fascia (associato);1211
2001;< 25;3RU;Ricercatore a tempo indeterminato;1
2001;25 - 29;3RU;Ricercatore a tempo indeterminato;300
2001;30 - 34;3RU;Ricercatore a tempo indeterminato;2539
2001;35 - 39;3RU;Ricercatore a tempo indeterminato;4330
2001;40 - 44;3RU;Ricercatore a tempo indeterminato;3715
2001;45 - 49;3RU;Ricercatore a tempo indeterminato;2934
2001;50 - 54;3RU;Ricercatore a tempo indeterminato;4132
2001;55 - 59;3RU;Ricercatore a tempo indeterminato;1638
2001;60 - 64;3RU;Ricercatore a tempo indeterminato;439
2001;>= 65;3RU;Ricercatore a tempo indeterminato;62
2002;30 - 34;1PO;Professore I fascia (ordinario);18
2002;35 - 39;1PO;Professore I fascia (ordinario);383
2002;40 - 44;1PO;Professore I fascia (ordinario);1071
2002;45 - 49;1PO;Professore I fascia (ordinario);1738
2002;50 - 54;1PO;Professore I fascia (ordinario);3278
2002;55 - 59;1PO;Professore I fascia (ordinario);4222
2002;60 - 64;1PO;Professore I fascia (ordinario);3909
2002;>= 65;1PO;Professore I fascia (ordinario);3511
2002;25 - 29;2PA;Professore II fascia (associato);10
2002;30 - 34;2PA;Professore II fascia (associato);411
2002;35 - 39;2PA;Professore II fascia (associato);1950
2002;40 - 44;2PA;Professore II fascia (associato);2992
2002;45 - 49;2PA;Professore II fascia (associato);2641
2002;50 - 54;2PA;Professore II fascia (associato);3399
2002;55 - 59;2PA;Professore II fascia (associato);3548
2002;60 - 64;2PA;Professore II fascia (associato);2351
2002;>= 65;2PA;Professore II fascia (associato);1201
2002;< 25;3RU;Ricercatore a tempo indeterminato;5
2002;25 - 29;3RU;Ricercatore a tempo indeterminato;428
2002;30 - 34;3RU;Ricercatore a tempo indeterminato;2765
2002;35 - 39;3RU;Ricercatore a tempo indeterminato;4620
2002;40 - 44;3RU;Ricercatore a tempo indeterminato;3800
2002;45 - 49;3RU;Ricercatore a tempo indeterminato;2834
2002;50 - 54;3RU;Ricercatore a tempo indeterminato;3704
2002;55 - 59;3RU;Ricercatore a tempo indeterminato;2116
2002;60 - 64;3RU;Ricercatore a tempo indeterminato;550
2002;>= 65;3RU;Ricercatore a tempo indeterminato;78
2003;30 - 34;1PO;Professore I fascia (ordinario);12
2003;35 - 39;1PO;Professore I fascia (ordinario);291
2003;40 - 44;1PO;Professore I fascia (ordinario);966
2003;45 - 49;1PO;Professore I fascia (ordinario);1703
2003;50 - 54;1PO;Professore I fascia (ordinario);2839
2003;55 - 59;1PO;Professore I fascia (ordinario);4348
2003;60 - 64;1PO;Professore I fascia (ordinario);4069
2003;>= 65;1PO;Professore I fascia (ordinario);3729
2003;25 - 29;2PA;Professore II fascia (associato);3
2003;30 - 34;2PA;Professore II fascia (associato);264
2003;35 - 39;2PA;Professore II fascia (associato);1639
2003;40 - 44;2PA;Professore II fascia (associato);2925
2003;45 - 49;2PA;Professore II fascia (associato);2787
2003;50 - 54;2PA;Professore II fascia (associato);3070
2003;55 - 59;2PA;Professore II fascia (associato);3725
2003;60 - 64;2PA;Professore II fascia (associato);2393
2003;>= 65;2PA;Professore II fascia (associato);1291
2003;< 25;3RU;Ricercatore a tempo indeterminato;1
2003;25 - 29;3RU;Ricercatore a tempo indeterminato;210
2003;30 - 34;3RU;Ricercatore a tempo indeterminato;2214
2003;35 - 39;3RU;Ricercatore a tempo indeterminato;4475
2003;40 - 44;3RU;Ricercatore a tempo indeterminato;3920
2003;45 - 49;3RU;Ricercatore a tempo indeterminato;2927
2003;50 - 54;3RU;Ricercatore a tempo indeterminato;3398
2003;55 - 59;3RU;Ricercatore a tempo indeterminato;2541
2003;60 - 64;3RU;Ricercatore a tempo indeterminato;644
2003;>= 65;3RU;Ricercatore a tempo indeterminato;96
2004;30 - 34;1PO;Professore I fascia (ordinario);9
2004;35 - 39;1PO;Professore I fascia (ordinario);232
2004;40 - 44;1PO;Professore I fascia (ordinario);911
2004;45 - 49;1PO;Professore I fascia (ordinario);1715
2004;50 - 54;1PO;Professore I fascia (ordinario);2530
2004;55 - 59;1PO;Professore I fascia (ordinario);4502
2004;60 - 64;1PO;Professore I fascia (ordinario);4068
2004;>= 65;1PO;Professore I fascia (ordinario);4103
2004;25 - 29;2PA;Professore II fascia (associato);3
2004;30 - 34;2PA;Professore II fascia (associato);184
2004;35 - 39;2PA;Professore II fascia (associato);1457
2004;40 - 44;2PA;Professore II fascia (associato);3004
2004;45 - 49;2PA;Professore II fascia (associato);2929
2004;50 - 54;2PA;Professore II fascia (associato);2817
2004;55 - 59;2PA;Professore II fascia (associato);3848
2004;60 - 64;2PA;Professore II fascia (associato);2450
2004;>= 65;2PA;Professore II fascia (associato);1411
2004;25 - 29;3RU;Ricercatore a tempo indeterminato;200
2004;30 - 34;3RU;Ricercatore a tempo indeterminato;2226
2004;35 - 39;3RU;Ricercatore a tempo indeterminato;4631
2004;40 - 44;3RU;Ricercatore a tempo indeterminato;4179
2004;45 - 49;3RU;Ricercatore a tempo indeterminato;3096
2004;50 - 54;3RU;Ricercatore a tempo indeterminato;3073
2004;55 - 59;3RU;Ricercatore a tempo indeterminato;2948
2004;60 - 64;3RU;Ricercatore a tempo indeterminato;739
2004;>= 65;3RU;Ricercatore a tempo indeterminato;137
2005;25 - 29;1PO;Professore I fascia (ordinario);1
2005;30 - 34;1PO;Professore I fascia (ordinario);17
2005;35 - 39;1PO;Professore I fascia (ordinario);280
2005;40 - 44;1PO;Professore I fascia (ordinario);1103
2005;45 - 49;1PO;Professore I fascia (ordinario);1991
2005;50 - 54;1PO;Professore I fascia (ordinario);2472
2005;55 - 59;1PO;Professore I fascia (ordinario);4798
2005;60 - 64;1PO;Professore I fascia (ordinario);4063
2005;>= 65;1PO;Professore I fascia (ordinario);4549
2005;25 - 29;2PA;Professore II fascia (associato);5
2005;30 - 34;2PA;Professore II fascia (associato);264
2005;35 - 39;2PA;Professore II fascia (associato);1660
2005;40 - 44;2PA;Professore II fascia (associato);3332
2005;45 - 49;2PA;Professore II fascia (associato);3257
2005;50 - 54;2PA;Professore II fascia (associato);2655
2005;55 - 59;2PA;Professore II fascia (associato);3837
2005;60 - 64;2PA;Professore II fascia (associato);2452
2005;>= 65;2PA;Professore II fascia (associato);1505
2005;< 25;3RU;Ricercatore a tempo indeterminato;1
2005;25 - 29;3RU;Ricercatore a tempo indeterminato;302
2005;30 - 34;3RU;Ricercatore a tempo indeterminato;2841
2005;35 - 39;3RU;Ricercatore a tempo indeterminato;4747
2005;40 - 44;3RU;Ricercatore a tempo indeterminato;4216
2005;45 - 49;3RU;Ricercatore a tempo indeterminato;3064
2005;50 - 54;3RU;Ricercatore a tempo indeterminato;2675
2005;55 - 59;3RU;Ricercatore a tempo indeterminato;3153
2005;60 - 64;3RU;Ricercatore a tempo indeterminato;843
2005;>= 65;3RU;Ricercatore a tempo indeterminato;168
2005;< 25;4AR;Titolare di assegno di ricerca;40
2005;25 - 29;4AR;Titolare di assegno di ricerca;2308
2005;30 - 34;4AR;Titolare di assegno di ricerca;4819
2005;35 - 39;4AR;Titolare di assegno di ricerca;2017
2005;40 - 44;4AR;Titolare di assegno di ricerca;614
2005;45 - 49;4AR;Titolare di assegno di ricerca;147
2005;50 - 54;4AR;Titolare di assegno di ricerca;40
2005;55 - 59;4AR;Titolare di assegno di ricerca;15
2005;60 - 64;4AR;Titolare di assegno di ricerca;3
2005;>= 65;4AR;Titolare di assegno di ricerca;2
2006;30 - 34;1PO;Professore I fascia (ordinario);16
2006;35 - 39;1PO;Professore I fascia (ordinario);267
2006;40 - 44;1PO;Professore I fascia (ordinario);1144
2006;45 - 49;1PO;Professore I fascia (ordinario);2071
2006;50 - 54;1PO;Professore I fascia (ordinario);2568
2006;55 - 59;1PO;Professore I fascia (ordinario);4540
2006;60 - 64;1PO;Professore I fascia (ordinario);4337
2006;>= 65;1PO;Professore I fascia (ordinario);4900
2006;25 - 29;2PA;Professore II fascia (associato);2
2006;30 - 34;2PA;Professore II fascia (associato);261
2006;35 - 39;2PA;Professore II fascia (associato);1604
2006;40 - 44;2PA;Professore II fascia (associato);3425
2006;45 - 49;2PA;Professore II fascia (associato);3432
2006;50 - 54;2PA;Professore II fascia (associato);2610
2006;55 - 59;2PA;Professore II fascia (associato);3491
2006;60 - 64;2PA;Professore II fascia (associato);2683
2006;>= 65;2PA;Professore II fascia (associato);1578
2006;< 25;3RU;Ricercatore a tempo indeterminato;1
2006;25 - 29;3RU;Ricercatore a tempo indeterminato;342
2006;30 - 34;3RU;Ricercatore a tempo indeterminato;3309
2006;35 - 39;3RU;Ricercatore a tempo indeterminato;5016
2006;40 - 44;3RU;Ricercatore a tempo indeterminato;4359
2006;45 - 49;3RU;Ricercatore a tempo indeterminato;3116
2006;50 - 54;3RU;Ricercatore a tempo indeterminato;2516
2006;55 - 59;3RU;Ricercatore a tempo indeterminato;3073
2006;60 - 64;3RU;Ricercatore a tempo indeterminato;1136
2006;>= 65;3RU;Ricercatore a tempo indeterminato;177
2006;< 25;4AR;Titolare di assegno di ricerca;33
2006;25 - 29;4AR;Titolare di assegno di ricerca;2428
2006;30 - 34;4AR;Titolare di assegno di ricerca;5364
2006;35 - 39;4AR;Titolare di assegno di ricerca;2147
2006;40 - 44;4AR;Titolare di assegno di ricerca;613
2006;45 - 49;4AR;Titolare di assegno di ricerca;171
2006;50 - 54;4AR;Titolare di assegno di ricerca;51
2006;55 - 59;4AR;Titolare di assegno di ricerca;13
2006;60 - 64;4AR;Titolare di assegno di ricerca;8
2006;>= 65;4AR;Titolare di assegno di ricerca;3
2007;30 - 34;1PO;Professore I fascia (ordinario);12
2007;35 - 39;1PO;Professore I fascia (ordinario);210
2007;40 - 44;1PO;Professore I fascia (ordinario);1013
2007;45 - 49;1PO;Professore I fascia (ordinario);1994
2007;50 - 54;1PO;Professore I fascia (ordinario);2532
2007;55 - 59;1PO;Professore I fascia (ordinario);4054
2007;60 - 64;1PO;Professore I fascia (ordinario);4591
2007;>= 65;1PO;Professore I fascia (ordinario);5217
2007;25 - 29;2PA;Professore II fascia (associato);3
2007;30 - 34;2PA;Professore II fascia (associato);180
2007;35 - 39;2PA;Professore II fascia (associato);1344
2007;40 - 44;2PA;Professore II fascia (associato);3247
2007;45 - 49;2PA;Professore II fascia (associato);3578
2007;50 - 54;2PA;Professore II fascia (associato);2686
2007;55 - 59;2PA;Professore II fascia (associato);3148
2007;60 - 64;2PA;Professore II fascia (associato);2829
2007;>= 65;2PA;Professore II fascia (associato);1720
2007;25 - 29;3RU;Ricercatore a tempo indeterminato;256
2007;30 - 34;3RU;Ricercatore a tempo indeterminato;3085
2007;35 - 39;3RU;Ricercatore a tempo indeterminato;5206
2007;40 - 44;3RU;Ricercatore a tempo indeterminato;4766
2007;45 - 49;3RU;Ricercatore a tempo indeterminato;3228
2007;50 - 54;3RU;Ricercatore a tempo indeterminato;2472
2007;55 - 59;3RU;Ricercatore a tempo indeterminato;2893
2007;60 - 64;3RU;Ricercatore a tempo indeterminato;1463
2007;>= 65;3RU;Ricercatore a tempo indeterminato;202
2007;< 25;4AR;Titolare di assegno di ricerca;32
2007;25 - 29;4AR;Titolare di assegno di ricerca;2432
2007;30 - 34;4AR;Titolare di assegno di ricerca;5836
2007;35 - 39;4AR;Titolare di assegno di ricerca;2433
2007;40 - 44;4AR;Titolare di assegno di ricerca;693
2007;45 - 49;4AR;Titolare di assegno di ricerca;175
2007;50 - 54;4AR;Titolare di assegno di ricerca;58
2007;55 - 59;4AR;Titolare di assegno di ricerca;19
2007;60 - 64;4AR;Titolare di assegno di ricerca;7
2007;>= 65;4AR;Titolare di assegno di ricerca;4
2008;30 - 34;1PO;Professore I fascia (ordinario);3
2008;35 - 39;1PO;Professore I fascia (ordinario);132
2008;40 - 44;1PO;Professore I fascia (ordinario);851
2008;45 - 49;1PO;Professore I fascia (ordinario);1817
2008;50 - 54;1PO;Professore I fascia (ordinario);2535
2008;55 - 59;1PO;Professore I fascia (ordinario);3533
2008;60 - 64;1PO;Professore I fascia (ordinario);4739
2008;>= 65;1PO;Professore I fascia (ordinario);5319
2008;25 - 29;2PA;Professore II fascia (associato);1
2008;30 - 34;2PA;Professore II fascia (associato);116
2008;35 - 39;2PA;Professore II fascia (associato);1080
2008;40 - 44;2PA;Professore II fascia (associato);2943
2008;45 - 49;2PA;Professore II fascia (associato);3694
2008;50 - 54;2PA;Professore II fascia (associato);2868
2008;55 - 59;2PA;Professore II fascia (associato);2858
2008;60 - 64;2PA;Professore II fascia (associato);2991
2008;>= 65;2PA;Professore II fascia (associato);1705
2008;25 - 29;3RU;Ricercatore a tempo indeterminato;267
2008;30 - 34;3RU;Ricercatore a tempo indeterminato;3348
2008;35 - 39;3RU;Ricercatore a tempo indeterminato;5788
2008;40 - 44;3RU;Ricercatore a tempo indeterminato;5381
2008;45 - 49;3RU;Ricercatore a tempo indeterminato;3471
2008;50 - 54;3RU;Ricercatore a tempo indeterminato;2578
2008;55 - 59;3RU;Ricercatore a tempo indeterminato;2757
2008;60 - 64;3RU;Ricercatore a tempo indeterminato;1776
2008;>= 65;3RU;Ricercatore a tempo indeterminato;217
2008;< 25;4AR;Titolare di assegno di ricerca;30
2008;25 - 29;4AR;Titolare di assegno di ricerca;2423
2008;30 - 34;4AR;Titolare di assegno di ricerca;5970
2008;35 - 39;4AR;Titolare di assegno di ricerca;2628
2008;40 - 44;4AR;Titolare di assegno di ricerca;733
2008;45 - 49;4AR;Titolare di assegno di ricerca;197
2008;50 - 54;4AR;Titolare di assegno di ricerca;69
2008;55 - 59;4AR;Titolare di assegno di ricerca;16
2008;60 - 64;4AR;Titolare di assegno di ricerca;20
2008;>= 65;4AR;Titolare di assegno di ricerca;4
2009;30 - 34;1PO;Professore I fascia (ordinario);1
2009;35 - 39;1PO;Professore I fascia (ordinario);74
2009;40 - 44;1PO;Professore I fascia (ordinario);667
2009;45 - 49;1PO;Professore I fascia (ordinario);1652
2009;50 - 54;1PO;Professore I fascia (ordinario);2452
2009;55 - 59;1PO;Professore I fascia (ordinario);3086
2009;60 - 64;1PO;Professore I fascia (ordinario);4829
2009;>= 65;1PO;Professore I fascia (ordinario);5119
2009;25 - 29;2PA;Professore II fascia (associato);1
2009;30 - 34;2PA;Professore II fascia (associato);52
2009;35 - 39;2PA;Professore II fascia (associato);784
2009;40 - 44;2PA;Professore II fascia (associato);2584
2009;45 - 49;2PA;Professore II fascia (associato);3750
2009;50 - 54;2PA;Professore II fascia (associato);3043
2009;55 - 59;2PA;Professore II fascia (associato);2655
2009;60 - 64;2PA;Professore II fascia (associato);3035
2009;>= 65;2PA;Professore II fascia (associato);1663
2009;25 - 29;3RU;Ricercatore a tempo indeterminato;114
2009;30 - 34;3RU;Ricercatore a tempo indeterminato;2614
2009;35 - 39;3RU;Ricercatore a tempo indeterminato;5840
2009;40 - 44;3RU;Ricercatore a tempo indeterminato;5634
2009;45 - 49;3RU;Ricercatore a tempo indeterminato;3784
2009;50 - 54;3RU;Ricercatore a tempo indeterminato;2728
2009;55 - 59;3RU;Ricercatore a tempo indeterminato;2594
2009;60 - 64;3RU;Ricercatore a tempo indeterminato;1978
2009;>= 65;3RU;Ricercatore a tempo indeterminato;149
2009;< 25;4AR;Titolare di assegno di ricerca;31
2009;25 - 29;4AR;Titolare di assegno di ricerca;2727
2009;30 - 34;4AR;Titolare di assegno di ricerca;6353
2009;35 - 39;4AR;Titolare di assegno di ricerca;3036
2009;40 - 44;4AR;Titolare di assegno di ricerca;748
2009;45 - 49;4AR;Titolare di assegno di ricerca;222
2009;50 - 54;4AR;Titolare di assegno di ricerca;72
2009;55 - 59;4AR;Titolare di assegno di ricerca;17
2009;60 - 64;4AR;Titolare di assegno di ricerca;16
2009;>= 65;4AR;Titolare di assegno di ricerca;4
2010;30 - 34;1PO;Professore I fascia (ordinario);2
2010;35 - 39;1PO;Professore I fascia (ordinario);51
2010;40 - 44;1PO;Professore I fascia (ordinario);517
2010;45 - 49;1PO;Professore I fascia (ordinario);1538
2010;50 - 54;1PO;Professore I fascia (ordinario);2437
2010;55 - 59;1PO;Professore I fascia (ordinario);2816
2010;60 - 64;1PO;Professore I fascia (ordinario);4789
2010;>= 65;1PO;Professore I fascia (ordinario);3704
2010;30 - 34;2PA;Professore II fascia (associato);40
2010;35 - 39;2PA;Professore II fascia (associato);693
2010;40 - 44;2PA;Professore II fascia (associato);2366
2010;45 - 49;2PA;Professore II fascia (associato);3782
2010;50 - 54;2PA;Professore II fascia (associato);3290
2010;55 - 59;2PA;Professore II fascia (associato);2491
2010;60 - 64;2PA;Professore II fascia (associato);2912
2010;>= 65;2PA;Professore II fascia (associato);1381
2010;25 - 29;3RU;Ricercatore a tempo indeterminato;78
2010;30 - 34;3RU;Ricercatore a tempo indeterminato;2090
2010;35 - 39;3RU;Ricercatore a tempo indeterminato;5871
2010;40 - 44;3RU;Ricercatore a tempo indeterminato;5709
2010;45 - 49;3RU;Ricercatore a tempo indeterminato;4113
2010;50 - 54;3RU;Ricercatore a tempo indeterminato;2833
2010;55 - 59;3RU;Ricercatore a tempo indeterminato;2415
2010;60 - 64;3RU;Ricercatore a tempo indeterminato;1770
2010;>= 65;3RU;Ricercatore a tempo indeterminato;60
2010;< 25;4AR;Titolare di assegno di ricerca;34
2010;25 - 29;4AR;Titolare di assegno di ricerca;2809
2010;30 - 34;4AR;Titolare di assegno di ricerca;6022
2010;35 - 39;4AR;Titolare di assegno di ricerca;3171
2010;40 - 44;4AR;Titolare di assegno di ricerca;727
2010;45 - 49;4AR;Titolare di assegno di ricerca;232
2010;50 - 54;4AR;Titolare di assegno di ricerca;73
2010;55 - 59;4AR;Titolare di assegno di ricerca;22
2010;60 - 64;4AR;Titolare di assegno di ricerca;14
2010;>= 65;4AR;Titolare di assegno di ricerca;5
2011;35 - 39;1PO;Professore I fascia (ordinario);53
2011;40 - 44;1PO;Professore I fascia (ordinario);453
2011;45 - 49;1PO;Professore I fascia (ordinario);1519
2011;50 - 54;1PO;Professore I fascia (ordinario);2419
2011;55 - 59;1PO;Professore I fascia (ordinario);2797
2011;60 - 64;1PO;Professore I fascia (ordinario);4377
2011;>= 65;1PO;Professore I fascia (ordinario);3624
2011;30 - 34;2PA;Professore II fascia (associato);39
2011;35 - 39;2PA;Professore II fascia (associato);615
2011;40 - 44;2PA;Professore II fascia (associato);2258
2011;45 - 49;2PA;Professore II fascia (associato);3747
2011;50 - 54;2PA;Professore II fascia (associato);3438
2011;55 - 59;2PA;Professore II fascia (associato);2501
2011;60 - 64;2PA;Professore II fascia (associato);2556
2011;>= 65;2PA;Professore II fascia (associato);1457
2011;< 25;3RTD;Ricercatore a tempo determinato;1
2011;25 - 29;3RTD;Ricercatore a tempo determinato;43
2011;30 - 34;3RTD;Ricercatore a tempo determinato;508
2011;35 - 39;3RTD;Ricercatore a tempo determinato;620
2011;40 - 44;3RTD;Ricercatore a tempo determinato;244
2011;45 - 49;3RTD;Ricercatore a tempo determinato;84
2011;50 - 54;3RTD;Ricercatore a tempo determinato;28
2011;55 - 59;3RTD;Ricercatore a tempo determinato;9
2011;60 - 64;3RTD;Ricercatore a tempo determinato;8
2011;>= 65;3RTD;Ricercatore a tempo determinato;2
2011;25 - 29;3RU;Ricercatore a tempo indeterminato;54
2011;30 - 34;3RU;Ricercatore a tempo indeterminato;1826
2011;35 - 39;3RU;Ricercatore a tempo indeterminato;5807
2011;40 - 44;3RU;Ricercatore a tempo indeterminato;5678
2011;45 - 49;3RU;Ricercatore a tempo indeterminato;4313
2011;50 - 54;3RU;Ricercatore a tempo indeterminato;2923
2011;55 - 59;3RU;Ricercatore a tempo indeterminato;2343
2011;60 - 64;3RU;Ricercatore a tempo indeterminato;1586
2011;>= 65;3RU;Ricercatore a tempo indeterminato;66
2011;< 25;4AR;Titolare di assegno di ricerca;42
2011;25 - 29;4AR;Titolare di assegno di ricerca;2799
2011;30 - 34;4AR;Titolare di assegno di ricerca;5955
2011;35 - 39;4AR;Titolare di assegno di ricerca;3302
2011;40 - 44;4AR;Titolare di assegno di ricerca;839
2011;45 - 49;4AR;Titolare di assegno di ricerca;269
2011;50 - 54;4AR;Titolare di assegno di ricerca;105
2011;55 - 59;4AR;Titolare di assegno di ricerca;32
2011;60 - 64;4AR;Titolare di assegno di ricerca;18
2011;>= 65;4AR;Titolare di assegno di ricerca;9
2012;35 - 39;1PO;Professore I fascia (ordinario);39
2012;40 - 44;1PO;Professore I fascia (ordinario);359
