ANNO_ACCADEMICO;Area_Istituto;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_ISTITUTO;COD_ISTITUTO;REGIONE_ISTITUTO;TIPO_CORSO;CLASSE_ETA';ISCRITTIx ETA'
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;67
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;353
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;1152
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;179
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;85
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;219
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANIA;7292 ;SICILIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;167
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANZARO;7212 ;CALABRIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;31
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANZARO;7212 ;CALABRIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;59
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANZARO;7212 ;CALABRIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;192
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANZARO;7212 ;CALABRIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;30
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANZARO;7212 ;CALABRIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;25
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANZARO;7212 ;CALABRIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;40
2024-2025;Area Artistica;Accademia di Belle Arti statale;;CATANZARO;7212 ;CALABRIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;39
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FIRENZE;7243 ;TOSCANA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;68
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FIRENZE;7243 ;TOSCANA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;188
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FIRENZE;7243 ;TOSCANA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;885
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FIRENZE;7243 ;TOSCANA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;123
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FIRENZE;7243 ;TOSCANA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;97
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FIRENZE;7243 ;TOSCANA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;231
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FIRENZE;7243 ;TOSCANA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;181
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FOGGIA;7245 ;PUGLIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;43
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FOGGIA;7245 ;PUGLIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;25
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FOGGIA;7245 ;PUGLIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;151
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FOGGIA;7245 ;PUGLIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;413
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FOGGIA;7245 ;PUGLIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;39
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FOGGIA;7245 ;PUGLIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;68
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FOGGIA;7245 ;PUGLIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;53
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FROSINONE;7310 ;LAZIO;AFAM_Corso Diploma accademico 1L;30 anni e oltre;34
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FROSINONE;7310 ;LAZIO;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;51
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FROSINONE;7310 ;LAZIO;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;334
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FROSINONE;7310 ;LAZIO;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;76
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FROSINONE;7310 ;LAZIO;AFAM_Corso Diploma accademico 2L;30 anni e oltre;34
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FROSINONE;7310 ;LAZIO;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;40
2024-2025;Area Artistica;Accademia di Belle Arti statale;;FROSINONE;7310 ;LAZIO;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;70
2024-2025;Area Artistica;Accademia di Belle Arti statale;Ligustica;GENOVA;54188;LIGURIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;75
2024-2025;Area Artistica;Accademia di Belle Arti statale;Ligustica;GENOVA;54188;LIGURIA;AFAM_Corso Diploma accademico 1L;fino a 17 anni;1
2024-2025;Area Artistica;Accademia di Belle Arti statale;Ligustica;GENOVA;54188;LIGURIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;350
2024-2025;Area Artistica;Accademia di Belle Arti statale;Ligustica;GENOVA;54188;LIGURIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;39
2024-2025;Area Artistica;Accademia di Belle Arti statale;Ligustica;GENOVA;54188;LIGURIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;45
2024-2025;Area Artistica;Accademia di Belle Arti statale;Ligustica;GENOVA;54188;LIGURIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;41
2024-2025;Area Artistica;Accademia di Belle Arti statale;Ligustica;GENOVA;54188;LIGURIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;48
2024-2025;Area Artistica;Accademia di Belle Arti statale;Ligustica;GENOVA;54188;LIGURIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;38
2024-2025;Area Artistica;Accademia di Belle Arti statale;;L'AQUILA;7237 ;ABRUZZO;AFAM_Corso Diploma accademico 1L;30 anni e oltre;46
2024-2025;Area Artistica;Accademia di Belle Arti statale;;L'AQUILA;7237 ;ABRUZZO;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;56
2024-2025;Area Artistica;Accademia di Belle Arti statale;;L'AQUILA;7237 ;ABRUZZO;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;228
2024-2025;Area Artistica;Accademia di Belle Arti statale;;L'AQUILA;7237 ;ABRUZZO;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;35
2024-2025;Area Artistica;Accademia di Belle Arti statale;;L'AQUILA;7237 ;ABRUZZO;AFAM_Corso Diploma accademico 2L;30 anni e oltre;30
2024-2025;Area Artistica;Accademia di Belle Arti statale;;L'AQUILA;7237 ;ABRUZZO;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;38
2024-2025;Area Artistica;Accademia di Belle Arti statale;;L'AQUILA;7237 ;ABRUZZO;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;28
2024-2025;Area Artistica;Accademia di Belle Arti statale;;L'AQUILA;7237 ;ABRUZZO;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;30 anni e oltre;10
2024-2025;Area Artistica;Accademia di Belle Arti statale;;L'AQUILA;7237 ;ABRUZZO;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 25 a 29 anni;17
2024-2025;Area Artistica;Accademia di Belle Arti statale;;L'AQUILA;7237 ;ABRUZZO;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 18 a 19 anni;5
2024-2025;Area Artistica;Accademia di Belle Arti statale;;L'AQUILA;7237 ;ABRUZZO;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 20 a 24 anni;21
2024-2025;Area Artistica;Accademia di Belle Arti statale;;LECCE;7321 ;PUGLIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;34
2024-2025;Area Artistica;Accademia di Belle Arti statale;;LECCE;7321 ;PUGLIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;102
2024-2025;Area Artistica;Accademia di Belle Arti statale;;LECCE;7321 ;PUGLIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;367
2024-2025;Area Artistica;Accademia di Belle Arti statale;;LECCE;7321 ;PUGLIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;66
2024-2025;Area Artistica;Accademia di Belle Arti statale;;LECCE;7321 ;PUGLIA;AFAM_Corso Diploma accademico 1L;fino a 17 anni;2
2024-2025;Area Artistica;Accademia di Belle Arti statale;;LECCE;7321 ;PUGLIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;30
2024-2025;Area Artistica;Accademia di Belle Arti statale;;LECCE;7321 ;PUGLIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;51
2024-2025;Area Artistica;Accademia di Belle Arti statale;;LECCE;7321 ;PUGLIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;49
2024-2025;Area Artistica;Accademia di Belle Arti statale;;MACERATA;7297 ;MARCHE;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;73
2024-2025;Area Artistica;Accademia di Belle Arti statale;;MACERATA;7297 ;MARCHE;AFAM_Corso Diploma accademico 1L;30 anni e oltre;35
2024-2025;Area Artistica;Accademia di Belle Arti statale;;MACERATA;7297 ;MARCHE;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;151
2024-2025;Area Artistica;Accademia di Belle Arti statale;;MACERATA;7297 ;MARCHE;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;634
2024-2025;Area Artistica;Accademia di Belle Arti statale;;MACERATA;7297 ;MARCHE;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 20 a 24 anni;22
2024-2025;Area Artistica;Accademia di Belle Arti statale;;MACERATA;7297 ;MARCHE;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;108
2024-2025;Area Artistica;Accademia di Belle Arti statale;;MACERATA;7297 ;MARCHE;AFAM_Corso Diploma accademico 2L;30 anni e oltre;54
2024-2025;Area Artistica;Accademia di Belle Arti statale;;MACERATA;7297 ;MARCHE;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;126
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;137
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;411
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;1781
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;274
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico 1L;fino a 17 anni;17
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;251
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;642
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;576
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico 2L;fino a 17 anni;2
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 25 a 29 anni;54
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 20 a 24 anni;82
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 18 a 19 anni;16
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;30 anni e oltre;8
2024-2025;Area Artistica;Accademia di Belle Arti statale;BRERA;MILANO;7299 ;LOMBARDIA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;fino a 17 anni;1
2024-2025;Area Artistica;Accademia di Belle Arti statale;;NAPOLI;7316 ;CAMPANIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;148
2024-2025;Area Artistica;Accademia di Belle Arti statale;;NAPOLI;7316 ;CAMPANIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;294
2024-2025;Area Artistica;Accademia di Belle Arti statale;;NAPOLI;7316 ;CAMPANIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;1853
2024-2025;Area Artistica;Accademia di Belle Arti statale;;NAPOLI;7316 ;CAMPANIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;298
2024-2025;Area Artistica;Accademia di Belle Arti statale;;NAPOLI;7316 ;CAMPANIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;145
2024-2025;Area Artistica;Accademia di Belle Arti statale;;NAPOLI;7316 ;CAMPANIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;613
2024-2025;Area Artistica;Accademia di Belle Arti statale;;NAPOLI;7316 ;CAMPANIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;525
2024-2025;Area Artistica;Accademia di Belle Arti statale;;NAPOLI;7316 ;CAMPANIA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 20 a 24 anni;66
2024-2025;Area Artistica;Accademia di Belle Arti statale;;NAPOLI;7316 ;CAMPANIA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 25 a 29 anni;50
2024-2025;Area Artistica;Accademia di Belle Arti statale;;NAPOLI;7316 ;CAMPANIA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 18 a 19 anni;6
2024-2025;Area Artistica;Accademia di Belle Arti statale;;NAPOLI;7316 ;CAMPANIA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;30 anni e oltre;18
2024-2025;Area Artistica;Accademia di Belle Arti statale;;PALERMO;7219 ;SICILIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;217
2024-2025;Area Artistica;Accademia di Belle Arti statale;;PALERMO;7219 ;SICILIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;717
2024-2025;Area Artistica;Accademia di Belle Arti statale;;PALERMO;7219 ;SICILIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;139
2024-2025;Area Artistica;Accademia di Belle Arti statale;;PALERMO;7219 ;SICILIA;AFAM_Corso Diploma accademico 1L;fino a 17 anni;1
2024-2025;Area Artistica;Accademia di Belle Arti statale;;PALERMO;7219 ;SICILIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;81
2024-2025;Area Artistica;Accademia di Belle Arti statale;;PALERMO;7219 ;SICILIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;63
2024-2025;Area Artistica;Accademia di Belle Arti statale;;PALERMO;7219 ;SICILIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;133
2024-2025;Area Artistica;Accademia di Belle Arti statale;;PALERMO;7219 ;SICILIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;136
2024-2025;Area Artistica;Accademia di Belle Arti statale;;PALERMO;7219 ;SICILIA;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;da 20 a 24 anni;16
2024-2025;Area Artistica;Accademia di Belle Arti statale;Pietro Vannucci;PERUGIA;54186;UMBRIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;43
2024-2025;Area Artistica;Accademia di Belle Arti statale;Pietro Vannucci;PERUGIA;54186;UMBRIA;AFAM_Corso Diploma accademico 1L;fino a 17 anni;2
2024-2025;Area Artistica;Accademia di Belle Arti statale;Pietro Vannucci;PERUGIA;54186;UMBRIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;22
2024-2025;Area Artistica;Accademia di Belle Arti statale;Pietro Vannucci;PERUGIA;54186;UMBRIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;132
2024-2025;Area Artistica;Accademia di Belle Arti statale;Pietro Vannucci;PERUGIA;54186;UMBRIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;340
2024-2025;Area Artistica;Accademia di Belle Arti statale;Pietro Vannucci;PERUGIA;54186;UMBRIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;45
2024-2025;Area Artistica;Accademia di Belle Arti statale;Pietro Vannucci;PERUGIA;54186;UMBRIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;40
2024-2025;Area Artistica;Accademia di Belle Arti statale;Pietro Vannucci;PERUGIA;54186;UMBRIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;16
2024-2025;Area Artistica;Accademia di Belle Arti statale;;RAVENNA;54189;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;24
2024-2025;Area Artistica;Accademia di Belle Arti statale;;RAVENNA;54189;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;27
2024-2025;Area Artistica;Accademia di Belle Arti statale;;RAVENNA;54189;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;59
2024-2025;Area Artistica;Accademia di Belle Arti statale;;RAVENNA;54189;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;7
2024-2025;Area Artistica;Accademia di Belle Arti statale;;RAVENNA;54189;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;14
2024-2025;Area Artistica;Accademia di Belle Arti statale;;RAVENNA;54189;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;19
2024-2025;Area Artistica;Accademia di Belle Arti statale;;RAVENNA;54189;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;13
2024-2025;Area Artistica;Accademia di Belle Arti statale;;REGGIO CALABRIA;7194 ;CALABRIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;110
2024-2025;Area Artistica;Accademia di Belle Arti statale;;REGGIO CALABRIA;7194 ;CALABRIA;AFAM_Corso Diploma accademico 1L;fino a 17 anni;1
2024-2025;Area Artistica;Accademia di Belle Arti statale;;REGGIO CALABRIA;7194 ;CALABRIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;34
2024-2025;Area Artistica;Accademia di Belle Arti statale;;REGGIO CALABRIA;7194 ;CALABRIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;32
2024-2025;Area Artistica;Accademia di Belle Arti statale;;REGGIO CALABRIA;7194 ;CALABRIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;244
2024-2025;Area Artistica;Accademia di Belle Arti statale;;REGGIO CALABRIA;7194 ;CALABRIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;29
2024-2025;Area Artistica;Accademia di Belle Arti statale;;REGGIO CALABRIA;7194 ;CALABRIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;45
2024-2025;Area Artistica;Accademia di Belle Arti statale;;REGGIO CALABRIA;7194 ;CALABRIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;55
2024-2025;Area Artistica;Accademia di Belle Arti statale;;ROMA;7295 ;LAZIO;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;350
2024-2025;Area Artistica;Accademia di Belle Arti statale;;ROMA;7295 ;LAZIO;AFAM_Corso Diploma accademico 1L;fino a 17 anni;4
2024-2025;Area Artistica;Accademia di Belle Arti statale;;ROMA;7295 ;LAZIO;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;1468
2024-2025;Area Artistica;Accademia di Belle Arti statale;;ROMA;7295 ;LAZIO;AFAM_Corso Diploma accademico 1L;30 anni e oltre;108
2024-2025;Area Artistica;Accademia di Belle Arti statale;;ROMA;7295 ;LAZIO;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;234
2024-2025;Area Artistica;Accademia di Belle Arti statale;;ROMA;7295 ;LAZIO;AFAM_Corso Diploma accademico 2L;30 anni e oltre;143
