ANNO_ACCADEMICO;TIPO_ISTITUTO;Area_Istituto;NOME_ISTITUTO;COMUNE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;ISCRITTI-I-ANNO
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DAPL11;CINEMA, FOTOGRAFIA, AUDIOVISIVO;M;29
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;NUOVE TECNOLOGIE DELL'ARTE;M;15
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;NUOVE TECNOLOGIE DELL'ARTE;F;21
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;F;36
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;M;9
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;WEB DESIGN E COMUNICAZIONE VISIVA;F;30
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;WEB DESIGN E COMUNICAZIONE VISIVA;M;19
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;F;26
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;M;8
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;CINEMA, FOTOGRAFIA E AUDIOVISIVO - Cinema e Audiovisivo;M;7
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;CINEMA, FOTOGRAFIA E AUDIOVISIVO - Cinema e Audiovisivo;F;9
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;FOTOGRAFIA;M;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;FOTOGRAFIA;F;7
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;ARTE E PROGETTAZIONE NEL METAVERSO;F;8
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;ARTE E PROGETTAZIONE NEL METAVERSO;M;7
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FASHION DESIGN;F;13
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FASHION DESIGN;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA - Cinema e Televisione;M;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA - Cinema e Televisione;F;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA - Teatro;F;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA - Teatro;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;VALORIZZAZIONE ARTISTICA DEL TEATRO MUSICALE;F;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;VALORIZZAZIONE ARTISTICA DEL TEATRO MUSICALE;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;VALORIZZAZIONE E RIGENERAZIONE CREATIVA DEI BENI CULTURALI;F;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE - Arte e Ambiente;F;34
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE - Arte e Ambiente;M;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA - Grafica d'arte;F;21
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA - Grafica d'arte;M;4
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;F;78
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;M;23
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;F;20
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;M;4
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE PER L'ARCHITETTURA;F;16
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE PER L'ARCHITETTURA;M;6
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA D'ARTE;F;24
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Arti visive;F;32
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Arti visive;M;16
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA;F;10
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA;M;10
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;DIDATTICA E COMUNICAZIONE DELL'ARTE;F;24
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;DIDATTICA E COMUNICAZIONE DELL'ARTE;M;5
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;DIDATTICA DELL'ARTE E MEDIAZIONE CULTURALE DEL PATRIMONIO ARTISTICO;F;23
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;DIDATTICA DELL'ARTE E MEDIAZIONE CULTURALE DEL PATRIMONIO ARTISTICO;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DAPL11;LINGUAGGI DEL CINEMA E DELL'AUDIOVISIVO;F;12
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DAPL11;LINGUAGGI DEL CINEMA E DELL'AUDIOVISIVO;M;13
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN DEL PRODOTTO;F;17
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN DEL PRODOTTO;M;8
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN GRAFICO;F;16
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN GRAFICO;M;9
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;F;24
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;M;6
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;ILLUSTRAZIONE E FUMETTO;F;17
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;ILLUSTRAZIONE E FUMETTO;M;32
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;M;9
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;F;27
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;CINEMA E ANIMAZIONE SPERIMENTALE;F;4
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;CINEMA E ANIMAZIONE SPERIMENTALE;M;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FASHION DESIGN;F;17
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FASHION DESIGN;M;6
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FOTOGRAFIA;F;11
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FOTOGRAFIA;M;12
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;GRAPHIC, INTERACTION E VIDEOGAME DESIGN;F;6
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;GRAPHIC, INTERACTION E VIDEOGAME DESIGN;M;8
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;ILLUSTRAZIONE PER L'EDITORIA;F;25
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;ILLUSTRAZIONE PER L'EDITORIA;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;LINGUAGGI DEL FUMETTO;F;17
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;LINGUAGGI DEL FUMETTO;M;11
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA DEL TEATRO DELL'OPERA E SPETTACOLO MUSICALE;F;9
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA DEL TEATRO DELL'OPERA E SPETTACOLO MUSICALE;M;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA E ALLESTIMENTI DEGLI SPAZI ESPOSITIVI;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA E ALLESTIMENTI DEGLI SPAZI ESPOSITIVI;F;9
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;RESTAURO;DASLQ01;"RESTAURO - ciclo unico abilitante alla professione di ""Restauratore di beni culturali""";F;13
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;RESTAURO;DASLQ01;"RESTAURO - ciclo unico abilitante alla professione di ""Restauratore di beni culturali""";M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;ARTE, EDUCAZIONE E MULTIMEDIALITÀ;F;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;LA SALVAGUARDIA DEL PATRIMONIO CULTURALE NELL’ERA DELLA TRANSIZIONE;F;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;LINGUAGGI, MATERIALI, PROCESSI E SOSTENIBILITÀ NELLA PRODUZIONE ARTISTICA CONTEMPORANEA;F;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;LINGUAGGI, MATERIALI, PROCESSI E SOSTENIBILITÀ NELLA PRODUZIONE ARTISTICA CONTEMPORANEA;M;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE - Arti per l'ambiente;F;8
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE - Arti per l'ambiente;M;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA - Grafica d'arte;F;8
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA - Grafica d'arte;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;F;37
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;M;17
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;F;22
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;M;11
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Arti per l'ambiente;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Arti per l'ambiente;F;13
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA - Nuovi Paradigmi dell'Immagine;F;6
