ANNO_ACCADEMICO;TIPO_ISTITUTO;AREA ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;ISCR_STRANIERI
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Fashion Design;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Fumetto e Illustrazione;F;20
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Fumetto e Illustrazione;M;5
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;F;38
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;M;13
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Linguaggi del Fumetto;F;12
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Linguaggi del Fumetto;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fashion Design;F;18
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fashion Design;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fotografia;F;10
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fotografia;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Illustrazione per l'Editoria;F;15
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Illustrazione per l'Editoria;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Allestimenti degli spazi espositivi;M;9
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Allestimenti degli spazi espositivi;F;21
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Melodramma e del Teatro Musicale;F;20
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Melodramma e del Teatro Musicale;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;RESTAURO;DASLQ01;Restauratore dei Beni Culturali - ciclo unico abilitante;F;3
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;RESTAURO;DASLQ01;Restauratore dei Beni Culturali - ciclo unico abilitante;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;F;17
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;M;13
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica;F;17
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica;M;8
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;F;35
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;M;19
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;F;28
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;M;30
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione;F;12
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione;M;5
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica d'Arte;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica d'Arte;F;11
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica e Comunicazione;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;F;16
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;M;28
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti Visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura - Ind. Nuove pratiche dell'espressione;M;3
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti Visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura - Ind. Nuove pratiche dell'espressione;F;5
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;M;22
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;F;11
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso libero (senza CFA);formazione permanente;-;Scuola libera del nudo - formazione permanente;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Arti multimediali;F;17
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Arti multimediali;M;22
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;F;12
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;M;11
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Net Art e Culture Digitali;F;6
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Net Art e Culture Digitali;M;6
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia;M;3
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia;F;3
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Product Design;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Product Design;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica - Ind. Illustrazione;F;3
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica - Ind. Illustrazione;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura - Ind. Pittura 1;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura - Ind. Pittura 1;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;Comunicazione e valorizzazione del patrimonio artistico contemporaneo;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Arti Tecnologiche;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Arti Tecnologiche;M;3
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Fotografia;M;5
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Design della Comunicazione visiva;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia teatro, cinema e televisione;F;2
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arti tecnologiche e narrazioni digitali;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Design della Comunicazione visiva;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANZARO;7212;CALABRIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Regia;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANZARO;7212;CALABRIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Graphic Design;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;F;52
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;M;19
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica;F;17
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica;M;8
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;F;115
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;M;81
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;F;21
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;M;16
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti Visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Nuovi linguaggi espressivi/Decorazione ambientale e degli spazi urbani;F;25
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti Visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Nuovi linguaggi espressivi/Decorazione ambientale e degli spazi urbani;M;14
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti Visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica - Ind. Nuovi linguaggi espressivi/Illustrazione;F;14
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti Visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica - Ind. Nuovi linguaggi espressivi/Illustrazione;M;10
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti Visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura - Ind. Nuovi linguaggi espressivi/Metodologie della Pittura;M;28
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti Visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura - Ind. Nuovi linguaggi espressivi/Metodologie della Pittura;F;64
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti Visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura - Ind. Nuovi linguaggi espressivi/Scultura per l'arte pubblica e ambientale;F;12
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Arti Visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura - Ind. Nuovi linguaggi espressivi/Scultura per l'arte pubblica e ambientale;M;5
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;Didattica dell'arte per i musei;F;2
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Design;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Design;F;9
2019-2020;Accademia di Belle Arti;Area Artistica;;FIRENZE;7243;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;M;13
