ANNO_ACCADEMICO;AREA_ISTITUTO;CONTINENTE;PROVENIENZA;GENERE;ISCR_STRANIERI
2019-2020;Area Artistica;ASIA;Armenia;F;7
2019-2020;Area Artistica;ASIA;Armenia;M;1
2019-2020;Area Artistica;ASIA;Azerbaigian;F;6
2019-2020;Area Artistica;ASIA;Bangladesh;F;1
2019-2020;Area Artistica;ASIA;Bangladesh;M;2
2019-2020;Area Artistica;ASIA;Bhutan;F;1
2019-2020;Area Artistica;ASIA;Cina;F;3936
2019-2020;Area Artistica;ASIA;Cina;M;2276
2019-2020;Area Artistica;ASIA;Corea del Nord;F;1
2019-2020;Area Artistica;ASIA;Corea del Nord;M;1
2019-2020;Area Artistica;ASIA;Corea del Sud;F;86
2019-2020;Area Artistica;ASIA;Corea del Sud;M;34
2019-2020;Area Artistica;ASIA;Emirati Arabi Uniti;F;1
2019-2020;Area Artistica;ASIA;Filippine;M;16
2019-2020;Area Artistica;ASIA;Filippine;F;12
2019-2020;Area Artistica;ASIA;Georgia;F;19
2019-2020;Area Artistica;ASIA;Georgia;M;1
2019-2020;Area Artistica;ASIA;Giappone;F;20
2019-2020;Area Artistica;ASIA;Giappone;M;7
2019-2020;Area Artistica;ASIA;Giordania;F;6
2019-2020;Area Artistica;ASIA;India;F;129
2019-2020;Area Artistica;ASIA;India;M;77
2019-2020;Area Artistica;ASIA;Indonesia;F;19
2019-2020;Area Artistica;ASIA;Indonesia;M;5
2019-2020;Area Artistica;ASIA;Iran;F;211
2019-2020;Area Artistica;ASIA;Iran;M;65
2019-2020;Area Artistica;ASIA;Iraq;M;2
2019-2020;Area Artistica;ASIA;Israele;F;20
2019-2020;Area Artistica;ASIA;Israele;M;8
2019-2020;Area Artistica;ASIA;Kazakistan;F;12
2019-2020;Area Artistica;ASIA;Kazakistan;M;1
2019-2020;Area Artistica;ASIA;Kirghizistan;F;1
2019-2020;Area Artistica;ASIA;Kirghizistan;M;1
2019-2020;Area Artistica;ASIA;Kuwait;F;1
2019-2020;Area Artistica;ASIA;Libano;F;17
2019-2020;Area Artistica;ASIA;Libano;M;5
2019-2020;Area Artistica;ASIA;Malaysia;M;1
2019-2020;Area Artistica;ASIA;Mongolia;F;18
2019-2020;Area Artistica;ASIA;Mongolia;M;2
2019-2020;Area Artistica;ASIA;Nepal;M;2
2019-2020;Area Artistica;ASIA;Pakistan;F;6
2019-2020;Area Artistica;ASIA;Pakistan;M;2
2019-2020;Area Artistica;ASIA;Palestina;F;1
2019-2020;Area Artistica;ASIA;Qatar;F;1
2019-2020;Area Artistica;ASIA;Singapore;F;1
2019-2020;Area Artistica;ASIA;Siria;F;3
2019-2020;Area Artistica;ASIA;Siria;M;1
2019-2020;Area Artistica;ASIA;Sri Lanka;M;1
2019-2020;Area Artistica;ASIA;Taiwan;F;43
2019-2020;Area Artistica;ASIA;Taiwan;M;16
2019-2020;Area Artistica;ASIA;Thailandia;F;29
2019-2020;Area Artistica;ASIA;Thailandia;M;5
2019-2020;Area Artistica;ASIA;Turkmenistan;F;1
2019-2020;Area Artistica;ASIA;Uzbekistan;F;2
2019-2020;Area Artistica;ASIA;Vietnam;F;21
2019-2020;Area Artistica;ASIA;Vietnam;M;6
2019-2020;Area Artistica;EUROPA extra UE;Albania;F;86
2019-2020;Area Artistica;EUROPA extra UE;Albania;M;49
2019-2020;Area Artistica;EUROPA extra UE;Andorra;F;1
2019-2020;Area Artistica;EUROPA extra UE;Bielorussia;F;11
2019-2020;Area Artistica;EUROPA extra UE;Bosnia-Erzegovina;F;2
2019-2020;Area Artistica;EUROPA extra UE;Bosnia-Erzegovina;M;2
2019-2020;Area Artistica;EUROPA extra UE;Federazione Russa;M;30
2019-2020;Area Artistica;EUROPA extra UE;Federazione Russa;F;140
2019-2020;Area Artistica;EUROPA extra UE;Islanda;M;1
2019-2020;Area Artistica;EUROPA extra UE;Islanda;F;9
2019-2020;Area Artistica;EUROPA extra UE;Macedonia del Nord;F;11
2019-2020;Area Artistica;EUROPA extra UE;Macedonia del Nord;M;5
2019-2020;Area Artistica;EUROPA extra UE;Moldavia;F;47
2019-2020;Area Artistica;EUROPA extra UE;Moldavia;M;7
2019-2020;Area Artistica;EUROPA extra UE;Monaco;F;2
2019-2020;Area Artistica;EUROPA extra UE;Montenegro;F;7
2019-2020;Area Artistica;EUROPA extra UE;Montenegro;M;1
2019-2020;Area Artistica;EUROPA extra UE;Norvegia;F;20
2019-2020;Area Artistica;EUROPA extra UE;Norvegia;M;3
2019-2020;Area Artistica;EUROPA extra UE;San Marino;F;19
2019-2020;Area Artistica;EUROPA extra UE;San Marino;M;9
2019-2020;Area Artistica;EUROPA extra UE;Serbia;M;7
2019-2020;Area Artistica;EUROPA extra UE;Serbia;F;22
2019-2020;Area Artistica;EUROPA extra UE;Serbia e Montenegro (ex Jugoslavia);F;6
2019-2020;Area Artistica;EUROPA extra UE;Serbia e Montenegro (ex Jugoslavia);M;3
2019-2020;Area Artistica;EUROPA extra UE;Svizzera;F;74
2019-2020;Area Artistica;EUROPA extra UE;Svizzera;M;35
2019-2020;Area Artistica;EUROPA extra UE;Turchia;F;192
2019-2020;Area Artistica;EUROPA extra UE;Turchia;M;61
2019-2020;Area Artistica;EUROPA extra UE;Ucraina;F;97
2019-2020;Area Artistica;EUROPA extra UE;Ucraina;M;25
2019-2020;Area Artistica;EUROPA UE;Austria;M;6
2019-2020;Area Artistica;EUROPA UE;Austria;F;12
2019-2020;Area Artistica;EUROPA UE;Belgio;M;5
2019-2020;Area Artistica;EUROPA UE;Belgio;F;10
2019-2020;Area Artistica;EUROPA UE;Bulgaria;F;99
2019-2020;Area Artistica;EUROPA UE;Bulgaria;M;27
2019-2020;Area Artistica;EUROPA UE;Cipro;F;19
2019-2020;Area Artistica;EUROPA UE;Cipro;M;9
2019-2020;Area Artistica;EUROPA UE;Croazia;F;10
2019-2020;Area Artistica;EUROPA UE;Croazia;M;3
2019-2020;Area Artistica;EUROPA UE;Danimarca;F;5
2019-2020;Area Artistica;EUROPA UE;Danimarca;M;2
2019-2020;Area Artistica;EUROPA UE;Estonia;F;2
2019-2020;Area Artistica;EUROPA UE;Finlandia;M;2
2019-2020;Area Artistica;EUROPA UE;Finlandia;F;3
2019-2020;Area Artistica;EUROPA UE;Francia;F;48
2019-2020;Area Artistica;EUROPA UE;Francia;M;18
2019-2020;Area Artistica;EUROPA UE;Germania;F;77
2019-2020;Area Artistica;EUROPA UE;Germania;M;27
2019-2020;Area Artistica;EUROPA UE;Grecia;F;21
2019-2020;Area Artistica;EUROPA UE;Grecia;M;12
2019-2020;Area Artistica;EUROPA UE;Irlanda;F;4
2019-2020;Area Artistica;EUROPA UE;Irlanda;M;3
2019-2020;Area Artistica;EUROPA UE;Lettonia;F;6
2019-2020;Area Artistica;EUROPA UE;Lettonia;M;1
2019-2020;Area Artistica;EUROPA UE;Lituania;F;10
2019-2020;Area Artistica;EUROPA UE;Lussemburgo;M;2
2019-2020;Area Artistica;EUROPA UE;Lussemburgo;F;2
2019-2020;Area Artistica;EUROPA UE;Malta;M;2
2019-2020;Area Artistica;EUROPA UE;Malta;F;4
2019-2020;Area Artistica;EUROPA UE;Paesi Bassi - Olanda;F;9
2019-2020;Area Artistica;EUROPA UE;Paesi Bassi - Olanda;M;4
2019-2020;Area Artistica;EUROPA UE;Polonia;F;29
2019-2020;Area Artistica;EUROPA UE;Polonia;M;10
2019-2020;Area Artistica;EUROPA UE;Portogallo;F;22
2019-2020;Area Artistica;EUROPA UE;Portogallo;M;3
2019-2020;Area Artistica;EUROPA UE;Regno Unito;F;14
2019-2020;Area Artistica;EUROPA UE;Regno Unito;M;13
2019-2020;Area Artistica;EUROPA UE;Repubblica Ceca;F;7
2019-2020;Area Artistica;EUROPA UE;Repubblica Ceca;M;2
2019-2020;Area Artistica;EUROPA UE;Romania;F;175
2019-2020;Area Artistica;EUROPA UE;Romania;M;78
2019-2020;Area Artistica;EUROPA UE;Slovacchia;M;2
2019-2020;Area Artistica;EUROPA UE;Slovacchia;F;5
2019-2020;Area Artistica;EUROPA UE;Slovenia;F;11
2019-2020;Area Artistica;EUROPA UE;Spagna;F;51
2019-2020;Area Artistica;EUROPA UE;Spagna;M;12
2019-2020;Area Artistica;EUROPA UE;Svezia;F;16
2019-2020;Area Artistica;EUROPA UE;Svezia;M;8
2019-2020;Area Artistica;EUROPA UE;Ungheria;F;7
2019-2020;Area Artistica;EUROPA UE;Ungheria;M;3
2019-2020;Area Artistica;NORD AMERICA;Canada;F;13
2019-2020;Area Artistica;NORD AMERICA;Canada;M;6
2019-2020;Area Artistica;NORD AMERICA;Costa Rica;F;3
2019-2020;Area Artistica;NORD AMERICA;Cuba;M;2
2019-2020;Area Artistica;NORD AMERICA;Cuba;F;8
2019-2020;Area Artistica;NORD AMERICA;El Salvador;F;4
2019-2020;Area Artistica;NORD AMERICA;El Salvador;M;3
2019-2020;Area Artistica;NORD AMERICA;Grenada;F;1
2019-2020;Area Artistica;NORD AMERICA;Guatemala;F;4
2019-2020;Area Artistica;NORD AMERICA;Honduras;F;3
2019-2020;Area Artistica;NORD AMERICA;Honduras;M;1
2019-2020;Area Artistica;NORD AMERICA;Messico;F;29
2019-2020;Area Artistica;NORD AMERICA;Messico;M;14
2019-2020;Area Artistica;NORD AMERICA;Panama;F;5
2019-2020;Area Artistica;NORD AMERICA;Panama;M;1
2019-2020;Area Artistica;NORD AMERICA;Repubblica Dominicana;F;4
2019-2020;Area Artistica;NORD AMERICA;Repubblica Dominicana;M;1
2019-2020;Area Artistica;NORD AMERICA;Saint Kitts e Nevis;F;1
2019-2020;Area Artistica;NORD AMERICA;Stati Uniti di America;F;37
2019-2020;Area Artistica;NORD AMERICA;Stati Uniti di America;M;16
2019-2020;Area Artistica;OCEANIA;Australia;F;2
2019-2020;Area Artistica;OCEANIA;Nuova Zelanda;M;1
2019-2020;Area Artistica;SUD AMERICA;Argentina;F;15
2019-2020;Area Artistica;SUD AMERICA;Argentina;M;10
2019-2020;Area Artistica;SUD AMERICA;Bolivia;F;15
2019-2020;Area Artistica;SUD AMERICA;Bolivia;M;3
2019-2020;Area Artistica;SUD AMERICA;Brasile;F;46
2019-2020;Area Artistica;SUD AMERICA;Brasile;M;18
2019-2020;Area Artistica;SUD AMERICA;Cile;F;5
2019-2020;Area Artistica;SUD AMERICA;Cile;M;3
2019-2020;Area Artistica;SUD AMERICA;Colombia;F;47
2019-2020;Area Artistica;SUD AMERICA;Colombia;M;22
2019-2020;Area Artistica;SUD AMERICA;Ecuador;F;34
2019-2020;Area Artistica;SUD AMERICA;Ecuador;M;15
2019-2020;Area Artistica;SUD AMERICA;Paraguay;F;3
2019-2020;Area Artistica;SUD AMERICA;Paraguay;M;1
2019-2020;Area Artistica;SUD AMERICA;Perù;F;40
2019-2020;Area Artistica;SUD AMERICA;Perù;M;16
2019-2020;Area Artistica;SUD AMERICA;Uruguay;F;1
2019-2020;Area Artistica;SUD AMERICA;Uruguay;M;2
2019-2020;Area Artistica;SUD AMERICA;Venezuela;F;13
2019-2020;Area Artistica;SUD AMERICA;Venezuela;M;8
2019-2020;Area Musicale/Coreutica;AFRICA;Algeria;M;1
2019-2020;Area Musicale/Coreutica;AFRICA;Capo Verde;M;1
2019-2020;Area Musicale/Coreutica;AFRICA;Ciad;M;1
2019-2020;Area Musicale/Coreutica;AFRICA;Congo;M;2
2019-2020;Area Musicale/Coreutica;AFRICA;Ghana;F;1
2019-2020;Area Musicale/Coreutica;AFRICA;Madagascar;M;1
2019-2020;Area Musicale/Coreutica;AFRICA;Marocco;F;1
2019-2020;Area Musicale/Coreutica;AFRICA;Mozambico;F;2
2019-2020;Area Musicale/Coreutica;AFRICA;Mozambico;M;2
2019-2020;Area Musicale/Coreutica;AFRICA;Nigeria;M;2
2019-2020;Area Musicale/Coreutica;AFRICA;Ruanda;F;1
2019-2020;Area Musicale/Coreutica;AFRICA;Sud Africa;F;1
2019-2020;Area Musicale/Coreutica;AFRICA;Togo;M;1
2019-2020;Area Musicale/Coreutica;AFRICA;Tunisia;F;1
2019-2020;Area Musicale/Coreutica;AFRICA;Tunisia;M;1
2019-2020;Area Musicale/Coreutica;ASIA;Afghanistan;F;1
2019-2020;Area Musicale/Coreutica;ASIA;Armenia;F;6
2019-2020;Area Musicale/Coreutica;ASIA;Armenia;M;6
2019-2020;Area Musicale/Coreutica;ASIA;Azerbaigian;F;1
2019-2020;Area Musicale/Coreutica;ASIA;Bhutan;F;1
2019-2020;Area Musicale/Coreutica;ASIA;Cina;F;967
2019-2020;Area Musicale/Coreutica;ASIA;Cina;M;691
2019-2020;Area Musicale/Coreutica;ASIA;Corea del Nord;F;5
2019-2020;Area Musicale/Coreutica;ASIA;Corea del Nord;M;3
2019-2020;Area Musicale/Coreutica;ASIA;Corea del Sud;F;150
2019-2020;Area Musicale/Coreutica;ASIA;Corea del Sud;M;99
2019-2020;Area Musicale/Coreutica;ASIA;Emirati Arabi Uniti;F;1
2019-2020;Area Musicale/Coreutica;ASIA;Filippine;M;1
2019-2020;Area Musicale/Coreutica;ASIA;Georgia;F;14
2019-2020;Area Musicale/Coreutica;ASIA;Georgia;M;8
2019-2020;Area Musicale/Coreutica;ASIA;Giappone;F;84
2019-2020;Area Musicale/Coreutica;ASIA;Giappone;M;30
2019-2020;Area Musicale/Coreutica;ASIA;Giordania;M;2
2019-2020;Area Musicale/Coreutica;ASIA;Hong Kong (Cina);F;2
2019-2020;Area Musicale/Coreutica;ASIA;Hong Kong (Cina);M;3
2019-2020;Area Musicale/Coreutica;ASIA;India;F;2
2019-2020;Area Musicale/Coreutica;ASIA;India;M;2
2019-2020;Area Musicale/Coreutica;ASIA;Indonesia;F;2
2019-2020;Area Musicale/Coreutica;ASIA;Iran;M;21
2019-2020;Area Musicale/Coreutica;ASIA;Iran;F;12
2019-2020;Area Musicale/Coreutica;ASIA;Iraq;M;1
2019-2020;Area Musicale/Coreutica;ASIA;Israele;F;5
2019-2020;Area Musicale/Coreutica;ASIA;Israele;M;6
2019-2020;Area Musicale/Coreutica;ASIA;Kazakistan;F;11
2019-2020;Area Musicale/Coreutica;ASIA;Kazakistan;M;5
2019-2020;Area Musicale/Coreutica;ASIA;Kirghizistan;F;2
2019-2020;Area Musicale/Coreutica;ASIA;Kirghizistan;M;1
2019-2020;Area Musicale/Coreutica;ASIA;Libano;M;1
2019-2020;Area Musicale/Coreutica;ASIA;Mongolia;F;6
2019-2020;Area Musicale/Coreutica;ASIA;Mongolia;M;2
2019-2020;Area Musicale/Coreutica;ASIA;Nepal;F;2
2019-2020;Area Musicale/Coreutica;ASIA;Palestina;M;4
2019-2020;Area Musicale/Coreutica;ASIA;Siria;F;1
2019-2020;Area Musicale/Coreutica;ASIA;Tagikistan;M;1
2019-2020;Area Musicale/Coreutica;ASIA;Taiwan;F;11
2019-2020;Area Musicale/Coreutica;ASIA;Taiwan;M;4
2019-2020;Area Musicale/Coreutica;ASIA;Thailandia;M;1
2019-2020;Area Musicale/Coreutica;ASIA;Uzbekistan;F;1
2019-2020;Area Musicale/Coreutica;ASIA;Uzbekistan;M;1
2019-2020;Area Musicale/Coreutica;ASIA;Vietnam;F;1
2019-2020;Area Musicale/Coreutica;ASIA;Vietnam;M;1
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Albania;F;32
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Albania;M;35
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Andorra;M;1
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Bielorussia;M;5
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Bielorussia;F;11
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Bosnia-Erzegovina;F;5
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Bosnia-Erzegovina;M;1
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Federazione Russa;F;83
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Federazione Russa;M;26
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Kosovo;F;2
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Kosovo;M;2
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Macedonia del Nord;F;6
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Macedonia del Nord;M;5
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Moldavia;F;15
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Moldavia;M;10
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Montenegro;F;6
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Montenegro;M;2
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Norvegia;F;1
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;San Marino;F;4
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;San Marino;M;4
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Serbia;F;23
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Serbia;M;9
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Svizzera;F;12
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Svizzera;M;10
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Turchia;F;24
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Turchia;M;10
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Ucraina;F;49
2019-2020;Area Musicale/Coreutica;EUROPA extra UE;Ucraina;M;14
2019-2020;Area Musicale/Coreutica;EUROPA UE;Austria;F;4
2019-2020;Area Musicale/Coreutica;EUROPA UE;Austria;M;6
2019-2020;Area Musicale/Coreutica;EUROPA UE;Belgio;F;1
2019-2020;Area Musicale/Coreutica;EUROPA UE;Belgio;M;5
2019-2020;Area Musicale/Coreutica;EUROPA UE;Bulgaria;F;12
2019-2020;Area Musicale/Coreutica;EUROPA UE;Bulgaria;M;10
2019-2020;Area Musicale/Coreutica;EUROPA UE;Cipro;F;1
2019-2020;Area Musicale/Coreutica;EUROPA UE;Croazia;F;16
2019-2020;Area Musicale/Coreutica;EUROPA UE;Croazia;M;24
2019-2020;Area Musicale/Coreutica;EUROPA UE;Danimarca;F;1
2019-2020;Area Musicale/Coreutica;EUROPA UE;Estonia;F;3
2019-2020;Area Musicale/Coreutica;EUROPA UE;Finlandia;M;1
2019-2020;Area Musicale/Coreutica;EUROPA UE;Finlandia;F;5
2019-2020;Area Musicale/Coreutica;EUROPA UE;Francia;F;15
2019-2020;Area Musicale/Coreutica;EUROPA UE;Francia;M;5
2019-2020;Area Musicale/Coreutica;EUROPA UE;Germania;F;24
2019-2020;Area Musicale/Coreutica;EUROPA UE;Germania;M;18
2019-2020;Area Musicale/Coreutica;EUROPA UE;Grecia;F;7
2019-2020;Area Musicale/Coreutica;EUROPA UE;Grecia;M;4
2019-2020;Area Musicale/Coreutica;EUROPA UE;Irlanda;F;1
2019-2020;Area Musicale/Coreutica;EUROPA UE;Irlanda;M;1
2019-2020;Area Musicale/Coreutica;EUROPA UE;Lettonia;F;5
2019-2020;Area Musicale/Coreutica;EUROPA UE;Lituania;F;4
2019-2020;Area Musicale/Coreutica;EUROPA UE;Lituania;M;1
2019-2020;Area Musicale/Coreutica;EUROPA UE;Malta;M;1
2019-2020;Area Musicale/Coreutica;EUROPA UE;Paesi Bassi - Olanda;F;1
2019-2020;Area Musicale/Coreutica;EUROPA UE;Paesi Bassi - Olanda;M;1
2019-2020;Area Musicale/Coreutica;EUROPA UE;Polonia;F;22
2019-2020;Area Musicale/Coreutica;EUROPA UE;Polonia;M;7
2019-2020;Area Musicale/Coreutica;EUROPA UE;Portogallo;F;7
2019-2020;Area Musicale/Coreutica;EUROPA UE;Portogallo;M;2
2019-2020;Area Musicale/Coreutica;EUROPA UE;Regno Unito;F;10
2019-2020;Area Musicale/Coreutica;EUROPA UE;Regno Unito;M;6
2019-2020;Area Musicale/Coreutica;EUROPA UE;Repubblica Ceca;F;5
2019-2020;Area Musicale/Coreutica;EUROPA UE;Romania;F;17
2019-2020;Area Musicale/Coreutica;EUROPA UE;Romania;M;27
2019-2020;Area Musicale/Coreutica;EUROPA UE;Slovacchia;F;4
2019-2020;Area Musicale/Coreutica;EUROPA UE;Slovenia;M;16
2019-2020;Area Musicale/Coreutica;EUROPA UE;Slovenia;F;13
2019-2020;Area Musicale/Coreutica;EUROPA UE;Spagna;F;32
2019-2020;Area Musicale/Coreutica;EUROPA UE;Spagna;M;25
2019-2020;Area Musicale/Coreutica;EUROPA UE;Svezia;F;1
2019-2020;Area Musicale/Coreutica;EUROPA UE;Ungheria;F;18
2019-2020;Area Musicale/Coreutica;EUROPA UE;Ungheria;M;4
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Antigua e Barbuda;F;1
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Canada;F;2
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Canada;M;1
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Costa Rica;F;2
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Costa Rica;M;3
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Cuba;F;4
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Cuba;M;7
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Guatemala;F;1
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Haiti;M;1
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Honduras;F;1
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Messico;F;25
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Messico;M;31
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Nicaragua;F;1
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Panama;F;1
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Panama;M;12
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Repubblica Dominicana;M;1
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Stati Uniti di America;F;3
2019-2020;Area Musicale/Coreutica;NORD AMERICA;Stati Uniti di America;M;7
2019-2020;Area Musicale/Coreutica;OCEANIA;Australia;F;1
2019-2020;Area Musicale/Coreutica;OCEANIA;Nuova Zelanda;M;1
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Argentina;F;6
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Argentina;M;7
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Bolivia;F;2
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Brasile;F;17
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Brasile;M;22
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Cile;F;7
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Cile;M;9
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Colombia;F;5
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Colombia;M;4
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Ecuador;F;1
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Ecuador;M;1
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Paraguay;F;2
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Perù;M;5
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Perù;F;2
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Uruguay;M;1
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Venezuela;F;7
2019-2020;Area Musicale/Coreutica;SUD AMERICA;Venezuela;M;18
2018-2019;Area Artistica;AFRICA;Algeria;F;1
2018-2019;Area Artistica;AFRICA;Burkina Faso;F;1
2018-2019;Area Artistica;AFRICA;Camerun;F;4
2018-2019;Area Artistica;AFRICA;Camerun;M;5
2018-2019;Area Artistica;AFRICA;Congo;F;2
2018-2019;Area Artistica;AFRICA;Congo;M;1
2018-2019;Area Artistica;AFRICA;Costa d Avorio;F;1
2018-2019;Area Artistica;AFRICA;Egitto;F;15
2018-2019;Area Artistica;AFRICA;Egitto;M;12
2018-2019;Area Artistica;AFRICA;Etiopia;F;2
2018-2019;Area Artistica;AFRICA;Etiopia;M;3
2018-2019;Area Artistica;AFRICA;Gabon;F;1
2018-2019;Area Artistica;AFRICA;Ghana;F;2
2018-2019;Area Artistica;AFRICA;Ghana;M;1
2018-2019;Area Artistica;AFRICA;Kenya;F;3
2018-2019;Area Artistica;AFRICA;Libia;F;4
2018-2019;Area Artistica;AFRICA;Libia;M;2
2018-2019;Area Artistica;AFRICA;Madagascar;F;2
2018-2019;Area Artistica;AFRICA;Madagascar;M;1
2018-2019;Area Artistica;AFRICA;Marocco;F;18
2018-2019;Area Artistica;AFRICA;Marocco;M;9
2018-2019;Area Artistica;AFRICA;Mauritania;M;1
2018-2019;Area Artistica;AFRICA;Mauritius;M;2
2018-2019;Area Artistica;AFRICA;Niger;F;1
2018-2019;Area Artistica;AFRICA;Nigeria;F;2
2018-2019;Area Artistica;AFRICA;Repubblica Democratica del Congo (ex Zaire);M;2
2018-2019;Area Artistica;AFRICA;Ruanda;F;2
2018-2019;Area Artistica;AFRICA;Ruanda;M;2
2018-2019;Area Artistica;AFRICA;Senegal;F;1
2018-2019;Area Artistica;AFRICA;Seychelles;F;2
2018-2019;Area Artistica;AFRICA;Sud Africa;F;2
2018-2019;Area Artistica;AFRICA;Sud Africa;M;5
2018-2019;Area Artistica;AFRICA;Tunisia;F;10
2018-2019;Area Artistica;AFRICA;Tunisia;M;4
2018-2019;Area Artistica;AFRICA;Zimbabwe;F;1
