ANNO_ACCADEMICO;REGIONE_ISTITUTO;TIPO_ISTITUTO;Area_Istituto;PROVENIENZA_STUDENTE;ISCR_ITALIANI;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LIGURIA;3;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LOMBARDIA;2;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;MARCHE;1;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;MOLISE;7;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PIEMONTE;1;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PUGLIA;17;;
2024-2025;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SICILIA;3;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;ABRUZZO;23;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;BASILICATA;10;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;CALABRIA;28;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;CAMPANIA;36;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;EMILIA ROMAGNA;1031;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;FRIULI VENEZIA GIULIA;40;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;LAZIO;40;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;LIGURIA;20;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;LOMBARDIA;94;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;MARCHE;82;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;MOLISE;5;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;PIEMONTE;36;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;PUGLIA;57;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;SARDEGNA;43;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;SICILIA;67;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;TOSCANA;124;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;TRENTINO-ALTO ADIGE;30;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;UMBRIA;28;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;VALLE D'AOSTA;6;;
2024-2025;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;VENETO;119;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;38;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;BASILICATA;22;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;28;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;36;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;1334;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;FRIULI VENEZIA GIULIA;22;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;33;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;LIGURIA;25;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;193;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;MARCHE;61;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;MOLISE;10;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;29;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;72;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;Residenti all'Estero;4;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;SARDEGNA;37;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;61;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;101;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;TRENTINO-ALTO ADIGE;13;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;UMBRIA;21;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;VALLE D'AOSTA;1;;
2024-2025;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;82;;
2024-2025;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;ABRUZZO;2;;
2024-2025;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;CAMPANIA;3;;
2024-2025;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;EMILIA ROMAGNA;111;;
2024-2025;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;LAZIO;2;;
2024-2025;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;LOMBARDIA;4;;
2024-2025;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;MARCHE;3;;
2024-2025;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;PUGLIA;9;;
2024-2025;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;SARDEGNA;1;;
2024-2025;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;SICILIA;1;;
2024-2025;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;TOSCANA;3;;
2024-2025;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;UMBRIA;3;;
2024-2025;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;VENETO;2;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;ABRUZZO;10;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CALABRIA;4;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CAMPANIA;5;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;EMILIA ROMAGNA;311;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;FRIULI VENEZIA GIULIA;4;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LAZIO;15;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LIGURIA;2;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LOMBARDIA;10;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;MARCHE;82;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PIEMONTE;14;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PUGLIA;19;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;Residenti all'Estero;8;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SARDEGNA;2;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SICILIA;15;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;TOSCANA;15;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;TRENTINO-ALTO ADIGE;1;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;UMBRIA;4;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;VALLE D'AOSTA;1;;
2024-2025;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;VENETO;20;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;1;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;5;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;2;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;FRIULI VENEZIA GIULIA;417;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;3;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LIGURIA;1;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;10;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;MARCHE;1;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;1;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;3;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;Residenti all'Estero;3;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SARDEGNA;6;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;5;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;3;;
2024-2025;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;49;;
2024-2025;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;FRIULI VENEZIA GIULIA;86;;
2024-2025;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;LAZIO;4;;
2024-2025;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;LOMBARDIA;2;;
2024-2025;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;PIEMONTE;1;;
2024-2025;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;SICILIA;1;;
2024-2025;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;TRENTINO-ALTO ADIGE;1;;
2024-2025;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;VENETO;59;;
2024-2025;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CALABRIA;1;;
2024-2025;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CAMPANIA;1;;
2024-2025;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;EMILIA ROMAGNA;2;;
2024-2025;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;FRIULI VENEZIA GIULIA;383;;
2024-2025;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LIGURIA;1;;
2024-2025;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;MARCHE;2;;
2024-2025;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PIEMONTE;2;;
2024-2025;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PUGLIA;1;;
2024-2025;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SICILIA;1;;
2024-2025;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;TRENTINO-ALTO ADIGE;4;;
2024-2025;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;VENETO;45;;
2024-2025;LAZIO;Accademia di Belle Arti statale;Area Artistica;ABRUZZO;26;;
2024-2025;LAZIO;Accademia di Belle Arti statale;Area Artistica;BASILICATA;55;;
2024-2025;LAZIO;Accademia di Belle Arti statale;Area Artistica;CALABRIA;63;;
2024-2025;LAZIO;Accademia di Belle Arti statale;Area Artistica;CAMPANIA;79;;
