ANNO_ACCADEMICO;AREA_ISTITUTO;CONTINENTE;PROVENIENZA;GENERE;ISCR_STRANIERI
2024-2025;Area Artistica;ASIA;Afghanistan;M;2
2024-2025;Area Artistica;ASIA;Arabia Saudita;F;2
2024-2025;Area Artistica;ASIA;Arabia Saudita;M;6
2024-2025;Area Artistica;ASIA;Armenia;F;14
2024-2025;Area Artistica;ASIA;Armenia;M;1
2024-2025;Area Artistica;ASIA;Azerbaigian;F;21
2024-2025;Area Artistica;ASIA;Bahrein;M;1
2024-2025;Area Artistica;ASIA;Bangladesh;F;2
2024-2025;Area Artistica;ASIA;Bangladesh;M;3
2024-2025;Area Artistica;ASIA;Cambogia;M;4
2024-2025;Area Artistica;ASIA;Cambogia;F;2
2024-2025;Area Artistica;ASIA;Cina;F;3311
2024-2025;Area Artistica;ASIA;Cina;M;1778
2024-2025;Area Artistica;ASIA;Corea del Sud;F;52
2024-2025;Area Artistica;ASIA;Corea del Sud;M;24
2024-2025;Area Artistica;ASIA;Emirati Arabi Uniti;F;8
2024-2025;Area Artistica;ASIA;Filippine;M;23
2024-2025;Area Artistica;ASIA;Filippine;F;27
2024-2025;Area Artistica;ASIA;Georgia;F;46
2024-2025;Area Artistica;ASIA;Georgia;M;7
2024-2025;Area Artistica;ASIA;Giappone;F;17
2024-2025;Area Artistica;ASIA;Giappone;M;8
2024-2025;Area Artistica;ASIA;Giordania;F;11
2024-2025;Area Artistica;ASIA;Giordania;M;1
2024-2025;Area Artistica;ASIA;Hong Kong (Cina);F;4
2024-2025;Area Artistica;ASIA;Hong Kong (Cina);M;2
2024-2025;Area Artistica;ASIA;India;F;220
2024-2025;Area Artistica;ASIA;India;M;92
2024-2025;Area Artistica;ASIA;Indonesia;F;18
2024-2025;Area Artistica;ASIA;Indonesia;M;3
2024-2025;Area Artistica;ASIA;Iran;F;180
2024-2025;Area Artistica;ASIA;Iran;M;40
2024-2025;Area Artistica;ASIA;Iraq;F;3
2024-2025;Area Artistica;ASIA;Iraq;M;1
2024-2025;Area Artistica;ASIA;Israele;F;50
2024-2025;Area Artistica;ASIA;Israele;M;26
2024-2025;Area Artistica;ASIA;Kazakistan;F;89
2024-2025;Area Artistica;ASIA;Kazakistan;M;10
2024-2025;Area Artistica;ASIA;Kirghizistan;F;13
2024-2025;Area Artistica;ASIA;Kirghizistan;M;2
2024-2025;Area Artistica;ASIA;Libano;M;7
2024-2025;Area Artistica;ASIA;Libano;F;25
2024-2025;Area Artistica;ASIA;Malaysia;F;5
2024-2025;Area Artistica;ASIA;Mongolia;F;16
2024-2025;Area Artistica;ASIA;Mongolia;M;11
2024-2025;Area Artistica;ASIA;Myanmar/Birmania;F;1
2024-2025;Area Artistica;ASIA;Nepal;F;3
2024-2025;Area Artistica;ASIA;Pakistan;M;6
2024-2025;Area Artistica;ASIA;Pakistan;F;8
2024-2025;Area Artistica;ASIA;Palestina;F;3
2024-2025;Area Artistica;ASIA;Palestina;M;2
2024-2025;Area Artistica;ASIA;Singapore;F;2
2024-2025;Area Artistica;ASIA;Singapore;M;1
2024-2025;Area Artistica;ASIA;Siria;M;2
2024-2025;Area Artistica;ASIA;Siria;F;7
2024-2025;Area Artistica;ASIA;Sri Lanka;F;7
2024-2025;Area Artistica;ASIA;Sri Lanka;M;5
2024-2025;Area Artistica;ASIA;Taiwan;F;65
2024-2025;Area Artistica;ASIA;Taiwan;M;19
2024-2025;Area Artistica;ASIA;Thailandia;F;45
2024-2025;Area Artistica;ASIA;Thailandia;M;7
2024-2025;Area Artistica;ASIA;Turkmenistan;F;2
2024-2025;Area Artistica;ASIA;Uzbekistan;F;9
2024-2025;Area Artistica;ASIA;Vietnam;M;2
2024-2025;Area Artistica;ASIA;Vietnam;F;22
2024-2025;Area Artistica;EUROPA extra UE;Albania;F;87
2024-2025;Area Artistica;EUROPA extra UE;Albania;M;26
2024-2025;Area Artistica;EUROPA extra UE;Andorra;F;2
2024-2025;Area Artistica;EUROPA extra UE;Bielorussia;F;38
2024-2025;Area Artistica;EUROPA extra UE;Bielorussia;M;2
2024-2025;Area Artistica;EUROPA extra UE;Bosnia-Erzegovina;F;2
2024-2025;Area Artistica;EUROPA extra UE;Bosnia-Erzegovina;M;2
2024-2025;Area Artistica;EUROPA extra UE;Federazione Russa;M;61
2024-2025;Area Artistica;EUROPA extra UE;Federazione Russa;F;262
2024-2025;Area Artistica;EUROPA extra UE;Islanda;F;20
2024-2025;Area Artistica;EUROPA extra UE;Islanda;M;10
2024-2025;Area Artistica;EUROPA extra UE;Kosovo;F;10
2024-2025;Area Artistica;EUROPA extra UE;Macedonia del Nord;M;5
2024-2025;Area Artistica;EUROPA extra UE;Macedonia del Nord;F;12
2024-2025;Area Artistica;EUROPA extra UE;Moldavia;M;12
2024-2025;Area Artistica;EUROPA extra UE;Moldavia;F;49
2024-2025;Area Artistica;EUROPA extra UE;Monaco;F;2
2024-2025;Area Artistica;EUROPA extra UE;Montenegro;F;5
2024-2025;Area Artistica;EUROPA extra UE;Norvegia;F;56
2024-2025;Area Artistica;EUROPA extra UE;Norvegia;M;18
2024-2025;Area Artistica;EUROPA extra UE;San Marino;F;13
2024-2025;Area Artistica;EUROPA extra UE;San Marino;M;4
2024-2025;Area Artistica;EUROPA extra UE;Serbia;F;26
2024-2025;Area Artistica;EUROPA extra UE;Serbia;M;9
2024-2025;Area Artistica;EUROPA extra UE;Svizzera;F;91
2024-2025;Area Artistica;EUROPA extra UE;Svizzera;M;39
2024-2025;Area Artistica;EUROPA extra UE;Turchia;F;515
2024-2025;Area Artistica;EUROPA extra UE;Turchia;M;123
2024-2025;Area Artistica;EUROPA extra UE;Ucraina;F;146
2024-2025;Area Artistica;EUROPA extra UE;Ucraina;M;38
2024-2025;Area Artistica;EUROPA UE;Austria;F;22
2024-2025;Area Artistica;EUROPA UE;Austria;M;6
2024-2025;Area Artistica;EUROPA UE;Belgio;F;21
2024-2025;Area Artistica;EUROPA UE;Belgio;M;5
2024-2025;Area Artistica;EUROPA UE;Bulgaria;F;188
2024-2025;Area Artistica;EUROPA UE;Bulgaria;M;36
2024-2025;Area Artistica;EUROPA UE;Cipro;F;50
2024-2025;Area Artistica;EUROPA UE;Cipro;M;3
2024-2025;Area Artistica;EUROPA UE;Croazia;M;4
2024-2025;Area Artistica;EUROPA UE;Croazia;F;24
2024-2025;Area Artistica;EUROPA UE;Danimarca;F;16
2024-2025;Area Artistica;EUROPA UE;Danimarca;M;3
2024-2025;Area Artistica;EUROPA UE;Estonia;F;6
2024-2025;Area Artistica;EUROPA UE;Estonia;M;6
2024-2025;Area Artistica;EUROPA UE;Finlandia;F;13
2024-2025;Area Artistica;EUROPA UE;Finlandia;M;1
2024-2025;Area Artistica;EUROPA UE;Francia;F;107
2024-2025;Area Artistica;EUROPA UE;Francia;M;20
2024-2025;Area Artistica;EUROPA UE;Germania;F;115
2024-2025;Area Artistica;EUROPA UE;Germania;M;22
2024-2025;Area Artistica;EUROPA UE;Grecia;F;57
2024-2025;Area Artistica;EUROPA UE;Grecia;M;7
2024-2025;Area Artistica;EUROPA UE;Irlanda;F;4
2024-2025;Area Artistica;EUROPA UE;Irlanda;M;7
2024-2025;Area Artistica;EUROPA UE;Lettonia;F;15
2024-2025;Area Artistica;EUROPA UE;Lettonia;M;8
2024-2025;Area Artistica;EUROPA UE;Lituania;F;38
2024-2025;Area Artistica;EUROPA UE;Lituania;M;12
2024-2025;Area Artistica;EUROPA UE;Lussemburgo;M;4
2024-2025;Area Artistica;EUROPA UE;Lussemburgo;F;7
2024-2025;Area Artistica;EUROPA UE;Malta;M;2
2024-2025;Area Artistica;EUROPA UE;Malta;F;5
2024-2025;Area Artistica;EUROPA UE;Paesi Bassi - Olanda;F;19
2024-2025;Area Artistica;EUROPA UE;Paesi Bassi - Olanda;M;5
2024-2025;Area Artistica;EUROPA UE;Polonia;F;90
2024-2025;Area Artistica;EUROPA UE;Polonia;M;15
2024-2025;Area Artistica;EUROPA UE;Portogallo;M;11
2024-2025;Area Artistica;EUROPA UE;Portogallo;F;64
2024-2025;Area Artistica;EUROPA UE;Regno Unito;F;32
2024-2025;Area Artistica;EUROPA UE;Regno Unito;M;8
2024-2025;Area Artistica;EUROPA UE;Repubblica Ceca;F;21
2024-2025;Area Artistica;EUROPA UE;Repubblica Ceca;M;2
2024-2025;Area Artistica;EUROPA UE;Romania;F;324
2024-2025;Area Artistica;EUROPA UE;Romania;M;76
2024-2025;Area Artistica;EUROPA UE;Slovacchia;M;8
2024-2025;Area Artistica;EUROPA UE;Slovacchia;F;15
2024-2025;Area Artistica;EUROPA UE;Slovenia;M;2
2024-2025;Area Artistica;EUROPA UE;Slovenia;F;13
2024-2025;Area Artistica;EUROPA UE;Spagna;F;156
2024-2025;Area Artistica;EUROPA UE;Spagna;M;26
2024-2025;Area Artistica;EUROPA UE;Svezia;F;145
2024-2025;Area Artistica;EUROPA UE;Svezia;M;17
2024-2025;Area Artistica;EUROPA UE;Ungheria;F;30
2024-2025;Area Artistica;EUROPA UE;Ungheria;M;5
2024-2025;Area Artistica;NON DEFINITO;_APOLIDE;M;1
2024-2025;Area Artistica;NORD AMERICA;Antigua e Barbuda;F;1
2024-2025;Area Artistica;NORD AMERICA;Belize;F;1
2024-2025;Area Artistica;NORD AMERICA;Canada;F;22
2024-2025;Area Artistica;NORD AMERICA;Canada;M;3
2024-2025;Area Artistica;NORD AMERICA;Costa Rica;F;7
2024-2025;Area Artistica;NORD AMERICA;Cuba;F;7
2024-2025;Area Artistica;NORD AMERICA;Cuba;M;2
2024-2025;Area Artistica;NORD AMERICA;Dominica;F;1
2024-2025;Area Artistica;NORD AMERICA;El Salvador;F;10
2024-2025;Area Artistica;NORD AMERICA;El Salvador;M;8
2024-2025;Area Artistica;NORD AMERICA;Guatemala;F;13
2024-2025;Area Artistica;NORD AMERICA;Guatemala;M;2
2024-2025;Area Artistica;NORD AMERICA;Honduras;M;2
2024-2025;Area Artistica;NORD AMERICA;Honduras;F;7
2024-2025;Area Artistica;NORD AMERICA;Messico;F;115
2024-2025;Area Artistica;NORD AMERICA;Messico;M;29
2024-2025;Area Artistica;NORD AMERICA;Nicaragua;F;2
2024-2025;Area Artistica;NORD AMERICA;Nicaragua;M;1
2024-2025;Area Artistica;NORD AMERICA;Panama;F;12
2024-2025;Area Artistica;NORD AMERICA;Panama;M;1
2024-2025;Area Artistica;NORD AMERICA;Repubblica Dominicana;M;12
2024-2025;Area Artistica;NORD AMERICA;Repubblica Dominicana;F;31
2024-2025;Area Artistica;NORD AMERICA;Saint Kitts e Nevis;F;1
2024-2025;Area Artistica;NORD AMERICA;Stati Uniti di America;F;102
2024-2025;Area Artistica;NORD AMERICA;Stati Uniti di America;M;17
2024-2025;Area Artistica;OCEANIA;Australia;F;6
2024-2025;Area Artistica;OCEANIA;Nuova Zelanda;M;1
2024-2025;Area Artistica;SUD AMERICA;Argentina;F;31
2024-2025;Area Artistica;SUD AMERICA;Argentina;M;13
2024-2025;Area Artistica;SUD AMERICA;Bolivia;F;17
2024-2025;Area Artistica;SUD AMERICA;Bolivia;M;4
2024-2025;Area Artistica;SUD AMERICA;Brasile;M;19
2024-2025;Area Artistica;SUD AMERICA;Brasile;F;119
2024-2025;Area Artistica;SUD AMERICA;Cile;F;15
2024-2025;Area Artistica;SUD AMERICA;Cile;M;7
2024-2025;Area Artistica;SUD AMERICA;Colombia;F;80
2024-2025;Area Artistica;SUD AMERICA;Colombia;M;25
2024-2025;Area Artistica;SUD AMERICA;Ecuador;F;35
2024-2025;Area Artistica;SUD AMERICA;Ecuador;M;11
2024-2025;Area Artistica;SUD AMERICA;Paraguay;F;6
2024-2025;Area Artistica;SUD AMERICA;Paraguay;M;2
2024-2025;Area Artistica;SUD AMERICA;Perù;F;82
2024-2025;Area Artistica;SUD AMERICA;Perù;M;22
2024-2025;Area Artistica;SUD AMERICA;Uruguay;F;3
2024-2025;Area Artistica;SUD AMERICA;Uruguay;M;3
2024-2025;Area Artistica;SUD AMERICA;Venezuela;F;23
2024-2025;Area Artistica;SUD AMERICA;Venezuela;M;6
2024-2025;Area Musicale/Coreutica;AFRICA;Algeria;M;3
2024-2025;Area Musicale/Coreutica;AFRICA;Congo;F;1
2024-2025;Area Musicale/Coreutica;AFRICA;Congo;M;1
2024-2025;Area Musicale/Coreutica;AFRICA;Costa d Avorio;M;1
2024-2025;Area Musicale/Coreutica;AFRICA;Egitto;M;1
2024-2025;Area Musicale/Coreutica;AFRICA;Etiopia;F;1
2024-2025;Area Musicale/Coreutica;AFRICA;Marocco;M;1
2024-2025;Area Musicale/Coreutica;AFRICA;Mozambico;M;3
2024-2025;Area Musicale/Coreutica;AFRICA;Mozambico;F;2
2024-2025;Area Musicale/Coreutica;AFRICA;Nigeria;M;1
2024-2025;Area Musicale/Coreutica;AFRICA;Tunisia;F;4
2024-2025;Area Musicale/Coreutica;AFRICA;Tunisia;M;6
2024-2025;Area Musicale/Coreutica;AFRICA;Uganda;M;1
2024-2025;Area Musicale/Coreutica;ASIA;Armenia;F;6
2024-2025;Area Musicale/Coreutica;ASIA;Armenia;M;1
2024-2025;Area Musicale/Coreutica;ASIA;Azerbaigian;F;4
2024-2025;Area Musicale/Coreutica;ASIA;Cambogia;F;1
2024-2025;Area Musicale/Coreutica;ASIA;Cina;F;1206
2024-2025;Area Musicale/Coreutica;ASIA;Cina;M;1194
2024-2025;Area Musicale/Coreutica;ASIA;Corea del Sud;F;114
2024-2025;Area Musicale/Coreutica;ASIA;Corea del Sud;M;55
2024-2025;Area Musicale/Coreutica;ASIA;Filippine;F;1
2024-2025;Area Musicale/Coreutica;ASIA;Georgia;M;7
2024-2025;Area Musicale/Coreutica;ASIA;Georgia;F;12
2024-2025;Area Musicale/Coreutica;ASIA;Giappone;F;59
2024-2025;Area Musicale/Coreutica;ASIA;Giappone;M;15
2024-2025;Area Musicale/Coreutica;ASIA;Hong Kong (Cina);F;1
2024-2025;Area Musicale/Coreutica;ASIA;Hong Kong (Cina);M;1
2024-2025;Area Musicale/Coreutica;ASIA;India;M;5
2024-2025;Area Musicale/Coreutica;ASIA;India;F;1
2024-2025;Area Musicale/Coreutica;ASIA;Indonesia;F;1
2024-2025;Area Musicale/Coreutica;ASIA;Iran;M;25
2024-2025;Area Musicale/Coreutica;ASIA;Iran;F;21
2024-2025;Area Musicale/Coreutica;ASIA;Israele;F;10
2024-2025;Area Musicale/Coreutica;ASIA;Israele;M;4
2024-2025;Area Musicale/Coreutica;ASIA;Kazakistan;F;20
2024-2025;Area Musicale/Coreutica;ASIA;Kazakistan;M;11
2024-2025;Area Musicale/Coreutica;ASIA;Kirghizistan;F;1
2024-2025;Area Musicale/Coreutica;ASIA;Kirghizistan;M;1
2024-2025;Area Musicale/Coreutica;ASIA;Libano;M;4
2024-2025;Area Musicale/Coreutica;ASIA;Malaysia;M;2
2024-2025;Area Musicale/Coreutica;ASIA;Mongolia;F;5
2024-2025;Area Musicale/Coreutica;ASIA;Mongolia;M;5
2024-2025;Area Musicale/Coreutica;ASIA;Nepal;M;1
2024-2025;Area Musicale/Coreutica;ASIA;Palestina;M;3
2024-2025;Area Musicale/Coreutica;ASIA;Sri Lanka;M;1
2024-2025;Area Musicale/Coreutica;ASIA;Taiwan;F;5
2024-2025;Area Musicale/Coreutica;ASIA;Taiwan;M;1
2024-2025;Area Musicale/Coreutica;ASIA;Vietnam;F;1
2024-2025;Area Musicale/Coreutica;ASIA;Vietnam;M;1
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Albania;F;26
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Albania;M;21
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Bielorussia;F;20
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Bielorussia;M;3
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Bosnia-Erzegovina;F;8
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Bosnia-Erzegovina;M;4
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Federazione Russa;F;81
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Federazione Russa;M;24
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Kosovo;F;4
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Kosovo;M;2
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Macedonia del Nord;F;12
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Macedonia del Nord;M;5
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Moldavia;M;7
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Moldavia;F;10
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Monaco;M;2
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Montenegro;F;9
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Montenegro;M;6
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Norvegia;F;3
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;San Marino;F;1
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;San Marino;M;8
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Serbia;F;22
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Serbia;M;8
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Serbia e Montenegro (ex Jugoslavia);F;2
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Serbia e Montenegro (ex Jugoslavia);M;4
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Svizzera;F;7
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Svizzera;M;9
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Turchia;F;25
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Turchia;M;14
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Ucraina;F;82
2024-2025;Area Musicale/Coreutica;EUROPA extra UE;Ucraina;M;34
2024-2025;Area Musicale/Coreutica;EUROPA UE;Austria;F;2
2024-2025;Area Musicale/Coreutica;EUROPA UE;Austria;M;5
2024-2025;Area Musicale/Coreutica;EUROPA UE;Belgio;M;1
2024-2025;Area Musicale/Coreutica;EUROPA UE;Belgio;F;4
2024-2025;Area Musicale/Coreutica;EUROPA UE;Bulgaria;M;6
2024-2025;Area Musicale/Coreutica;EUROPA UE;Bulgaria;F;9
2024-2025;Area Musicale/Coreutica;EUROPA UE;Cipro;F;2
2024-2025;Area Musicale/Coreutica;EUROPA UE;Cipro;M;1
2024-2025;Area Musicale/Coreutica;EUROPA UE;Croazia;F;15
2024-2025;Area Musicale/Coreutica;EUROPA UE;Croazia;M;20
2024-2025;Area Musicale/Coreutica;EUROPA UE;Danimarca;F;1
2024-2025;Area Musicale/Coreutica;EUROPA UE;Estonia;F;2
2024-2025;Area Musicale/Coreutica;EUROPA UE;Estonia;M;1
2024-2025;Area Musicale/Coreutica;EUROPA UE;Finlandia;M;1
2024-2025;Area Musicale/Coreutica;EUROPA UE;Finlandia;F;1
2024-2025;Area Musicale/Coreutica;EUROPA UE;Francia;F;16
2024-2025;Area Musicale/Coreutica;EUROPA UE;Francia;M;11
2024-2025;Area Musicale/Coreutica;EUROPA UE;Germania;F;19
2024-2025;Area Musicale/Coreutica;EUROPA UE;Germania;M;11
2024-2025;Area Musicale/Coreutica;EUROPA UE;Grecia;F;12
2024-2025;Area Musicale/Coreutica;EUROPA UE;Grecia;M;6
2024-2025;Area Musicale/Coreutica;EUROPA UE;Irlanda;F;2
2024-2025;Area Musicale/Coreutica;EUROPA UE;Irlanda;M;1
2024-2025;Area Musicale/Coreutica;EUROPA UE;Lettonia;F;1
2024-2025;Area Musicale/Coreutica;EUROPA UE;Lettonia;M;2
2024-2025;Area Musicale/Coreutica;EUROPA UE;Lituania;F;7
2024-2025;Area Musicale/Coreutica;EUROPA UE;Lituania;M;2
2024-2025;Area Musicale/Coreutica;EUROPA UE;Lussemburgo;F;2
2024-2025;Area Musicale/Coreutica;EUROPA UE;Malta;F;1
2024-2025;Area Musicale/Coreutica;EUROPA UE;Malta;M;1
2024-2025;Area Musicale/Coreutica;EUROPA UE;Paesi Bassi - Olanda;F;3
2024-2025;Area Musicale/Coreutica;EUROPA UE;Paesi Bassi - Olanda;M;2
2024-2025;Area Musicale/Coreutica;EUROPA UE;Polonia;F;17
2024-2025;Area Musicale/Coreutica;EUROPA UE;Polonia;M;6
2024-2025;Area Musicale/Coreutica;EUROPA UE;Portogallo;M;6
2024-2025;Area Musicale/Coreutica;EUROPA UE;Portogallo;F;10
2024-2025;Area Musicale/Coreutica;EUROPA UE;Regno Unito;M;2
2024-2025;Area Musicale/Coreutica;EUROPA UE;Regno Unito;F;3
2024-2025;Area Musicale/Coreutica;EUROPA UE;Repubblica Ceca;F;2
2024-2025;Area Musicale/Coreutica;EUROPA UE;Romania;F;32
2024-2025;Area Musicale/Coreutica;EUROPA UE;Romania;M;25
2024-2025;Area Musicale/Coreutica;EUROPA UE;Slovacchia;F;3
2024-2025;Area Musicale/Coreutica;EUROPA UE;Slovenia;M;16
2024-2025;Area Musicale/Coreutica;EUROPA UE;Slovenia;F;16
2024-2025;Area Musicale/Coreutica;EUROPA UE;Spagna;F;21
2024-2025;Area Musicale/Coreutica;EUROPA UE;Spagna;M;17
2024-2025;Area Musicale/Coreutica;EUROPA UE;Svezia;F;1
2024-2025;Area Musicale/Coreutica;EUROPA UE;Ungheria;F;10
2024-2025;Area Musicale/Coreutica;EUROPA UE;Ungheria;M;2
2024-2025;Area Musicale/Coreutica;NON DEFINITO;_APOLIDE;F;5
2024-2025;Area Musicale/Coreutica;NON DEFINITO;_APOLIDE;M;8
2024-2025;Area Musicale/Coreutica;NON DEFINITO;Stato non definito;F;1
2024-2025;Area Musicale/Coreutica;NORD AMERICA;Canada;M;1
2024-2025;Area Musicale/Coreutica;NORD AMERICA;Costa Rica;M;1
2024-2025;Area Musicale/Coreutica;NORD AMERICA;Cuba;F;1
2024-2025;Area Musicale/Coreutica;NORD AMERICA;Cuba;M;3
2024-2025;Area Musicale/Coreutica;NORD AMERICA;El Salvador;M;1
2024-2025;Area Musicale/Coreutica;NORD AMERICA;Guatemala;F;1
2024-2025;Area Musicale/Coreutica;NORD AMERICA;Messico;F;13
2024-2025;Area Musicale/Coreutica;NORD AMERICA;Messico;M;22
2024-2025;Area Musicale/Coreutica;NORD AMERICA;Panama;M;13
2024-2025;Area Musicale/Coreutica;NORD AMERICA;Repubblica Dominicana;M;1
2024-2025;Area Musicale/Coreutica;NORD AMERICA;Stati Uniti di America;F;8
2024-2025;Area Musicale/Coreutica;NORD AMERICA;Stati Uniti di America;M;11
2024-2025;Area Musicale/Coreutica;OCEANIA;Australia;F;1
2024-2025;Area Musicale/Coreutica;OCEANIA;Australia;M;1
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Argentina;F;4
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Argentina;M;7
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Bolivia;F;5
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Bolivia;M;4
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Brasile;F;11
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Brasile;M;21
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Cile;F;11
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Cile;M;10
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Colombia;F;5
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Colombia;M;5
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Ecuador;M;1
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Ecuador;F;1
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Paraguay;F;1
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Paraguay;M;2
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Perù;M;10
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Uruguay;M;2
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Venezuela;F;12
2024-2025;Area Musicale/Coreutica;SUD AMERICA;Venezuela;M;15
2023-2024;Area Artistica;AFRICA;Algeria;M;1
2023-2024;Area Artistica;AFRICA;Benin;F;1
2023-2024;Area Artistica;AFRICA;Burkina Faso;F;1
2023-2024;Area Artistica;AFRICA;Burkina Faso;M;1
2023-2024;Area Artistica;AFRICA;Burundi;M;1
2023-2024;Area Artistica;AFRICA;Camerun;M;3
2023-2024;Area Artistica;AFRICA;Camerun;F;1
2023-2024;Area Artistica;AFRICA;Congo;F;8
2023-2024;Area Artistica;AFRICA;Congo;M;3
2023-2024;Area Artistica;AFRICA;Costa d Avorio;F;2
2023-2024;Area Artistica;AFRICA;Costa d Avorio;M;1
2023-2024;Area Artistica;AFRICA;Egitto;F;21
2023-2024;Area Artistica;AFRICA;Egitto;M;21
2023-2024;Area Artistica;AFRICA;Etiopia;M;6
2023-2024;Area Artistica;AFRICA;Etiopia;F;4
2023-2024;Area Artistica;AFRICA;Gabon;F;1
