"path","exists_now","in_main","category"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__tracciato__traguardi-ms2025.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__tracciato__wle_genere_origine_qescs-ms2025.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__tracciato__wle_genere_origine_qescs-ms2025-2.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__traguardi-ms2025.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__traguardi-ms2025-2.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__wle_genere_origine_qescs_g02-g05-g10-ms2025.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__wle_genere_origine_qescs_g02-g05-g10-ms2025-2.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__livelli-completo_g8_g13-pop-7.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__livelli-completo_g8_g13-pop-8.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__tracciato__livelli-completo_g8_g13-pop.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__tracciato__livelli-completo_g8_g13-pop-2.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__tracciato__trend_traguardi_ms2025-dati-pop-g08-e-g13.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__tracciato__trend_traguardi_ms2025-dati-pop-g08-e-g13-2.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__tracciato__wle_medio-per-macrotipologia-dati-pop-g13-ms2025.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__tracciato__wle_medio-per-macrotipologia-dati-pop-g13-ms2025-2.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__tracciato_wle_genere_origine_qescs_g08-g13_ms2025.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__tracciato_wle_genere_origine_qescs_g08-g13_ms2025-2.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__trend_traguardi_ms2025-dati-pop-g08-e-g13.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__trend_traguardi_ms2025-dati-pop-g08-e-g13-2.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__wle_genere_origine_qescs_g08-g13_ms2025.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__wle_genere_origine_qescs_g08-g13_ms2025-2.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__wle_medio-per-macrotipologia-dati-pop-g13-ms2025.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-8-grado-13__wle_medio-per-macrotipologia-dati-pop-g13-ms2025-2.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/eccellenza-accademica-e-dispersione-scolastica-implicita-valori-percentuali__note_dispersione_e_eccellenti.csv","True","True","restored_also_in_main"
"local_data/INVALSI/eccellenza-accademica-e-dispersione-scolastica-implicita-valori-percentuali__report_generale_unito_dispersione_e_eccellenti_agg_2025.csv","True","True","restored_also_in_main"
"local_data/INVALSI/eccellenza-accademica-e-dispersione-scolastica-implicita-valori-percentuali__tracciato_report_generale_unito_dispersione_e_eccellenti_agg_25.csv","True","True","restored_also_in_main"
"local_data/INVALSI/invalsi_manifest.json","True","True","restored_also_in_main"
"local_data/INVALSI/punteggi-e-percentuale-di-studenti-nei-livelli-di-competenza-per-ripartizioni-territoriali-e-caratteristiche-di-contesto__note.csv","True","True","restored_also_in_main"
"local_data/INVALSI/punteggi-e-percentuale-di-studenti-nei-livelli-di-competenza-per-ripartizioni-territoriali-e-caratteristiche-di-contesto__report_generale_agg_2025.zip","True","True","restored_also_in_main"
"local_data/INVALSI/punteggi-e-percentuale-di-studenti-nei-livelli-di-competenza-per-ripartizioni-territoriali-e-caratteristiche-di-contesto__tracciato_report_generale_agg.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_diplomati_caratteristiche.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_diplomati_occupazione_retribuzione.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_early_school_leavers.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_employment_by_education.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_graduates_job_search.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_graduates_occupational_status.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_highschool_graduates_demographics.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_highschool_graduates_employment.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_highschool_graduates_job_search.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_household_spending_avg.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_household_spending_detail.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_household_spending_new.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_households_cannot_afford.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_households_financial_difficulty.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_households_heavy_burden.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_households_no_savings.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_labour_force.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_laureati_occupazione.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_manifest.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_neet.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_neet_giovani.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_neet_new.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_phd_occupational_status.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_phd_wages.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_poverta_relativa_incidenza.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_poverty_absolute.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_poverty_absolute_incidence.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_poverty_absolute_intensity.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_poverty_absolute_threshold.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_poverty_relative.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_poverty_relative_incidence.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_poverty_relative_intensity.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_poverty_relative_threshold.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_poverty_social_exclusion_risk.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_schools_infanzia.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_schools_primaria.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_schools_sec1.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_schools_sec2.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_scuola_infanzia.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_scuola_primaria.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_scuola_secondaria_1grado.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_scuola_secondaria_2grado.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_tasso_disoccupazione.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_tasso_occupazione.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_unemployment_rate.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_universita_conto_economico.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_universita_stato_patrimoniale.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_university_balance_sheet.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_university_graduates.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_university_income_statement.csv","True","True","restored_also_in_main"
"local_data/ISTAT/istat_university_indicators.csv","True","True","restored_also_in_main"
"local_data/oecd/oecd_teacher_experience.csv","True","True","restored_also_in_main"
"local_data/processed/siope_budget_category_breakdown.csv","True","True","restored_also_in_main"
"local_data/processed/siope_expenditure_by_region_year.csv","True","True","restored_also_in_main"
"local_data/processed/siope_monthly_expenditure_trend.csv","True","True","restored_also_in_main"
"local_data/processed/siope_school_count_by_region_year.csv","True","True","restored_also_in_main"
"local_data/processed/siope_school_expenditure_summary.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_anagrafiche_scuole.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2014.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2015.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2016.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2017.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2018.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2019.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2020.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2021.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2022.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2023.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2024.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2025.csv","True","True","restored_also_in_main"
"local_data/SIOPE/siope_uscite_2026.csv","True","True","restored_also_in_main"
"local_data/worldbank/wb_suicide_mortality.csv","True","True","restored_also_in_main"
"local_data/worldbank/wb_teachers_trained_primary.csv","True","True","restored_also_in_main"
"local_data/worldbank/wb_teachers_trained_secondary.csv","True","True","restored_also_in_main"
"local_data/processed/sample_education.csv","True","False","restored_not_in_main"
"local_data/processed/siope_school_expenditure_summary.sample.csv","True","False","restored_not_in_main"
"local_data/processed/universal_data_report.html","True","False","restored_not_in_main"
