ANNO_ACCADEMICO;COD_Ateneo;NOME_ATENEO;CODICE_CLASSE;DESCRIZIONE_CLASSE;CONTRIBUZIONE_LAUREA;CONTRIBUZIONE_DOTTORATO;CONTRIBUZIONE_SPECIALIZZAZIONE;CONTRIBUZIONE_MASTER
2023-2024;00102;Torino - Politecnico;17 ;da 4.000,01 a 4.500,00;5;0;0;0
2023-2024;00102;Torino - Politecnico;18 ;da 4.500,01 a 5.000,00;30;0;0;17
2023-2024;00102;Torino - Politecnico;19 ;da 5.000,01 a 6.000,00;2;0;0;1
2023-2024;00102;Torino - Politecnico;20 ;da 6.000,01 a 8.000,00;4;0;0;0
2023-2024;00102;Torino - Politecnico;21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;00102;Torino - Politecnico;21b;oltre 10.000,00;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";00 ;contribuzione non prevista (esclusi esoneri);0;1;1;1
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";00a;contribuzione finanziata da enti esterni;4;0;0;46
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";01 ;da 0,01 a 100,00 (esclusi esoneri);186;1;0;2
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02 ;da 100,01 a 200,00;28;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";03 ;da 200,01 a 300,00;209;213;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";04 ;da 300,01 a 400,00;715;0;0;10
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";05 ;da 400,01 a 500,00;45;0;0;2
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";06 ;da 500,01 a 600,00;520;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";07 ;da 600,01 a 700,00;88;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";08 ;da 700,01 a 800,00;149;0;2;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";09 ;da 800,01 a 900,00;307;0;0;4
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";10 ;da 900,01 a 1.000,00;446;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";11a;da 1.000,01 a 1.100,00;470;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";11b;da 1.100,01 a 1.200,00;375;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";11c;da 1.200,01 a 1.300,00;266;0;23;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";11d;da 1.300,01 a 1.400,00;187;0;0;19
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";11e;da 1.400,01 a 1.500,00;107;0;612;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";12a;da 1.500,01 a 1.600,00;141;0;1;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";12b;da 1.600,01 a 1.700,00;81;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";12c;da 1.700,01 a 1.800,00;109;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";12d;da 1.800,01 a 1.900,00;63;0;0;12
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";12e;da 1.900,01 a 2.000,00;48;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";13 ;da 2.000,01 a 2.500,00;2643;0;2;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";14 ;da 2.500,01 a 3.000,00;1476;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";15 ;da 3.000,01 a 3.500,00;1;0;0;6
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";16 ;da 3.500,01 a 4.000,00;1;0;0;2
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";17 ;da 4.000,01 a 4.500,00;2;0;0;26
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";18 ;da 4.500,01 a 5.000,00;0;0;0;25
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";19 ;da 5.000,01 a 6.000,00;0;0;0;1
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";20 ;da 6.000,01 a 8.000,00;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";21a;da 8.000,01 a 10.000,00;0;0;0;30
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";21b;oltre 10.000,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;00 ;contribuzione non prevista (esclusi esoneri);0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;01 ;da 0,01 a 100,00 (esclusi esoneri);0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;02 ;da 100,01 a 200,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;03 ;da 200,01 a 300,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;04 ;da 300,01 a 400,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;05 ;da 400,01 a 500,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;06 ;da 500,01 a 600,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;07 ;da 600,01 a 700,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;08 ;da 700,01 a 800,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;09 ;da 800,01 a 900,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;10 ;da 900,01 a 1.000,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;11a;da 1.000,01 a 1.100,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;11b;da 1.100,01 a 1.200,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;11c;da 1.200,01 a 1.300,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;11d;da 1.300,01 a 1.400,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;11e;da 1.400,01 a 1.500,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;12a;da 1.500,01 a 1.600,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;12b;da 1.600,01 a 1.700,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;12c;da 1.700,01 a 1.800,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;12d;da 1.800,01 a 1.900,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;12e;da 1.900,01 a 2.000,00;19;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;13 ;da 2.000,01 a 2.500,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;14 ;da 2.500,01 a 3.000,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;15 ;da 3.000,01 a 3.500,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;16 ;da 3.500,01 a 4.000,00;1;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;17 ;da 4.000,01 a 4.500,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;18 ;da 4.500,01 a 5.000,00;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;19 ;da 5.000,01 a 6.000,00;6;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;20 ;da 6.000,01 a 8.000,00;8;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;21a;da 8.000,01 a 10.000,00;25;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;21b;oltre 10.000,00;208;0;0;94
2023-2024;00701;Aosta - Università degli studi;00 ;contribuzione non prevista (esclusi esoneri);0;0;0;0
2023-2024;00701;Aosta - Università degli studi;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;01 ;da 0,01 a 100,00 (esclusi esoneri);0;0;0;0
2023-2024;00701;Aosta - Università degli studi;02 ;da 100,01 a 200,00;1;0;0;0
2023-2024;00701;Aosta - Università degli studi;03 ;da 200,01 a 300,00;20;0;0;0
2023-2024;00701;Aosta - Università degli studi;04 ;da 300,01 a 400,00;1;0;0;0
2023-2024;00701;Aosta - Università degli studi;05 ;da 400,01 a 500,00;3;0;0;0
2023-2024;00701;Aosta - Università degli studi;06 ;da 500,01 a 600,00;8;0;0;0
2023-2024;00701;Aosta - Università degli studi;07 ;da 600,01 a 700,00;9;0;0;0
2023-2024;00701;Aosta - Università degli studi;08 ;da 700,01 a 800,00;5;0;0;0
2023-2024;00701;Aosta - Università degli studi;09 ;da 800,01 a 900,00;47;0;0;0
2023-2024;00701;Aosta - Università degli studi;10 ;da 900,01 a 1.000,00;15;0;0;0
2023-2024;00701;Aosta - Università degli studi;11a;da 1.000,01 a 1.100,00;41;0;0;0
2023-2024;00701;Aosta - Università degli studi;11b;da 1.100,01 a 1.200,00;4;0;0;0
2023-2024;00701;Aosta - Università degli studi;11c;da 1.200,01 a 1.300,00;66;0;0;0
2023-2024;00701;Aosta - Università degli studi;11d;da 1.300,01 a 1.400,00;63;0;0;0
2023-2024;00701;Aosta - Università degli studi;11e;da 1.400,01 a 1.500,00;285;0;0;0
2023-2024;00701;Aosta - Università degli studi;12a;da 1.500,01 a 1.600,00;8;0;0;0
2023-2024;00701;Aosta - Università degli studi;12b;da 1.600,01 a 1.700,00;28;0;0;0
2023-2024;00701;Aosta - Università degli studi;12c;da 1.700,01 a 1.800,00;72;0;0;0
2023-2024;00701;Aosta - Università degli studi;12d;da 1.800,01 a 1.900,00;9;0;0;0
2023-2024;00701;Aosta - Università degli studi;12e;da 1.900,01 a 2.000,00;51;0;0;0
2023-2024;00701;Aosta - Università degli studi;13 ;da 2.000,01 a 2.500,00;13;0;0;0
2023-2024;00701;Aosta - Università degli studi;14 ;da 2.500,01 a 3.000,00;5;0;0;0
2023-2024;00701;Aosta - Università degli studi;15 ;da 3.000,01 a 3.500,00;7;0;0;0
2023-2024;00701;Aosta - Università degli studi;16 ;da 3.500,01 a 4.000,00;22;0;0;0
2023-2024;00701;Aosta - Università degli studi;17 ;da 4.000,01 a 4.500,00;3;0;0;0
2023-2024;00701;Aosta - Università degli studi;18 ;da 4.500,01 a 5.000,00;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;19 ;da 5.000,01 a 6.000,00;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;20 ;da 6.000,01 a 8.000,00;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;21b;oltre 10.000,00;0;0;0;0
2023-2024;01001;Genova - Università degli studi;00 ;contribuzione non prevista (esclusi esoneri);0;0;0;0
2023-2024;01001;Genova - Università degli studi;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;01001;Genova - Università degli studi;01 ;da 0,01 a 100,00 (esclusi esoneri);10;0;0;0
2023-2024;01001;Genova - Università degli studi;02 ;da 100,01 a 200,00;514;0;0;0
2023-2024;01001;Genova - Università degli studi;03 ;da 200,01 a 300,00;316;0;0;35
2023-2024;01001;Genova - Università degli studi;04 ;da 300,01 a 400,00;756;0;0;0
2023-2024;01001;Genova - Università degli studi;05 ;da 400,01 a 500,00;1452;0;0;0
2023-2024;01001;Genova - Università degli studi;06 ;da 500,01 a 600,00;1054;0;0;0
2023-2024;01001;Genova - Università degli studi;07 ;da 600,01 a 700,00;706;0;0;0
2023-2024;01001;Genova - Università degli studi;08 ;da 700,01 a 800,00;425;0;0;0
2023-2024;01001;Genova - Università degli studi;09 ;da 800,01 a 900,00;655;0;177;0
2023-2024;01001;Genova - Università degli studi;10 ;da 900,01 a 1.000,00;693;0;333;0
2023-2024;01001;Genova - Università degli studi;11a;da 1.000,01 a 1.100,00;754;0;668;0
2023-2024;01001;Genova - Università degli studi;11b;da 1.100,01 a 1.200,00;744;0;108;0
2023-2024;01001;Genova - Università degli studi;11c;da 1.200,01 a 1.300,00;695;0;0;17
2023-2024;01001;Genova - Università degli studi;11d;da 1.300,01 a 1.400,00;809;0;0;0
2023-2024;01001;Genova - Università degli studi;11e;da 1.400,01 a 1.500,00;775;0;0;5
2023-2024;01001;Genova - Università degli studi;12a;da 1.500,01 a 1.600,00;486;0;0;0
2023-2024;01001;Genova - Università degli studi;12b;da 1.600,01 a 1.700,00;448;0;0;0
2023-2024;01001;Genova - Università degli studi;12c;da 1.700,01 a 1.800,00;414;0;0;11
2023-2024;01001;Genova - Università degli studi;12d;da 1.800,01 a 1.900,00;374;0;0;1
2023-2024;01001;Genova - Università degli studi;12e;da 1.900,01 a 2.000,00;327;0;0;23
2023-2024;01001;Genova - Università degli studi;13 ;da 2.000,01 a 2.500,00;1580;0;15;45
2023-2024;01001;Genova - Università degli studi;14 ;da 2.500,01 a 3.000,00;7808;0;0;23
2023-2024;01001;Genova - Università degli studi;15 ;da 3.000,01 a 3.500,00;50;0;0;65
2023-2024;01001;Genova - Università degli studi;16 ;da 3.500,01 a 4.000,00;312;0;0;13
2023-2024;01001;Genova - Università degli studi;17 ;da 4.000,01 a 4.500,00;0;0;0;0
2023-2024;01001;Genova - Università degli studi;18 ;da 4.500,01 a 5.000,00;0;0;0;3
2023-2024;01001;Genova - Università degli studi;19 ;da 5.000,01 a 6.000,00;0;0;0;141
2023-2024;01001;Genova - Università degli studi;20 ;da 6.000,01 a 8.000,00;0;0;0;0
2023-2024;01001;Genova - Università degli studi;21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;01001;Genova - Università degli studi;21b;oltre 10.000,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";00 ;contribuzione non prevista (esclusi esoneri);0;9;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";01 ;da 0,01 a 100,00 (esclusi esoneri);0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";02 ;da 100,01 a 200,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";03 ;da 200,01 a 300,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";04 ;da 300,01 a 400,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";05 ;da 400,01 a 500,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";06 ;da 500,01 a 600,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";07 ;da 600,01 a 700,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";08 ;da 700,01 a 800,00;2;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";09 ;da 800,01 a 900,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";10 ;da 900,01 a 1.000,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";11a;da 1.000,01 a 1.100,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";11b;da 1.100,01 a 1.200,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";11c;da 1.200,01 a 1.300,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";11d;da 1.300,01 a 1.400,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";11e;da 1.400,01 a 1.500,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";12a;da 1.500,01 a 1.600,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";12b;da 1.600,01 a 1.700,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";12c;da 1.700,01 a 1.800,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";12d;da 1.800,01 a 1.900,00;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";12e;da 1.900,01 a 2.000,00;0;0;0;36
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";13 ;da 2.000,01 a 2.500,00;0;0;0;29
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";14 ;da 2.500,01 a 3.000,00;1;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";15 ;da 3.000,01 a 3.500,00;91;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";16 ;da 3.500,01 a 4.000,00;55;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";17 ;da 4.000,01 a 4.500,00;21;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";18 ;da 4.500,01 a 5.000,00;14;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";19 ;da 5.000,01 a 6.000,00;56;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";20 ;da 6.000,01 a 8.000,00;2093;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";21a;da 8.000,01 a 10.000,00;2;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";21b;oltre 10.000,00;0;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;00 ;contribuzione non prevista (esclusi esoneri);0;97;4;12
2023-2024;01202;Varese - Università dell' Insubria;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;01 ;da 0,01 a 100,00 (esclusi esoneri);220;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;02 ;da 100,01 a 200,00;692;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;03 ;da 200,01 a 300,00;184;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;04 ;da 300,01 a 400,00;121;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;05 ;da 400,01 a 500,00;126;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;06 ;da 500,01 a 600,00;115;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;07 ;da 600,01 a 700,00;135;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;08 ;da 700,01 a 800,00;116;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;09 ;da 800,01 a 900,00;103;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;10 ;da 900,01 a 1.000,00;142;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;11a;da 1.000,01 a 1.100,00;88;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;11b;da 1.100,01 a 1.200,00;106;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;11c;da 1.200,01 a 1.300,00;102;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;11d;da 1.300,01 a 1.400,00;106;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;11e;da 1.400,01 a 1.500,00;105;0;0;12
2023-2024;01202;Varese - Università dell' Insubria;12a;da 1.500,01 a 1.600,00;137;0;76;0
2023-2024;01202;Varese - Università dell' Insubria;12b;da 1.600,01 a 1.700,00;150;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;12c;da 1.700,01 a 1.800,00;132;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;12d;da 1.800,01 a 1.900,00;124;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;12e;da 1.900,01 a 2.000,00;123;0;536;0
2023-2024;01202;Varese - Università dell' Insubria;13 ;da 2.000,01 a 2.500,00;565;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;14 ;da 2.500,01 a 3.000,00;495;0;2;6
2023-2024;01202;Varese - Università dell' Insubria;15 ;da 3.000,01 a 3.500,00;1578;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;16 ;da 3.500,01 a 4.000,00;1544;0;0;12
2023-2024;01202;Varese - Università dell' Insubria;17 ;da 4.000,01 a 4.500,00;30;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;18 ;da 4.500,01 a 5.000,00;19;0;0;10
2023-2024;01202;Varese - Università dell' Insubria;19 ;da 5.000,01 a 6.000,00;339;0;0;2
2023-2024;01202;Varese - Università dell' Insubria;20 ;da 6.000,01 a 8.000,00;0;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;21b;oltre 10.000,00;0;0;0;0
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";00 ;contribuzione non prevista (esclusi esoneri);0;2;0;835
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";00a;contribuzione finanziata da enti esterni;0;0;0;0
