ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ESONERO_TOTALE;DESCRIZIONE_ESONERO_TOTALE;ESONERO_TOTALE_LAUREA;ESONERO_TOTALE_DOTTORATO;ESONERO_TOTALE_SPECIALIZZAZIONE;ESONERO_TOTALE_MASTER
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";15 ;Altre tipologie non comprese nelle precedenti voci;5;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);N;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;18;;
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;1;;
2023-2024;01202;Varese - Università dell' Insubria;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);105;0;0;
2023-2024;01202;Varese - Università dell' Insubria;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01202;Varese - Università dell' Insubria;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);139;N;N;
2023-2024;01202;Varese - Università dell' Insubria;15 ;Altre tipologie non comprese nelle precedenti voci;178;0;0;14
2023-2024;01202;Varese - Università dell' Insubria;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;283;;;
2023-2024;01202;Varese - Università dell' Insubria;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;01202;Varese - Università dell' Insubria;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);1871;;;
2023-2024;01202;Varese - Università dell' Insubria;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;127;;
2023-2024;01202;Varese - Università dell' Insubria;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;24;;
2023-2024;01202;Varese - Università dell' Insubria;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;24;;;
2023-2024;01202;Varese - Università dell' Insubria;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;01202;Varese - Università dell' Insubria;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);393;;;
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);496;0;0;
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";15 ;Altre tipologie non comprese nelle precedenti voci;10100;0;0;179
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;01501;Milano - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);1166;0;5;
2023-2024;01501;Milano - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01501;Milano - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);508;0;17;
2023-2024;01501;Milano - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;3881;9;0;9
2023-2024;01501;Milano - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;3093;;;
2023-2024;01501;Milano - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;01501;Milano - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);8307;;;
2023-2024;01501;Milano - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;7
2023-2024;01501;Milano - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;1315;;
2023-2024;01501;Milano - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;118;;
2023-2024;01501;Milano - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;318;;;
2023-2024;01501;Milano - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;01501;Milano - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1770;;;
2023-2024;01502;Milano - Politecnico;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);3414;1;0;
2023-2024;01502;Milano - Politecnico;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);1;0;0;
2023-2024;01502;Milano - Politecnico;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);182;0;0;
2023-2024;01502;Milano - Politecnico;15 ;Altre tipologie non comprese nelle precedenti voci;1116;900;0;0
2023-2024;01502;Milano - Politecnico;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;1725;;;
2023-2024;01502;Milano - Politecnico;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;1;;;
2023-2024;01502;Milano - Politecnico;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);3380;;;
2023-2024;01502;Milano - Politecnico;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01502;Milano - Politecnico;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;1031;;
2023-2024;01502;Milano - Politecnico;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;239;;
2023-2024;01502;Milano - Politecnico;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;519;;;
2023-2024;01502;Milano - Politecnico;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;01502;Milano - Politecnico;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);0;;;
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);961;2;0;
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);24;0;0;
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);62;0;0;
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";15 ;Altre tipologie non comprese nelle precedenti voci;890;5;0;24
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;170;;
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);3047;2;6;
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);802;0;0;
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";15 ;Altre tipologie non comprese nelle precedenti voci;13;4;23;115
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);494;0;0;
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);114;0;0;
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);110;0;0;
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);15 ;Altre tipologie non comprese nelle precedenti voci;35;1;0;0
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;51;;
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;1;;
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);168;0;0;
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);57;0;4;
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;15 ;Altre tipologie non comprese nelle precedenti voci;48;3;0;0
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);10;0;N;0
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;01509;Milano-Bicocca - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);239;3;1;
2023-2024;01509;Milano-Bicocca - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01509;Milano-Bicocca - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);300;0;N;
2023-2024;01509;Milano-Bicocca - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;103;702;0;29
2023-2024;01509;Milano-Bicocca - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;2737;;;
2023-2024;01509;Milano-Bicocca - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;01509;Milano-Bicocca - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);4885;;;
2023-2024;01509;Milano-Bicocca - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);6;0;0;0
2023-2024;01509;Milano-Bicocca - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;01509;Milano-Bicocca - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;01509;Milano-Bicocca - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;313;;;
2023-2024;01509;Milano-Bicocca - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;01509;Milano-Bicocca - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1169;;;
2023-2024;01510;Rozzano (MI) - Humanitas University;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);19;0;0;
2023-2024;01510;Rozzano (MI) - Humanitas University;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01510;Rozzano (MI) - Humanitas University;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);12;0;N;
2023-2024;01510;Rozzano (MI) - Humanitas University;15 ;Altre tipologie non comprese nelle precedenti voci;56;1;0;17
2023-2024;01510;Rozzano (MI) - Humanitas University;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);6;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;01510;Rozzano (MI) - Humanitas University;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;01601;Bergamo - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);276;0;0;
2023-2024;01601;Bergamo - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01601;Bergamo - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);192;0;N;
2023-2024;01601;Bergamo - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;1197;0;0;2
2023-2024;01601;Bergamo - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;913;;;
2023-2024;01601;Bergamo - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;2;;;
2023-2024;01601;Bergamo - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);3442;;;
2023-2024;01601;Bergamo - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01601;Bergamo - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;125;;
2023-2024;01601;Bergamo - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;20;;
2023-2024;01601;Bergamo - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;97;;;
2023-2024;01601;Bergamo - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
