ANNO_SOLARE;COD_Ateneo;NOME_ATENEO;CODICE_GETTITO;DESCRIZIONE_GETTITO;CONTO_ECONOMICO
2023;01001;Genova - Università degli studi;04b;Gettito relativo a corsi di perfezionamento;239486
2023;01001;Genova - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);5192973,6
2023;01001;Genova - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;699833,61
2023;01001;Genova - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;804416,8
2023;01001;Genova - Università degli studi;08 ;Altro da studenti, non costituente gettito;850720
2023;01201;"Castellanza - Università ""Carlo Cattaneo""";01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;17347072
2023;01201;"Castellanza - Università ""Carlo Cattaneo""";02 ;Gettito relativo a corsi di dottorato;0
2023;01201;"Castellanza - Università ""Carlo Cattaneo""";03 ;Gettito relativo a corsi di specializzazione;0
2023;01201;"Castellanza - Università ""Carlo Cattaneo""";040;Gettito relativo a corsi di master di primo e secondo livello;186215
2023;01201;"Castellanza - Università ""Carlo Cattaneo""";041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;01201;"Castellanza - Università ""Carlo Cattaneo""";04a;Gettito relativo ad altri corsi;88526
2023;01201;"Castellanza - Università ""Carlo Cattaneo""";04b;Gettito relativo a corsi di perfezionamento;0
2023;01201;"Castellanza - Università ""Carlo Cattaneo""";05 ;Tassa regionale per il DSU (se riscossa da università);0
2023;01201;"Castellanza - Università ""Carlo Cattaneo""";06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;19466
2023;01201;"Castellanza - Università ""Carlo Cattaneo""";07 ;Altre entrate non necessarie per l'iscrizione;331962
2023;01201;"Castellanza - Università ""Carlo Cattaneo""";08 ;Altro da studenti, non costituente gettito;52704
2023;01202;Varese - Università dell' Insubria;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;18289945,12
2023;01202;Varese - Università dell' Insubria;02 ;Gettito relativo a corsi di dottorato;0
2023;01202;Varese - Università dell' Insubria;03 ;Gettito relativo a corsi di specializzazione;1244656
2023;01202;Varese - Università dell' Insubria;040;Gettito relativo a corsi di master di primo e secondo livello;220099,97
2023;01202;Varese - Università dell' Insubria;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;100
2023;01202;Varese - Università dell' Insubria;04a;Gettito relativo ad altri corsi;37661,22
2023;01202;Varese - Università dell' Insubria;04b;Gettito relativo a corsi di perfezionamento;3859,72
2023;01202;Varese - Università dell' Insubria;05 ;Tassa regionale per il DSU (se riscossa da università);1738520
2023;01202;Varese - Università dell' Insubria;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;76005,54
2023;01202;Varese - Università dell' Insubria;07 ;Altre entrate non necessarie per l'iscrizione;401798,44
2023;01202;Varese - Università dell' Insubria;08 ;Altro da studenti, non costituente gettito;402734
2023;01301;"Novedrate (CO) - Università telematica ""e-Campus""";01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;182730291
2023;01301;"Novedrate (CO) - Università telematica ""e-Campus""";02 ;Gettito relativo a corsi di dottorato;118715
2023;01301;"Novedrate (CO) - Università telematica ""e-Campus""";03 ;Gettito relativo a corsi di specializzazione;1489969
2023;01301;"Novedrate (CO) - Università telematica ""e-Campus""";040;Gettito relativo a corsi di master di primo e secondo livello;18811165
2023;01301;"Novedrate (CO) - Università telematica ""e-Campus""";041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;01301;"Novedrate (CO) - Università telematica ""e-Campus""";04a;Gettito relativo ad altri corsi;67435
2023;01301;"Novedrate (CO) - Università telematica ""e-Campus""";04b;Gettito relativo a corsi di perfezionamento;25779427
2023;01301;"Novedrate (CO) - Università telematica ""e-Campus""";05 ;Tassa regionale per il DSU (se riscossa da università);0
2023;01301;"Novedrate (CO) - Università telematica ""e-Campus""";06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;0
2023;01301;"Novedrate (CO) - Università telematica ""e-Campus""";07 ;Altre entrate non necessarie per l'iscrizione;15988169
2023;01301;"Novedrate (CO) - Università telematica ""e-Campus""";08 ;Altro da studenti, non costituente gettito;0
2023;01501;Milano - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;74684777,88
2023;01501;Milano - Università degli studi;02 ;Gettito relativo a corsi di dottorato;0
2023;01501;Milano - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;7697035,29
2023;01501;Milano - Università degli studi;040;Gettito relativo a corsi di master di primo e secondo livello;1662812,53
2023;01501;Milano - Università degli studi;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;01501;Milano - Università degli studi;04a;Gettito relativo ad altri corsi;367785,56
2023;01501;Milano - Università degli studi;04b;Gettito relativo a corsi di perfezionamento;917831,64
2023;01501;Milano - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);8873760
2023;01501;Milano - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;2305640
2023;01501;Milano - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;1841100,21
2023;01501;Milano - Università degli studi;08 ;Altro da studenti, non costituente gettito;1327808
2023;01502;Milano - Politecnico;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;87297261,07
2023;01502;Milano - Politecnico;02 ;Gettito relativo a corsi di dottorato;2000
2023;01502;Milano - Politecnico;03 ;Gettito relativo a corsi di specializzazione;0
2023;01502;Milano - Politecnico;040;Gettito relativo a corsi di master di primo e secondo livello;3733680,7
2023;01502;Milano - Politecnico;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;01502;Milano - Politecnico;04a;Gettito relativo ad altri corsi;0
2023;01502;Milano - Politecnico;04b;Gettito relativo a corsi di perfezionamento;0
2023;01502;Milano - Politecnico;05 ;Tassa regionale per il DSU (se riscossa da università);7287840
2023;01502;Milano - Politecnico;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;0
2023;01502;Milano - Politecnico;07 ;Altre entrate non necessarie per l'iscrizione;108896,66
2023;01502;Milano - Politecnico;08 ;Altro da studenti, non costituente gettito;0
2023;01503;"Milano - Università commerciale ""Luigi Bocconi""";01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;151982282
2023;01503;"Milano - Università commerciale ""Luigi Bocconi""";02 ;Gettito relativo a corsi di dottorato;63001
2023;01503;"Milano - Università commerciale ""Luigi Bocconi""";03 ;Gettito relativo a corsi di specializzazione;178957
2023;01503;"Milano - Università commerciale ""Luigi Bocconi""";040;Gettito relativo a corsi di master di primo e secondo livello;14952705
2023;01503;"Milano - Università commerciale ""Luigi Bocconi""";041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;01503;"Milano - Università commerciale ""Luigi Bocconi""";04a;Gettito relativo ad altri corsi;33699988
2023;01503;"Milano - Università commerciale ""Luigi Bocconi""";04b;Gettito relativo a corsi di perfezionamento;19399009
2023;01503;"Milano - Università commerciale ""Luigi Bocconi""";05 ;Tassa regionale per il DSU (se riscossa da università);1934380
2023;01503;"Milano - Università commerciale ""Luigi Bocconi""";06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;1421521
2023;01503;"Milano - Università commerciale ""Luigi Bocconi""";07 ;Altre entrate non necessarie per l'iscrizione;5540586
2023;01503;"Milano - Università commerciale ""Luigi Bocconi""";08 ;Altro da studenti, non costituente gettito;160112
2023;01504;"Milano - Università Cattolica del ""Sacro Cuore""";01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;250335458
2023;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02 ;Gettito relativo a corsi di dottorato;920495
2023;01504;"Milano - Università Cattolica del ""Sacro Cuore""";03 ;Gettito relativo a corsi di specializzazione;7596655
2023;01504;"Milano - Università Cattolica del ""Sacro Cuore""";040;Gettito relativo a corsi di master di primo e secondo livello;16667424
2023;01504;"Milano - Università Cattolica del ""Sacro Cuore""";041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;6750
2023;01504;"Milano - Università Cattolica del ""Sacro Cuore""";04a;Gettito relativo ad altri corsi;14641231
2023;01504;"Milano - Università Cattolica del ""Sacro Cuore""";04b;Gettito relativo a corsi di perfezionamento;580552
2023;01504;"Milano - Università Cattolica del ""Sacro Cuore""";05 ;Tassa regionale per il DSU (se riscossa da università);5687129
2023;01504;"Milano - Università Cattolica del ""Sacro Cuore""";06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;3436229
2023;01504;"Milano - Università Cattolica del ""Sacro Cuore""";07 ;Altre entrate non necessarie per l'iscrizione;4658365
2023;01504;"Milano - Università Cattolica del ""Sacro Cuore""";08 ;Altro da studenti, non costituente gettito;0
2023;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;48967136,24
2023;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02 ;Gettito relativo a corsi di dottorato;19042,5
2023;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);03 ;Gettito relativo a corsi di specializzazione;0
2023;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);040;Gettito relativo a corsi di master di primo e secondo livello;3590031,52
2023;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);04a;Gettito relativo ad altri corsi;22656
2023;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);04b;Gettito relativo a corsi di perfezionamento;1933522,31
2023;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);05 ;Tassa regionale per il DSU (se riscossa da università);1394668,32
2023;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;5021,52
2023;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);07 ;Altre entrate non necessarie per l'iscrizione;733230,5
2023;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);08 ;Altro da studenti, non costituente gettito;0
2023;01508;Milano - Università Vita-Salute San Raffaele;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;61118750
2023;01508;Milano - Università Vita-Salute San Raffaele;02 ;Gettito relativo a corsi di dottorato;223368
2023;01508;Milano - Università Vita-Salute San Raffaele;03 ;Gettito relativo a corsi di specializzazione;3093063
2023;01508;Milano - Università Vita-Salute San Raffaele;040;Gettito relativo a corsi di master di primo e secondo livello;772147
2023;01508;Milano - Università Vita-Salute San Raffaele;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;01508;Milano - Università Vita-Salute San Raffaele;04a;Gettito relativo ad altri corsi;1501
2023;01508;Milano - Università Vita-Salute San Raffaele;04b;Gettito relativo a corsi di perfezionamento;0
2023;01508;Milano - Università Vita-Salute San Raffaele;05 ;Tassa regionale per il DSU (se riscossa da università);913220
2023;01508;Milano - Università Vita-Salute San Raffaele;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;1710228
2023;01508;Milano - Università Vita-Salute San Raffaele;07 ;Altre entrate non necessarie per l'iscrizione;620737
2023;01508;Milano - Università Vita-Salute San Raffaele;08 ;Altro da studenti, non costituente gettito;0
2023;01509;Milano-Bicocca - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;41494059,39
2023;01509;Milano-Bicocca - Università degli studi;02 ;Gettito relativo a corsi di dottorato;123248,09
2023;01509;Milano-Bicocca - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;2489642,25
2023;01509;Milano-Bicocca - Università degli studi;040;Gettito relativo a corsi di master di primo e secondo livello;2080558,76
2023;01509;Milano-Bicocca - Università degli studi;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;1602886,16
2023;01509;Milano-Bicocca - Università degli studi;04a;Gettito relativo ad altri corsi;325010,38
2023;01509;Milano-Bicocca - Università degli studi;04b;Gettito relativo a corsi di perfezionamento;167097,96
2023;01509;Milano-Bicocca - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);5456500
2023;01509;Milano-Bicocca - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;84614,29
2023;01509;Milano-Bicocca - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;721863,54
2023;01509;Milano-Bicocca - Università degli studi;08 ;Altro da studenti, non costituente gettito;29450,52
2023;01510;Rozzano (MI) - Humanitas University;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;22702039,95
2023;01510;Rozzano (MI) - Humanitas University;02 ;Gettito relativo a corsi di dottorato;8179,66
2023;01510;Rozzano (MI) - Humanitas University;03 ;Gettito relativo a corsi di specializzazione;1120652,73
2023;01510;Rozzano (MI) - Humanitas University;040;Gettito relativo a corsi di master di primo e secondo livello;51930,12
2023;01510;Rozzano (MI) - Humanitas University;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;01510;Rozzano (MI) - Humanitas University;04a;Gettito relativo ad altri corsi;234729,17
2023;01510;Rozzano (MI) - Humanitas University;04b;Gettito relativo a corsi di perfezionamento;0
2023;01510;Rozzano (MI) - Humanitas University;05 ;Tassa regionale per il DSU (se riscossa da università);321020
2023;01510;Rozzano (MI) - Humanitas University;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;737560
2023;01510;Rozzano (MI) - Humanitas University;07 ;Altre entrate non necessarie per l'iscrizione;12083,61
2023;01510;Rozzano (MI) - Humanitas University;08 ;Altro da studenti, non costituente gettito;52694,67
2023;01601;Bergamo - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;13588738,25
2023;01601;Bergamo - Università degli studi;02 ;Gettito relativo a corsi di dottorato;99600
2023;01601;Bergamo - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;843837,81
2023;01601;Bergamo - Università degli studi;040;Gettito relativo a corsi di master di primo e secondo livello;574489,31
2023;01601;Bergamo - Università degli studi;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;01601;Bergamo - Università degli studi;04a;Gettito relativo ad altri corsi;190217,19
2023;01601;Bergamo - Università degli studi;04b;Gettito relativo a corsi di perfezionamento;38744,19
2023;01601;Bergamo - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);2977660
2023;01601;Bergamo - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;417419
2023;01601;Bergamo - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;226850,14
2023;01601;Bergamo - Università degli studi;08 ;Altro da studenti, non costituente gettito;560800
2023;01701;Brescia - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;17944255
2023;01701;Brescia - Università degli studi;02 ;Gettito relativo a corsi di dottorato;0
2023;01701;Brescia - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;1614834
2023;01701;Brescia - Università degli studi;040;Gettito relativo a corsi di master di primo e secondo livello;352412
2023;01701;Brescia - Università degli studi;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;9454
2023;01701;Brescia - Università degli studi;04a;Gettito relativo ad altri corsi;46449
2023;01701;Brescia - Università degli studi;04b;Gettito relativo a corsi di perfezionamento;180115
2023;01701;Brescia - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);2363200
2023;01701;Brescia - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;714810
2023;01701;Brescia - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;160233
2023;01701;Brescia - Università degli studi;08 ;Altro da studenti, non costituente gettito;0
2023;01801;Pavia - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;30032875,79
2023;01801;Pavia - Università degli studi;02 ;Gettito relativo a corsi di dottorato;0
2023;01801;Pavia - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;3012680,19
2023;01801;Pavia - Università degli studi;040;Gettito relativo a corsi di master di primo e secondo livello;3231877
2023;01801;Pavia - Università degli studi;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;01801;Pavia - Università degli studi;04a;Gettito relativo ad altri corsi;1088898,39
2023;01801;Pavia - Università degli studi;04b;Gettito relativo a corsi di perfezionamento;207411,19
2023;01801;Pavia - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);4016880
2023;01801;Pavia - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;1172836,09
2023;01801;Pavia - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;2158631,36
2023;01801;Pavia - Università degli studi;08 ;Altro da studenti, non costituente gettito;835888
2023;01802;Pavia - Istituto universitario di studi superiori;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;0
2023;01802;Pavia - Istituto universitario di studi superiori;02 ;Gettito relativo a corsi di dottorato;0
2023;01802;Pavia - Istituto universitario di studi superiori;03 ;Gettito relativo a corsi di specializzazione;0
2023;01802;Pavia - Istituto universitario di studi superiori;040;Gettito relativo a corsi di master di primo e secondo livello;0
2023;01802;Pavia - Istituto universitario di studi superiori;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;01802;Pavia - Istituto universitario di studi superiori;04a;Gettito relativo ad altri corsi;0
2023;01802;Pavia - Istituto universitario di studi superiori;04b;Gettito relativo a corsi di perfezionamento;0
2023;01802;Pavia - Istituto universitario di studi superiori;05 ;Tassa regionale per il DSU (se riscossa da università);59236
2023;01802;Pavia - Istituto universitario di studi superiori;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;0
2023;01802;Pavia - Istituto universitario di studi superiori;07 ;Altre entrate non necessarie per l'iscrizione;0
2023;01802;Pavia - Istituto universitario di studi superiori;08 ;Altro da studenti, non costituente gettito;10320
2023;02101;Bolzano - Libera Università;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;3132749,63
2023;02101;Bolzano - Libera Università;02 ;Gettito relativo a corsi di dottorato;0
2023;02101;Bolzano - Libera Università;03 ;Gettito relativo a corsi di specializzazione;0
2023;02101;Bolzano - Libera Università;040;Gettito relativo a corsi di master di primo e secondo livello;215122,62
2023;02101;Bolzano - Libera Università;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;109128,59
2023;02101;Bolzano - Libera Università;04a;Gettito relativo ad altri corsi;46939,3
2023;02101;Bolzano - Libera Università;04b;Gettito relativo a corsi di perfezionamento;0
2023;02101;Bolzano - Libera Università;05 ;Tassa regionale per il DSU (se riscossa da università);624281
2023;02101;Bolzano - Libera Università;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;5200
2023;02101;Bolzano - Libera Università;07 ;Altre entrate non necessarie per l'iscrizione;267602,5
2023;02101;Bolzano - Libera Università;08 ;Altro da studenti, non costituente gettito;136528
2023;02201;Trento - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;19088723
2023;02201;Trento - Università degli studi;02 ;Gettito relativo a corsi di dottorato;0
2023;02201;Trento - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;311900
2023;02201;Trento - Università degli studi;040;Gettito relativo a corsi di master di primo e secondo livello;254564
2023;02201;Trento - Università degli studi;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;0
2023;02201;Trento - Università degli studi;04a;Gettito relativo ad altri corsi;585541
2023;02201;Trento - Università degli studi;04b;Gettito relativo a corsi di perfezionamento;0
2023;02201;Trento - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);2432267
2023;02201;Trento - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;437398
2023;02201;Trento - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;140770
2023;02201;Trento - Università degli studi;08 ;Altro da studenti, non costituente gettito;0
2023;02301;Verona - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;28394622
2023;02301;Verona - Università degli studi;02 ;Gettito relativo a corsi di dottorato;99383
2023;02301;Verona - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;4498030
2023;02301;Verona - Università degli studi;040;Gettito relativo a corsi di master di primo e secondo livello;2667216
2023;02301;Verona - Università degli studi;041;Gettito relativo a corsi finalizzati all'abilitazione all'insegnamento;12255
2023;02301;Verona - Università degli studi;04a;Gettito relativo ad altri corsi;1024059
2023;02301;Verona - Università degli studi;04b;Gettito relativo a corsi di perfezionamento;276368
2023;02301;Verona - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);0
2023;02301;Verona - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;1131021
2023;02301;Verona - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;169149
2023;02301;Verona - Università degli studi;08 ;Altro da studenti, non costituente gettito;0
