ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER
2023-2024;00101;Torino - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;545;24;0;2;1
2023-2024;00101;Torino - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;00101;Torino - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;00101;Torino - Università degli studi;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;00101;Torino - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;1145;70;16;7;2
2023-2024;00101;Torino - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;620;47;2;2;2
2023-2024;00101;Torino - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;00101;Torino - Università degli studi;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;00101;Torino - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;5174;819;1;18;2
2023-2024;00101;Torino - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;101;0;0
2023-2024;00101;Torino - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;1;0;0
2023-2024;00101;Torino - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;418;0;0
2023-2024;00101;Torino - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;14;0;0
2023-2024;00101;Torino - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;386;0;0
2023-2024;00101;Torino - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;38;0;0
2023-2024;00101;Torino - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;101;0;0
2023-2024;00102;Torino - Politecnico;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;0;0;0;0;0
2023-2024;00102;Torino - Politecnico;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);938;37;915;0;0
2023-2024;00102;Torino - Politecnico;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;273;17;915;0;0
2023-2024;00102;Torino - Politecnico;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;157;11;214;0;0
2023-2024;00102;Torino - Politecnico;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;00102;Torino - Politecnico;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);1168;473;0;0;0
2023-2024;00102;Torino - Politecnico;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;50;50;0;0;0
2023-2024;00102;Torino - Politecnico;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;0;0;0;0;0
2023-2024;00102;Torino - Politecnico;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;00102;Torino - Politecnico;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;64;5;0;0;0
2023-2024;00102;Torino - Politecnico;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2023-2024;00102;Torino - Politecnico;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;00102;Torino - Politecnico;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;00102;Torino - Politecnico;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;00102;Torino - Politecnico;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;1424;781;125;0;0
2023-2024;00102;Torino - Politecnico;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;00102;Torino - Politecnico;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;00102;Torino - Politecnico;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;00102;Torino - Politecnico;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;00102;Torino - Politecnico;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;228;0;0
2023-2024;00102;Torino - Politecnico;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;6,67;0;0
2023-2024;00102;Torino - Politecnico;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;423,17;3;0
2023-2024;00102;Torino - Politecnico;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2023-2024;00102;Torino - Politecnico;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;71,83;0;0
2023-2024;00102;Torino - Politecnico;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;1,67;0;0
2023-2024;00102;Torino - Politecnico;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;497,66;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;168;7;80;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);334;25;36;1;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;10;0;0;1;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;54;5;8;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;35;;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);23;3;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;0;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;0;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;237;25;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;54;0;67
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;44;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;24;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;26;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;68;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;2;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;52;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;10;8;0;0;6
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;10;8;0;0;6
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;4;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;8;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2023-2024;00701;Aosta - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;9;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);139;7;0;0;0
2023-2024;00701;Aosta - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;62;4;0;0;0
2023-2024;00701;Aosta - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;16;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;00701;Aosta - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);5;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;0;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;N;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;26;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2023-2024;00701;Aosta - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;00701;Aosta - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2023-2024;00701;Aosta - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2023-2024;00701;Aosta - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2023-2024;00701;Aosta - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2023-2024;00701;Aosta - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2023-2024;01001;Genova - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;682;40;11;0;0
2023-2024;01001;Genova - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);738;99;212;3;0
2023-2024;01001;Genova - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;96;61;0;0;0
2023-2024;01001;Genova - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;53;15;39;0;0
2023-2024;01001;Genova - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;202;;
2023-2024;01001;Genova - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);643;88;0;0;0
2023-2024;01001;Genova - Università degli studi;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;01001;Genova - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;49;46;0;0;0
2023-2024;01001;Genova - Università degli studi;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;01001;Genova - Università degli studi;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;727;32;0;0;0
2023-2024;01001;Genova - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;172;3;0;0;0
2023-2024;01001;Genova - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;01001;Genova - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;01001;Genova - Università degli studi;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;01001;Genova - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;01001;Genova - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;01001;Genova - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;01001;Genova - Università degli studi;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;01001;Genova - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;2809;12;17;0;0
2023-2024;01001;Genova - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;503;0;0
2023-2024;01001;Genova - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;01001;Genova - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;68;10;0
2023-2024;01001;Genova - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;27;0;0
2023-2024;01001;Genova - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;378;0;0
2023-2024;01001;Genova - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;3;5
2023-2024;01001;Genova - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;205;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;86;1;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);287;0;11;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;46;0;11;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;56;0;1;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);276;95;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;60;58;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
