ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ISCRIZIONE;DESCRIZIONE_ISCRIZIONE;ISCRITTI_LAUREA;ISCRITTI_DOTTORATO;ISCRITTI_SPECIALIZZAZIONE;ISCRITTI_MASTER
2023-2024;01501;Milano - Università degli studi;T1 ;Totale iscritti;58890;1465;3739;368
2023-2024;01501;Milano - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;1377;;
2023-2024;01501;Milano - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01501;Milano - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;1701;;;
2023-2024;01502;Milano - Politecnico;T1 ;Totale iscritti;48008;2393;19;1937
2023-2024;01502;Milano - Politecnico;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;2148;;
2023-2024;01502;Milano - Politecnico;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01502;Milano - Politecnico;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;10889;;;
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1 ;Totale iscritti;13765;181;0;1365
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;172;;
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;15
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1 ;Totale iscritti;42337;788;1640;3404
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;540;;
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;144;;;
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1 ;Totale iscritti;7956;60;0;463
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;52;;
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;11
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;29;;;
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;T1 ;Totale iscritti;5207;168;922;206
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;150;;
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;01509;Milano-Bicocca - Università degli studi;T1 ;Totale iscritti;35812;834;1292;632
2023-2024;01509;Milano-Bicocca - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;792;;
2023-2024;01509;Milano-Bicocca - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01509;Milano-Bicocca - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;116;;;
2023-2024;01510;Rozzano (MI) - Humanitas University;T1 ;Totale iscritti;2021;103;532;24
2023-2024;01510;Rozzano (MI) - Humanitas University;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;97;;
2023-2024;01510;Rozzano (MI) - Humanitas University;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;4;;;
2023-2024;01601;Bergamo - Università degli studi;T1 ;Totale iscritti;19476;210;11;142
2023-2024;01601;Bergamo - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;186;;
2023-2024;01601;Bergamo - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;5
2023-2024;01601;Bergamo - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;449;;;
2023-2024;01701;Brescia - Università degli studi;T1 ;Totale iscritti;16108;363;1277;179
2023-2024;01701;Brescia - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;285;;
2023-2024;01701;Brescia - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01701;Brescia - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;236;;;
2023-2024;01801;Pavia - Università degli studi;T1 ;Totale iscritti;26155;881;1318;1069
2023-2024;01801;Pavia - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;765;;
2023-2024;01801;Pavia - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01801;Pavia - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;237;;;
2023-2024;01802;Pavia - Istituto universitario di studi superiori;T1 ;Totale iscritti;0;410;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;408;;
2023-2024;01802;Pavia - Istituto universitario di studi superiori;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;02101;Bolzano - Libera Università;T1 ;Totale iscritti;3371;239;0;0
2023-2024;02101;Bolzano - Libera Università;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;220;;
2023-2024;02101;Bolzano - Libera Università;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;02201;Trento - Università degli studi;T1 ;Totale iscritti;16502;848;20;80
2023-2024;02201;Trento - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;808;;
2023-2024;02201;Trento - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;28;0;0;0
2023-2024;02201;Trento - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;138;;;
2023-2024;02301;Verona - Università degli studi;T1 ;Totale iscritti;25076;563;1790;882
2023-2024;02301;Verona - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;492;;
2023-2024;02301;Verona - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;02301;Verona - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;1004;;;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;T1 ;Totale iscritti;19312;426;0;72
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;400;;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;18;;;
2023-2024;02702;Venezia - Università IUAV;T1 ;Totale iscritti;4551;121;23;97
2023-2024;02702;Venezia - Università IUAV;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;107;;
2023-2024;02702;Venezia - Università IUAV;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;02702;Venezia - Università IUAV;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;02801;Padova - Università degli studi;T1 ;Totale iscritti;71310;2071;2730;2642
2023-2024;02801;Padova - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;2000;;
2023-2024;02801;Padova - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;02801;Padova - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;784;;;
2023-2024;03001;Udine - Università degli studi;T1 ;Totale iscritti;14377;317;565;461
2023-2024;03001;Udine - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;290;;
2023-2024;03001;Udine - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;03001;Udine - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;258;;;
2023-2024;03201;Trieste - Università degli studi;T1 ;Totale iscritti;16658;546;788;305
2023-2024;03201;Trieste - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;500;;
2023-2024;03201;Trieste - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;03201;Trieste - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;93;;;
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;T1 ;Totale iscritti;0;303;0;0
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;303;;
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;03401;Parma - Università degli studi;T1 ;Totale iscritti;28542;613;906;627
2023-2024;03401;Parma - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;594;;
2023-2024;03401;Parma - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;27
2023-2024;03401;Parma - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;494;;;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;T1 ;Totale iscritti;25719;677;1467;135
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;590;;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;478;;;
2023-2024;03701;Bologna - Università degli studi;T1 ;Totale iscritti;83415;2618;2640;1285
2023-2024;03701;Bologna - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;2517;;
2023-2024;03701;Bologna - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;03701;Bologna - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;1934;;;
2023-2024;03801;Ferrara - Università degli studi;T1 ;Totale iscritti;26595;470;1002;435
2023-2024;03801;Ferrara - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;442;;
2023-2024;03801;Ferrara - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;21
2023-2024;03801;Ferrara - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;281;;;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";T1 ;Totale iscritti;13292;179;0;430
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;154;;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;83;;;
2023-2024;04201;Ancona - Università Politecnica delle Marche;T1 ;Totale iscritti;15016;365;864;197
2023-2024;04201;Ancona - Università Politecnica delle Marche;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;298;;
2023-2024;04201;Ancona - Università Politecnica delle Marche;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;04201;Ancona - Università Politecnica delle Marche;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;217;;;
2023-2024;04301;Macerata - Università degli studi;T1 ;Totale iscritti;8914;170;93;116
2023-2024;04301;Macerata - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;160;;
2023-2024;04301;Macerata - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;04301;Macerata - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;1022;;;
2023-2024;04302;Camerino - Università degli studi;T1 ;Totale iscritti;5664;332;184;493
2023-2024;04302;Camerino - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;296;;
2023-2024;04302;Camerino - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;04302;Camerino - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;563;;;
2023-2024;04601;Lucca - Scuola IMT Alti Studi;T1 ;Totale iscritti;0;250;0;0
2023-2024;04601;Lucca - Scuola IMT Alti Studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;206;;
2023-2024;04601;Lucca - Scuola IMT Alti Studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;04601;Lucca - Scuola IMT Alti Studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;04801;Firenze - Università degli studi;T1 ;Totale iscritti;54049;1165;2049;879
2023-2024;04801;Firenze - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;1078;;
2023-2024;04801;Firenze - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;04801;Firenze - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;1460;;;
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";T1 ;Totale iscritti;1793;0;0;308
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;0;;
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;120;;;
2023-2024;05001;Pisa - Università;T1 ;Totale iscritti;44870;1159;1351;1445
2023-2024;05001;Pisa - Università;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;1022;;
2023-2024;05001;Pisa - Università;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;18;0;0;21
2023-2024;05001;Pisa - Università;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;137;;;
2023-2024;05002;Pisa - Scuola normale superiore;T1 ;Totale iscritti;0;353;0;0
2023-2024;05002;Pisa - Scuola normale superiore;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;353;;
2023-2024;05002;Pisa - Scuola normale superiore;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05002;Pisa - Scuola normale superiore;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";T1 ;Totale iscritti;0;369;0;118
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;344;;
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;05201;Siena - Università degli studi;T1 ;Totale iscritti;15009;622;632;482
2023-2024;05201;Siena - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;547;;
2023-2024;05201;Siena - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;18
2023-2024;05201;Siena - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;277;;;
2023-2024;05202;Siena - Università per stranieri;T1 ;Totale iscritti;1574;39;29;60
2023-2024;05202;Siena - Università per stranieri;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;35;;
2023-2024;05202;Siena - Università per stranieri;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05202;Siena - Università per stranieri;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;17;;;
2023-2024;05401;Perugia - Università degli studi;T1 ;Totale iscritti;28019;554;581;116
2023-2024;05401;Perugia - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;518;;
2023-2024;05401;Perugia - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;5
2023-2024;05401;Perugia - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;58;;;
2023-2024;05403;Perugia - Università per stranieri;T1 ;Totale iscritti;935;32;0;40
2023-2024;05403;Perugia - Università per stranieri;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;28;;
2023-2024;05403;Perugia - Università per stranieri;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05403;Perugia - Università per stranieri;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;05601;Viterbo - Università della Tuscia;T1 ;Totale iscritti;7702;280;0;95
2023-2024;05601;Viterbo - Università della Tuscia;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;266;;
2023-2024;05601;Viterbo - Università della Tuscia;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;922;0;0;0
2023-2024;05601;Viterbo - Università della Tuscia;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;65;;;
2023-2024;05801;"Roma - Università degli studi ""La Sapienza""";T1 ;Totale iscritti;111332;3940;2943;2853
2023-2024;05801;"Roma - Università degli studi ""La Sapienza""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;3272;;
2023-2024;05801;"Roma - Università degli studi ""La Sapienza""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05801;"Roma - Università degli studi ""La Sapienza""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;218;;;
2023-2024;05802;"Roma - Università degli studi di ""Tor Vergata""";T1 ;Totale iscritti;30190;1607;548;909
2023-2024;05802;"Roma - Università degli studi di ""Tor Vergata""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;1219;;
2023-2024;05802;"Roma - Università degli studi di ""Tor Vergata""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05802;"Roma - Università degli studi di ""Tor Vergata""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;531;;;
2023-2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);T1 ;Totale iscritti;8822;91;10;1100
2023-2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;79;;
2023-2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;10;1;0;270
2023-2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;13;;;
2023-2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;T1 ;Totale iscritti;11037;123;0;1558
2023-2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;118;;
2023-2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;05806;"Roma - Università degli studi del ""Foro Italico""";T1 ;Totale iscritti;2364;44;0;7
2023-2024;05806;"Roma - Università degli studi del ""Foro Italico""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;38;;
2023-2024;05806;"Roma - Università degli studi del ""Foro Italico""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05806;"Roma - Università degli studi del ""Foro Italico""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;2;;;
2023-2024;05807;Roma - III Università degli studi;T1 ;Totale iscritti;34118;576;0;27
2023-2024;05807;Roma - III Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;492;;
2023-2024;05807;Roma - III Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05807;Roma - III Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;1269;;;
2023-2024;05808;"Roma - Università ""Campus Bio-Medico""";T1 ;Totale iscritti;2937;230;623;187
2023-2024;05808;"Roma - Università ""Campus Bio-Medico""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;187;;
2023-2024;05808;"Roma - Università ""Campus Bio-Medico""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05808;"Roma - Università ""Campus Bio-Medico""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;T1 ;Totale iscritti;1350;24;0;296
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;21;;
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;19;;;
