ANNO_ACCADEMICO;COD_Ateneo;NOME_ATENEO;TASSA_MEDIA_PAGANTI_LAUREA;TASSA_MEDIA_TOTALE_ISCRITTI_LAUREA
2023-2024;03801;Ferrara - Università degli studi;1447,35;922,65
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";1457,87;924,88
2023-2024;04201;Ancona - Università Politecnica delle Marche;1218,24;825,3
2023-2024;04301;Macerata - Università degli studi;1016,52;673,32
2023-2024;04302;Camerino - Università degli studi;1276,05;784,1
2023-2024;04801;Firenze - Università degli studi;1353,85;923,13
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";1524,07;1457,84
2023-2024;05001;Pisa - Università;1484,68;895,31
2023-2024;05201;Siena - Università degli studi;1538,69;1092,65
2023-2024;05202;Siena - Università per stranieri;1442,59;874,27
2023-2024;05401;Perugia - Università degli studi;1228,48;806,73
2023-2024;05403;Perugia - Università per stranieri;865,34;440,85
2023-2024;05601;Viterbo - Università della Tuscia;970,97;619,9
2023-2024;05801;"Roma - Università degli studi ""La Sapienza""";1398,37;885,29
2023-2024;05802;"Roma - Università degli studi di ""Tor Vergata""";1680,3;889,34
2023-2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);4238,9;3674,06
2023-2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;11573,92;10312,65
2023-2024;05806;"Roma - Università degli studi del ""Foro Italico""";1228,12;820,44
2023-2024;05807;Roma - III Università degli studi;1142,43;731,23
2023-2024;05808;"Roma - Università ""Campus Bio-Medico""";9803,58;8999,08
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;5987,69;4923,11
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";2025,69;2022,56
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";1246,63;1228,01
2023-2024;05812;Roma - Università Europea;4618,27;4578,87
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";942,2;741,17
2023-2024;05814;Roma - Universitas telematica Mercatorum;1741,91;1681,06
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);2810,52;2797,79
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";2132,52;2104,34
2023-2024;05817;Roma - Link Campus University;7303,75;6425,66
2023-2024;05818;Roma - Saint Camillus International;13510,1;13510,1
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;1134,89;529,5
2023-2024;06201;Benevento - Università degli studi del Sannio;1331,86;715,68
2023-2024;06202;"Benevento - Università telematica ""Giustino Fortunato""";2629,21;2625,75
2023-2024;06301;"Napoli - Università degli studi ""Federico II""";1466,6;746,05
2023-2024;06302;"Napoli - Università degli studi ""Parthenope""";1385,25;600,21
2023-2024;06303;"Napoli - Università degli studi ""L' Orientale""";730,54;410,01
2023-2024;06304;"Napoli - Università degli studi ""Suor Orsola Benincasa""";3138,47;2203,91
2023-2024;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";2036,68;862,42
2023-2024;06307;"Napoli - Università telematica ""Pegaso""";2059,43;2002,18
2023-2024;06501;Salerno - Università degli studi;1137,66;589,92
2023-2024;06601;L'Aquila - Università degli studi;705,08;520,42
2023-2024;06701;Teramo - Università degli studi;1308,24;827,59
2023-2024;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;1146,83;646,24
2023-2024;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";1464,36;1444,36
2023-2024;07001;Campobasso - Università degli studi del Molise;1307,85;776,77
2023-2024;07101;Foggia - Università degli studi;963,93;500,24
2023-2024;07201;Bari - Università degli studi;1288,86;726,75
2023-2024;07202;Bari - Politecnico;1019,46;658,71
2023-2024;07203;"Casamassima - Libera Università Mediterranea ""Giuseppe Degennaro""";6944,53;6193,59
2023-2024;07501;Lecce - Università del Salento;1245,23;529,05
2023-2024;07601;Potenza - Università degli studi della Basilicata;1067,17;697,82
2023-2024;07801;Arcavacata di Rende - Università della Calabria;1015,76;506,9
2023-2024;07901;"Catanzaro - Università degli studi ""Magna Grecia""";1116,95;488,85
2023-2024;08001;Reggio Calabria - Università degli studi Mediterranea;1147,98;580,42
2023-2024;08003;Reggio Calabria - Università per Stranieri;898,58;781,85
2023-2024;08201;Palermo - Università degli studi;1233,07;591,25
2023-2024;08301;Messina - Università degli studi;866,55;457,93
2023-2024;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";3974,51;3143,75
2023-2024;08701;Catania - Università degli studi;970,79;575,18
2023-2024;09001;Sassari - Università degli studi;750,02;450,83
2023-2024;09201;Cagliari - Università degli studi;1307,28;677,14
