ANNO_SOLARE;TIPO_ISTITUTO;AREA_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;DIPL_STRANIERI
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA - Nuovi Paradigmi dell'Immagine;F;5
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA;M;4
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA;F;4
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA;M;3
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA DIGITALE;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA - Grafica d'arte;F;3
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA - Grafica d'arte;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;F;6
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;F;5
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;NET ART E CULTURE DIGITALI;F;5
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;ARTI MULTIMEDIALI;F;6
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;ARTI MULTIMEDIALI;M;6
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DAPL11;CINEMA, FOTOGRAFIA, AUDIOVISIVO;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;F;4
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Nuovi linguaggi espressivi/Decorazione ambientale e degli spazi urbani;M;5
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Nuovi linguaggi espressivi/Decorazione ambientale e degli spazi urbani;F;8
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA - Nuovi linguaggi espressivi/Illustrazione;F;4
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA - Nuovi linguaggi espressivi/Illustrazione;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Nuovi linguaggi espressivi/Metodologie della Pittura;F;21
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Nuovi linguaggi espressivi/Metodologie della Pittura;M;11
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA - Nuovi linguaggi espressivi/Scultura per l'arte pubblica e ambientale;M;3
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;F;10
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;M;5
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;F;25
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;M;13
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico di Perfezionamento/Master I liv.;DISCIPLINE ARTISTICHE;Master 1L;TEXTILE - TESSUTI D'ARTE;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;EXHIBIT DESIGN;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;EXHIBIT DESIGN;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN;F;3
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;GRAPHIC DESIGN;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;F;12
2024;Accademia di Belle Arti statale;Area Artistica;;FIRENZE;7243 ;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;FOGGIA;7245 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;FOGGIA;7245 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;FOGGIA;7245 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;FOGGIA;7245 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;GRAPHIC DESIGN;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;FOGGIA;7245 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;MODA E COSTUME;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FASHION DESIGN;F;3
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;GRAPHIC DESIGN;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;GRAPHIC DESIGN;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;F;9
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;GRAPHIC DESIGN;F;3
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;MEDIA ART - Multimedialità;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;FROSINONE;7310 ;LAZIO;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;L'AQUILA;7237 ;ABRUZZO;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;L'AQUILA;7237 ;ABRUZZO;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;L'AQUILA;7237 ;ABRUZZO;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;L'AQUILA;7237 ;ABRUZZO;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;L'AQUILA;7237 ;ABRUZZO;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FOTOGRAFIA;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;L'AQUILA;7237 ;ABRUZZO;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;LECCE;7321 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;LECCE;7321 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;LECCE;7321 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA - Editoria d'Arte;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;LECCE;7321 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;LECCE;7321 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;LECCE;7321 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;LECCE;7321 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA - Cinema e Televisione;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;MACERATA;7297 ;MARCHE;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;ILLUSTRAZIONE PER L'EDITORIA;F;7
2024;Accademia di Belle Arti statale;Area Artistica;;MACERATA;7297 ;MARCHE;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;ILLUSTRAZIONE PER L'EDITORIA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;MACERATA;7297 ;MARCHE;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA DEL CONTEMPORANEO;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;MACERATA;7297 ;MARCHE;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE DEL CONTEMPORANEO;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;MACERATA;7297 ;MARCHE;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;MACERATA;7297 ;MARCHE;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;F;5
2024;Accademia di Belle Arti statale;Area Artistica;;MACERATA;7297 ;MARCHE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;ARTE DEL FUMETTO E ILLUSTRAZIONE;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;MACERATA;7297 ;MARCHE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;ARTE DEL FUMETTO E ILLUSTRAZIONE;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;MACERATA;7297 ;MARCHE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN E INTERIOR DESIGN;F;1
