Indicator 1a,"Proportion of teachers per salary range (qualification), by ISCED level",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Teachers,2020/2021,Other (if different from minimum and most common),ISCED 1,4,0,100,0,0,0,100,:,:,0,0,99,0,0,0,0,:,0,:,0,0,0,0,0,0,0,:,0,0,0,0,0,:,0,0,0,10,0,:
Teachers,2020/2021,Other (if different from minimum and most common),ISCED 24,8,0,4,0,0,0,100,:,:,0,0,59,0,0,0,0,:,0,:,0,0,0,0,0,0,0,:,0,0,0,0,0,:,0,1,0,10,0,:
Teachers,2020/2021,Other (if different from minimum and most common),ISCED 34,80,0,72,0,0,0,100,:,:,0,0,29,0,0,0,0,:,0,:,0,0,0,99,0,0,0,:,0,0,0,0,0,:,0,2,0,50,0,:
Teachers,2021/2022,Minimum,ISCED 02,98,92,100,100,100,100,:,:,a,100,100,99,0,100,:,100,:,72,:,6,100,0,0,100,10,100,:,73,100,100,:,100,:,:,55,:,:,:,:
Teachers,2021/2022,Minimum,ISCED 1,91,93,100,100,100,100,100,:,:,100,100,99,13,100,:,100,:,83,:,100,100,27,0,100,10,100,:,62,100,100,:,100,:,:,82,100,34,88,:
Teachers,2021/2022,Minimum,ISCED 24,82,49,91,100,100,100,100,:,:,100,100,83,13,100,:,100,:,66,:,100,100,22,0,100,100,100,:,84,100,100,:,100,:,:,100,100,34,90,:
Teachers,2021/2022,Minimum,ISCED 34,6,61,26,100,100,100,100,:,:,100,100,65,100,100,:,100,:,78,:,100,100,10,99,100,100,100,:,98,100,100,:,100,:,:,100,100,11,90,:
Teachers,2021/2022,Higher (if most common),ISCED 02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,92,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teachers,2021/2022,Higher (if most common),ISCED 1,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,98,0,90,0,0,0,0,0,0,0,0,0,0,0,49,0,0
Teachers,2021/2022,Higher (if most common),ISCED 24,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,:,0,0,49,0,0
Teachers,2021/2022,Higher (if most common),ISCED 34,79,0,71,0,0,0,0,0,0,0,0,0,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
Teachers,2021/2022,Other (if different from minimum and most common),ISCED 02,1,:,100,:,0,0,:,:,a,0,0,0,:,0,0,0,:,0,:,4,0,:,92,0,0,0,:,0,0,0,:,0,:,:,0,:,0,:,:
Teachers,2021/2022,Other (if different from minimum and most common),ISCED 1,4,:,100,:,0,0,0,:,:,0,0,0,0,0,0,0,:,0,:,:,0,0,98,0,0,0,:,0,0,0,:,0,:,:,0,0,12,:,:
Teachers,2021/2022,Other (if different from minimum and most common),ISCED 24,8,:,4,:,0,0,0,:,:,0,0,6,0,0,0,0,:,0,:,:,0,0,97,0,0,0,:,0,0,0,:,0,:,:,1,0,12,:,:
Teachers,2021/2022,Other (if different from minimum and most common),ISCED 34,79,:,0,:,0,0,0,:,:,0,0,29,0,0,0,0,:,0,:,:,0,0,0,0,0,0,:,0,0,0,:,0,:,:,2,0,51,:,:
Teachers,2022/2023,Minimum,ISCED 02,98,93,100,:,100,100,:,:,a,100,100,98,:,100,100,100,:,75,:,4,100,:,0,100,8,100,:,100,100,100,:,100,:,:,58,:,100,:,:
Teachers,2022/2023,Minimum,ISCED 1,91,90,100,:,100,100,100,:,34,100,100,98,12,100,100,100,:,87,:,100,100,32,0,100,8,100,:,55,100,100,:,100,:,:,85,100,31,89,:
Teachers,2022/2023,Minimum,ISCED 24,81,50,90,:,100,100,100,:,33,100,100,82,0,100,100,100,:,65,:,100,100,28,0,100,100,100,:,90,100,100,:,100,:,:,100,100,10,89,:
Teachers,2022/2023,Minimum,ISCED 34,5,57,24,:,100,100,100,:,33,100,100,64,0,100,100,100,:,77,:,100,100,16,99,100,100,100,:,97,100,100,:,100,:,:,100,100,10,91,:
Teachers,2022/2023,Higher (if most common),ISCED 02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,92,0,92,0,0,0,0,0,:,0,0,0,0,0,0,0,0
Teachers,2022/2023,Higher (if most common),ISCED 1,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,97,0,92,0,0,0,0,0,:,0,0,0,0,0,49,0,0
Teachers,2022/2023,Higher (if most common),ISCED 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,97,0,0,0,0,0,0,0,:,0,0,:,0,0,53,0,0
Teachers,2022/2023,Higher (if most common),ISCED 34,79,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,53,0,0
Teachers,2022/2023,Other (if different from minimum and most common),ISCED 02,1,0,1,:,0,0,:,:,a,0,0,0,:,0,0,0,:,0,:,7,0,:,92,0,0,0,:,0,0,0,:,0,:,0,0,:,100,0,:
Teachers,2022/2023,Other (if different from minimum and most common),ISCED 1,4,0,1,:,0,0,0,:,0,0,0,0,0,0,0,0,:,0,:,0,0,:,97,0,0,0,:,0,0,0,:,0,:,0,1,0,14,0,:
Teachers,2022/2023,Other (if different from minimum and most common),ISCED 24,9,0,5,:,0,0,0,:,0,0,0,0,100,0,0,0,:,0,:,0,0,:,97,0,100,0,:,0,0,0,:,0,:,0,3,0,53,0,:
Teachers,2022/2023,Other (if different from minimum and most common),ISCED 34,79,0,72,:,0,0,0,:,0,0,0,0,100,0,0,0,:,0,:,0,0,:,0,0,100,0,:,0,0,0,:,0,:,0,5,0,53,0,:
Teachers,2023/2024,Minimum,ISCED 02,98,92,100,:,100,100,:,:,:,100,100,98,:,100,100,100,:,71,100,5,100,:,7,100,2,100,:,100,100,100,:,100,:,:,95,:,100,:,:
Teachers,2023/2024,Minimum,ISCED 1,90,84,100,:,100,100,100,:,34,100,100,98,12,100,100,100,:,85,:,100,100,36,2,100,2,100,:,57,100,100,:,100,:,:,85,:,10,89,:
Teachers,2023/2024,Minimum,ISCED 24,79,49,94,:,100,100,100,:,33,100,100,82,12,100,100,100,:,64,:,100,100,34,3,100,100,100,:,90,100,100,:,100,:,:,100,:,0,89,:
Teachers,2023/2024,Minimum,ISCED 34,5,58,89,:,100,100,100,:,33,100,100,64,100,100,100,100,:,77,100,100,100,20,99,100,100,100,:,97,100,100,:,100,:,:,100,:,6,91,:
Teachers,2023/2024,Higher (if most common),ISCED 02,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,85,0,0,93,0,98,0,0,0,0,0,0,0,0,0,0,:,0,0,0
Teachers,2023/2024,Higher (if most common),ISCED 1,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,98,0,98,0,0,0,0,0,0,0,0,0,0,:,0,0,0
Teachers,2023/2024,Higher (if most common),ISCED 24,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,:,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0
Teachers,2023/2024,Higher (if most common),ISCED 34,79,0,77,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,54,0,0
Teachers,2023/2024,Other (if different from minimum and most common),ISCED 02,:,0,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,:,:,0,0,0,5,:,0,0,:
Teachers,2023/2024,Other (if different from minimum and most common),ISCED 1,:,0,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0,0,0,15,:,16,0,:
Teachers,2023/2024,Other (if different from minimum and most common),ISCED 24,:,0,6,:,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0,0,0,50,:,16,0,:
Teachers,2023/2024,Other (if different from minimum and most common),ISCED 34,0,0,0,:,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0,0,0,90,:,0,0,:
