"flow_id","name_it"
"27_748_DF_DCIS_SEPARAZSOC_2","Titolo di studio del marito"
"27_748_DF_DCIS_SEPARAZSOC_3","Titolo di studio della moglie"
"27_749_DF_DCIS_DIVSOC_1","Titolo di studio dei coniugi"
"27_749_DF_DCIS_DIVSOC_2","Titolo di studio del marito"
"27_749_DF_DCIS_DIVSOC_3","Titolo di studio della moglie"
"29_956_DF_DCIS_CV_STRA_11","Uso dell'italiano in famiglia e con amici, sesso ed età"
"29_956_DF_DCIS_CV_STRA_12","Uso dell'italiano in famiglia e con amici, cittadinanza"
"29_956_DF_DCIS_CV_STRA_13","Uso dell'italiano in famiglia e con amici, presenza in Italia"
"29_956_DF_DCIS_CV_STRA_14","Uso dell'italiano in famiglia e con amici, tipologia familiare"
"29_956_DF_DCIS_CV_STRA_20","Eventi discriminatori dichiarati e titolo di studio"
"29_956_DF_DCIS_CV_STRA_28","Grado di soddisfazione, titolo di studio e condizione occupazionale"
"29_956_DF_DCIS_CV_STRA_4","Sesso e titolo di studio"
"31_124_DF_DCCV_SPEMMFAM_2","Ampiezza della famiglia"
"31_163","Comportamento di spesa delle famiglia"
"31_199_DF_DCCV_INDCONSUMI_2","Ampiezza della famiglia"
"31_206","Quinto di spesa della famiglia"
"31_206_DF_DCCV_SPQUINTO_2","Ampiezza della famiglia"
"31_739_DF_DCCV_SPEMEFAM_3","Ampiezza della famiglia"
"31_739_DF_DCCV_SPEMEFAM_5","Titolo di studio della persona di riferimento"
"31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3","Ampiezza della famiglia"
"31_740_DF_DCCV_SPEMEFAM_COICOP_2018_5","Titolo di studio della persona di riferimento"
"32_223_DF_DCCV_FONTEPRED_1","Ampiezza della famiglia"
"32_223_DF_DCCV_FONTEPRED_3","Minori e anziani in famiglia"
"32_223_DF_DCCV_FONTEPRED_5","Titolo di studio e condizione professionale del principale percettore"
"32_292_DF_DCCV_REDNETFAMFONTERED_1","Ampiezza della famiglia"
"32_292_DF_DCCV_REDNETFAMFONTERED_3","Minori in famiglia"
"32_292_DF_DCCV_REDNETFAMFONTERED_4","Anziani in famiglia"
"32_292_DF_DCCV_REDNETFAMFONTERED_7","Titolo di studio del principale percettore"
"32_38_DF_DCCV_QUINTOREDD_1","Ampiezza della famiglia"
"32_38_DF_DCCV_QUINTOREDD_3","Minori e anziani in famiglia"
"32_38_DF_DCCV_QUINTOREDD_5","Titolo di studio e condizione professionale del principale percettore"
"33_179_DF_DCCV_ABITAFFOLL_1","Ampiezza della famiglia e tipologia familiare"
"33_179_DF_DCCV_ABITAFFOLL_2","Minori e anziani in famiglia"
"33_179_DF_DCCV_ABITAFFOLL_4","Titolo di studio e condizione professionale del principale percettore"
"33_225_DF_DCCV_ABITSPESA_2","Ampiezza della famiglia e tipologia familiare"
"33_225_DF_DCCV_ABITSPESA_3","Minori e anziani in famiglia"
"33_225_DF_DCCV_ABITSPESA_5","Titolo di studio e condizione professionale del principale percettore"
"33_290_DF_DCCV_TITGODABIT_1","Ampiezza della famiglia e tipologia familiare"
"33_290_DF_DCCV_TITGODABIT_2","Minori e anziani in famiglia"
"33_290_DF_DCCV_TITGODABIT_4","Titolo di studio e condizione professionale del principale percettore"
"33_291_DF_DCCV_PROBLZONRES_2_2","Numero di minori e numero di anziani in famiglia"
"33_291_DF_DCCV_PROBLZONRES_2_4","Titolo di studio e condizione professionale del principale percettore"
"33_4_DF_DCCV_ABITPROBL_1","Ampiezza della famiglia e tipologia familiare"
"33_4_DF_DCCV_ABITPROBL_2","Minori e anziani in famiglia"
"33_4_DF_DCCV_ABITPROBL_4","Titolo di studio e condizione professionale del principale percettore"
"34_178_DF_DCCV_INCPOVAFAM_3","Dati per famiglia con figli minori"
"34_178_DF_DCCV_INCPOVAFAM_4","Dati per famiglia con anziani"
"34_178_DF_DCCV_INCPOVAFAM_6","Dati per titolo di studio della persona di riferimento"
"34_198_DF_DCCV_INCPOVRFAM_4","Dati per famiglia con figli minori"
"34_198_DF_DCCV_INCPOVRFAM_5","Dati per famiglia con anziani"
"34_198_DF_DCCV_INCPOVRFAM_7","Dati per titolo di studio della persona di riferimento"
"34_215_DF_DCCV_ARRETRATI_1","Ampiezza della famiglia"
"34_215_DF_DCCV_ARRETRATI_3","Minori e anziani in famiglia"
"34_215_DF_DCCV_ARRETRATI_5","Titolo di studio e condizione professionale del principale percettore"
"34_216_DF_DCCV_IMPREV_1","Ampiezza della famiglia"
"34_216_DF_DCCV_IMPREV_3","Minori e anziani in famiglia"
"34_216_DF_DCCV_IMPREV_5","Titolo di studio e condizione professionale del principale percettore"
"34_217_DF_DCCV_CARICOPES_1","Ampiezza della famiglia"
"34_217_DF_DCCV_CARICOPES_3","Minori e anziani in famiglia"
"34_217_DF_DCCV_CARICOPES_5","Titolo di studio e condizione professionale del principale percettore"
"34_218_DF_DCCV_DIFFBENDUR_1","Ampiezza della famiglia"
"34_218_DF_DCCV_DIFFBENDUR_3","Minori e anziani in famiglia"
"34_218_DF_DCCV_DIFFBENDUR_5","Titolo di studio e condizione professionale del principale percettore"
"34_219_DF_DCCV_NOSOLDI_1","Ampiezza della famiglia"
"34_219_DF_DCCV_NOSOLDI_3","Minori e anziani in famiglia"
"34_219_DF_DCCV_NOSOLDI_5","Titolo di studio e condizione professionale del principale percettore"
"34_220_DF_DCCV_REDDFINMES_1","Ampiezza della famiglia"
"34_220_DF_DCCV_REDDFINMES_3","Minori e anziani in famiglia"
"34_220_DF_DCCV_REDDFINMES_5","Titolo di studio e condizione professionale del principale percettore"
"34_226_DF_PERCEPIT_1","Ampiezza della famiglia"
"34_226_DF_PERCEPIT_3","Minori e anziani in famiglia"
"34_226_DF_PERCEPIT_5","Titolo di studio e condizione professionale del principale percettore"
"34_280_DF_DCCV_FAMNOVOCISPESA_1","Ampiezza della famiglia"
"34_280_DF_DCCV_FAMNOVOCISPESA_3","Minori e anziani in famiglia"
"34_280_DF_DCCV_FAMNOVOCISPESA_5","Titolo di studio e condizione professionale del principale percettore"
"34_727_DF_DCCV_POVERTA_2","Famiglie povere - ampiezza della famiglia"
"34_727_DF_DCCV_POVERTA_6","Famiglie povere - titolo di studio della persona di riferimento"
"39_1","Indicatori di mortalità per causa per titolo di studio"
"39_1_DF_DCIS_IND_MORT_EDU_1","Indicatori di mortalità per causa e titolo di studio"
"392_584_DF_DCCV_TRANSIZ_DOTT_DEM_5","Titolo di studio del padre e della madre"
"42_324_DF_DCIS_ABORTISPONTR_11","Titolo di studio - prov."
"42_324_DF_DCIS_ABORTISPONTR_2","Età, stato civile e titolo di studio"
"42_70_DF_DCIS_IVG_CARATTDON_16","Titolo di studio - prov. di residenza"
"42_70_DF_DCIS_IVG_CARATTDON_3","Età, stato civile e titolo di studio"
"498_1104_DF_DCCV_RISKPOV_1","Ampiezza della famiglia"
"498_1104_DF_DCCV_RISKPOV_11","Fonte principale di reddito della famiglia"
"498_1104_DF_DCCV_RISKPOV_12","Minori e anziani in famiglia"
"498_1104_DF_DCCV_RISKPOV_14","Titolo di studio e condizione professionale del principale percettore"
"498_1104_DF_DCCV_RISKPOV_3","Fonte principale di reddito della famiglia"
"498_1104_DF_DCCV_RISKPOV_4","Minori e anziani in famiglia"
"498_1104_DF_DCCV_RISKPOV_6","Titolo di studio e condizione professionale del principale percettore"
"498_1104_DF_DCCV_RISKPOV_9","Ampiezza della famiglia"
"52_1044_DF_DCIS_SCUOLE_2","Infanzia - scuole, classi, bambini"
"52_1194","Popolazione 15 anni e oltre per titolo di studio - regolamento precedente (fino al 2020)"
"52_1194_DF_DCCV_POPTIT1_UNT2020_1","Popolazione per titolo di studio e età"
"52_1194_DF_DCCV_POPTIT1_UNT2020_2","Popolazione per titolo di studio e regioni"
"52_1194_DF_DCCV_POPTIT1_UNT2020_3","Popolazione per titolo di studio - italiani e stranieri"
"532_1195_DF_DCCV_POPCOND1_UNT2020_14","Ruolo in famiglia"
"532_1195_DF_DCCV_POPCOND1_UNT2020_15","Cittadinanza, ruolo in famiglia"
"532_1195_DF_DCCV_POPCOND1_UNT2020_4","Ruolo in famiglia"
"532_1195_DF_DCCV_POPCOND1_UNT2020_5","Cittadinanza, ruolo in famiglia"
"533_957_DF_DCSC_RACLI_11","Titolo di studio - prov"
"533_957_DF_DCSC_RACLI_20","Titolo di studio - 2 digit"
"533_957_DF_DCSC_RACLI_3","Titolo di studio"
"6_20_DF_DCSP_RS_10","Addetti per titolo di studio"
"612_933_DF_DCCV_LAU_DEM_FORM_8","Titolo di studio del padre e della madre"
"613_934_DF_DCCV_DIPL_DEM_FORM_6","Titolo di studio del padre e della madre"
"723_1040","Individui per ruolo in famiglia - condizione occupazionale"
"723_1040_DF_DCCV_RUOLOFAMCOND_2","Occupati, disoccupati, inattivi per titolo di studio"
"723_1040_DF_DCCV_RUOLOFAMCOND_4","Genitori occupati, disoccupati, inattivi per numero di figli"
"723_1040_DF_DCCV_RUOLOFAMCOND_5","Genitori occupati, disoccupati, inattivi per età del figlio più piccolo"
"723_1040_DF_DCCV_RUOLOFAMCOND_7","Tassi dei genitori per numero dei figli"
"723_1040_DF_DCCV_RUOLOFAMCOND_8","Tassi dei genitori per età del figlio più piccolo"
"723_1041_DF_DCCV_COPPIECOND_3","Presenza di occupati, regime orario, età e titolo di studio della donna"
"723_1041_DF_DCCV_COPPIECOND_4","Condizione occupazionale dei partner, presenza di figli e titolo di studio della donna"
"723_1207_DF_DCCV_COPPIECOND_UNT2020_3","Presenza di occupati, regime orario, età e titolo di studio della donna"
"723_1207_DF_DCCV_COPPIECOND_UNT2020_5","Condizione occupazionale dei partner, presenza di figli e titolo di studio della donna"
"723_1208","Individui per ruolo in famiglia - condizione occupazionale- regolamento precedente (fino al 2020)"
"723_1208_DF_DCCV_RUOLOFAMCOND_UNT2020_2","Occupati, disoccupati, inattivi per titolo di studio"
"723_1208_DF_DCCV_RUOLOFAMCOND_UNT2020_4","Genitori occupati, disoccupati, inattivi per numero di figli"
"723_1208_DF_DCCV_RUOLOFAMCOND_UNT2020_5","Genitori occupati, disoccupati, inattivi per età del figlio più piccolo"
"723_1208_DF_DCCV_RUOLOFAMCOND_UNT2020_7","Tassi dei genitori per numero dei figli"
"723_1208_DF_DCCV_RUOLOFAMCOND_UNT2020_8","Tassi dei genitori per età del figlio più piccolo"
"742_1138_DF_DCSI_CPI_LABCOLL_10","Azioni intraprese a sostegno della genitorialità - Sezioni Ateco, classe di addetti - reg."
"742_1138_DF_DCSI_CPI_LABCOLL_11","Azioni intraprese a sostegno della genitorialità - Classe di Ateco (4 digit)"
"742_1138_DF_DCSI_CPI_LABCOLL_12","Azioni intraprese a sostegno della genitorialità - Divisione di Ateco (2 digit), classe di addetti"
"742_1138_DF_DCSI_CPI_LABCOLL_13","Azioni da intraprendere a sostegno della genitorialità - Macrosettori economici - prov."
"742_1138_DF_DCSI_CPI_LABCOLL_14","Azioni da intraprendere a sostegno della genitorialità - Sezioni Ateco, classe di addetti - reg."
"742_1138_DF_DCSI_CPI_LABCOLL_15","Azioni da intraprendere a sostegno della genitorialità - Divisione di Ateco (2 digit), classe di addetti"
"742_1138_DF_DCSI_CPI_LABCOLL_16","Azioni da intraprendere a sostegno della genitorialità - Classe di Ateco (4 digit)"
"742_1138_DF_DCSI_CPI_LABCOLL_9","Azioni intraprese a sostegno della genitorialità - Macrosettori economici - prov."
"78_1112_DF_DCCV_VIOL_CARAT_10","Tipo di autore, titolo di studio della donna"
"78_1112_DF_DCCV_VIOL_CARAT_5","Cittadinanza, titolo di studio"
"78_1121_DF_DCCV_1522_VITTIME_3","Vittime – sesso, titolo di studio, denuncia e motivo del ritiro"
"78_1161_DF_DCCV_RUOLIGEN_11","Accettabilità violenza nella coppia - titolo di studio"
"78_1161_DF_DCCV_RUOLIGEN_14","Percezione diffusione violenza nella coppia - titolo di studio"
"78_1161_DF_DCCV_RUOLIGEN_17","Indicazione di alcune cause della violenza nella coppia - titolo di studio"
"78_1161_DF_DCCV_RUOLIGEN_2","Accordo o accettabilità di almeno uno stereotipo - titolo di studio"
"78_1161_DF_DCCV_RUOLIGEN_20","Cosa si consiglierebbe a una donna che ha subito violenza dal compagno - titolo di studio"
"78_1161_DF_DCCV_RUOLIGEN_5","Opinioni su ruoli tradizionali - titolo di studio"
"78_1161_DF_DCCV_RUOLIGEN_8","Opinioni su violenza sessuale - titolo di studio"
"82_87_DF_DCCV_AVQ_FAMIGLIE_10","Ampiezza della famiglia"
"82_87_DF_DCCV_AVQ_FAMIGLIE_13","Giudizio sulla situazione economica - ampiezza della famiglia"
"82_87_DF_DCCV_AVQ_FAMIGLIE_4","Monogenitori - sesso, età, stato civile"
"82_87_DF_DCCV_AVQ_FAMIGLIE_5","Monogenitori - sesso, stato civile, ripartizioni"
"82_87_DF_DCCV_AVQ_FAMIGLIE_6","Monogenitori  - regioni e tipo di comune"
"82_87_DF_DCCV_AVQ_FAMIGLIE_7","Monogenitori - numero ed età dei figli"
"83_63_DF_DCCV_AVQ_PERSONE_101","Sport - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_105","Incontri con amici - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_109","Informazione politica - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_116","Discussione e attività politica - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_120","Giovani che vivono in famiglia"
"83_63_DF_DCCV_AVQ_PERSONE_121","Giovani che vivono in famiglia - reg."
"83_63_DF_DCCV_AVQ_PERSONE_124","Fiducia negli altri - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_130","Associazionismo - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_134","Pratica religiosa - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_138","Grado di soddisfazione (da 0 - a 10) per la vita nel complesso - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_143","Grado di soddisfazione (da 0 - a 10) per la vita nel complesso (valore medio e mediano) - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_147","Soddisfazione per alcuni aspetti - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_152","Soddisfazione per il lavoro - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_162","Tipo di certificato richiesto e autocertificazione - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_202","Abitudine al fumo - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_206","Stato di salute - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_210","Consumo di farmaci - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_214","Ricorso al pronto soccorso e alla guardia medica - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_218","Ricoveri ospedalieri - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_222","Soddisfazione per i vari aspetti del ricovero - età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_225","Spettacoli - sesso, età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_228","Tv e radio - sesso, età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_232","Quotidiani e libri - sesso, età, titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_236","Internet - sesso, età titolo di studio"
"83_63_DF_DCCV_AVQ_PERSONE_240","PC - sesso, età, titolo di studio"
"83_85_DF_DCCV_AVQ_PERSONE1_203","Persone andate in vacanza - titolo di studio"
"83_85_DF_DCCV_AVQ_PERSONE1_208","Persone non andate in vacanza - titolo di studio"
"83_85_DF_DCCV_AVQ_PERSONE1_212","Acqua e bevande gassate - età, titolo di studio"
"83_85_DF_DCCV_AVQ_PERSONE1_216","Vino e birra - età, titolo di studio"
"83_85_DF_DCCV_AVQ_PERSONE1_220","Aperitivi, amari e liquori - età, titolo di studio"
"83_85_DF_DCCV_AVQ_PERSONE1_224","Alcolici fuori pasto - età, titolo di studio"
"83_85_DF_DCCV_AVQ_PERSONE1_229","Indice di massa corporea - età, titolo di studio"
"83_85_DF_DCCV_AVQ_PERSONE1_233","Incidenti in ambiente domestico - età, titolo di studio"
"83_85_DF_DCCV_AVQ_PERSONE1_237","Abitudini nei pasti - età, titolo di studio"
"83_85_DF_DCCV_AVQ_PERSONE1_241","Salumi, carni, uova, pesce - età, titolo di studio"
