Title: ,"School year in Europe: Recommended compulsory instruction time and holidays, 2024/2025",Unnamed: 2,Unnamed: 3,Unnamed: 4,:,not available,Unnamed: 10
CY,2024/2025,ISCED 1,Top-level,2024-09-09 00:00:00,2024-09-09 00:00:00,1,
CY,2024/2025,ISCED 24,Top-level,2024-09-06 00:00:00,2024-09-06 00:00:00,1,
CY,2024/2025,ISCED 34,Top-level,2024-09-06 00:00:00,2024-09-06 00:00:00,1,
LV,2024/2025,ISCED 1,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
LV,2024/2025,ISCED 24,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
LV,2024/2025,ISCED 34,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
LT,2024/2025,ISCED 1,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
LT,2024/2025,ISCED 24,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
LT,2024/2025,ISCED 34,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
LU,2024/2025,ISCED 1,Top-level,2024-09-16 00:00:00,2024-09-16 00:00:00,1,
LU,2024/2025,ISCED 24,Top-level,2024-09-16 00:00:00,2024-09-16 00:00:00,1,
LU,2024/2025,ISCED 34,Top-level,2024-09-16 00:00:00,2024-09-16 00:00:00,1,
HU,2024/2025,ISCED 1,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
HU,2024/2025,ISCED 24,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
HU,2024/2025,ISCED 34,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
MT,2024/2025,ISCED 1,Top-level,2024-09-25 00:00:00,2024-09-25 00:00:00,1,
MT,2024/2025,ISCED 24,Top-level,2024-09-25 00:00:00,2024-09-25 00:00:00,1,
MT,2024/2025,ISCED 34,Top-level,2024-09-25 00:00:00,2024-09-25 00:00:00,1,
NL,2024/2025,ISCED 1,Top-level,2024-08-19 00:00:00,2024-09-02 00:00:00,15,
NL,2024/2025,ISCED 24,Top-level,2024-08-19 00:00:00,2024-09-02 00:00:00,15,
NL,2024/2025,ISCED 34,Top-level,2024-08-19 00:00:00,2024-09-02 00:00:00,15,
AT,2024/2025,ISCED 1,Top-level,2024-09-02 00:00:00,2024-09-09 00:00:00,8,
AT,2024/2025,ISCED 24,Top-level,2024-09-02 00:00:00,2024-09-09 00:00:00,8,
AT,2024/2025,ISCED 34,Top-level,2024-09-02 00:00:00,2024-09-09 00:00:00,8,
PL,2024/2025,ISCED 1,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
PL,2024/2025,ISCED 24,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
PL,2024/2025,ISCED 34,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
PT,2024/2025,ISCED 1, More than one authority level,2024-09-12 00:00:00,2024-09-16 00:00:00,5,
PT,2024/2025,ISCED 24, More than one authority level,2024-09-12 00:00:00,2024-09-16 00:00:00,5,
PT,2024/2025,ISCED 34, More than one authority level,2024-09-12 00:00:00,2024-09-16 00:00:00,5,
RO,2024/2025,ISCED 1,Top-level,2024-09-09 00:00:00,2024-09-09 00:00:00,1,
RO,2024/2025,ISCED 24,Top-level,2024-09-09 00:00:00,2024-09-09 00:00:00,1,
RO,2024/2025,ISCED 34,Top-level,2024-09-09 00:00:00,2024-09-09 00:00:00,1,
SI,2024/2025,ISCED 1,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
SI,2024/2025,ISCED 24,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
SI,2024/2025,ISCED 34,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
SK,2024/2025,ISCED 1,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
SK,2024/2025,ISCED 24,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
SK,2024/2025,ISCED 34,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
FI,2024/2025,ISCED 1,Local level,2024-08-07 00:00:00,2024-08-09 00:00:00,3,
FI,2024/2025,ISCED 24,Local level,2024-08-07 00:00:00,2024-08-09 00:00:00,3,
FI,2024/2025,ISCED 34,Local level,2024-08-07 00:00:00,2024-08-09 00:00:00,3,
SE,2024/2025,ISCED 1,Local level,2024-08-12 00:00:00,2024-08-23 00:00:00,12,
SE,2024/2025,ISCED 24,Local level,2024-08-12 00:00:00,2024-08-23 00:00:00,12,
SE,2024/2025,ISCED 34,Local level,2024-08-12 00:00:00,2024-08-23 00:00:00,12,
AL,2024/2025,ISCED 1,Top-level,2024-09-16 00:00:00,2024-09-16 00:00:00,1,
AL,2024/2025,ISCED 24,Top-level,2024-09-16 00:00:00,2024-09-16 00:00:00,1,
AL,2024/2025,ISCED 34,Top-level,2024-09-16 00:00:00,2024-09-16 00:00:00,1,
BA,2024/2025,ISCED 1,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
BA,2024/2025,ISCED 24,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
BA,2024/2025,ISCED 34,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
CH,2024/2025,ISCED 1,Regional/provincial level,2024-08-12 00:00:00,2024-09-02 00:00:00,22,
CH,2024/2025,ISCED 24,Regional/provincial level,2024-08-12 00:00:00,2024-09-02 00:00:00,22,
CH,2024/2025,ISCED 34,Regional/provincial level,2024-08-12 00:00:00,2024-09-02 00:00:00,22,
IS,2024/2025,ISCED 1, More than one authority level,2024-08-22 00:00:00,2024-08-22 00:00:00,1,
IS,2024/2025,ISCED 24, More than one authority level,2024-08-22 00:00:00,2024-08-22 00:00:00,1,
IS,2024/2025,ISCED 34,School level,2024-08-19 00:00:00,2024-08-19 00:00:00,1,
LI,2024/2025,ISCED 1,Top-level,2024-08-19 00:00:00,2024-08-19 00:00:00,1,
LI,2024/2025,ISCED 24,Top-level,2024-08-19 00:00:00,2024-08-19 00:00:00,1,
LI,2024/2025,ISCED 34,Top-level,2024-08-19 00:00:00,2024-08-19 00:00:00,1,
ME,2024/2025,ISCED 1,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
ME,2024/2025,ISCED 24,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
ME,2024/2025,ISCED 34,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
MK,2024/2025,ISCED 1,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
MK,2024/2025,ISCED 24,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
MK,2024/2025,ISCED 34,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
NO,2024/2025,ISCED 1,Local level,2024-08-14 00:00:00,2024-08-19 00:00:00,6,
NO,2024/2025,ISCED 24,Local level,2024-08-14 00:00:00,2024-08-19 00:00:00,6,
NO,2024/2025,ISCED 34,Regional/provincial level,2024-08-14 00:00:00,2024-08-19 00:00:00,6,
RS,2024/2025,ISCED 1,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
RS,2024/2025,ISCED 24,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
RS,2024/2025,ISCED 34,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
TR,2024/2025,ISCED 1,Top-level,2024-09-09 00:00:00,2024-09-09 00:00:00,1,
TR,2024/2025,ISCED 24,Top-level,2024-09-09 00:00:00,2024-09-09 00:00:00,1,
TR,2024/2025,ISCED 34,Top-level,2024-09-09 00:00:00,2024-09-09 00:00:00,1,
