Title: ,The structure of European education systems,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
AT,2025/2026,AT07.Academic secondary school,"AT08.Academic secondary school, Junior stage",Allgemeinbildende höhere Schule,"Allgemeinbildende höhere Schule, Unterstufe",ISCED 2 general,,,10,0,4,0,Not applicable (general education),na,na,AT_GroupA
AT,2025/2026,AT07.Academic secondary school,"AT09.Academic secondary school, Senior stage",Allgemeinbildende höhere Schule,"Allgemeinbildende höhere Schule, Oberstufe",ISCED 3 general,,,14,0,4,0,Not applicable (general education),na,na,AT_GroupA
AT,2025/2026,AT08.Pre-vocational school,AT10.Pre-vocational school,Polytechnische Schule,Polytechnische Schule,ISCED 3 general,,,14,0,1,0,Not applicable (general education),na,na,
AT,2025/2026,AT09.Intermediate technical and vocational school,AT11.Intermediate technical and vocational school,Berufsbildende mittlere Schule,Berufsbildende mittlere Schule,ISCED 3 vocational,,,14,0,3,0,School-based programme,na,na,
AT,2025/2026,AT10.Higher technical and vocational college,"AT12.Higher technical and vocational college, grades 1-3",Berufsbildende höhere Schule,"Berufsbildende höhere Schule, Jahrgang 1-3",ISCED 3 vocational,,,14,0,3,0,School-based programme,na,na,
AT,2025/2026,AT11.Training institutions of the health sector,AT13.Training courses in the health sector,Ausbildungsstätten des Gesundheitsbereichs,Ausbildungen im Gesundheitsbereich,ISCED 3 vocational,,,15,0,1,0,Combined school- and work-based programme,na,na,
AT,2025/2026,AT12.Vocational school for apprentices ,AT14.Apprenticeship,Berufschule,Lehre (Duale Ausbildung),ISCED 3 vocational,,,15,0,3,0,Combined school- and work-based programme,na,na,
AT,2025/2026,AT13.Training institutions of the health sector,AT15.Specialist assistant training in the health sector,Ausbildungsstätten des Gesundheitsbereichs,Fachassistenz-Ausbildungen im Gesundheitsbereich,ISCED 3 vocational,,,16,0,2,0,Combined school- and work-based programme,na,na,
AT,2025/2026,,,,,,Full-time compulsory education/training,Allgemeinbildende Pflichtschule,5,0,10,0,,,,
AT,2025/2026,,,,,,Part-time,Berufsbildende Pflichtschule (Teilzeit),15,0,3,0,,,,
BA,2025/2026,BA01.Preschool institutions (nursery-kindergarten),BA01.Pre-school upbringing and education,Predškolske institucije (jaslice-dječiji vrtić),Predškolsko vaspitanje i obrazovanje,ISCED 0 centre-based,,,0,6,5,6,Not applicable (general education),centre-based,na,
BA,2025/2026,BA02.Elementary school,"BA02.Basic education, Grades 1-5",Osnovna škola,Osnovno obrazovanje - razredi 1-5,ISCED 1,,,6,0,5,0,Not applicable (general education),na,na,BA_GroupA
BA,2025/2026,BA02.Elementary school,"BA03.Basic education, Grades 6-9",Osnovna škola,Osnovno obrazovanje - razredi 6-9,ISCED 2 general,,,11,0,4,0,Not applicable (general education),na,na,BA_GroupA
BA,2025/2026,BA03.Gymnasium,BA04.General secondary education,Gimnazija,Srednje opšte obrazovanje,ISCED 3 general,,,15,0,4,0,Not applicable (general education),na,na,
BA,2025/2026,BA04.Three-year secondary vocational school,BA05.Secondary vocational education (3 years),Trogodišnje srednje stručne škole,Srednje stručno obrazovanje (3 godine),ISCED 3 vocational,,,15,0,3,0,Combined school- and work-based programme,na,na,
BA,2025/2026,BA05.Secondary vocational school with specialisation,BA06.Secondary technical education (4 years),Srednja stručna škola sa specijalizacijom,Srednje tehničko obrazovanje (4 godine),ISCED 3 vocational,,,15,0,4,0,School-based programme,na,na,
BA,2025/2026,BA06.School for more qualified workers,BA07.Vocational training programmes after secondary vocational education ,Škola za VKV radnike,"Postsekundarno obrazovanje-programi za kvalifikaciju ""majstor"" po završenom srednjem stručnom obrazovanju",ISCED 4,,,18,0,2,0,Combined school- and work-based programme,na,na,
BA,2025/2026,BA07.Secondary vocational school with specialisation,BA08.Vocational training programmes after secondary technical education ,Srednja stručna škola sa specijalizacijom,"Postsekundarno obrazovanje-programi za kvalifikaciju ""specijalist"" po završenom srednjem tehničkom obrazovanju",ISCED 4,,,19,0,1,0,Combined school- and work-based programme,na,na,
BA,2025/2026,,,,,,Full-time compulsory education/training,Redovno obavezno osnovno obrazovanje,6,0,9,0,,,,
BA,2025/2026,,,,,,Part-time,Vanredno obavezno osnovno obrazovanje,5,0,1,0,,,,
BEde,2025/2026,BEde01.Childminder,BEde01.Childminder,Tagesmutter,Tagesmutter,Non-ISCED home-based,,,0,3,2,9,Not applicable (general education),home-based,na,
BEde,2025/2026,BEde02.Nursery,BEde02.Nursery,Kinderkrippe,Kinderkrippe,Non-ISCED centre-based,,,0,3,2,9,Not applicable (general education),centre-based,na,
BEde,2025/2026,BEde03.Kindergarten,BEde03.Pre-primary education,Kindergarten,Kindergarten,ISCED 0 centre-based,,,2,6,3,6,Not applicable (general education),centre-based,na,
BEde,2025/2026,BEde04.Primary school,BEde04.Primary education,Primarschule,Primarschule,ISCED 1,,,6,0,6,0,Not applicable (general education),na,na,
BEde,2025/2026,BEde05.Secondary school,"BEde05.Secondary education, first stage (""observation stage""), A class",Sekundarschule,"Sekundarunterricht, erste Stufe, A-Klasse",ISCED 2 general,,,12,0,2,0,Not applicable (general education),na,na,
BEde,2025/2026,BEde05.Secondary school,"BEde06.Secondary education, first stage (""observation stage""), B class",Sekundarschule,"Sekundarunterricht, erste Stufe, B-Klasse",ISCED 2 general,,,12,0,2,0,Not applicable (general education),na,na,
BEde,2025/2026,BEde05.Secondary school,"BEde07.Secondary education - general secondary education, 2nd stage",Sekundarschule,"Sekundarunterricht, zweite Stufe - Allgemeinbildender Sekundarunterricht",ISCED 3 general,,,14,0,2,0,Not applicable (general education),na,na,BEde_GroupA
BEde,2025/2026,BEde05.Secondary school,"BEde08.Secondary education - general secondary education, 3rd stage",Sekundarschule,"Sekundarunterricht, dritte Stufe - Allgemeinbildender Sekundarunterricht",ISCED 3 general,,,16,0,2,0,Not applicable (general education),na,na,BEde_GroupA
BEde,2025/2026,BEde05.Secondary school,"BEde09.Secondary education - technical transition teaching, 2nd stage",Sekundarschule,"Sekundarunterricht, zweite Stufe - Technischer Übergangsunterricht ",ISCED 3 general,,,14,0,2,0,Not applicable (general education),na,na,BEde_GroupB
BEde,2025/2026,BEde05.Secondary school,"BEde10.Secondary education - technical transition teaching, 3rd stage",Sekundarschule,"Sekundarunterricht, dritte Stufe - Technischer Übergangsunterricht ",ISCED 3 general,,,16,0,2,0,Not applicable (general education),na,na,BEde_GroupB
BEde,2025/2026,BEde05.Secondary school,"BEde11.Secondary education - technical qualification instruction, 2nd stage",Sekundarschule,"Sekundarunterricht, zweite Stufe - Technischer Befähigungsunterricht ",ISCED 3 vocational,,,14,0,2,0,School-based programme,na,na,BEde_GroupC
BEde,2025/2026,BEde05.Secondary school,"BEde12.Secondary education - technical qualification instruction, 3rd stage",Sekundarschule,"Sekundarunterricht, dritte Stufe - Technischer Befähigungsunterricht ",ISCED 3 vocational,,,16,0,2,0,School-based programme,na,na,BEde_GroupC
BEde,2025/2026,BEde05.Secondary school,"BEde13.Secondary education - vocational secondary education, 2nd stage",Sekundarschule,"Sekundarunterricht, zweite Stufe - Berufsbildender Sekundarunterricht ",ISCED 3 vocational,,,14,0,2,0,School-based programme,na,na,BEde_GroupD
BEde,2025/2026,BEde05.Secondary school,"BEde14.Secondary education - vocational secondary education, 3rd stage",Sekundarschule,"Sekundarunterricht, dritte Stufe - Berufsbildender Sekundarunterricht ",ISCED 3 vocational,,,16,0,2,0,School-based programme,na,na,BEde_GroupD
BEde,2025/2026,BEde05.Secondary school,"BEde15.Secondary education, 7th year",Sekundarschule,7. Jahr des berufsbildenden Sekundarunterrichts,ISCED 3 general,,,18,0,1,0,Not applicable (general education),na,na,
BEde,2025/2026,BEde05.Secondary school,BEde16.Supplementary secondary vocational education,Sekundarschule,Ergänzender Berufsbildender Sekundarunterricht,ISCED 4,,,18,0,3,6,School-based programme,na,na,
BEde,2025/2026,BEde06.Centre for education and training in SMEs and small and medium-sized enterprises,BEde17.Dual programmes,Zentrum für Aus- und Weiterbildung des Mittelstands,Duale Ausbildung,ISCED 3 vocational,,,15,0,3,0,Combined school- and work-based programme,na,na,
BEde,2025/2026,,,,,,Full-time compulsory education/training,Vollzeitschulpflicht,5,0,10,0,,,,
BEde,2025/2026,,,,,,Part-time,Teilzeitschulpflicht,15,0,3,0,,,,
BEfr,2025/2026,BEfr01.Individual care,BEfr01.Home-based settings ,Accueillante,Milieux d'accueil de type familial,Non-ISCED home-based,,,0,3,2,9,Not applicable (general education),home-based,na,
BEfr,2025/2026,BEfr02.Daycare centre,BEfr02.Centre-based settings ,Crèche,Milieux d'accueil de type collectif,Non-ISCED centre-based,,,0,3,2,9,Not applicable (general education),centre-based,na,
BEfr,2025/2026,BEfr03.Pre-primary school,BEfr03.Pre-primary education,École maternelle,Enseignement maternel ,ISCED 0 centre-based,,,2,6,3,6,Not applicable (general education),centre-based,na,
BEfr,2025/2026,BEfr04.Primary school,BEfr04.Regular primary education,École primaire,Enseignement primaire ordinaire,ISCED 1,,,6,0,6,0,Not applicable (general education),na,na,
BEfr,2025/2026,BEfr05.Secondary school,BEfr05.Regular secondary education - differenciated first stage ,Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 1er degré différencié,ISCED 2 general,,,12,0,2,0,Not applicable (general education),na,na,
BEfr,2025/2026,BEfr05.Secondary school,BEfr06.Regular secondary education - common first stage ,Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 1er degré commun ,ISCED 2 general,,,12,0,2,0,Not applicable (general education),na,na,
BEfr,2025/2026,BEfr05.Secondary school,BEfr07.Regular secondary education - general - 2nd stage,Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 2e degré (général),ISCED 3 general,,,14,0,2,0,Not applicable (general education),na,na,BEfr_GroupA
BEfr,2025/2026,BEfr05.Secondary school,BEfr08.Regular secondary education - general - 3rd stage,Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 3e degré (général),ISCED 3 general,,,16,0,2,0,Not applicable (general education),na,na,BEfr_GroupA
BEfr,2025/2026,BEfr05.Secondary school,BEfr09.Regular secondary education - technical and artistic of transition - 2nd stage,Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 2e degré (technique ou artistique de transition),ISCED 3 general,,,14,0,2,0,Not applicable (general education),na,na,BEfr_GroupB
BEfr,2025/2026,BEfr05.Secondary school,BEfr10.Regular secondary education - technical and artistic of transition - 3rd stage,Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 3e degré (technique ou artistique de transition),ISCED 3 general,,,16,0,2,0,Not applicable (general education),na,na,BEfr_GroupB
BEfr,2025/2026,BEfr05.Secondary school,BEfr11.Regular secondary education - technical and artistic of qualfication - 2nd stage,Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 2e degré (technique ou artistique de qualification),ISCED 3 vocational,,,14,0,2,0,Combined school- and work-based programme,na,na,BEfr_GroupC
BEfr,2025/2026,BEfr05.Secondary school,BEfr12.Regular secondary education - technical and artistic of qualfication - 3rd stage,Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 3e degré (hors 7e année) (technique ou artistique de qualification),ISCED 3 vocational,,,16,0,2,0,Combined school- and work-based programme,na,na,BEfr_GroupC
BEfr,2025/2026,BEfr05.Secondary school,BEfr13.Regular secondary education - vocational - 2nd stage,Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 2e degré (professionnel),ISCED 3 vocational,,,14,0,2,0,Combined school- and work-based programme,na,na,BEfr_GroupD
BEfr,2025/2026,BEfr05.Secondary school,BEfr14.Regular secondary education - vocational - 3rd stage (1st and 2nd year),Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 3e degré (hors 7e année) (professionnel),ISCED 3 vocational,,,16,0,2,0,Combined school- and work-based programme,na,na,BEfr_GroupD
BEfr,2025/2026,BEfr05.Secondary school,BEfr15.7th year in preparation for higher education,Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 7e année préparatoire à l’enseignement supérieur,ISCED 4,,,18,0,1,0,Not applicable (general education),na,na,
BEfr,2025/2026,BEfr05.Secondary school,BEfr16.7th year of regular vocational secondary education,Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 7e année de l'enseignement secondaire professionnel,ISCED 4,,,18,0,1,0,Combined school- and work-based programme,na,na,
BEfr,2025/2026,BEfr05.Secondary school,BEfr17.Vocational secondary education - 4th stage,Établissement d'enseignement secondaire,Enseignement secondaire ordinaire - 4e degré de l'enseignement secondaire professionnel,ISCED 4,,,18,0,3,6,Combined school- and work-based programme,na,na,
BEfr,2025/2026,BEfr06.Centre for Dual Vocational Education and Training,"BEfr18.Apprenticeship training courses organised by IFAPME,…",Centre d’enseignement et de formation en alternance,"Apprentissage (IFAPME,…)",ISCED 3 vocational,,,15,0,3,0,Combined school- and work-based programme,na,na,
BEfr,2025/2026,,,,,,Full-time compulsory education/training,Enseignement obligatoire à temps plein,5,0,10,0,,,,
BEfr,2025/2026,,,,,,Part-time,Enseignement obligatoire à temps partiel,15,0,3,0,,,,
BEnl,2025/2026,BEnl01.Childminder,BEnl01.Childminder,Onthaalouder,Onthaalouder,ISCED 0 home-based,,,0,3,2,9,Not applicable (general education),home-based,na,
BEnl,2025/2026,BEnl02.Nursery,BEnl02.Nursery,Kinderdagverblijf,Kinderdagverblijf,ISCED 0 centre-based,,,0,3,2,9,Not applicable (general education),centre-based,na,
BEnl,2025/2026,BEnl03.Pre-primary school,BEnl03.Nursery education,Kleuterschool,Kleuteronderwijs,ISCED 0 centre-based,,,2,6,3,6,Not applicable (general education),centre-based,na,
BEnl,2025/2026,BEnl04.Primary school,BEnl04.Primary education,Lagere school,Lager onderwijs,ISCED 1,,,6,0,6,0,Not applicable (general education),na,na,
BEnl,2025/2026,BEnl05.Secondary school,BEnl05.Reception class for immigrants,Scholen voor secundair onderwijs,Onthaalklas voor anderstalige nieuwkomers,ISCED 2 general,,,12,0,2,0,Not applicable (general education),na,na,
BEnl,2025/2026,BEnl05.Secondary school,BEnl06.Regular secondary education - 1st stage (Stream A),Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 1ste graad (A Stroom),ISCED 2 general,,,12,0,2,0,Not applicable (general education),na,na,
BEnl,2025/2026,BEnl05.Secondary school,BEnl07.Regular secondary education - 1st stage (Stream B),Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 1ste graad (B Stroom),ISCED 2 general,,,12,0,2,0,Not applicable (general education),na,na,
BEnl,2025/2026,BEnl05.Secondary school,BEnl08.Regular secondary education - ASO (general secondary education) - 2nd stage,Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 2de graad ASO,ISCED 3 general,,,14,0,2,0,Not applicable (general education),na,na,BEnl_GroupA
BEnl,2025/2026,BEnl05.Secondary school,BEnl09.Regular secondary education - ASO (general secondary education) - 3rd stage (1st and 2nd year),Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 3de graad ASO,ISCED 3 general,,,16,0,2,0,Not applicable (general education),na,na,BEnl_GroupA
BEnl,2025/2026,BEnl05.Secondary school,BEnl10.Regular secondary education - KSO (artistic secondary education) - 2nd stage,Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 2de graad KSO,ISCED 3 general,,,14,0,2,0,Not applicable (general education),na,na,BEnl_GroupB
BEnl,2025/2026,BEnl05.Secondary school,BEnl11.Regular secondary education - KSO (artistic secondary education) - 3rd stage (1st and 2nd year),Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 3de graad KSO,ISCED 3 general,,,16,0,2,0,Not applicable (general education),na,na,BEnl_GroupB
BEnl,2025/2026,BEnl05.Secondary school,BEnl12.Regular secondary education - TSO (technical secondary education) - 2nd stage,Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 2de graad TSO,ISCED 3 vocational,,,14,0,2,0,School-based programme,na,na,BEnl_GroupC
BEnl,2025/2026,BEnl05.Secondary school,BEnl13.Regular secondary education - TSO (technical secondary education) - 3rd stage (1st and 2nd year),Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 3de graad TSO,ISCED 3 vocational,,,16,0,2,0,School-based programme,na,na,BEnl_GroupC
BEnl,2025/2026,BEnl05.Secondary school,BEnl14.Regular secondary education - TSO (technical secondary education) - 3rd stage (1st and 2nd year) - dual learning,Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 3de graad TSO - Duaal leren,ISCED 3 vocational,,,16,0,2,0,Combined school- and work-based programme,na,na,
BEnl,2025/2026,BEnl05.Secondary school,BEnl15.Regular secondary education - BSO (vocational secondary education; including modular education) - 2nd stage,Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 2de graad BSO,ISCED 3 vocational,,,14,0,2,0,School-based programme,na,na,BEnl_GroupD
BEnl,2025/2026,BEnl05.Secondary school,BEnl16.Regular secondary education - BSO (vocational secondary education; including modular education) - 3rd stage (1st and 2nd year),Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 3de graad BSO,ISCED 3 vocational,,,16,0,2,0,School-based programme,na,na,BEnl_GroupD
BEnl,2025/2026,BEnl05.Secondary school,BEnl17.Regular secondary education - BSO (vocational secondary education; including modular education) - 2nd stage - dual learning,Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 2de graad BSO - Duaal leren,ISCED 3 vocational,,,14,0,2,0,Combined school- and work-based programme,na,na,BEnl_GroupE
BEnl,2025/2026,BEnl05.Secondary school,BEnl18.Regular secondary education - BSO (vocational secondary education; including modular education) - 3rd stage (1st and 2nd year) - dual learning,Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 3de graad BSO - Duaal leren,ISCED 3 vocational,,,16,0,2,0,Combined school- and work-based programme,na,na,BEnl_GroupE
BEnl,2025/2026,BEnl05.Secondary school,BEnl19.Regular secondary education - 7th year,Scholen voor secundair onderwijs,Gewoon secundair onderwijs - 7de jaar,ISCED 3 vocational,,,18,0,1,0,School-based programme,na,na,
BEnl,2025/2026,,,,,,Full-time compulsory education/training,Voltijds onderwijs/voltijdse leerplicht,5,0,10,0,,,,
BEnl,2025/2026,,,,,,Part-time,Deeltijds onderwijs/deeltijdse leerplicht,15,0,3,0,,,,
BG,2025/2026,BG01.Day nursery (crèche) ,BG01.Nursery (crèche) ,Detska yasla,Detska yasla,Non-ISCED centre-based,,,0,3,2,9,Not applicable (general education),centre-based,na,
BG,2025/2026,BG02.Kindergarten,BG02.Kindergarten,Detska gradina,Detska gradina,ISCED 0 centre-based,,,3,0,1,0,Not applicable (general education),centre-based,na,BG_GroupA
BG,2025/2026,BG02.Kindergarten,BG03.Pre-primary education,Detska gradina,Preduchilishtno obrazovanie,ISCED 0 centre-based,,,4,0,3,0,Not applicable (general education),centre-based,na,BG_GroupA
BG,2025/2026,BG03.Primary school,BG04.Pre-primary education,Uchilishte,Preduchilishtno obrazovanie,ISCED 0 centre-based,,,4,0,3,0,Not applicable (general education),centre-based,na,
BG,2025/2026,BG04.Basic school,"BG05.Basic education, primary stage",Osnovno uchilishte,Nachalen etap na osnovnoto obrazobanie,ISCED 1,,,7,0,4,0,Not applicable (general education),na,na,BG_GroupB
BG,2025/2026,BG04.Basic school,"BG06.Basic education, lower secondary stage",Osnovno uchilishte,Progimnazialen etap na osnovnoto obrazovanie,ISCED 2 general,,,11,0,3,0,Not applicable (general education),na,na,BG_GroupB
BG,2025/2026,BG05.High school,BG07.Upper secondary general and special profile education - 1st stage,Gimnazia,Parvi etap na sredno obshto I sredno profilirano obrazovanie,ISCED 3 general,,,14,0,3,0,Not applicable (general education),na,na,BG_GroupC
BG,2025/2026,BG05.High school,BG08.Upper secondary general and special profile education - 2nd stage,Gimnazia,Vtori etap na sredno obshto I sredno profilirano obrazovanie,ISCED 3 general,,,17,0,2,0,Not applicable (general education),na,na,BG_GroupC
BG,2025/2026,BG06.Profile high school,BG09.Upper secondary general and special profile education - 1st stage,Profilirana gimnazia,Parvi etap na sredno obshto I sredno profilirano obrazovanie,ISCED 3 general,,,14,0,3,0,Not applicable (general education),na,na,BG_GroupD
BG,2025/2026,BG06.Profile high school,BG10.Upper secondary general and special profile education - 2nd stage,Profilirana gimnazia,Vtori etap na sredno obshto I sredno profilirano obrazovanie,ISCED 3 general,,,17,0,2,0,Not applicable (general education),na,na,BG_GroupD
BG,2025/2026,BG07.Vocational high school,BG11.Upper secondary vocational education - 1st stage,Professionalna gimnazia,Parvi etap na sredno profesionalno obrazovanie,ISCED 3 vocational,,,14,0,3,0,School-based programme,na,na,BG_GroupE
BG,2025/2026,BG07.Vocational high school,BG12.Upper secondary vocational education - 2nd stage,Professionalna gimnazia,Vtori etap na sredno profesionalno obrazovanie,ISCED 3 vocational,,,17,0,2,0,School-based programme,na,na,BG_GroupE
BG,2025/2026,BG08.Vocational college,BG13.Initial vocational training with obtaining fourth level of professional qualification ,Profesionalen Kolej,Nachalno profesionalno obuchenie s pridobivane na chetvarta stepen na profesionalna kvalifikatsia,ISCED 4,,,19,0,2,0,Combined school- and work-based programme,na,na,
BG,2025/2026,,,,,,Full-time compulsory education/training,Zadaljitelno celodnevno obuchenie,4,0,12,0,,,,
BG,2025/2026,,,,,,Part-time,,0,0,0,0,,,,
CH,2025/2026,CH01.Day family ,CH01.Day family ,Tagesfamilie / famille de jour / famiglia diurna,Tagesfamilie / famille de jour / famiglia diurna,Non-ISCED home-based,,,0,0,4,0,Not applicable (general education),home-based,na,
CH,2025/2026,CH02.Daycare centre,CH02.Nursery,Kindertagesstätte / crèche / nido d'infanzia,Kindertagesstätte / crèche / nido d'infanzia,Non-ISCED centre-based,,,0,0,4,0,Not applicable (general education),centre-based,na,
CH,2025/2026,CH03.Kindergarten,CH03.Kindergarten,Kindergarten / Ecole enfantine / Scuola dell’infanzia,Kindergarten / Ecole enfantine / Scuola dell’infanzia,ISCED 0 centre-based,,,4,0,2,0,Not applicable (general education),centre-based,na,
CH,2025/2026,CH04.Primary school,CH04.Primary school,Primarschule / école primaire / scuola elementare,Primarschule / école primaire / scuola elementare,ISCED 1,,,6,0,6,0,Not applicable (general education),na,na,
CH,2025/2026,CH05.Lower secondary,CH05.Lower secondary,Sekundarstufe I / secondaire I / secondario I,Sekundarstufe I / secondaire I / secondario I,ISCED 2 general,,,12,0,3,0,Not applicable (general education),na,na,
CH,2025/2026,CH06.Bridge-year course,CH06.Bridge-year course,,Brückenangebot / offre transitoire / formazione transitoria,ISCED 3 general,,,15,0,1,0,Not applicable (general education),na,YES,
CH,2025/2026,CH07.Specialised school,CH07.Specialised school,Fachmittelschule / école de culture générale / scuola specializzata,Fachmittelschule / école de culture générale / scuola specializzata,ISCED 3 general,,,15,0,3,0,Not applicable (general education),na,na,
CH,2025/2026,CH08.Vocational baccalaureate school,CH08.Vocational baccalaureate during initial vocational education and training,Berufsmaturitätsschule / école de maturité professionnelle / scuola di maturità professionale,Berufsmaturität während der beruflichen Grundbildung / maturité professionnelle pendant la formation professionnelle initiale / maturità professionale durante la formazione professionale di base,ISCED 3 general,,,15,0,3,0,Not applicable (general education),na,na,
