year,region,school,students,expenditure_euro,graduation_rate
2022,Lazio,School_9,537,449111,0.88
2022,Lazio,School_10,325,491620,0.85
2022,Lombardia,School_1,383,483006,0.84
2022,Lombardia,School_2,552,405323,0.91
2022,Lombardia,School_3,758,152946,0.92
2022,Lombardia,School_4,611,237563,0.97
2022,Lombardia,School_5,576,132989,0.97
2022,Lombardia,School_6,198,213707,0.7
2022,Lombardia,School_7,379,315564,0.82
2022,Lombardia,School_8,280,165294,0.98
2022,Lombardia,School_9,215,115726,0.79
2022,Lombardia,School_10,260,168015,0.84
2022,Campania,School_1,117,215656,0.81
2022,Campania,School_2,665,415890,0.87
2022,Campania,School_3,891,292289,0.88
2022,Campania,School_4,953,68070,0.74
2022,Campania,School_5,254,60729,0.95
2022,Campania,School_6,884,208823,0.9
2022,Campania,School_7,910,259141,0.8
2022,Campania,School_8,576,55801,0.93
2022,Campania,School_9,966,494209,0.95
2022,Campania,School_10,624,269963,0.85
2022,Sicilia,School_1,924,422771,0.93
2022,Sicilia,School_2,420,127575,0.9
2022,Sicilia,School_3,499,137922,0.8
2022,Sicilia,School_4,191,82097,0.73
2022,Sicilia,School_5,826,174862,0.71
2022,Sicilia,School_6,764,102921,0.86
2022,Sicilia,School_7,224,334821,0.87
2022,Sicilia,School_8,441,81024,0.71
2022,Sicilia,School_9,937,234078,0.8
2022,Sicilia,School_10,543,163632,0.94
2022,Veneto,School_1,671,53051,0.98
2022,Veneto,School_2,202,137235,0.94
2022,Veneto,School_3,983,475309,0.86
2022,Veneto,School_4,922,253687,0.91
2022,Veneto,School_5,368,283841,0.85
2022,Veneto,School_6,769,272866,0.93
2022,Veneto,School_7,930,260706,0.83
2022,Veneto,School_8,445,402996,0.75
2022,Veneto,School_9,929,233062,0.82
2022,Veneto,School_10,740,378761,0.97
2023,Lazio,School_1,850,227247,0.86
2023,Lazio,School_2,659,70056,0.89
2023,Lazio,School_3,984,423632,0.98
2023,Lazio,School_4,803,190734,0.83
2023,Lazio,School_5,960,240710,0.71
2023,Lazio,School_6,253,117215,0.75
2023,Lazio,School_7,185,405612,0.73
2023,Lazio,School_8,168,225150,0.71
2023,Lazio,School_9,849,128781,0.9
2023,Lazio,School_10,303,356063,0.73
2023,Lombardia,School_1,531,171172,0.84
2023,Lombardia,School_2,388,368717,0.83
2023,Lombardia,School_3,122,416329,0.88
2023,Lombardia,School_4,936,409523,0.71
2023,Lombardia,School_5,322,246489,0.88
2023,Lombardia,School_6,541,321967,0.95
2023,Lombardia,School_7,424,66364,0.75
2023,Lombardia,School_8,891,238751,0.89
2023,Lombardia,School_9,596,99115,0.87
2023,Lombardia,School_10,574,247459,0.87
2023,Campania,School_1,789,61938,0.89
2023,Campania,School_2,790,405754,0.97
2023,Campania,School_3,934,88304,0.89
2023,Campania,School_4,142,201836,0.72
2023,Campania,School_5,706,315517,0.71
2023,Campania,School_6,598,435777,0.9
2023,Campania,School_7,948,406441,0.79
2023,Campania,School_8,701,257869,0.94
2023,Campania,School_9,716,332502,0.73
2023,Campania,School_10,600,350657,0.88
2023,Sicilia,School_1,512,57543,0.91
2023,Sicilia,School_2,376,270156,0.78
2023,Sicilia,School_3,493,88756,0.92
2023,Sicilia,School_4,291,164352,0.91
2023,Sicilia,School_5,647,349985,0.77
2023,Sicilia,School_6,195,269798,0.97
2023,Sicilia,School_7,136,356955,0.82
2023,Sicilia,School_8,624,224358,0.92
2023,Sicilia,School_9,972,236141,0.96
2023,Sicilia,School_10,161,484771,0.94
2023,Veneto,School_1,441,169180,0.96
2023,Veneto,School_2,276,129459,0.7
2023,Veneto,School_3,332,467682,0.73
2023,Veneto,School_4,554,109163,0.98
2023,Veneto,School_5,483,475523,0.87
2023,Veneto,School_6,466,189407,0.83
2023,Veneto,School_7,198,152795,0.8
2023,Veneto,School_8,990,399652,0.92
2023,Veneto,School_9,250,247775,0.93
2023,Veneto,School_10,208,139780,0.84
2024,Lazio,School_1,497,438318,0.72
2024,Lazio,School_2,262,88102,0.86
2024,Lazio,School_3,942,56801,0.98
2024,Lazio,School_4,108,204697,0.94
2024,Lazio,School_5,352,487477,0.72
2024,Lazio,School_6,752,231415,0.72
2024,Lazio,School_7,894,331209,0.74
2024,Lazio,School_8,128,366837,0.99
2024,Lazio,School_9,595,485564,0.81
2024,Lazio,School_10,599,483478,0.99
2024,Lombardia,School_1,231,216981,0.91
2024,Lombardia,School_2,886,253196,0.81
2024,Lombardia,School_3,266,168874,0.77
2024,Lombardia,School_4,630,65485,0.84
2024,Lombardia,School_5,752,267841,0.84
2024,Lombardia,School_6,157,80355,0.73
2024,Lombardia,School_7,928,206542,0.89
2024,Lombardia,School_8,100,89298,0.87
2024,Lombardia,School_9,289,378184,0.81
2024,Lombardia,School_10,468,73960,0.95
2024,Campania,School_1,216,426965,0.93
2024,Campania,School_2,784,179695,0.86
2024,Campania,School_3,914,178148,0.71
2024,Campania,School_4,312,242714,0.97
2024,Campania,School_5,775,141362,0.9
2024,Campania,School_6,540,164065,0.75
2024,Campania,School_7,404,350557,0.79
2024,Campania,School_8,612,160133,0.87
2024,Campania,School_9,755,222502,0.71
2024,Campania,School_10,111,411801,0.98
2024,Sicilia,School_1,457,438043,0.73
2024,Sicilia,School_2,472,210775,0.75
2024,Sicilia,School_3,775,373673,0.81
2024,Sicilia,School_4,415,212993,0.78
2024,Sicilia,School_5,968,177016,0.78
2024,Sicilia,School_6,601,433934,0.86
2024,Sicilia,School_7,823,216619,0.78
2024,Sicilia,School_8,657,172402,0.94
2024,Sicilia,School_9,693,106178,0.91
2024,Sicilia,School_10,914,179473,0.72
2024,Veneto,School_1,897,467009,0.86
2024,Veneto,School_2,104,51015,0.81
2024,Veneto,School_3,164,150497,0.99
2024,Veneto,School_4,276,178778,0.87
2024,Veneto,School_5,162,243752,0.98
2024,Veneto,School_6,894,358684,0.72
2024,Veneto,School_7,204,155570,0.74
2024,Veneto,School_8,504,484159,0.72
2024,Veneto,School_9,575,199456,0.85
2024,Veneto,School_10,744,285365,0.96
2025,Lazio,School_1,122,335668,0.91
2025,Lazio,School_2,813,213273,0.81
2025,Lazio,School_3,184,499613,0.76
2025,Lazio,School_4,100,357250,0.78
2025,Lazio,School_5,871,71949,0.95
2025,Lazio,School_6,587,420463,0.71
2025,Lazio,School_7,194,188311,0.71
2025,Lazio,School_8,349,239089,0.84
2025,Lazio,School_9,870,144074,0.79
2025,Lazio,School_10,153,386107,0.86
2025,Lombardia,School_1,833,349770,0.82
2025,Lombardia,School_2,723,331342,0.71
2025,Lombardia,School_3,306,51252,0.88
2025,Lombardia,School_4,677,365826,0.96
2025,Lombardia,School_5,803,128587,0.98
2025,Lombardia,School_6,405,367537,0.88
2025,Lombardia,School_7,434,466602,0.73
2025,Lombardia,School_8,407,406600,0.85
2025,Lombardia,School_9,434,300875,0.79
2025,Lombardia,School_10,205,303490,0.9
2025,Campania,School_1,896,483027,0.83
2025,Campania,School_2,500,268441,0.92
2025,Campania,School_3,951,175911,0.71
2025,Campania,School_4,873,326532,0.8
2025,Campania,School_5,225,479802,0.87
2025,Campania,School_6,982,187326,0.74
2025,Campania,School_7,282,261791,0.74
2025,Campania,School_8,473,203487,0.89
2025,Campania,School_9,459,437971,0.8
2025,Campania,School_10,294,264879,0.84
2025,Sicilia,School_1,192,427503,0.75
2025,Sicilia,School_2,733,454530,0.71
2025,Sicilia,School_3,104,161195,0.8
2025,Sicilia,School_4,633,391396,0.86
2025,Sicilia,School_5,744,416824,0.8
2025,Sicilia,School_6,145,101745,0.74
2025,Sicilia,School_7,829,424572,0.79
2025,Sicilia,School_8,893,453704,0.84
2025,Sicilia,School_9,313,453694,0.85
2025,Sicilia,School_10,206,462478,0.81
2025,Veneto,School_1,436,145257,0.95
2025,Veneto,School_2,107,439744,0.87
2025,Veneto,School_3,791,443518,0.81
2025,Veneto,School_4,825,189789,0.88
2025,Veneto,School_5,177,94247,0.91
2025,Veneto,School_6,765,316765,0.74
2025,Veneto,School_7,982,448342,0.9
2025,Veneto,School_8,849,498874,0.85
2025,Veneto,School_9,373,155977,0.8
2025,Veneto,School_10,982,216926,0.73
