region,dsu_ente,academic_year,k,entity_is_ersu_like,applications_total,eligible_students_total,beneficiaries_borse_total,beneficiaries_prestiti_total,beneficiaries_disability_support_total,spesa_borse_total,spesa_prestiti_total,spesa_mobilita_total,spesa_disability_support_total,spesa_alloggi_total,spesa_ristorazione_total,spesa_dsu_total,posti_alloggio_total,posti_alloggio_idonei,posti_alloggio_non_idonei,posti_mensa_total,pasti_erogati_total,studenti_mensa_total,grant_coverage_rate,grant_coverage_rate_capped,avg_borsa_support_eur,avg_mensa_spend_per_student_eur
Lombardia,ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi,2024-2025 ,LOMBARDIA||ISU BOCCONI - CENTRO PER IL DSU - UNIVERSITÀ COMMERCIALE L.BOCCONI,False,1673.0,1368.0,2942.0,0.0,0.0,7195556.7,0.0,499546.0,0.0,0.0,0.0,7695102.7,1705.0,372.0,1327.0,0.0,113387.0,0.0,1.7585176329946204,1,2445.8044527532293,0
Lombardia,Politecnico di Milano - Servizio DSU e mobilità internazionale,2024-2025 ,LOMBARDIA||POLITECNICO DI MILANO - SERVIZIO DSU E MOBILITÀ INTERNAZIONALE,False,16333.0,10536.0,22418.0,0.0,24.0,41847252.54,0.0,52578.97,100481.0,0.0,0.0,42542803.66,1636.0,985.0,443.0,0.0,1074539.0,6427.0,1.3725586236453806,1,1866.680905522348,0.0
Lombardia,SIS - Università degli studi di Bergamo,2024-2025 ,LOMBARDIA||SIS - UNIVERSITÀ DEGLI STUDI DI BERGAMO,False,3218.0,2088.0,4542.0,0.0,3.0,9540447.94,0.0,46361.48,4193.2,0.0,0.0,10654383.84,204.0,187.0,16.0,0.0,155158.0,0.0,1.4114356743318832,1,2100.4949229414356,0
Lombardia,"Ufficio per il DSU - ''Scuole Civiche"" di Milano",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - ''SCUOLE CIVICHE"" DI MILANO",False,54.0,46.0,94.0,0.0,0.0,222940.0,0.0,3000.0,2730.0,0.0,0.0,245037.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7407407407407407,1,2371.7021276595747,0
Lombardia,"Ufficio per il DSU - Accademia ''Aldo Galli"" di Como",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - ACCADEMIA ''ALDO GALLI"" DI COMO",False,3.0,3.0,7.0,0.0,0.0,16539.13,0.0,0.0,0.0,0.0,0.0,16539.13,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,1,2362.7328571428575,0
Lombardia,"Ufficio per il DSU - Accademia ''Santagiulia"" di Brescia",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - ACCADEMIA ''SANTAGIULIA"" DI BRESCIA",False,116.0,82.0,170.0,0.0,0.0,413125.46,0.0,0.0,0.0,0.0,0.0,413125.46,0.0,0.0,0.0,0.0,0.0,0.0,1.4655172413793103,1,2430.1497647058823,0
Lombardia,Ufficio per il DSU - Accademia A.C.M.E di Milano,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - ACCADEMIA A.C.M.E DI MILANO,False,17.0,17.0,39.0,0.0,0.0,94431.36,0.0,0.0,0.0,0.0,0.0,94431.36,0.0,0.0,0.0,0.0,0.0,0.0,2.2941176470588234,1,2421.316923076923,0
Lombardia,"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - ACCADEMIA DI BELLE ARTI ''BRERA"" DI MILANO",False,573.0,367.0,783.0,0.0,0.0,1303568.87,0.0,0.0,0.0,0.0,0.0,1368456.27,0.0,0.0,0.0,0.0,15486.0,258.0,1.3664921465968587,1,1664.8389144316732,0.0
Lombardia,"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Como",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - CONSERVATORIO ''GIUSEPPE VERDI"" DI COMO",False,5.0,4.0,12.0,0.0,0.0,21446.0,0.0,0.0,0.0,0.0,0.0,23686.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1,1787.1666666666667,0
Lombardia,"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - CONSERVATORIO ''GIUSEPPE VERDI"" DI MILANO",False,127.0,102.0,180.0,0.0,0.0,499203.89,0.0,8400.0,4179.2,0.0,0.0,511783.09,0.0,0.0,0.0,0.0,0.0,0.0,1.4173228346456692,1,2773.3549444444443,0
Lombardia,"Ufficio per il DSU - Conservatorio ''Luca Marenzio"" di Brescia",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - CONSERVATORIO ''LUCA MARENZIO"" DI BRESCIA",False,25.0,18.0,29.0,0.0,0.0,80392.81,0.0,0.0,0.0,0.0,0.0,94086.31,0.0,0.0,0.0,0.0,0.0,0.0,1.16,1,2772.1658620689655,0
Lombardia,Ufficio per il DSU - Conservatorio Lucio Campiani di Mantova,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - CONSERVATORIO LUCIO CAMPIANI DI MANTOVA,False,1.0,1.0,3.0,0.0,0.0,8204.0,0.0,0.0,0.0,0.0,0.0,8204.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,2734.6666666666665,0
Lombardia,"Ufficio per il DSU - Conservatorio statale ""C. Monteverdi"" di Cremona",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - CONSERVATORIO STATALE ""C. MONTEVERDI"" DI CREMONA",False,9.0,9.0,14.0,0.0,0.0,28824.0,0.0,5162.0,0.0,0.0,0.0,38486.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5555555555555556,1,2058.8571428571427,0
Lombardia,"Ufficio per il DSU - Conservatorio statale ""Franco Vittadini"" di Pavia",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - CONSERVATORIO STATALE ""FRANCO VITTADINI"" DI PAVIA",False,23.0,20.0,39.0,0.0,0.0,92991.01,0.0,6845.0,0.0,0.0,0.0,99836.01,0.0,0.0,0.0,0.0,0.0,0.0,1.6956521739130435,1,2384.3848717948717,0
Lombardia,"Ufficio per il DSU - Conservatorio statale ""Giacomo Puccini"" di GALLARATE (VA)",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - CONSERVATORIO STATALE ""GIACOMO PUCCINI"" DI GALLARATE (VA)",False,5.0,5.0,10.0,0.0,0.0,15372.0,0.0,0.0,0.0,0.0,0.0,21947.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1537.2,0
Lombardia,Ufficio per il DSU - Humanitas University di Rozzano (MI),2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - HUMANITAS UNIVERSITY DI ROZZANO (MI),False,22.0,17.0,36.0,0.0,0.0,132821.95,0.0,0.0,0.0,0.0,0.0,132821.95,8.0,4.0,4.0,0.0,0.0,0.0,1.6363636363636365,1,3689.4986111111116,0
Lombardia,Ufficio per il DSU - Istituto Europeo del Design (IED),2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - ISTITUTO EUROPEO DEL DESIGN (IED),False,191.0,134.0,267.0,0.0,0.0,743218.56,0.0,0.0,24089.8,0.0,0.0,767308.36,0.0,0.0,0.0,0.0,0.0,0.0,1.3979057591623036,1,2783.590112359551,0
Lombardia,Ufficio per il DSU - Istituto Marangoni di Milano,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - ISTITUTO MARANGONI DI MILANO,False,4.0,2.0,5.0,0.0,0.0,15868.57,0.0,0.0,0.0,0.0,0.0,18947.57,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1,3173.714,0
Lombardia,Ufficio per il DSU - Istituto Mussida di Milano,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - ISTITUTO MUSSIDA DI MILANO,False,6.0,3.0,5.0,0.0,0.0,24917.0,0.0,0.0,0.0,0.0,0.0,24917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,4983.4,0
Lombardia,Ufficio per il DSU - Istituto Raffles di MILANO,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - ISTITUTO RAFFLES DI MILANO,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Lombardia,Ufficio per il DSU - Istituto Secoli di MILANO,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - ISTITUTO SECOLI DI MILANO,False,5.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0.0,0
Lombardia,Ufficio per il DSU - Istituto Universitario in Scienze della Mediazione linguistica di Varese,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - ISTITUTO UNIVERSITARIO IN SCIENZE DELLA MEDIAZIONE LINGUISTICA DI VARESE,False,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,0
Lombardia,Ufficio per il DSU - Libera Accademia di Belle Arti di Brescia,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - LIBERA ACCADEMIA DI BELLE ARTI DI BRESCIA,False,217.0,181.0,365.0,14.0,0.0,890403.78,51800.0,0.0,0.0,0.0,0.0,1033557.28,0.0,0.0,0.0,0.0,0.0,0.0,1.6820276497695852,1,2439.462410958904,0
Lombardia,Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM),2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - LIBERA UNIVERSITÀ DI LINGUE E COMUNICAZIONE (IULM),False,1369.0,947.0,1981.0,0.0,0.0,3381147.82,0.0,20284.0,0.0,0.0,0.0,4004818.32,307.0,85.0,184.0,0.0,28882.0,0.0,1.4470416362308254,1,1706.7883997980816,0
Lombardia,Ufficio per il DSU - Nuova Accademia di Belle Arti di Milano,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - NUOVA ACCADEMIA DI BELLE ARTI DI MILANO,False,264.0,150.0,324.0,0.0,6.0,1204364.0,0.0,0.0,0.0,0.0,0.0,1204364.0,0.0,0.0,0.0,0.0,186154.0,4454.0,1.2272727272727273,1,3717.1728395061727,0.0
Lombardia,"Ufficio per il DSU - Politecnico delle Arti ""Gaetano Donizetti - Giacomo Carrara"" (Area Artistica) di Bergamo",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - POLITECNICO DELLE ARTI ""GAETANO DONIZETTI - GIACOMO CARRARA"" (AREA ARTISTICA) DI BERGAMO",False,41.0,38.0,66.0,0.0,0.0,158723.0,0.0,0.0,0.0,0.0,0.0,158723.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6097560975609757,1,2404.8939393939395,0
Lombardia,"Ufficio per il DSU - Politecnico delle Arti ""Gaetano Donizetti - Giacomo Carrara"" (Area Musicale) di Bergamo",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - POLITECNICO DELLE ARTI ""GAETANO DONIZETTI - GIACOMO CARRARA"" (AREA MUSICALE) DI BERGAMO",False,12.0,12.0,9.0,0.0,3.0,35806.0,0.0,945.0,1560.0,0.0,0.0,38311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,3978.4444444444443,0
Lombardia,Ufficio per il DSU - SAE di Milano,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - SAE DI MILANO,False,12.0,12.0,22.0,0.0,0.0,61307.0,0.0,0.0,26100.0,0.0,0.0,87407.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,1,2786.681818181818,0
Lombardia,Ufficio per il DSU - SSML CIELS di Brescia,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - SSML CIELS DI BRESCIA,False,58.0,47.0,129.0,0.0,0.0,305952.0,0.0,0.0,0.0,0.0,0.0,307202.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2241379310344827,1,2371.720930232558,0
Lombardia,Ufficio per il DSU - SSML Gonzaga di Mantova,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - SSML GONZAGA DI MANTOVA,False,22.0,16.0,34.0,0.0,0.0,67265.0,0.0,0.0,0.0,0.0,0.0,67265.0,63.0,6.0,51.0,0.0,0.0,0.0,1.5454545454545454,1,1978.3823529411766,0
Lombardia,Ufficio per il DSU - SSML Unicollege sede di Mantova,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - SSML UNICOLLEGE SEDE DI MANTOVA,False,38.0,29.0,58.0,0.0,0.0,141878.87,0.0,3100.0,0.0,0.0,0.0,144978.87,0.0,0.0,0.0,0.0,0.0,0.0,1.5263157894736843,1,2446.1874137931036,0
Lombardia,"Ufficio per il DSU - Scuola Superiore per Mediatori Linguistici ''P.M.Loria"" di Milano",2024-2025 ,"LOMBARDIA||UFFICIO PER IL DSU - SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI ''P.M.LORIA"" DI MILANO",False,59.0,50.0,109.0,0.0,0.0,189972.58,0.0,0.0,0.0,0.0,0.0,189972.58,0.0,0.0,0.0,0.0,0.0,0.0,1.847457627118644,1,1742.8677064220183,0
Lombardia,Ufficio per il DSU - Teatro Alla Scala,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU - TEATRO ALLA SCALA,False,13.0,11.0,19.0,0.0,0.0,35515.79,0.0,0.0,0.0,0.0,0.0,35515.79,0.0,0.0,0.0,0.0,0.0,0.0,1.4615384615384615,1,1869.252105263158,0
Lombardia,Ufficio per il DSU -Università degli Studi dell'Insubria,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU -UNIVERSITÀ DEGLI STUDI DELL'INSUBRIA,False,1077.0,576.0,1222.0,0.0,7.0,1980228.6300000001,0.0,0.0,8334.0,3629.76,0.0,1996192.3900000001,233.0,88.0,103.0,0.0,16960.0,166.0,1.1346332404828225,1,1620.4816939443535,0.0
Lombardia,Ufficio per il DSU -Università degli studi di Milano,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU -UNIVERSITÀ DEGLI STUDI DI MILANO,False,13417.0,7149.0,15689.0,0.0,40.0,28456311.63,0.0,117161.0,68183.4,0.0,0.0,30362500.709999997,1346.0,1115.0,0.0,0.0,689731.0,7081.0,1.1693374077662666,1,1813.7747230543691,0.0
Lombardia,Ufficio per il DSU -Università degli studi di Milano-Bicocca,2024-2025 ,LOMBARDIA||UFFICIO PER IL DSU -UNIVERSITÀ DEGLI STUDI DI MILANO-BICOCCA,False,7130.0,4419.0,9799.0,0.0,35.0,12418113.709999999,0.0,43091.52,47283.6,0.0,0.0,14199489.27,831.0,691.0,116.0,0.0,226762.0,0.0,1.3743338008415147,1,1267.283774874987,0
Lombardia,"Università ''Vita-Salute"" San Raffaele",2024-2025 ,"LOMBARDIA||UNIVERSITÀ ''VITA-SALUTE"" SAN RAFFAELE",False,282.0,184.0,380.0,0.0,3.0,905610.3500000001,0.0,1788.0,5839.16,0.0,0.0,913237.51,35.0,34.0,0.0,0.0,0.0,0.0,1.3475177304964538,1,2383.1851315789477,0
Lombardia,"Università Carlo Cattaneo, Ufficio diritto allo studio",2024-2025 ,"LOMBARDIA||UNIVERSITÀ CARLO CATTANEO, UFFICIO DIRITTO ALLO STUDIO",True,124.0,107.0,235.0,0.0,0.0,483037.57999999996,0.0,2234.5,0.0,0.0,0.0,570254.32,38.0,33.0,5.0,0.0,1639.0,0.0,1.8951612903225807,1,2055.4790638297873,0
Marche,ERDIS Marche,2024-2025 ,MARCHE||ERDIS MARCHE,False,16280.0,7064.0,18350.0,0.0,0.0,47057502.8,0.0,150396.41999999998,4818.98,0.0,0.0,47288248.92,3622.0,2611.0,764.0,0.0,990146.0,12755.0,1.1271498771498771,1,2564.4415694822887,0.0
Molise,ESU del Molise,2024-2025 ,MOLISE||ESU DEL MOLISE,False,1253.0,1253.0,2957.0,0.0,6.0,8678088.54,0.0,0.0,0.0,0.0,0.0,8678088.54,0.0,0.0,0.0,0.0,8222.0,0.0,2.3599361532322427,1,2934.7610889414946,0
Piemonte,EDISU del Piemonte,2024-2025 ,PIEMONTE||EDISU DEL PIEMONTE,True,36983.0,25184.0,58557.0,0.0,43.0,139432301.38500002,0.0,921100.0,323056.18,0.0,0.0,143400356.60500002,3197.0,2744.0,0.0,0.0,1046395.0,23699.0,1.583349106346159,1,2381.138060095292,0.0
Puglia,ADISU Puglia,2024-2025 ,PUGLIA||ADISU PUGLIA,True,29319.0,23107.0,55483.0,0.0,0.0,171006169.75,0.0,0.0,0.0,0.0,0.0,171006169.75,2306.0,2174.0,0.0,0.0,858139.0,16031.0,1.8923905999522495,1,3082.1363255411566,0.0
Sardegna,ERSU di Cagliari,2024-2025 ,SARDEGNA||ERSU DI CAGLIARI,True,9690.0,7672.0,17373.0,0.0,200.0,48784511.39,0.0,0.0,1317530.45,0.0,0.0,51643238.980000004,396.0,396.0,0.0,0.0,562529.0,10650.0,1.7928792569659442,1,2808.0648932251192,0.0
Sardegna,ERSU di Sassari,2024-2025 ,SARDEGNA||ERSU DI SASSARI,True,4314.0,3317.0,7491.0,0.0,0.0,18693229.95,0.0,0.0,0.0,2313851.2,0.0,21043406.15,652.0,487.0,83.0,0.0,0.0,0.0,1.7364394993045897,1,2495.425170204245,0
Sicilia,ERSU Catania,2024-2025 ,SICILIA||ERSU CATANIA,True,11351.0,9010.0,22348.0,0.0,199.0,44898068.71,0.0,0.0,718063.51,70000.0,0.0,45818247.81,459.0,410.0,0.0,0.0,313157.0,7417.0,1.9688133204122984,1,2009.041914712726,0.0
Sicilia,ERSU Messina,2024-2025 ,SICILIA||ERSU MESSINA,True,12377.0,7023.0,17743.0,0.0,49.0,28554876.54,0.0,0.0,391849.31999999995,0.0,0.0,29144019.8,298.0,298.0,0.0,0.0,313616.0,5636.0,1.4335460935606366,1,1609.3601161021247,0.0
Sicilia,ERSU Palermo,2024-2025 ,SICILIA||ERSU PALERMO,True,16820.0,12543.0,31399.0,0.0,216.0,61891413.47,0.0,0.0,818497.0,27518144.040000003,0.0,90228054.51,938.0,938.0,0.0,0.0,493451.0,14615.0,1.8667657550535077,1,1971.1268979903818,0.0
Sicilia,ERSU di Enna,2024-2025 ,SICILIA||ERSU DI ENNA,True,1682.0,1429.0,3688.0,0.0,20.0,7341862.45,0.0,0.0,0.0,0.0,0.0,7362195.7700000005,70.0,70.0,0.0,0.0,29655.0,1554.0,2.192627824019025,1,1990.7436144251628,0.0
Toscana,ARDSU Toscana,2024-2025 ,TOSCANA||ARDSU TOSCANA,True,30653.0,17761.0,40971.0,0.0,6.0,89921931.5,0.0,1059683.98,12500.0,3556300.0,0.0,95054314.08,4680.0,4652.0,0.0,0.0,3062988.0,55024.0,1.3366065311715003,1,2194.770239925801,0.0
Trentino-Alto Adige,Opera Universitaria di Trento,2024-2025 ,TRENTINO-ALTO ADIGE||OPERA UNIVERSITARIA DI TRENTO,False,3572.0,2521.0,5614.0,0.0,0.0,15551679.239999998,0.0,4726.0,0.0,0.0,0.0,15663024.559999999,1187.0,881.0,156.0,0.0,283480.0,10426.0,1.5716685330347144,1,2770.160178126113,0.0
Trentino-Alto Adige,"Prov. aut. Bolzano, Rip. DSU, Uff. per il DSU, l'Università e la Ricerca Scientifica",2024-2025 ,"TRENTINO-ALTO ADIGE||PROV. AUT. BOLZANO, RIP. DSU, UFF. PER IL DSU, L'UNIVERSITÀ E LA RICERCA SCIENTIFICA",False,3282.0,3112.0,6224.0,0.0,0.0,8455377.0,0.0,0.0,0.0,0.0,0.0,8725425.0,731.0,138.0,533.0,0.0,134486.0,0.0,1.8964046313223644,1,1358.5117287917737,0
Umbria,Agenzia per il DSU dell'Umbria,2024-2025 ,UMBRIA||AGENZIA PER IL DSU DELL'UMBRIA,False,10135.0,7073.0,17337.0,0.0,0.0,47922731.478,0.0,386358.0,0.0,0.0,0.0,49198324.028,1335.0,1230.0,42.0,0.0,456678.0,10614.0,1.7106068080907746,1,2764.1882377573975,0.0
Valle d'Aosta,Regione Autonoma Valle d'Aosta - Struttura Politiche Educative,2024-2025 ,VALLE D'AOSTA||REGIONE AUTONOMA VALLE D'AOSTA - STRUTTURA POLITICHE EDUCATIVE,False,265.0,193.0,407.0,0.0,0.0,616597.0,0.0,35390.0,0.0,175989.0,0.0,834476.0,0.0,0.0,0.0,0.0,692.0,0.0,1.5358490566037737,1,1514.980343980344,0
Veneto,ESU di Padova,2024-2025 ,VENETO||ESU DI PADOVA,False,327.0,213.0,461.0,0.0,34.0,940401.13,0.0,0.0,40818.5,0.0,0.0,1028719.63,1639.0,1100.0,248.0,0.0,1078472.0,35487.0,1.4097859327217126,1,2039.91568329718,0.0
Veneto,ESU di Venezia,2024-2025 ,VENETO||ESU DI VENEZIA,False,431.0,316.0,690.0,0.0,0.0,1962462.23,0.0,0.0,0.0,0.0,0.0,1969674.13,1003.0,693.0,160.0,0.0,238827.0,7762.0,1.6009280742459397,1,2844.1481594202896,0.0
Veneto,ESU di Verona,2024-2025 ,VENETO||ESU DI VERONA,False,267.0,115.0,158.0,0.0,0.0,351035.13,0.0,0.0,0.0,0.0,0.0,375543.13,433.0,288.0,100.0,0.0,200727.0,5914.0,0.5917602996254682,0.5917602996254682,2221.741329113924,0.0
Veneto,Università Ca' Foscari Venezia - Ufficio DSU,2024-2025 ,VENETO||UNIVERSITÀ CA' FOSCARI VENEZIA - UFFICIO DSU,False,5802.0,3170.0,6803.0,39.0,0.0,15470333.49,173000.0,0.0,0.0,0.0,0.0,15643333.49,0.0,0.0,0.0,0.0,0.0,0.0,1.1725267149258876,1,2274.045787152727,0
