Title: ,"School year in Europe: Recommended compulsory instruction time and holidays, 2024/2025",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,:,not available
LT,ISCED 34,2024/2025,7,16,7,7,1,-,-,-,4,1,38,67
LU,ISCED 1,2024/2025,7,14,7,15,7,-,-,-,5,2,50,61
LU,ISCED 24,2024/2025,7,14,7,15,7,-,-,-,5,2,50,61
LU,ISCED 34,2024/2025,7,14,7,15,7,-,-,-,5,2,50,61
HU,ISCED 1,2024/2025,7,14,11,-,-,-,-,-,3,1,32,70
HU,ISCED 24,2024/2025,7,14,11,-,-,-,-,-,3,1,32,70
HU,ISCED 34,2024/2025,7,14,11,-,-,-,-,-,3,1,32,70
MT,ISCED 1,2024/2025,6,4,15,3,12,1,-,-,2,1,41,89
MT,ISCED 24,2024/2025,6,4,15,3,12,1,-,-,2,1,41,89
MT,ISCED 34,2024/2025,6,4,15,3,12,1,-,-,2,1,41,89
NL,ISCED 1,2024/2025,7,14,7,7,-,-,-,-,4,1,35,42
NL,ISCED 24,2024/2025,7,14,7,7,-,-,-,-,4,1,35,42
NL,ISCED 34,2024/2025,7,14,7,7,-,-,-,-,4,1,35,42
AT,ISCED 1,2024/2025,7,15,7,8,-,-,-,-,4,1,37,63
AT,ISCED 24,2024/2025,7,15,7,8,-,-,-,-,4,1,37,63
AT,ISCED 34,2024/2025,7,15,7,8,-,-,-,-,4,1,37,63
PL,ISCED 1,2024/2025,10,14,6,-,-,-,-,-,2,1,30,63
PL,ISCED 24,2024/2025,10,14,6,-,-,-,-,-,2,1,30,63
PL,ISCED 34,2024/2025,10,14,6,-,-,-,-,-,2,1,30,63
PT,ISCED 1,2024/2025,19,3,15,-,-,-,-,-,2,2,37,73
PT,ISCED 24,2024/2025,19,3,15,-,-,-,-,-,2,2,37,87
PT,ISCED 34,2024/2025,19,3,15,-,-,-,-,-,2,2,37,87
RO,ISCED 1,2024/2025,7,16,7,10,-,-,-,-,4,1,40,77
RO,ISCED 24,2024/2025,7,16,7,10,-,-,-,-,4,1,40,77
RO,ISCED 34,2024/2025,7,16,7,10,-,-,-,-,4,1,40,77
SI,ISCED 1,2024/2025,7,12,7,7,-,-,-,-,4,0,33,68
SI,ISCED 24,2024/2025,7,12,7,7,-,-,-,-,4,0,33,68
SI,ISCED 34,2024/2025,7,12,7,7,-,-,-,-,4,0,33,68
SK,ISCED 1,2024/2025,5,16,7,6,-,-,-,-,2,1,34,63
SK,ISCED 24,2024/2025,5,16,7,6,-,-,-,-,2,1,34,63
SK,ISCED 34,2024/2025,5,16,7,6,-,-,-,-,2,1,34,63
FI,ISCED 1,2024/2025,7,15,7,-,-,-,-,-,3,1,29,65
FI,ISCED 24,2024/2025,7,15,7,-,-,-,-,-,3,1,29,65
FI,ISCED 34,2024/2025,7,15,7,-,-,-,-,-,3,1,29,65
SE,ISCED 1,2024/2025,7,19,7,7,-,-,-,-,4,1,40,68
SE,ISCED 24,2024/2025,7,19,7,7,-,-,-,-,4,1,40,68
SE,ISCED 34,2024/2025,7,19,7,7,-,-,-,-,4,1,40,68
AL,ISCED 1,2024/2025,6,-,-,-,-,-,-,-,0,0,6,77
AL,ISCED 24,2024/2025,6,-,-,-,-,-,-,-,0,0,6,77
AL,ISCED 34,2024/2025,6,-,-,-,-,-,-,-,0,0,6,77
BA,ISCED 1,2024/2025,19,7,-,-,-,-,-,-,2,1,26,70
BA,ISCED 24,2024/2025,19,7,-,-,-,-,-,-,2,1,26,70
BA,ISCED 34,2024/2025,19,7,-,-,-,-,-,-,2,1,26,77
CH,ISCED 1,2024/2025,14,14,14,14,-,-,-,-,4,4,56,42
CH,ISCED 24,2024/2025,14,14,14,14,-,-,-,-,4,4,56,42
CH,ISCED 34,2024/2025,14,14,14,14,-,-,-,-,4,4,56,42
IS,ISCED 1,2024/2025,5,11,2,8,-,-,-,-,2,0,26,74
IS,ISCED 24,2024/2025,5,11,2,8,-,-,-,-,2,0,26,74
IS,ISCED 34,2024/2025,5,22,2,8,-,-,-,-,2,1,37,93
LI,ISCED 1,2024/2025,14,16,7,18,-,-,-,-,4,3,55,42
LI,ISCED 24,2024/2025,14,16,7,18,-,-,-,-,4,3,55,42
LI,ISCED 34,2024/2025,14,16,7,18,-,-,-,-,4,3,55,42
ME,ISCED 1,2024/2025,21,-,-,-,-,-,-,-,1,1,21,77
ME,ISCED 24,2024/2025,21,-,-,-,-,-,-,-,1,1,21,77
ME,ISCED 34,2024/2025,21,-,-,-,-,-,-,-,1,1,21,77
MK,ISCED 1,2024/2025,20,-,-,-,-,-,-,-,1,1,20,82
MK,ISCED 24,2024/2025,20,-,-,-,-,-,-,-,1,1,20,82
MK,ISCED 34,2024/2025,20,-,-,-,-,-,-,-,1,1,20,82
NO,ISCED 1,2024/2025,7,14,7,8,-,-,-,-,4,1,36,60
NO,ISCED 24,2024/2025,7,14,7,8,-,-,-,-,4,1,36,60
NO,ISCED 34,2024/2025,7,14,7,8,-,-,-,-,4,1,36,60
RS,ISCED 1,2024/2025,2,21,6,-,-,-,-,-,1,1,29,77
RS,ISCED 24,2024/2025,2,21,6,-,-,-,-,-,1,1,29,77
RS,ISCED 34,2024/2025,2,21,6,-,-,-,-,-,1,1,29,70
TR,ISCED 1,2024/2025,7,14,7,-,-,-,-,-,3,1,28,77
TR,ISCED 24,2024/2025,7,14,7,-,-,-,-,-,3,1,28,77
TR,ISCED 34,2024/2025,7,14,7,-,-,-,-,-,3,1,28,77
