Indicator 1,"Teachers’ annual gross statutory salaries (in national currency) at different stages of the career, by ISCED level, and qualification",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
Teachers,2020/2021,ISCED 1,Minimum,After 15 years,46043.08,47360.35,47982.50694953946,16200,421200,473443.38134945947,66144.53064280246,a,60882,17352,35861.82731972296,32947.962228799996,15144,29161.896674166666,44805,a,18118,100850.26,3496878.0000000005,30415.52,59732.882915816,47041.41905216717,47516,28886.3,52861,30751.97,12642,42220.50192079284,463200,672324,13726,:,7870490,a,10802.61,497988,521600,:,:
Teachers,2020/2021,ISCED 24,Minimum,After 15 years,46043.08,47360.35,47982.50694953946,16200,422400,478004.5189299258,71990.77755522582,a,60882,17352,40033.769781953364,35490.46178226154,15144,31706.5693075,44805,a,18118,107988.07,3885420.0000000005,30415.52,71035.88188233477,49312.57695890688,47516,28886.3,53943,30751.97,12642,45353.47629281998,476886,696336,14583,:,7870490,a,10802.61,497988,521600,:,:
Teachers,2020/2021,ISCED 34,Minimum,After 15 years,51680.08,61284.07,47982.50694953946,16200,422400,500239.089504,74609.64574915977,a,60882,17352,40033.769781953364,35490.46178226154,16241,32588.466340833336,44805,a,18118,107988.07,3885420.0000000005,30415.52,71035.88188233477,53661.315288825266,61952,28886.3,53943,30751.97,12642,48944.43982551554,478800,732360,17157,:,7758963,a,10802.61,519893,521600,:,:
Teachers,2020/2021,ISCED 02,Minimum,At the top of the range,56314.24,56155.45,60495,:,420000,404768,:,a,a,25848,44248.17636196196,47628.6412544,:,35373.33197666666,58845,a,20624,122033.42,4582116.000000001,21844,71915.9105,:,49515,48295.5,61042,34258.37,11580,33025.144608,462672,602472,14364,114000,8058122,136860,12896.52,539246,506400,906456,:
Teachers,2020/2021,ISCED 1,Minimum,At the top of the range,56314.24,56155.45,60494.81912894496,:,496800,473443.38134945947,70749.38840648974,a,70795,25848,44248.17636196196,47628.6412544,16905,35373.33197666666,58845,a,20624,122033.42,4582116.000000001,34616.52,71915.9105,68468.84897064394,49515,48295.5,61042,36894.53,14142,44753.73203604041,534000,718164,15327,122400,8058122,136860,12896.52,554508,531600,1059108,:
Teachers,2020/2021,ISCED 24,Minimum,At the top of the range,56314.24,56155.45,60494.81912894496,:,500400,478004.5189299258,78520.7482971402,a,70795,25848,49306.93447488961,50424.03476320769,16905,38842.937889166664,58845,a,20624,136078.78,5091240.000000001,34616.52,83116.6718337875,73135.63648047575,49515,48295.5,76991,36894.53,14142,48074.68487038918,548400,742176,16279,137300,8058122,149250,12896.52,554508,531600,1059108,:
Teachers,2020/2021,ISCED 34,Minimum,At the top of the range,61951.58,71222.03,60494.81912894496,:,499200,500239.089504,85588.79738899824,a,70795,25848,49306.93447488961,50424.03476320769,18130,40597.24098083333,58845,a,20624,136078.78,5091240.000000001,34616.52,83116.6718337875,77722.50205858069,64578,48295.5,76991,36894.53,14142,51881.10621504647,555600,778200,19152,155300,7758963,161650,12896.52,578900,531600,1059108,:
Teachers,2020/2021,ISCED 02,Higher (if most common),Starting salary,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,21084,a,a,37941,a,43397,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,2020/2021,ISCED 1,Higher (if most common),Starting salary,a,a,a,a,a,a,a,a,a,a,a,a,114307.58,a,a,a,a,a,a,a,a,a,37941,a,43397,a,a,a,a,a,a,a,a,a,a,a,491400,a,a
Teachers,2020/2021,ISCED 24,Higher (if most common),Starting salary,a,a,a,a,a,a,a,a,a,a,a,a,114307.58,a,a,a,a,a,a,a,a,a,37941,a,a,a,a,a,a,a,a,a,a,99601,a,a,491400,a,a
Teachers,2020/2021,ISCED 34,Higher (if most common),Starting salary,40699,a,42402.26469039549,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,533600,a,a
Teachers,2020/2021,ISCED 02,Higher (if most common),After 10 years,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,26331,a,a,50744,a,50897,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,2020/2021,ISCED 1,Higher (if most common),After 10 years,a,a,a,a,a,a,a,a,a,a,a,a,119425.83,a,a,a,a,a,a,a,a,a,50744,a,50897,a,a,a,a,a,a,a,a,a,a,a,538500,a,a
Teachers,2020/2021,ISCED 24,Higher (if most common),After 10 years,a,a,a,a,a,a,a,a,a,a,a,a,119425.83,a,a,a,a,a,a,a,a,a,50744,a,a,a,a,a,a,a,a,a,a,a,a,a,538500,a,a
Teachers,2020/2021,ISCED 34,Higher (if most common),After 10 years,51847.08,a,54042.6776770579,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,590000,a,a
Teachers,2020/2021,ISCED 02,Higher (if most common),After 15 years,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,26331,a,a,61952,a,53943,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,2020/2021,ISCED 1,Higher (if most common),After 15 years,a,a,a,a,a,a,a,a,a,a,a,a,122269.3,a,a,a,a,a,a,a,a,a,61952,a,53943,a,a,a,a,a,a,a,a,a,a,a,538500,a,a
Teachers,2020/2021,ISCED 24,Higher (if most common),After 15 years,a,a,a,a,a,a,a,a,a,a,a,a,122269.3,a,a,a,a,a,a,a,a,a,61952,a,a,a,a,a,a,a,a,a,a,a,a,a,538500,a,a
Teachers,2020/2021,ISCED 34,Higher (if most common),After 15 years,59112.1,a,61628.63398075143,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,590000,a,a
Teachers,2020/2021,ISCED 02,Higher (if most common),At the top of the range,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,26331,a,a,64578,a,76991,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,2020/2021,ISCED 1,Higher (if most common),At the top of the range,a,a,a,a,a,a,a,a,a,a,a,a,136486.66,a,a,a,a,a,a,a,a,a,64578,a,76991,a,a,a,a,a,a,a,a,a,a,a,578600,a,a
Teachers,2020/2021,ISCED 24,Higher (if most common),At the top of the range,a,a,a,a,a,a,a,a,a,a,a,a,136486.66,a,a,a,a,a,a,a,a,a,64578,a,a,a,a,a,a,a,a,a,a,161650,a,a,578600,a,a
Teachers,2020/2021,ISCED 34,Higher (if most common),At the top of the range,71220.47,a,76800.54658813847,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,652900,a,a
Teachers,2020/2021,ISCED 02,Other (if different from minimum and most common),Starting salary,40699,:,33988,a,a,a,m,a,a,a,a,a,a,a,:,a,a,a,a,:,a,a,a,a,a,a,10980,a,a,:,:,a,a,:,10893.26,m,411400,:,92214.73999999999
Teachers,2020/2021,ISCED 1,Other (if different from minimum and most common),Starting salary,40699,:,33988,a,a,a,54128.94536287058,15780,a,a,a,a,a,a,:,a,a,a,a,:,a,a,a,a,a,a,10980,a,a,:,:,a,a,:,10893.26,m,533600,:,92214.73999999999
Teachers,2020/2021,ISCED 24,Other (if different from minimum and most common),Starting salary,40699,:,42402.26469039549,a,a,a,60162.82409294328,15780,a,a,a,33738.175937558975,a,a,:,a,a,a,a,:,a,a,a,a,a,a,10980,a,a,:,:,a,a,:,10893.26,m,533600,:,95525.91199999998
Teachers,2020/2021,ISCED 34,Other (if different from minimum and most common),Starting salary,a,:,a,a,a,a,62926.14224436363,15780,a,a,a,33738.175937558975,a,a,:,a,a,a,a,:,a,a,37941,a,a,a,10980,a,a,:,:,a,a,:,10893.26,m,a,:,95525.91199999998
Teachers,2020/2021,ISCED 02,Other (if different from minimum and most common),After 10 years,51847.08,:,42620,a,a,a,m,a,a,a,a,a,a,a,:,a,a,a,3255714.000000001,:,a,a,a,a,a,a,15474,a,a,:,:,a,a,:,13451.78,m,501400,:,94811.54000000001
Teachers,2020/2021,ISCED 1,Other (if different from minimum and most common),After 10 years,51847.08,:,42620,a,a,a,62293.422738734786,a,55828,a,a,a,a,a,:,a,a,a,3255714.000000001,:,a,a,a,a,a,a,15474,a,a,:,:,a,a,:,13451.78,m,590000,:,94811.54000000001
Teachers,2020/2021,ISCED 24,Other (if different from minimum and most common),After 10 years,51847.08,:,54042.6776770579,a,a,a,68440.13383439842,a,55828,a,a,42564.00343995897,a,a,:,a,a,a,3617460.000000001,:,a,a,a,a,a,a,15474,a,a,:,:,a,a,:,13451.78,m,590000,:,98122.712
Teachers,2020/2021,ISCED 34,Other (if different from minimum and most common),After 10 years,a,:,a,a,a,a,71102.71366373966,a,55828,a,a,42564.00343995897,a,a,:,a,a,a,3617460.000000001,:,a,a,50744,a,a,a,15474,a,a,:,:,a,a,:,13451.78,m,a,:,98122.712
Teachers,2020/2021,ISCED 02,Other (if different from minimum and most common),After 15 years,59112.1,:,47983,a,a,a,m,a,a,a,a,a,a,a,:,a,a,a,3496878.0000000005,:,a,a,a,a,a,a,15846,a,a,:,:,:,a,:,13792.71,m,501400,:,:
Teachers,2020/2021,ISCED 1,Other (if different from minimum and most common),After 15 years,59112.1,:,47983,a,a,a,66144.53064280246,a,a,a,a,a,a,a,:,a,a,a,3496878.0000000005,:,a,a,a,a,a,a,15846,a,a,:,:,:,a,:,13792.71,m,590000,:,:
Teachers,2020/2021,ISCED 24,Other (if different from minimum and most common),After 15 years,59112.1,:,61628.63398075143,a,a,a,71990.77755522582,a,a,a,a,45288.12685169231,a,a,:,a,a,a,3885420.0000000005,:,a,a,a,a,a,a,15846,a,a,:,:,:,a,:,13792.71,m,590000,:,:
Teachers,2020/2021,ISCED 34,Other (if different from minimum and most common),After 15 years,a,:,a,a,a,a,74609.64574915977,a,a,a,a,45288.12685169231,a,a,:,a,a,a,3885420.0000000005,:,a,a,61952,a,a,a,15846,a,a,:,:,:,a,:,13792.71,m,a,:,:
Teachers,2020/2021,ISCED 02,Other (if different from minimum and most common),At the top of the range,71220.47,:,60495,a,a,a,m,a,a,a,a,a,a,a,:,a,a,a,4582116.000000001,:,a,a,a,a,a,a,17724,a,a,:,:,a,a,:,15886.7,m,506400,:,:
Teachers,2020/2021,ISCED 1,Other (if different from minimum and most common),At the top of the range,71220.47,:,60495,a,a,a,70749.38840648974,a,a,a,a,a,a,a,:,a,a,a,4582116.000000001,:,a,a,a,a,a,a,17724,a,a,:,:,a,a,:,15886.7,m,652900,:,:
Teachers,2020/2021,ISCED 24,Other (if different from minimum and most common),At the top of the range,71220.47,:,76800.54658813847,a,a,a,78520.7482971402,a,a,a,a,60504.27579126154,a,a,:,a,a,a,5091240.000000001,:,a,a,a,a,a,a,17724,a,a,:,:,a,a,:,15886.7,m,652900,:,:
Teachers,2020/2021,ISCED 34,Other (if different from minimum and most common),At the top of the range,a,:,a,a,a,a,85588.79738899824,a,a,a,a,60504.27579126154,a,a,:,a,a,a,5091240.000000001,:,a,a,64578,a,a,a,17724,a,a,:,:,a,a,:,15886.7,m,a,:,:
Teachers,2021/2022,ISCED 02,Minimum,Starting salary,33402.01,36835.62,35478.36969742017,16980,364800,362608,:,:,a,13104,31847.145954907013,28385.311114,:,24297.490766666666,24189,10464,17354,71540.99,2890800.0000000005,18058.52,41481.058086855985,:,37055,22550,43248,20096.98,8907,30301.8976,405600,744408,11970,74900,:,82804,9983.27,449372,423500,858571,145901
Teachers,2021/2022,ISCED 1,Minimum,Starting salary,33402.01,36835.62,35478.36969742017,16980,388800,415668,55551.032064554915,16556,38192,13104,31847.145954907013,28385.311114,14606,24297.490766666666,24189,9960,17354,71540.99,2890800.0000000005,26625.52,41481.058086855985,40280.8,37055,22550,43248,20096.98,11035,34701.7424,411600,784920,12768,80800,:,84333,9983.27,462090,464100,1004335,145901
Teachers,2021/2022,ISCED 24,Minimum,Starting salary,33402.01,36835.62,35478.36969742017,16980,390000,417494,61456.96963749131,16556,38192,13104,35595.62848057983,30934.893447,14606,26114.216443333335,24189,9960,17354,81079.79,2890800.0000000005,26625.52,41359.254299005566,40280.8,37055,22550,46116,20096.98,11035,37276.8032,420600,825432,13566,89600,:,91971,9983.27,462090,464100,1004335,147440
Teachers,2021/2022,ISCED 34,Minimum,Starting salary,39053.41,46156.63,35478.36969742017,16980,390000,392924,64009.84764963576,16556,38192,13104,35595.62848057983,30934.893447,15676,26114.216443333335,24189,9960,17354,81079.79,2890800.0000000005,26625.52,41359.254299005566,40280.8,38574,22550,46116,20096.98,11035,39139.776000000005,432000,872274,15960,101300,:,99601,9983.27,482417,464100,1004335,147440
Teachers,2021/2022,ISCED 02,Minimum,After 10 years,41736.22,46082.09,44492.3034826751,17520,378000,407077,:,a,a,15936,34604.66432917975,31698.976118,:,26639.460174166667,37385,a,17919,92526.35,3255714.000000001,22495.52,59175.54696988296,:,43641,27430,53724,23763.14,10161,33040.72296,425280,794808,12568,93400,:,:,10461.23,472352,515200,893953,150177
Teachers,2021/2022,ISCED 1,Minimum,After 10 years,41736.22,46082.09,44492.3034826751,17520,414000,461862,63700.66882358295,a,52934,15936,34604.66432917975,31698.976118,15260,26639.460174166667,37385,a,17919,92526.35,3255714.000000001,29866.68,59175.54696988296,51418.299999999996,43641,27430,53724,24624.62,12404,39781.73046993601,454200,835320,13406,100600,:,:,10461.23,485721,537100,1044508,150177
Teachers,2021/2022,ISCED 24,Minimum,After 10 years,41736.22,46082.09,44492.3034826751,17520,415200,466818,69768.82871869221,a,52934,15936,38689.97148779445,34248.558451,15260,28843.1777125,37385,a,17919,101349.74,3617460.000000001,29866.68,62860.2231125287,51418.299999999996,43641,27430,55008,24624.62,12404,42733.754420448015,468000,875832,14244,114500,:,:,10461.23,485721,537100,1044508,151716
Teachers,2021/2022,ISCED 34,Minimum,After 10 years,47485.73,59197.54,44492.3034826751,17520,415200,510629,72362.35299165772,a,52934,15936,38689.97148779445,34248.558451,16378,29530.1933925,37385,a,17919,101349.74,3617460.000000001,29866.68,62860.2231125287,51418.299999999996,51671,27430,55008,24624.62,12404,46997.31183840002,471240,922674,16758,130700,:,:,10461.23,507088,537100,1044508,151716
Teachers,2021/2022,ISCED 02,Minimum,After 15 years,46974.45,49780.67,50091.8891581061,18192,387600,407077,:,a,a,17352,36887.00930562697,33365.462488,:,29161.896674166666,44805,a,19939,104449.85,3496878.0000000005,22495.52,67399.89770295502,:,50520,29100,56148,29863.62,10403,33355.39651200001,432000,828408,12868,:,:,:,10802.61,484280,515200,911145,148197
Teachers,2021/2022,ISCED 1,Minimum,After 15 years,46974.45,49780.67,50091.8891581061,18192,432000,478832,67605.27207619372,a,61491,17352,36887.00930562697,33365.462488,15623,29161.896674166666,44805,a,19939,104449.85,3496878.0000000005,31702.19,67399.89770295502,56995,50520,29100,56148,30971.58,12706,42570.24033906677,474600,868920,13726,:,:,:,10802.61,497988,537100,1064595,148197
Teachers,2021/2022,ISCED 24,Minimum,After 15 years,46974.45,49780.67,50091.8891581061,18192,433200,482689,73431.36103926749,a,61491,17352,41197.28137613353,35915.044821,15623,31706.5693075,44805,a,19939,111842.42,3885420.0000000005,31702.19,72127.00228997003,56995,50520,29100,59316,30971.58,12706,45729.18711125276,482400,909432,14583,:,:,:,10802.61,497988,537100,1064595,149736
Teachers,2021/2022,ISCED 34,Minimum,After 15 years,52724.13,64448.9,50091.8891581061,18192,433200,510629,76316.9253428138,a,61491,17352,41197.28137613353,35915.044821,16768,32588.466340833336,44805,a,19939,111842.42,3885420.0000000005,31702.19,72127.00228997003,56995,63063,29100,59316,30971.58,12706,49342.70149585922,490800,956274,17157,:,:,:,10802.61,519893,537100,1064595,149736
Teachers,2021/2022,ISCED 02,Minimum,At the top of the range,57450.92,59932.52,63157.5890674451,m,432000,407077,:,:,a,25848,45585.2182177197,48183.508143,:,35373.33197666666,58845,a,22697,126389.09,4582116.000000001,22495.52,84751.04665199998,:,52644,48621,62394,34477.98,11639,33355.39651200001,473400,862008,14364,114600,:,136860,12896.52,539246,523100,997102,158987
Teachers,2021/2022,ISCED 1,Minimum,At the top of the range,57450.92,59932.52,63157.5890674451,m,510000,478832,72349.34339288119,a,71503,25848,45585.2182177197,48183.508143,17670,35373.33197666666,58845,a,22697,126389.09,4582116.000000001,35576.85,84751.04665199998,71599.4,52644,48621,62394,37114.14,14213,45124.45475941077,546000,902520,15327,122900,:,136860,12896.52,554508,549100,1165028,158987
Teachers,2021/2022,ISCED 24,Minimum,At the top of the range,57450.92,59932.52,63157.5890674451,m,513600,482689,80077.81506575515,a,71503,25848,50810.05753509274,50985.980477,17670,38842.937889166664,58845,a,22697,140935.76,5091240.000000001,35576.85,84752.8614,71599.4,52644,48621,78618,37114.14,14213,48472.93833792792,559200,943032,16279,137400,:,149250,12896.52,554508,549100,1165028,160525
Teachers,2021/2022,ISCED 34,Minimum,At the top of the range,63200.95,76178.21,63157.5890674451,m,512400,510629,87323.23131213825,a,71503,25848,50810.05753509274,50985.980477,18718,40597.24098083333,58845,a,22697,140935.76,5091240.000000001,35576.85,84752.8614,71599.4,65732,48621,78618,37114.14,14213,52303.26358561077,565200,989874,19152,155300,:,161650,12896.52,578900,549100,1165028,160525
Teachers,2021/2022,ISCED 02,Higher (if most common),Starting salary,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,21785.850000000002,a,a,38574,a,46116,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,2021/2022,ISCED 1,Higher (if most common),Starting salary,a,a,a,a,a,a,a,a,a,a,a,a,15676.44435596257,a,a,a,a,a,a,a,a,a,38574,a,46116,a,a,a,a,a,a,a,a,a,a,a,504700,a,a
Teachers,2021/2022,ISCED 24,Higher (if most common),Starting salary,a,a,a,a,a,a,a,a,a,a,a,a,15676.44435596257,a,a,a,a,a,a,a,a,a,38574,a,a,a,a,a,a,a,a,a,a,99601,a,a,504700,a,a
Teachers,2021/2022,ISCED 34,Higher (if most common),Starting salary,41523.55,a,44264.846982848365,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,550100,a,a
Teachers,2021/2022,ISCED 02,Higher (if most common),After 10 years,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,27130.850000000002,a,a,51671,a,55008,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,2021/2022,ISCED 1,Higher (if most common),After 10 years,a,a,a,a,a,a,a,a,a,a,a,a,16378.37414559692,a,a,a,a,a,a,a,a,a,51671,a,55008,a,a,a,a,a,a,a,a,a,a,a,556900,a,a
Teachers,2021/2022,ISCED 24,Higher (if most common),After 10 years,a,a,a,a,a,a,a,a,a,a,a,a,16378.37414559692,a,a,a,a,a,a,a,a,a,51671,a,a,a,a,a,a,a,a,a,a,:,a,a,556900,a,a
Teachers,2021/2022,ISCED 34,Higher (if most common),After 10 years,52894.47,a,56420.085816709514,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,608900,a,a
Teachers,2021/2022,ISCED 02,Higher (if most common),After 15 years,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,27130.850000000002,a,a,63063,a,59316,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,2021/2022,ISCED 1,Higher (if most common),After 15 years,a,a,a,a,a,a,a,a,a,a,a,a,16768.33631959652,a,a,a,a,a,a,a,a,a,63063,a,59316,a,a,a,a,a,a,a,a,a,a,a,556900,a,a
Teachers,2021/2022,ISCED 24,Higher (if most common),After 15 years,a,a,a,a,a,a,a,a,a,a,a,a,16768.33631959652,a,a,a,a,a,a,a,a,a,63063,a,a,a,a,a,a,a,a,a,a,:,a,a,556900,a,a
Teachers,2021/2022,ISCED 34,Higher (if most common),After 15 years,60304.71,a,64341.54966513849,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,608900,a,a
Teachers,2021/2022,ISCED 02,Higher (if most common),At the top of the range,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,27130.850000000002,a,a,65732,a,78618,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,2021/2022,ISCED 1,Higher (if most common),At the top of the range,a,a,a,a,a,a,a,a,a,a,a,a,18718.141880682193,a,a,a,a,a,a,a,a,a,65732,a,78618,a,a,a,a,a,a,a,a,a,a,a,597400,a,a
Teachers,2021/2022,ISCED 24,Higher (if most common),At the top of the range,a,a,a,a,a,a,a,a,a,a,a,a,18718.141880682193,a,a,a,a,a,a,a,a,a,65732,a,a,a,a,a,a,a,a,a,a,161650,a,a,597400,a,a
Teachers,2021/2022,ISCED 34,Higher (if most common),At the top of the range,72655.11,a,80184.4773619964,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,674900,a,a
Teachers,2021/2022,ISCED 02,Other (if different from minimum and most common),Starting salary,41523.55,:,35478.36969742017,18900,a,a,:,a,a,a,a,a,a,a,a,a,a,a,a,24684.850000000002,a,a,a,a,:,a,11035,a,a,:,:,a,a,:,10893.26,a,a,:,155154
Teachers,2021/2022,ISCED 1,Other (if different from minimum and most common),Starting salary,41523.55,:,35478.36969742017,18900,a,415555,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,:,a,a,a,a,:,:,a,a,:,10893.26,a,550100,:,155154
Teachers,2021/2022,ISCED 24,Other (if different from minimum and most common),Starting salary,41523.55,:,a,18900,a,a,a,a,a,a,a,35309.91338929231,a,a,a,a,a,a,a,a,a,a,a,a,:,a,a,a,a,:,:,a,a,:,10893.26,a,550100,:,157000
Teachers,2021/2022,ISCED 34,Other (if different from minimum and most common),Starting salary,a,:,44264.846982848365,18900,a,a,a,a,a,a,a,35309.91338929231,15676.44435596257,a,a,a,a,a,a,a,a,a,a,a,:,a,a,a,a,:,:,a,a,:,10893.26,a,a,:,157000
