codice_ente,anno,importo_euro,codice_regione,codice_provincia,codice_comune,denominazione,mese
707695,2025,379463.07,34.0,42.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE LAENG - MEUCCI,12
707932,2025,49100.41,60.0,28.0,N.A.,ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO E. BERNARDI,5
709369,2024,386672.55,205.0,22.0,N.A.,ISTITUTO TECNICO ECONOMICO A. TAMBOSI,12
709369,2025,530844.27,205.0,22.0,N.A.,ISTITUTO TECNICO ECONOMICO A. TAMBOSI,12
709420,2024,641770.72,30.0,20.0,N.A.,ISTITUTO SUPERIORE ENRICO FERMI,10
709420,2025,623785.33,30.0,20.0,N.A.,ISTITUTO SUPERIORE ENRICO FERMI,12
711168,2025,199067.97,21.0,63.0,N.A.,ISTITUTO COMPRENSIVO NICOLA ROMEO,10
711482,2025,633665.65,24.0,16.0,N.A.,ISTITUTO TECNICO INDUSTRIALE STATALE PIETRO PALEOCAPA,11
712216,2024,251115.99,24.0,16.0,N.A.,ISTITUTO STATALE D'ISTRUZIONE SUPERIORE GIULIO NATTA,6
712216,2025,706115.86,24.0,16.0,N.A.,ISTITUTO STATALE D'ISTRUZIONE SUPERIORE GIULIO NATTA,12
713119,2024,36977.11,25.0,10.0,N.A.,LICEO ARTISTICO STATALE LAS PAUL KLEE - NICOLO' BARABINO,3
713119,2025,693210.71,25.0,10.0,N.A.,LICEO ARTISTICO STATALE LAS PAUL KLEE - NICOLO' BARABINO,12
713200,2025,192724.24,25.0,10.0,N.A.,ISTITUTO PROFESSIONALE STATALE PER L'ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA M. POLO,8
715634,2024,23881.510000000002,91.0,58.0,N.A.,ISTITUTO TECNICO INDUSTRIALE STATALE E. FERMI,2
715634,2025,209207.18,91.0,58.0,N.A.,ISTITUTO TECNICO INDUSTRIALE STATALE E. FERMI,12
717661,2024,368378.01,22.0,22.0,N.A.,ISTITUTO DI ISTRUZIONE ALCIDE DEGASPERI,12
717661,2025,725521.53,22.0,22.0,N.A.,ISTITUTO DI ISTRUZIONE ALCIDE DEGASPERI,12
717731,2025,656096.87,17.0,69.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE STATALE ALGERI MARINO,11
718138,2024,313446.94,28.0,17.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE F. TASSARA - G. GHISLANDI,12
718138,2025,653454.9400000001,28.0,17.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE F. TASSARA - G. GHISLANDI,12
719730,2024,452372.92,4.0,96.0,N.A.,ISTITUTO TECNICO INDUSTRIALE QUINTINO SELLA,12
719730,2025,817869.1799999999,4.0,96.0,N.A.,ISTITUTO TECNICO INDUSTRIALE QUINTINO SELLA,12
720822,2024,259992.96,31.0,75.0,N.A.,ISTITUTO ISTRUZIONE SECONDARIA SUPERIORE AMERIGO VESPUCCI,12
720822,2025,239182.33,31.0,75.0,N.A.,ISTITUTO ISTRUZIONE SECONDARIA SUPERIORE AMERIGO VESPUCCI,12
722345,2025,537553.04,29.0,9.0,N.A.,NUOVO POLO SCOLASTICO DI FINALE LIGURE,11
724236,2024,100254.5,100.0,24.0,N.A.,ISTITUTO TECNICO INDUSTRIALE SILVIO DE PRETTO,7
724236,2025,417783.93,100.0,24.0,N.A.,ISTITUTO TECNICO INDUSTRIALE SILVIO DE PRETTO,12
724348,2025,79926.15,33.0,84.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE FRANCESCO CRISPI,1
725065,2025,172294.92,19.0,108.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE ETTORE MAJORANA,10
728541,2025,160169.86000000002,74.0,17.0,N.A.,IPSEOA CATERINA DE' MEDICI,11
743927,2024,346134.02,41.0,84.0,N.A.,ISTRUZIONE SECONDARIA SUPERIORE - I.I.S.S. 'CALOGERO AMATO VETRANO',12
743927,2025,658292.85,41.0,84.0,N.A.,ISTRUZIONE SECONDARIA SUPERIORE - I.I.S.S. 'CALOGERO AMATO VETRANO',11
7504350,2024,190831.14,61.0,14.0,N.A.,ISTITUTO TECNICO TECNOLOGICO ENEA MATTEI,10
7504350,2025,425356.72,61.0,14.0,N.A.,ISTITUTO TECNICO TECNOLOGICO ENEA MATTEI,12
7504551,2025,288780.38,14.0,77.0,N.A.,LICEO STATALE TOMMASO STIGLIANI,7
7504628,2025,99391.35,11.0,53.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE POLO BIANCIARDI,3
7504668,2025,170608.78,59.0,70.0,N.A.,ISTITUTO COMPRENSIVO DANTE ALIGHIERI,9
7504745,2025,67405.37,11.0,53.0,N.A.,ISTITUTO COMPRENSIVO GROSSETO 6,2
7504781,2024,41272.43,6.0,70.0,N.A.,LICEO STATALE GIUSEPPE MARIA GALANTI,3
7504781,2025,391008.74,6.0,70.0,N.A.,LICEO STATALE GIUSEPPE MARIA GALANTI,12
7504860,2024,67052.23,11.0,53.0,N.A.,LICEO STATALE ANTONIO ROSMINI,5
7504860,2025,460084.74,11.0,53.0,N.A.,LICEO STATALE ANTONIO ROSMINI,12
7504893,2024,14564.01,11.0,53.0,N.A.,ISTITUTO COMPRENSIVO GROSSETO 5,2
7504893,2025,213401.1,11.0,53.0,N.A.,ISTITUTO COMPRENSIVO GROSSETO 5,12
7505122,2025,83759.95999999999,6.0,70.0,N.A.,ISTITUTO COMPRENSIVO ALIGHIERI - F. JOVINE,10
7505323,2024,31960.29,81.0,70.0,N.A.,ISTITUTO OMNICOMPRENSIVO STATALE NICOLA SCARANO,7
7505323,2025,84002.99,81.0,70.0,N.A.,ISTITUTO OMNICOMPRENSIVO STATALE NICOLA SCARANO,12
7505401,2025,199371.53,11.0,53.0,N.A.,ISTITUTO COMPRENSIVO GROSSETO 2,9
7505608,2024,169205.86000000002,22.0,69.0,N.A.,LICEO STATALE ISABELLA GONZAGA,3
7505608,2025,319047.33,22.0,69.0,N.A.,LICEO STATALE ISABELLA GONZAGA,12
7505677,2025,28561.11,14.0,77.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE G. B. PENTASUGLIA,1
7506102,2024,368607.94,15.0,11.0,N.A.,"ISTRUZIONE SECONDARIA SUPERIORE """"G. CAPELLINI - N. SAURO",9
7506102,2025,623787.26,15.0,11.0,N.A.,"ISTRUZIONE SECONDARIA SUPERIORE """"G. CAPELLINI - N. SAURO",12
7506339,2024,220059.91,11.0,67.0,N.A.,ISTITUTO COMPRENSIVO M.HACK DI CASTELLALTO - CELLINO,12
7506339,2025,312387.44,11.0,67.0,N.A.,ISTITUTO COMPRENSIVO M.HACK DI CASTELLALTO - CELLINO,12
7506446,2025,548093.75,9.0,88.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE GALILEO FERRARIS,12
7506558,2025,102638.01,6.0,118.0,N.A.,LICEO CLASSICO GIOVANNI SIOTTO PINTOR,2
7506572,2024,70061.38,36.0,19.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE LUIGI EINAUDI,3
7506572,2025,262133.85,36.0,19.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE LUIGI EINAUDI,12
7506652,2024,201534.07,15.0,9.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE FEDERICO PATETTA,10
7506652,2025,418844.82,15.0,9.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE FEDERICO PATETTA,12
7506746,2024,125537.24,23.0,79.0,N.A.,"IS """"FERMI"""" CATANZARO",7
7506746,2025,562872.65,23.0,79.0,N.A.,"IS """"FERMI"""" CATANZARO",12
7506951,2025,236995.63,45.0,112.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE M. PAGLIETTI,6
7507052,2024,15991.8,71.0,25.0,N.A.,ISTITUTO COMPRENSIVO DI LONGARONE,2
7507052,2025,149375.25,71.0,25.0,N.A.,ISTITUTO COMPRENSIVO DI LONGARONE,12
7507228,2025,26922.61,63.0,76.0,N.A.,LICEO SCIENTIFICO STATALE GALILEO GALILEI,1
7507255,2025,167415.32,32.0,55.0,N.A.,ISTITUTO COMPRENSIVO BENEDETTO BRIN,7
7507303,2024,166258.74,3.0,6.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE VINCI NERVI FERMI,11
7507303,2025,337428.44,3.0,6.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE VINCI NERVI FERMI,12
7507392,2024,69646.57,32.0,55.0,N.A.,ISTITUTO COMPRENSIVO TERNI GIOVANNI XXIII,10
7507392,2025,111240.43,32.0,55.0,N.A.,ISTITUTO COMPRENSIVO TERNI GIOVANNI XXIII,12
7507448,2025,43183.64,44.0,41.0,N.A.,ISTITUTO COMPRENSIVO STATALE G. LEOPARDI,3
7507526,2025,304192.91,11.0,79.0,N.A.,ISTITUTO COMPRENSIVO G. SABATINI,9
7507587,2024,80863.32,32.0,55.0,N.A.,ISTITUTO COMPRENSIVO TERNI G. MARCONI,7
7507587,2025,363662.45,32.0,55.0,N.A.,ISTITUTO COMPRENSIVO TERNI G. MARCONI,12
7507765,2025,298532.57,36.0,19.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE ANTONIO STRADIVARI,8
7507841,2024,315324.94,36.0,19.0,N.A.,LICEO DELLE SCIENZE UMANE ED ECONOMICO SOCIALE S. ANGUISSOLA,11
7507841,2025,295323.26,36.0,19.0,N.A.,LICEO DELLE SCIENZE UMANE ED ECONOMICO SOCIALE S. ANGUISSOLA,12
7508018,2025,95173.55,63.0,76.0,N.A.,LICEO STATALE W. GROPIUS,1
7508223,2025,107150.64,53.0,76.0,N.A.,ISTITUTO COMPRENSIVO JOSEPH STELLA,8
7508277,2025,106134.72,7.0,31.0,N.A.,ISTITUTO STATALE DI ISTRUZIONE SUPERIORE IVAN CANKAR,10
7508305,2025,93296.49,26.0,78.0,N.A.,ISTITUTO COMPRENSIVO DIPIGNANO-CAROLEI S. VALENTINI,8
7508392,2025,31527.83,95.0,66.0,N.A.,ISTITUTO COMPRENSIVO COMENIO,3
7508560,2024,141040.7,5.0,5.0,N.A.,ISTITUTO SUPERIORE G.A. GIOBERT DI ASTI,6
7508560,2025,304233.33,5.0,5.0,N.A.,ISTITUTO SUPERIORE G.A. GIOBERT DI ASTI,12
7508732,2024,84573.41,26.0,50.0,N.A.,ISTITUTO COMPRENSIVO STATALE L.FIBONACCI,12
7508732,2025,225252.94,26.0,50.0,N.A.,ISTITUTO COMPRENSIVO STATALE L.FIBONACCI,12
7508819,2025,207783.8,6.0,118.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE DOMENICO ALBERTO AZUNI,11
7508956,2025,93198.08,74.0,25.0,N.A.,ISTITUTO COMPRENSIVO STATALE MARCO DA MELO MEL,9
7508993,2024,109226.08,27.0,68.0,N.A.,ISTITUTO TECNICO COMMERCIALE STATALE GUGLIELMO MARCONI,6
7508993,2025,435208.05,27.0,68.0,N.A.,ISTITUTO TECNICO COMMERCIALE STATALE GUGLIELMO MARCONI,12
7509427,2025,32250.96,56.0,76.0,N.A.,ISTITUTO COMPRENSIVO OPPIDO - TOLVE - PIETRAGALLA,1
7509523,2024,35188.09,9.0,86.0,N.A.,ISTITUTO PROFESSIONALE STATALE FEDERICO II - ENNA,3
7509523,2025,355665.97,9.0,86.0,N.A.,ISTITUTO PROFESSIONALE STATALE FEDERICO II - ENNA,12
7509686,2024,35123.62,6.0,49.0,N.A.,ISTITUTO COMPRENSIVO G. BORSI,6
7509686,2025,188161.28,6.0,49.0,N.A.,ISTITUTO COMPRENSIVO G. BORSI,12
7510477,2025,471666.87999999995,28.0,68.0,N.A.,LICEO STATALE G. MARCONI,9
7510691,2025,185676.39,14.0,47.0,N.A.,ISTITUTO TECNICO TECNOLOGICO STATALE SILVANO FEDI - ENRICO FERMI,9
7510902,2024,72878.95,30.0,68.0,N.A.,"ISTITUTO COMPRENSIVO """"PAPA GIOVANI XXIII"""" - PIANELLA",8
7510902,2025,188485.72,30.0,68.0,N.A.,"ISTITUTO COMPRENSIVO """"PAPA GIOVANI XXIII"""" - PIANELLA",12
7510914,2024,20832.98,6.0,47.0,N.A.,ISTITUTO COMPRENSIVO STATALE FRANCESCO FERRUCCI,5
7510914,2025,141590.5,6.0,47.0,N.A.,ISTITUTO COMPRENSIVO STATALE FRANCESCO FERRUCCI,12
7511282,2024,56687.7,25.0,43.0,N.A.,"ISTITUTO COMPRENSIVO """"GIOVANNI XXIII"""" MOGLIANO",8
7511282,2025,120692.28,25.0,43.0,N.A.,"ISTITUTO COMPRENSIVO """"GIOVANNI XXIII"""" MOGLIANO",12
7511387,2024,45690.65,27.0,33.0,N.A.,ISTITUTO COMPRENSIVO DI MONTICELLI D'ONGINA,12
7511387,2025,131857.75,27.0,33.0,N.A.,ISTITUTO COMPRENSIVO DI MONTICELLI D'ONGINA,12
7511468,2025,116710.45,17.0,52.0,N.A.,ISTITUTO COMPRENSIVO RENATO FUCINI,8
7511820,2024,337746.83999999997,8.0,38.0,N.A.,"IST. ISTRUZIONE SUPERIORE """"G. CARDUCCI",12
7511820,2025,576752.98,8.0,38.0,N.A.,"IST. ISTRUZIONE SUPERIORE """"G. CARDUCCI",12
7512037,2025,177234.65,26.0,50.0,N.A.,ISTITUTO COMPRENSIVO NICCOLO' PISANO,11
7512060,2025,397012.74,15.0,87.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE G. B. VACCARINI,12
7512340,2024,98778.93999999999,32.0,33.0,N.A.,SCUOLA MEDIA STATALE DANTE - CARDUCCI,2
7512340,2025,122801.35,32.0,33.0,N.A.,SCUOLA MEDIA STATALE DANTE - CARDUCCI,11
7512374,2024,180510.34,38.0,33.0,N.A.,ISTITUTO COMPRENSIVO DI RIVERGARO,12
7512374,2025,249659.25,38.0,33.0,N.A.,ISTITUTO COMPRENSIVO DI RIVERGARO,12
7512416,2025,308235.96,78.0,4.0,N.A.,LICEO SCIENTIFICO E CLASSICO G.PEANO - S.PELLICO,5
7512529,2024,241420.3,27.0,34.0,N.A.,LICEO DELLE SCIENZE UMANE ALBERTINA SANVITALE,6
7512529,2025,642828.8,27.0,34.0,N.A.,LICEO DELLE SCIENZE UMANE ALBERTINA SANVITALE,12
7512552,2024,33881.35,35.0,75.0,N.A.,ISTITUTO SECONDARIO DI I GRADO QUINTO ENNIO DI LECCE,6
7512722,2024,351311.29,133.0,12.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE ISAAC NEWTON,12
7512722,2025,541984.51,133.0,12.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE ISAAC NEWTON,12
7512843,2024,429813.46,133.0,12.0,N.A.,"LICEO STATALE """"A. MANZONI"""" - VARESE",12
7512843,2025,569549.48,133.0,12.0,N.A.,"LICEO STATALE """"A. MANZONI"""" - VARESE",12
7512957,2024,40053.38,12.0,34.0,N.A.,ISTITUTO COMPRENSIVO CORNIGLIO,9
7512957,2025,118431.03,12.0,34.0,N.A.,ISTITUTO COMPRENSIVO CORNIGLIO,12
7512980,2025,3869.63,129.0,30.0,N.A.,ITG GIAN GIACOMO MARINONI,1
7513009,2025,261899.57,6.0,75.0,N.A.,ISTITUTO COMPRENSIVO EZIO BOSSO,11
7513111,2024,87092.43000000001,75.0,28.0,N.A.,ISTITUTO COMPRENSIVO SAN GIORGIO DELLE PERTICHE - SANTA GIUSTINA IN COLLE,12
7513111,2025,234309.74,75.0,28.0,N.A.,ISTITUTO COMPRENSIVO SAN GIORGIO DELLE PERTICHE - SANTA GIUSTINA IN COLLE,12
7513121,2024,124142.1,19.0,28.0,N.A.,ISTITUTO COMPRENSIVO STATALE G.PARINI,12
7513121,2025,178192.89,19.0,28.0,N.A.,ISTITUTO COMPRENSIVO STATALE G.PARINI,12
7513187,2025,349990.43,27.0,34.0,N.A.,ISTITUTO TECNICO ECONOMICO STATALE MACEDONIO MELLONI,12
7513284,2024,14279.83,95.0,26.0,N.A.,ISTITUTO COMPRENSIVO STATALE DI ZERO BRANCO,3
7513284,2025,228307.95,95.0,26.0,N.A.,ISTITUTO COMPRENSIVO STATALE DI ZERO BRANCO,12
7513302,2025,478103.18,8.0,64.0,N.A.,LICEO STATALE PAOLO EMILIO IMBRIANI,10
7513374,2024,10020.09,13.0,33.0,N.A.,ISTITUTO COMPRENSIVO A. CASAROLI,2
7513374,2025,460894.7,13.0,33.0,N.A.,ISTITUTO COMPRENSIVO A. CASAROLI,12
7513451,2025,129506.28,86.0,26.0,N.A.,LICEO STATALE DUCA DEGLI ABRUZZI,3
7513498,2024,31942.69,91.0,23.0,N.A.,ISTITUTO TECNICO STATALE SUPERIORE CANGRANDE DELLA SCALA,1
7513498,2025,683132.07,91.0,23.0,N.A.,ISTITUTO TECNICO STATALE SUPERIORE CANGRANDE DELLA SCALA,12
7513502,2025,31405.83,10.0,34.0,N.A.,ISTITUTO COMPRENSIVO PIER LUIGI BELLONI,2
7513601,2025,53912.670000000006,32.0,33.0,N.A.,ISTITUTO SUPERIORE TRAMELLO - CASSINARI,2
7513620,2025,29706.58,53.0,23.0,N.A.,ISTITUTO COMPRENSIVO NOGARA,2
7513676,2025,262300.11,27.0,73.0,N.A.,LICEO SCIENTIFICO G. BATTAGLINI,9
7513678,2024,45496.96,43.0,3.0,N.A.,ISTITUTO COMPRENSIVO STATALE S. BELFANTI,11
7513678,2025,54250.83,43.0,3.0,N.A.,ISTITUTO COMPRENSIVO STATALE S. BELFANTI,12
7513699,2024,64763.0,86.0,26.0,N.A.,ISTITUTO DI ISTRUZIONE SECONDARIA SUPERIORE A. PALLADIO,7
7513699,2025,466258.71,86.0,26.0,N.A.,ISTITUTO DI ISTRUZIONE SECONDARIA SUPERIORE A. PALLADIO,12
7513841,2024,16273.46,27.0,34.0,N.A.,ISTITUTO STATALE DI ISTRUZIONE SECONDARIA SUPERIORE PIETRO GIORDANI,2
7513841,2025,617200.76,27.0,34.0,N.A.,ISTITUTO STATALE DI ISTRUZIONE SECONDARIA SUPERIORE PIETRO GIORDANI,12
7513882,2024,81873.66,51.0,34.0,N.A.,ISTITUTO COMPRENSIVO DI SORBOLO,6
7513882,2025,204772.04,51.0,34.0,N.A.,ISTITUTO COMPRENSIVO DI SORBOLO,12
7514065,2024,5146.1,15.0,87.0,N.A.,ISTITUTO SECONDARIO DI I GRADO - SMS QUIRINO MAIORANA - CATANIA,3
7514065,2025,294372.3,15.0,87.0,N.A.,ISTITUTO SECONDARIO DI I GRADO - SMS QUIRINO MAIORANA - CATANIA,12
7514083,2024,136998.42,5.0,33.0,N.A.,ISTITUTO OMNICOMPRENSIVO DI BOBBIO,12
7514083,2025,267943.18,5.0,33.0,N.A.,ISTITUTO OMNICOMPRENSIVO DI BOBBIO,12
7514302,2025,170449.81,6.0,87.0,N.A.,ISTITUTO COMPRENSIVO G. GUZZARDI,8
7514327,2024,300699.82,232.0,13.0,N.A.,ISTITUTO COMPRENSIVO VALMOREA,10
7514327,2025,262609.95,232.0,13.0,N.A.,ISTITUTO COMPRENSIVO VALMOREA,12
7514328,2025,433244.85,96.0,23.0,N.A.,ISTITUTO STATALE SUPERIORE CARLO ANTI,6
7514343,2024,139702.98,33.0,35.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE ANGELO MOTTI,9
7514343,2025,412229.46,33.0,35.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE ANGELO MOTTI,12
7514353,2024,637930.1,205.0,22.0,N.A.,LICEO DELLE ARTI - TRENTO,12
7514353,2025,1314444.33,205.0,22.0,N.A.,LICEO DELLE ARTI - TRENTO,12
7514380,2024,29850.25,14.0,42.0,N.A.,ISTITUTO COMPRENSIVO RITA LEVI MONTALCINI,3
7514380,2025,234308.06,14.0,42.0,N.A.,ISTITUTO COMPRENSIVO RITA LEVI MONTALCINI,12
7514391,2025,731898.27,53.0,82.0,N.A.,ISTITUTO TECNICO ECONOMICO PER IL TURISMO MARCO POLO,12
7514527,2025,21961.89,2.0,42.0,N.A.,ISTITUTO COMPRENSIVO POSATORA PIANO ARCHI,3
7514538,2024,291826.16,33.0,35.0,N.A.,LICEO ARTISTICO G. CHIERICI,11
7514538,2025,552153.0,33.0,35.0,N.A.,LICEO ARTISTICO G. CHIERICI,12
7514598,2024,468986.75,205.0,22.0,N.A.,ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMO GRADO TRENTO 3,12
7514598,2025,1063913.77,205.0,22.0,N.A.,ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMO GRADO TRENTO 3,12
7514716,2025,181090.78,33.0,28.0,N.A.,ISTITUTO COMPRENSIVO DI CODEVIGO,12
7514986,2024,2779.43,18.0,33.0,N.A.,ISTITUTO COMPRENSIVO DI CORTEMAGGIORE,2
7514986,2025,225510.29,18.0,33.0,N.A.,ISTITUTO COMPRENSIVO DI CORTEMAGGIORE,12
7515004,2024,11896.3,45.0,35.0,N.A.,ISTITUTO COMPRENSIVO DI VILLA MINOZZO,3
7515004,2025,113580.55,45.0,35.0,N.A.,ISTITUTO COMPRENSIVO DI VILLA MINOZZO,12
7515027,2024,118438.73999999999,10.0,13.0,N.A.,ISTITUTO COMPRENSIVO APPIANO GENTILE,12
7515027,2025,222227.76,10.0,13.0,N.A.,ISTITUTO COMPRENSIVO APPIANO GENTILE,12
7515085,2025,97471.72,21.0,56.0,N.A.,ISTITUTO COMPRENSIVO XXV APRILE,10
7515093,2025,63348.079999999994,33.0,35.0,N.A.,ISTITUTO COMPRENSIVO GALILEO GALILEI,2
7515102,2024,100388.16,33.0,35.0,N.A.,ISTITUTO PROFESSIONALE STATALE PER I SERVIZI COMMERCIALI FILIPPO RE,11
7515102,2025,277028.05,33.0,35.0,N.A.,ISTITUTO PROFESSIONALE STATALE PER I SERVIZI COMMERCIALI FILIPPO RE,12
7515178,2024,220888.00999999998,56.0,9.0,N.A.,LICEO GIULIANO DELLA ROVERE,12
7515178,2025,746423.69,56.0,9.0,N.A.,LICEO GIULIANO DELLA ROVERE,12
7515270,2024,139893.73,64.0,28.0,N.A.,ISTITUTO COMPRENSIVO DI PIOMBINO DESE,11
7515270,2025,202801.03,64.0,28.0,N.A.,ISTITUTO COMPRENSIVO DI PIOMBINO DESE,12
7515274,2024,38242.59,53.0,82.0,N.A.,LICEO SCIENTIFICO STATALE S. CANNIZZARO,3
7515274,2025,433983.45,53.0,82.0,N.A.,LICEO SCIENTIFICO STATALE S. CANNIZZARO,12
7515438,2024,76846.01000000001,127.0,12.0,N.A.,ISTITUTO COMPRENSIVO TRADATE GALILEO GALILEI,12
7515438,2025,292925.4,127.0,12.0,N.A.,ISTITUTO COMPRENSIVO TRADATE GALILEO GALILEI,12
7515474,2024,48360.76,18.0,9.0,N.A.,ISTITUTO COMPRENSIVO STATALE DI CARCARE,5
7515474,2025,264668.04,18.0,9.0,N.A.,ISTITUTO COMPRENSIVO STATALE DI CARCARE,12
7515513,2025,64923.28,2.0,68.0,N.A.,ISTITUTO OMNICOMPRENSIVO ALANNO,3
7515540,2024,133065.44999999998,116.0,24.0,N.A.,ISTITUTO COMPRENSIVO 1 VICENZA - BURCI,9
7515540,2025,218977.92,116.0,24.0,N.A.,ISTITUTO COMPRENSIVO 1 VICENZA - BURCI,12
7515603,2025,64855.93,116.0,24.0,N.A.,LICEO CLASSICO ANTONIO PIGAFETTA,3
7515672,2024,37235.05,18.0,9.0,N.A.,LICEO STATALE SAN GIUSEPPE CALASANZIO DI CARCARE,2
7515672,2025,172188.61000000002,18.0,9.0,N.A.,LICEO STATALE SAN GIUSEPPE CALASANZIO DI CARCARE,12
7515698,2025,435178.27999999997,53.0,82.0,N.A.,ISTITUTO SUPERIORE MAJORANA,12
7515726,2025,143220.26,12.0,35.0,N.A.,ISTITUTO COMPRENSIVO CASALGRANDE,6
7515730,2024,100209.51000000001,100.0,13.0,N.A.,ISTITUTO COMPRENSIVO DI FENEGRO',12
7515730,2025,154168.01,100.0,13.0,N.A.,ISTITUTO COMPRENSIVO DI FENEGRO',12
7515784,2024,17650.420000000002,16.0,35.0,N.A.,ISTITUTO COMPRENSIVO DI CASTELNOVO NE' MONTI,3
7515784,2025,201448.25,16.0,35.0,N.A.,ISTITUTO COMPRENSIVO DI CASTELNOVO NE' MONTI,12
7515794,2025,141280.92,35.0,24.0,N.A.,ISTITUTO COMPRENSIVO UNGARETTI,8
7515879,2024,70785.04,51.0,24.0,N.A.,ISTITUTO COMPRENSIVO B. BIZIO DI LONGARE,12
7515879,2025,236482.06,51.0,24.0,N.A.,ISTITUTO COMPRENSIVO B. BIZIO DI LONGARE,12
7515889,2025,100038.36,3.0,35.0,N.A.,ISTITUTO COMPRENSIVO G. B. TOSCHI,9
7515915,2025,31526.14,116.0,24.0,N.A.,ISTITUTO COMPRENSIVO VICENZA 8,3
7516034,2024,55932.12,116.0,24.0,N.A.,ISTITUTO COMPRENSIVO VICENZA 5,6
7516034,2025,265428.37,116.0,24.0,N.A.,ISTITUTO COMPRENSIVO VICENZA 5,12
7516071,2025,58179.869999999995,52.0,56.0,N.A.,ISTITUTO COMPRENSIVO STATALE ILDOVALDO RIDOLFI,11
7516080,2025,24464.77,46.0,35.0,N.A.,ISTITUTO COMPRENSIVO L. ARIOSTO,2
7516116,2025,279969.39,52.0,24.0,N.A.,ISTITUTO COMPRENSIVO CARLO RIDOLFI,10
7516135,2024,27288.03,106.0,28.0,N.A.,ISTITUTO COMPRENSIVO CARRARESE EUGANEO,6
7516135,2025,193757.91,106.0,28.0,N.A.,ISTITUTO COMPRENSIVO CARRARESE EUGANEO,12
