Indicator 2,"Average annual gross actual salaries of school heads (in national currency), by ISCED level",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Heads,2020/2021,ISCED 34,35-44 years,70250.68757961785,:,76955.74972834712,:,853300,930158.4296797578,:,:,101389,22980,:,52196,:,70979.664,:,22921.319095199997,:,:,5869790,45677.694273230765,87192,76536.49392232057,:,34063,:,:,:,71124,645621,:,:,:,:,:,13563.02,414911,907499,:,:
Heads,2020/2021,ISCED 02,45-54 years,66184.14348869018,:,72597.3597330525,:,648400,526720,:,:,:,22522,:,47169,:,a,59722,18724.47517608,:,:,6222865.1,45100.293031386864,76062,:,:,38313,:,:,:,44466,592737,:,:,:,10418000,:,14609.5,:,662384,:,:
Heads,2020/2021,ISCED 1,45-54 years,67327.30034382675,:,72597.3597330525,:,869900,707901,:,:,90688,22522,:,47169,:,73319.875,59722,20102.6321178,:,:,6672680.3,45100.293031386864,76062,71930.15571283067,:,38313,:,:,:,64979,658424,:,:,:,11847000,:,14609.5,416220,780215,:,:
Heads,2020/2021,ISCED 24,45-54 years,69536.4209090909,:,77231.78586404766,:,869900,707901,:,:,107840,25456,:,60269,:,73319.875,65347,19466.373548159998,:,:,6672680.3,45691.376515511314,92172,74477.58215016618,:,38313,:,:,:,75206,658424,:,:,:,11847000,:,14609.5,416220,780215,:,:
Heads,2020/2021,ISCED 34,45-54 years,79087.87730253344,:,86645.0434783274,:,925800,947135.4158831009,:,:,107840,25456,:,60269,:,73319.875,65347,23103.636094079997,:,:,7105962,45691.376515511314,92172,91550.265046863,:,38313,:,:,:,77586,674169,:,:,:,:,:,14609.5,448525,954647,:,:
Heads,2020/2021,ISCED 02,55-64 years,70173.74170658537,:,75347.92139410909,:,672000,541559,:,:,:,26202,:,50114,:,a,59722,18653.291195759997,:,:,6738093.97,43744.917948256414,79998,:,:,49097,:,:,:,45715,622228,:,:,:,10995000,:,15771.34,:,670158,:,:
Heads,2020/2021,ISCED 1,55-64 years,70753.58928719982,:,75347.92139410909,:,911400,716030,:,:,94690,26202,:,50114,:,76842.227,59722,20176.445813399998,:,:,7318045.95,43744.917948256414,79998,81095.02524857543,:,49097,:,:,:,65813,675992,:,:,:,12412000,:,15771.34,450704,779193,:,:
Heads,2020/2021,ISCED 24,55-64 years,71576.38583333336,:,80726.34996128053,:,911400,716030,:,:,112124,27447,:,68576,:,76842.227,65347,19248.446690159995,:,:,7318045.95,44625.951538179484,94282,85343.08789394874,:,49097,:,:,:,77603,675992,:,:,:,12412000,:,15771.34,450704,779193,:,:
Heads,2020/2021,ISCED 34,55-64 years,83569.88502924654,:,89723.73423670055,:,968900,979941.9539848177,:,:,112124,27447,:,68576,:,76842.227,65347,23573.956055759994,:,:,7693334,44625.951538179484,94282,106214.82456198163,:,49097,:,:,:,79498,690942,:,:,:,:,:,15771.34,486293,965236,:,:
Heads,2021/2022,ISCED 02,25-64 years,66905.40571740834,:,74261,:,674100,531590.8953783256,:,22606,a,24493,:,46683,:,a,59722,19482,:,:,6326899,45843.597794117646,83846.16869951636,:,98540,44373,:,42939,:,44952,612595,:,19152,:,10681000,:,14083.17,:,684883,:,:
Heads,2021/2022,ISCED 1,25-64 years,68358.58583270342,:,74261,:,915800,717555.9554289706,:,25927,89107,24493,:,46683,:,77172.31998780399,59722,25238,:,:,6761693,45843.597794117646,83846.16869951636,78636.90667950732,106452,44373,:,41340,:,65987,677752,:,22344,:,11953000,:,14083.17,413490,801094,:,:
Heads,2021/2022,ISCED 24,25-64 years,71511.05406153847,:,80769,:,915800,717555.9554289706,:,25927,109312,27329,:,63178,:,77172.31998780399,65347,22609,:,:,6761693,47231.81799999999,95032.7627648419,83494.9565350867,106452,44373,:,41340,:,76824,677752,:,22344,:,11953000,:,14083.17,413490,801094,:,:
Heads,2021/2022,ISCED 34,25-64 years,81696.7775239622,:,92286,:,984900,925061,:,25927,109312,27329,:,63178,:,77172.31998780399,65347,26354,:,:,7163912,47231.81799999999,95032.7627648419,98679.13345928675,113871,44373,:,43287,:,79662,690790,:,24738,:,14655000,:,14083.17,446141,973251,:,:
Heads,2021/2022,ISCED 02,25-34 years,50299.33936726729,:,60201.57355389501,:,573000,473372.63619394845,:,:,a,17966,:,37664,:,a,a,18747,:,:,4804778,a,72257.22584314295,:,76425,a,:,:,:,40312,539977,:,:,:,:,:,13039.78,:,640749,:,:
Heads,2021/2022,ISCED 1,25-34 years,51197.64738606915,:,60201.57355389501,:,774800,a,:,:,75782,17966,:,37664,:,66428.79864253395,a,24676,:,:,5133140,a,72257.22584314295,53566.07636751118,89128,a,:,:,:,:,597910,:,:,:,:,:,13039.78,367786,704782,:,:
Heads,2021/2022,ISCED 24,25-34 years,a,:,63979.640895725235,:,774800,a,:,:,90697,m,:,43217,:,66428.79864253395,a,26758,:,:,5133140,a,75893.11242020308,55368.06946209235,89128,a,:,:,:,:,597910,:,:,:,:,:,13039.78,367786,704782,:,:
Heads,2021/2022,ISCED 34,25-34 years,59559.874,:,70656.67402733256,:,859400,a,:,:,90697,m,:,43217,:,66428.79864253395,a,:,:,:,5211819,a,75893.11242020308,58483.136094674555,100538,a,:,:,:,:,:,:,:,:,:,:,13039.78,397043,a,:,:
Heads,2021/2022,ISCED 02,35-44 years,58073.04561835868,:,68449.43492112917,:,628700,502936.42803600244,:,:,a,20209,:,43223,:,a,a,20080,:,:,5419256,46772.8075,81758.21976579254,:,91477,34601,:,:,:,42996,588518,:,:,:,10014000,:,13563.02,:,671092,:,:
Heads,2021/2022,ISCED 1,35-44 years,60882.35625328242,:,68449.43492112917,:,841600,675589.951400686,:,:,84329,20209,:,43223,:,72324.07248823694,a,24520,:,:,5671790,46772.8075,81758.21976579254,62265.07190444976,100987,34601,:,:,:,59272,647693,:,:,:,11112000,:,13563.02,384546,783846,:,:
Heads,2021/2022,ISCED 24,35-44 years,65220.82053333334,:,73984.47334824313,:,841600,675589.951400686,:,:,103366,23114,:,52540,:,72324.07248823694,a,22487,:,:,5671790,:,90937.51487680901,66184.34523587544,100987,34601,:,:,:,68525,647693,:,:,:,11112000,:,13563.02,384546,783846,:,:
Heads,2021/2022,ISCED 34,35-44 years,70511.35278779842,:,82501.67017110174,:,897700,835417,:,:,103366,23114,:,52540,:,72324.07248823694,a,25200,:,:,5953578,:,90937.51487680901,75290.26715041668,108545,34601,:,:,:,:,665993,:,:,:,:,:,13563.02,414911,910306,:,:
Heads,2021/2022,ISCED 02,45-54 years,67971.7353917435,:,75594.51042714067,:,674100,534939.0648696508,:,:,a,22836,:,47586,:,a,59722,19151,:,:,6315552,46069.73249999999,84826.73714557447,:,97574,38597,:,:,:,44949,608940,:,:,:,10625000,:,14609.5,:,687669,:,:
Heads,2021/2022,ISCED 1,45-54 years,68979.3804735968,:,75594.51042714067,:,911100,722188.716889262,:,:,91701,22836,:,47586,:,74680.32504516983,59722,22595,:,:,6730494,46069.73249999999,84826.73714557447,76676.57723262739,105829,38597,:,:,:,66789,679188,:,:,:,11829000,:,14609.5,416220,805822,:,:
Heads,2021/2022,ISCED 24,45-54 years,71173.9337,:,82464.56485308753,:,911100,722188.716889262,:,:,109248,25856,:,60875,:,74680.32504516983,65347,22036,:,:,6730494,47291.58428571428,95613.13468359387,78961.00612294883,105829,38597,:,:,:,76677,679188,:,:,:,11829000,:,14609.5,416220,805822,:,:
Heads,2021/2022,ISCED 34,45-54 years,79569.91182107945,:,94796.08454291464,:,970900,931382,:,:,109248,25856,:,60875,:,74680.32504516983,65347,27266,:,:,7076964,47291.58428571428,95613.13468359387,92253.05060645285,113157,38597,:,:,:,79517,694160,:,:,:,:,:,14609.5,448525,970645,:,:
Heads,2021/2022,ISCED 02,55-64 years,71778.00152286902,:,78904.36852799908,:,701400,551594.3537478368,:,:,a,26529,:,49716,:,a,59722,20019,:,:,6939560,45420.1089285714,86275.0272870828,:,101504,48740,:,:,:,46485,637145,:,:,:,10974000,:,15771.34,:,694277,:,:
Heads,2021/2022,ISCED 1,55-64 years,72467.19906608578,:,78904.36852799908,:,957500,736381.1491333401,:,:,95188,26529,:,49716,:,79223.85598994803,59722,23838,:,:,7339639,45420.10892857142,86275.0272870828,86501.736051366,108690,48740,:,:,:,67894,695942,:,:,:,11829000,:,15771.34,450704,805775,:,:
Heads,2021/2022,ISCED 24,55-64 years,74880.91773333334,:,85780.31723419367,:,957500,736381.1491333401,:,:,114018,27794,:,68649,:,79223.85598994803,65347,21012,:,:,7339639,47338.992,97326.05585282958,90741.01649555442,108690,48740,:,:,:,79987,695942,:,:,:,11829000,:,15771.34,450704,805775,:,:
Heads,2021/2022,ISCED 34,55-64 years,85358.40295352331,:,98550.71870543096,:,1024600,941583,:,:,114018,27794,:,68649,:,79223.85598994803,65347,26792,:,:,7736129,47338.992,97326.05585282958,106403.9788647284,115981,48740,:,:,:,81951,704889,:,:,:,:,:,15771.34,486293,991785,:,:
Heads,2022/2023,ISCED 02,25-64 years,75392.46703439932,:,81805.65982671297,:,688700,551321,:,25592.855650491754,a,24196,:,46988,:,a,60483,21395,:,:,7002548,45764.47253731344,91556.95458225836,91557,109673.44346312685,47048,:,45564,:,47652,630039,:,21828,:,11635000,:,16773,:,711882,:,:
Heads,2022/2023,ISCED 1,25-64 years,76893.92067509858,:,81805.65982671297,:,937100,740978.5263686622,:,29873.52042360631,91085.5373608903,24196,:,46988,:,81694.84751626519,60483,24549,:,:,7756179,45764.47253731344,91556.95458225836,83261.20486222736,118446.39103639236,47048,:,43717,:,66846,695978,:,24000,:,12880000,:,16773,475513,835408,:,:
Heads,2022/2023,ISCED 24,25-64 years,82220.11376551724,:,88876.92628545155,:,937100,740978.5263686622,:,29873.52042360631,116613.59745652173,26342,:,64782,:,81694.84751626519,66180,23727,:,:,7756179,46854.46454545456,103202.77637701866,88128.56501389363,118446.39103639236,47048,:,43717,:,78111,695978,:,24000,:,12880000,:,16773,475513,835408,:,:
Heads,2022/2023,ISCED 34,25-64 years,91942.88062277189,:,102021.74907366699,:,1026600,960481,:,29873.52042360631,116613.59745652173,26342,:,64782,:,81694.84751626519,66180,29172,:,:,8192284,46854.46454545456,103202.77637701866,104757.51233066515,126188.79140094713,47048,:,48981,:,81387,708252,:,27600,:,15709000,:,16773,513062,1008020,:,:
Heads,2022/2023,ISCED 02,25-34 years,57106.36429255324,:,65531.70016078574,:,586300,500360.13072276744,:,:,a,17719,:,38469,:,a,a,21992,:,:,5796324,a,79358.2926066819,:,82644.02078125002,a,:,:,:,43242,561040,:,:,:,:,:,15531,:,667977,:,:
Heads,2022/2023,ISCED 1,25-34 years,56720.177255565286,:,65531.70016078574,:,788700,:,:,:,75782,17719,:,38463,:,66775.04629629629,a,29019,:,:,6456473,a,79358.2926066819,58412.154516167575,102241.57202702705,a,:,:,:,:,588614,:,:,:,:,:,15531,422953,752490,:,:
Heads,2022/2023,ISCED 24,25-34 years,a,:,65518.268475226396,:,788700,:,:,:,94999,16289,:,45966,:,66775.04629629629,a,22563,:,:,6456473,a,82398.25055982904,62104.8622867972,102241.57202702705,a,:,:,:,:,588614,:,:,:,:,:,15531,422953,752490,:,:
Heads,2022/2023,ISCED 34,25-34 years,70579.04183999999,:,74551.54450363091,:,882100,:,:,:,94999,16289,:,45966,:,66775.04629629629,a,28949,:,:,6315940,a,82398.25055982904,60649.37639553429,111168.22699999998,a,:,:,:,:,:,:,:,:,:,:,15531,456600,a,:,:
Heads,2022/2023,ISCED 02,35-44 years,66711.7839310582,:,74596.82627859448,:,641900,522069.41321786016,:,:,a,20225,:,44590,:,a,a,21551,:,:,6155911,45039.823333333334,89760.56327424267,:,102107.33795409184,36402,:,:,:,46107,605619,:,:,:,:,:,16154,:,697768,:,:
Heads,2022/2023,ISCED 1,35-44 years,68761.95939903002,:,74596.82627859448,:,856900,703644.6443968029,:,:,86692,20225,:,44590,:,78566.02171576802,a,22450,:,:,6809128,45039.823333333334,89760.56327424267,65410.45247374344,111516.29082547172,36402,:,:,:,59908,667339,:,:,:,12234000,:,16154,442228,819403,:,:
Heads,2022/2023,ISCED 24,35-44 years,77244.18736,:,79913.53369461023,:,856900,703644.6443968029,:,:,110687,22244,:,53891,:,78566.02171576802,a,23619,:,:,6809128,46536.744999999995,98722.23779545544,70378.72790962423,111516.29082547172,36402,:,:,:,69519,667339,:,:,:,12234000,:,16154,442228,819403,:,:
Heads,2022/2023,ISCED 34,35-44 years,79524.79641156789,:,90150.38499366287,:,937700,906235,:,:,110687,22244,:,53891,:,78566.02171576802,a,28850,:,:,6983476,46536.744999999995,98722.23779545544,78920.37263767581,119242.39634868415,36402,:,:,:,72201,678581,:,:,:,:,:,16154,473678,936206,:,:
Heads,2022/2023,ISCED 02,45-54 years,76328.79163294124,:,83555.0038618312,:,687800,553673.990894603,:,:,a,22784,:,48192,:,a,60483,21428,:,:,6991691,46056.34628571429,92607.40212730024,:,108755.70163895485,40793,:,:,:,47655,628205,:,:,:,11702000,:,17401,:,716161,:,:
Heads,2022/2023,ISCED 1,45-54 years,77931.77426382838,:,83555.0038618312,:,932900,741776.3236108376,:,:,93193,22784,:,48192,:,79992.26090741536,60483,25244,:,:,7626484,46056.34628571429,92607.40212730024,80766.4635060111,117455.39535918244,40793,:,:,:,67337,698598,:,:,:,12800000,:,17401,478654,840704,:,:
Heads,2022/2023,ISCED 24,45-54 years,81743.8717090909,:,90612.96556736309,:,932900,741776.3236108376,:,:,116068,24703,:,62508,:,79992.26090741536,66180,23744,:,:,7626484,46591.90214285715,103877.09015035501,83478.31207784108,117455.39535918244,40793,:,:,:,77924,698598,:,:,:,12800000,:,17401,478653,840704,:,:
Heads,2022/2023,ISCED 34,45-54 years,90350.55969213456,:,103453.6891337578,:,1013500,965840,:,:,116068,24703,:,62508,:,79992.26090741536,66180,29844,:,:,8018134,46591.90214285715,103877.09015035501,96688.23676420399,126979.57445672191,40793,:,:,:,80682,709998,:,:,:,:,:,17401,515804,995144,:,:
Heads,2022/2023,ISCED 02,55-64 years,80867.04266966089,:,87715.56360793568,:,718800,573843.7753479895,:,:,a,26157,:,49400,:,a,60483,21247,:,:,7540191,45487.17482758622,93893.45026147958,:,113321.29058343788,51364,:,:,:,49033,652525,:,:,:,11884000,:,18783,:,719296,:,:
Heads,2022/2023,ISCED 1,55-64 years,81849.57078594061,:,87715.56360793568,:,980400,761954.5869078118,:,:,97260,26157,:,49400,:,82964.7227065749,60483,23984,:,:,8298645,45487.17482758622,93893.45026147958,92661.85073945102,121410.54284075928,51364,:,:,:,69308,709773,:,:,:,13484000,:,18783,518309,836869,:,:
Heads,2022/2023,ISCED 24,55-64 years,84536.90566153846,:,95724.56838689827,:,980400,761954.5869078118,:,:,120105,27143,:,70839,:,82964.7227065749,66180,23804,:,:,8298645,47573.01666666666,105977.76099045973,96410.12547378702,121410.54284075928,51364,:,:,:,81360,709773,:,:,:,13484000,:,18783,518309,836869,:,:
Heads,2022/2023,ISCED 34,55-64 years,96014.51474333338,:,109208.72618099813,:,1066700,963552,:,:,120105,27143,:,70839,:,82964.7227065749,66180,28739,:,:,8767378,47573.01666666666,105977.76099045973,114153.03734261222,127441.09073321552,51364,:,:,:,83799,726254,:,:,:,:,:,18783,559237,1028455,:,:
Heads,2023/2024,ISCED 02,25-64 years,76948.92,:,85028.81038563985,:,:,587322.7376944502,:,28783,a,25550,:,:,:,a,68940.33,24968,:,:,9346401.414488634,48250.888,97248.5592802948,:,139829.6886287424,49983,:,:,:,51933,646156.809482002,:,24000,:,12460000,:,18109,:,755773,:,:
Heads,2023/2024,ISCED 1,25-64 years,78868,:,85028.81038563985,:,:,784343,:,33971,92727,25550,:,:,:,97883,68940.33,24968,:,:,10131543,48250.888,97248.5592802948,89640,149437,49983,:,:,:,69077,715975,:,26400,:,13527000,:,18109,:,884027,:,:
Heads,2023/2024,ISCED 24,25-64 years,84308.26,:,91590.8915167938,:,:,784343.228051895,:,33971,118770,28825,:,:,:,97883,72735.23,24968,:,:,10131543,49522.52428571429,109046.55332732206,95025.03732577605,149437,49983,:,:,:,81051,715975,:,26400,:,13527000,:,18109,:,884027,:,:
Heads,2023/2024,ISCED 34,25-64 years,93848.84,:,105507.4105330357,:,:,1008479,:,33971,118770,28825,:,:,:,97883,72735.23,24968,:,:,10576542.190758426,49522.52428571429,109046.55332732206,112942.98776500784,162335.85563906757,49983,:,:,:,83729,725649.919282511,:,28000,:,16932000,:,18109,:,1067146,:,:
Heads,2023/2024,ISCED 02,25-34 years,55657.4,:,69051.71440024614,:,:,530918,:,:,a,18798,:,:,:,a,:,24732,:,:,8440677,a,85387.46622890096,:,110492.395625,a,:,:,:,48137,557566.125,:,:,:,:,:,17009,:,700336,:,:
Heads,2023/2024,ISCED 1,25-34 years,58042,:,69051.71440024614,:,:,a,:,:,75930,18798,:,:,:,:,:,24732,:,:,8848854,a,85387.46622890096,36124,122921,a,:,:,:,a,609108,:,:,:,:,:,17009,:,808853,:,:
Heads,2023/2024,ISCED 24,25-34 years,a,:,69431,:,:,a,:,:,94628,:,:,:,:,:,:,24732,:,:,8848854,a,88311,:,122921,a,:,:,:,a,609108,:,:,:,:,:,17009,:,808853,:,:
Heads,2023/2024,ISCED 34,25-34 years,73323,:,75645,:,:,a,:,:,94628,:,:,:,:,:,:,24732,:,:,8862960,a,88311,:,124262,a,:,:,:,a,:,:,:,:,:,:,17009,:,a,:,:
Heads,2023/2024,ISCED 02,35-44 years,68205.02,:,77790.6449790392,:,:,556480,:,:,a,21904,:,:,:,a,:,24072,:,:,8727187,48408.97333333333,95780,:,130360.58460548884,39548,:,:,:,50586,619811.52886836,:,:,:,:,:,17694,:,744219,:,:
Heads,2023/2024,ISCED 1,35-44 years,70296,:,77790.6449790392,:,:,739030,:,:,87834,21904,:,:,:,96510,:,24072,:,:,9270532,48408.97333333333,95779.98379584764,70694,141550,39548,:,:,:,62674,682264,:,:,:,12885000,:,17694,:,861040,:,:
Heads,2023/2024,ISCED 24,35-44 years,80257,:,83479,:,:,739030,:,:,111245,25464,:,:,:,96510,:,24072,:,:,9270532,a,104676,75933,141550,39548,:,:,:,71655,682264,:,:,:,12885000,:,17694,:,861040,:,:
Heads,2023/2024,ISCED 34,35-44 years,80628,:,93207,:,:,956994,:,:,111245,25464,:,:,:,96510,:,24072,:,:,9419689,a,104676,87507,157136,39548,:,:,:,73156,695966,:,:,:,:,:,17694,:,m,:,:
Heads,2023/2024,ISCED 02,45-54 years,78434.39,:,86814.5817916452,:,:,590069,:,:,a,24478,:,:,:,a,63998,27444,:,:,9297763,48393.20258064516,98324.9609895722,:,140390.16218028415,42813,:,:,:,51869,645145.130352046,:,:,:,12534000,:,19066,:,759631,:,:
Heads,2023/2024,ISCED 1,45-54 years,80068,:,86814.5817916452,:,:,787394,:,:,94643,24478,:,:,:,97417,63998,27444,:,:,9967878,48393.20258064516,98324.9609895722,87626,149266,42813,:,:,:,69641,718274,:,:,:,13198000,:,19066,:,889357,:,:
Heads,2023/2024,ISCED 24,45-54 years,82865,:,93549,:,:,787394,:,:,118469,27729,:,:,:,97417,68032,27444,:,:,9967878,49645,109957,91167,149266,42813,:,:,:,81004,718274,:,:,:,13198000,:,19066,:,889357,:,:
Heads,2023/2024,ISCED 34,45-54 years,93034,:,107229,:,:,1006770,:,:,118469,27729,:,:,:,97417,68032,27444,:,:,10271957,49645,109957,103698,163262,42813,:,:,:,84335,727054,:,:,:,:,:,19066,:,1064556,:,:
Heads,2023/2024,ISCED 02,55-64 years,82599.84,:,91183.4750686749,:,:,612176,:,:,a,27393,:,:,:,a,75118,23988,:,:,9808374,48059,99530.54870188406,:,143640.42787869266,54293,:,:,:,53188,666243.007874016,:,:,:,12697000,:,20588,:,763774,:,:
Heads,2023/2024,ISCED 1,55-64 years,83985,:,91183.4750686749,:,:,802520,:,:,98930,27393,:,:,:,98252,75118,23988,:,:,10646692,48059.45,99530.54870188406,100260,152140,54293,:,:,:,70908,731574,:,:,:,14418000,:,20588,:,888380,:,:
Heads,2023/2024,ISCED 24,55-64 years,87075,:,98686,:,:,802520,:,:,121916,29436,:,:,:,98252,77439,23988,:,:,10646692,49216,112403,104386,152140,54293,:,:,:,84025,731574,:,:,:,14418000,:,20588,:,888380,:,:
Heads,2023/2024,ISCED 34,55-64 years,98021,:,112913,:,:,1025753,:,:,121916,29436,:,:,0,98252,77439,23988,:,:,11213001,49216,112403,123381,162940,54293,:,:,:,85553,740037,:,:,:,17567000,:,20588,:,1072285,:,:
,"Note: * CZ, FR and SI - data for 2023/2024 refernce year is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
