FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC4,Lombardia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,150.13,,
A,Annuale,ITC4,Lombardia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,231.268,,
A,Annuale,ITC4,Lombardia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,224.237,,
A,Annuale,ITD,Nord-est,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,95.34,,
A,Annuale,ITD,Nord-est,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,81.719,,
A,Annuale,ITD,Nord-est,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,173.959,,
A,Annuale,ITD,Nord-est,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,152.335,,
A,Annuale,ITD,Nord-est,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,177.722,,
A,Annuale,ITD,Nord-est,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,156.564,,
A,Annuale,ITD,Nord-est,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,261.162,,
A,Annuale,ITD,Nord-est,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,239.663,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,8.844,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,7.552,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,14.894,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,12.793,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,15.359,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,13.402,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,23.651,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,20.784,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,3.859,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,3.608,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,7.01,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,6.74,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,7.108,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,7.107,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,11.879,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,11.67,,
A,Annuale,ITD2,Provincia Autonoma Trento,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,4.984,,
A,Annuale,ITD2,Provincia Autonoma Trento,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,3.943,,
A,Annuale,ITD2,Provincia Autonoma Trento,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,7.884,,
A,Annuale,ITD2,Provincia Autonoma Trento,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,6.053,,
A,Annuale,ITD2,Provincia Autonoma Trento,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,8.251,,
A,Annuale,ITD2,Provincia Autonoma Trento,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,6.295,,
A,Annuale,ITD2,Provincia Autonoma Trento,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,11.772,,
A,Annuale,ITD2,Provincia Autonoma Trento,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,9.113,,
A,Annuale,ITD3,Veneto,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,40.578,,
A,Annuale,ITD3,Veneto,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,34.595,,
A,Annuale,ITD3,Veneto,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,73.769,,
A,Annuale,ITD3,Veneto,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,63.727,,
A,Annuale,ITD3,Veneto,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,75.28,,
A,Annuale,ITD3,Veneto,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,64.777,,
A,Annuale,ITD3,Veneto,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,109.859,,
A,Annuale,ITD3,Veneto,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,98.187,,
A,Annuale,ITD4,Friuli-Venezia Giulia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,8.799,,
A,Annuale,ITD4,Friuli-Venezia Giulia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,8.81,,
A,Annuale,ITD4,Friuli-Venezia Giulia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,17.591,,
A,Annuale,ITD4,Friuli-Venezia Giulia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,16.598,,
A,Annuale,ITD4,Friuli-Venezia Giulia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,18.008,,
A,Annuale,ITD4,Friuli-Venezia Giulia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,17.537,,
A,Annuale,ITD4,Friuli-Venezia Giulia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,27.011,,
A,Annuale,ITD4,Friuli-Venezia Giulia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,26.789,,
A,Annuale,ITD5,Emilia-Romagna,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,37.119,,
A,Annuale,ITD5,Emilia-Romagna,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,30.763,,
A,Annuale,ITD5,Emilia-Romagna,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,67.704,,
A,Annuale,ITD5,Emilia-Romagna,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,59.217,,
A,Annuale,ITD5,Emilia-Romagna,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,69.074,,
A,Annuale,ITD5,Emilia-Romagna,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,60.848,,
A,Annuale,ITD5,Emilia-Romagna,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,100.64,,
A,Annuale,ITD5,Emilia-Romagna,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,93.903,,
A,Annuale,ITE,Centro,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,101.934,,
A,Annuale,ITE,Centro,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,107.411,,
A,Annuale,ITE,Centro,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,198.666,,
A,Annuale,ITE,Centro,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,210.398,,
A,Annuale,ITE,Centro,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,203.037,,
A,Annuale,ITE,Centro,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,215.939,,
A,Annuale,ITE,Centro,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,308.127,,
A,Annuale,ITE,Centro,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,323.29,,
A,Annuale,ITE1,Toscana,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,27.922,,
A,Annuale,ITE1,Toscana,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,29.609,,
A,Annuale,ITE1,Toscana,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,54.433,,
A,Annuale,ITE1,Toscana,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,54.543,,
A,Annuale,ITE1,Toscana,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,55.739,,
A,Annuale,ITE1,Toscana,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,56.406,,
A,Annuale,ITE1,Toscana,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,82.768,,
A,Annuale,ITE1,Toscana,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,83.821,,
A,Annuale,ITE2,Umbria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,6.085,,
A,Annuale,ITE2,Umbria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,6.005,,
A,Annuale,ITE2,Umbria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,12.183,,
A,Annuale,ITE2,Umbria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,11.751,,
A,Annuale,ITE2,Umbria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,12.46,,
A,Annuale,ITE2,Umbria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,12.045,,
A,Annuale,ITE2,Umbria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,19.95,,
A,Annuale,ITE2,Umbria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,18.545,,
A,Annuale,ITE3,Marche,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,10.9,,
A,Annuale,ITE3,Marche,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,11.59,,
A,Annuale,ITE3,Marche,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,22.192,,
A,Annuale,ITE3,Marche,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,22.013,,
A,Annuale,ITE3,Marche,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,22.57,,
A,Annuale,ITE3,Marche,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,22.643,,
A,Annuale,ITE3,Marche,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,33.186,,
A,Annuale,ITE3,Marche,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,32.173,,
A,Annuale,ITE4,Lazio,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,57.027,,
A,Annuale,ITE4,Lazio,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,60.206,,
A,Annuale,ITE4,Lazio,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,109.858,,
A,Annuale,ITE4,Lazio,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,122.092,,
A,Annuale,ITE4,Lazio,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,112.269,,
A,Annuale,ITE4,Lazio,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,124.845,,
A,Annuale,ITE4,Lazio,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,172.224,,
A,Annuale,ITE4,Lazio,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,188.75,,
A,Annuale,ITFG,Mezzogiorno,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,401.239,,
A,Annuale,ITFG,Mezzogiorno,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,368.907,,
A,Annuale,ITFG,Mezzogiorno,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,754.212,,
A,Annuale,ITFG,Mezzogiorno,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,713.982,,
A,Annuale,ITFG,Mezzogiorno,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,773.593,,
A,Annuale,ITFG,Mezzogiorno,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,729.125,,
A,Annuale,ITFG,Mezzogiorno,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,1209.644,,
A,Annuale,ITFG,Mezzogiorno,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,1156.039,,
A,Annuale,ITF1,Abruzzo,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,11.47,,
A,Annuale,ITF1,Abruzzo,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,14.506,,
A,Annuale,ITF1,Abruzzo,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,27.023,,
A,Annuale,ITF1,Abruzzo,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,30.136,,
A,Annuale,ITF1,Abruzzo,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,27.545,,
A,Annuale,ITF1,Abruzzo,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,31.179,,
A,Annuale,ITF1,Abruzzo,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,43.01,,
A,Annuale,ITF1,Abruzzo,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,46.848,,
A,Annuale,ITF2,Molise,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,3.603,,
A,Annuale,ITF2,Molise,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,3.811,,
A,Annuale,ITF2,Molise,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,7.244,,
A,Annuale,ITF2,Molise,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,7.726,,
A,Annuale,ITF2,Molise,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,7.539,,
A,Annuale,ITF2,Molise,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,7.931,,
A,Annuale,ITF2,Molise,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,11.439,,
A,Annuale,ITF2,Molise,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,10.955,,
A,Annuale,ITF3,Campania,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,137.911,,
A,Annuale,ITF3,Campania,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,122.706,,
A,Annuale,ITF3,Campania,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,247.643,,
A,Annuale,ITF3,Campania,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,230.598,,
A,Annuale,ITF3,Campania,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,256.461,,
A,Annuale,ITF3,Campania,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,236.987,,
A,Annuale,ITF3,Campania,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,402.451,,
A,Annuale,ITF3,Campania,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,372.897,,
A,Annuale,ITF4,Puglia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,70.593,,
A,Annuale,ITF4,Puglia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,69.373,,
