FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EURO_LABOUR_STATUS,Condizione lavorativa europea,CITIZENSHIP,Cittadinanza,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_SEX,Sesso (NOTE_SEX),NOTE_AGE,Età (NOTE_AGE),NOTE_EURO_LABOUR_STATUS,Condizione lavorativa europea (NOTE_EURO_LABOUR_STATUS),NOTE_CITIZENSHIP,Cittadinanza (NOTE_CITIZENSHIP),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,TOTAL,Totale,2024,370.771,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,ITL,Italiano-a,2023,251.116,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,ITL,Italiano-a,2024,216.373,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,FRG,Straniero-a,2023,35.259,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,FRG,Straniero-a,2024,33.798,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,TOTAL,Totale,2023,286.376,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,TOTAL,Totale,2024,250.171,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,ITL,Italiano-a,2023,311.628,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,ITL,Italiano-a,2024,328.06,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,FRG,Straniero-a,2023,29.97,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,FRG,Straniero-a,2024,32.457,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,TOTAL,Totale,2023,341.598,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,TOTAL,Totale,2024,360.517,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,ITL,Italiano-a,2023,562.745,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,ITL,Italiano-a,2024,544.433,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,FRG,Straniero-a,2023,65.229,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,FRG,Straniero-a,2024,66.254,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,TOTAL,Totale,2023,627.974,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,TOTAL,Totale,2024,610.687,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,ITL,Italiano-a,2023,255.014,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,ITL,Italiano-a,2024,219.653,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,FRG,Straniero-a,2023,35.851,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,FRG,Straniero-a,2024,34.214,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,TOTAL,Totale,2023,290.865,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,TOTAL,Totale,2024,253.867,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,ITL,Italiano-a,2023,326.741,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,ITL,Italiano-a,2024,342.126,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,FRG,Straniero-a,2023,32.75,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,FRG,Straniero-a,2024,35.155,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,TOTAL,Totale,2023,359.491,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,TOTAL,Totale,2024,377.281,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOT,Totale,ITL,Italiano-a,2023,581.755,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOT,Totale,ITL,Italiano-a,2024,561.779,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOT,Totale,FRG,Straniero-a,2023,68.601,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOT,Totale,FRG,Straniero-a,2024,69.369,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOT,Totale,TOTAL,Totale,2023,650.356,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOT,Totale,TOTAL,Totale,2024,631.147,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,UNEM,Disoccupati,ITL,Italiano-a,2023,342.137,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,UNEM,Disoccupati,ITL,Italiano-a,2024,298.353,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,UNEM,Disoccupati,FRG,Straniero-a,2023,53.724,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,UNEM,Disoccupati,FRG,Straniero-a,2024,51.656,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,UNEM,Disoccupati,TOTAL,Totale,2023,395.861,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,UNEM,Disoccupati,TOTAL,Totale,2024,350.008,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,TOTIN,Totale inattivi,ITL,Italiano-a,2023,449.431,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,TOTIN,Totale inattivi,ITL,Italiano-a,2024,475.905,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,TOTIN,Totale inattivi,FRG,Straniero-a,2023,45.739,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,TOTIN,Totale inattivi,FRG,Straniero-a,2024,51.67,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,TOTIN,Totale inattivi,TOTAL,Totale,2023,495.169,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,TOTIN,Totale inattivi,TOTAL,Totale,2024,527.576,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,TOT,Totale,ITL,Italiano-a,2023,791.567,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,TOT,Totale,ITL,Italiano-a,2024,774.258,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,TOT,Totale,FRG,Straniero-a,2023,99.463,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,TOT,Totale,FRG,Straniero-a,2024,103.326,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,TOT,Totale,TOTAL,Totale,2023,891.03,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-34,15-34 anni,TOT,Totale,TOTAL,Totale,2024,877.584,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,UNEM,Disoccupati,ITL,Italiano-a,2023,113.445,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,UNEM,Disoccupati,ITL,Italiano-a,2024,89.477,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,UNEM,Disoccupati,FRG,Straniero-a,2023,15.135,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,UNEM,Disoccupati,FRG,Straniero-a,2024,10.705,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,UNEM,Disoccupati,TOTAL,Totale,2023,128.58,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,UNEM,Disoccupati,TOTAL,Totale,2024,100.182,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,TOTIN,Totale inattivi,ITL,Italiano-a,2023,184.124,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,TOTIN,Totale inattivi,ITL,Italiano-a,2024,190.487,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,TOTIN,Totale inattivi,FRG,Straniero-a,2023,30.523,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,TOTIN,Totale inattivi,FRG,Straniero-a,2024,34.994,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,TOTIN,Totale inattivi,TOTAL,Totale,2023,214.648,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,TOTIN,Totale inattivi,TOTAL,Totale,2024,225.481,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,TOT,Totale,ITL,Italiano-a,2023,297.569,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,TOT,Totale,ITL,Italiano-a,2024,279.964,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,TOT,Totale,FRG,Straniero-a,2023,45.659,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-24,15-24 anni,TOT,Totale,FRG,Straniero-a,2024,45.699,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
