STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sector,Sector,expend,Expenditure and investment,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BE,Belgium,2013,,13968.0,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BE,Belgium,2014,,14366.2,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BE,Belgium,2015,,14405.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BE,Belgium,2016,,14940.0,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BE,Belgium,2017,,15232.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BE,Belgium,2018,,15501.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BE,Belgium,2019,,15987.2,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BE,Belgium,2020,,16475.6,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BE,Belgium,2021,,16639.9,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BE,Belgium,2022,,18196.1,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BG,Bulgaria,2013,,119.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BG,Bulgaria,2014,,131.2,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BG,Bulgaria,2015,,148.2,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BG,Bulgaria,2016,,157.1,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BG,Bulgaria,2017,,160.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BG,Bulgaria,2018,,163.9,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BG,Bulgaria,2019,,163.9,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BG,Bulgaria,2020,,184.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BG,Bulgaria,2021,,195.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,BG,Bulgaria,2022,,224.7,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CH,Switzerland,2013,,4431.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CY,Cyprus,2013,,207.0,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CY,Cyprus,2014,,210.8,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CY,Cyprus,2015,,230.1,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CY,Cyprus,2016,,245.0,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CY,Cyprus,2017,,276.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CY,Cyprus,2018,,282.8,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CY,Cyprus,2019,,310.1,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CY,Cyprus,2020,,291.0,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CY,Cyprus,2021,,305.7,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CY,Cyprus,2022,,349.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CZ,Czechia,2013,,352.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CZ,Czechia,2014,,337.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CZ,Czechia,2015,,351.0,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CZ,Czechia,2016,,363.8,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CZ,Czechia,2017,,391.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CZ,Czechia,2018,,438.3,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CZ,Czechia,2019,,468.6,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CZ,Czechia,2020,,486.6,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CZ,Czechia,2021,,557.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,CZ,Czechia,2022,,667.1,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DE,Germany,2013,,30894.9,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DE,Germany,2014,,31715.9,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DE,Germany,2015,,32905.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DE,Germany,2016,,33571.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DE,Germany,2017,,35334.6,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DE,Germany,2018,,36286.7,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DE,Germany,2019,,37861.5,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DE,Germany,2020,,39462.0,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DE,Germany,2021,,43601.0,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DE,Germany,2022,,45751.2,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DK,Denmark,2013,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DK,Denmark,2016,,2029.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DK,Denmark,2017,,2141.1,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DK,Denmark,2018,,2206.1,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DK,Denmark,2019,,2268.6,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DK,Denmark,2020,,2343.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DK,Denmark,2021,,2461.0,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,DK,Denmark,2022,,2623.2,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,EE,Estonia,2013,,352.3,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,EE,Estonia,2014,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,EE,Estonia,2015,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,EE,Estonia,2016,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,EE,Estonia,2017,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,EE,Estonia,2018,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,EE,Estonia,2019,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,EE,Estonia,2020,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,EE,Estonia,2021,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,EE,Estonia,2022,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,EL,Greece,2020,,569.0,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,EL,Greece,2022,,761.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,ES,Spain,2013,,10761.6,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,ES,Spain,2014,,10908.8,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,ES,Spain,2015,,12243.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,ES,Spain,2016,,12555.8,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,ES,Spain,2017,,12912.2,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,ES,Spain,2018,,13322.3,,,,,
