FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EURO_LABOUR_STATUS,Condizione lavorativa europea,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_SEX,Sesso (NOTE_SEX),NOTE_AGE,Età (NOTE_AGE),NOTE_EURO_LABOUR_STATUS,Condizione lavorativa europea (NOTE_EURO_LABOUR_STATUS),NOTE_EDU_LEV_HIGHEST,Titolo di studio (NOTE_EDU_LEV_HIGHEST),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,LFP,Forze lavoro potenziali,11,Laurea e post-laurea,2024,4.521,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,LFP,Forze lavoro potenziali,99,Totale,2023,129.29,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,LFP,Forze lavoro potenziali,99,Totale,2024,126.787,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,NOT,Non cercano e non disponibili,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,41.831,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,NOT,Non cercano e non disponibili,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,39.698,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,NOT,Non cercano e non disponibili,7,Diploma,2023,45.528,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,NOT,Non cercano e non disponibili,7,Diploma,2024,49.405,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,NOT,Non cercano e non disponibili,11,Laurea e post-laurea,2023,3.707,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,NOT,Non cercano e non disponibili,11,Laurea e post-laurea,2024,4.264,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,NOT,Non cercano e non disponibili,99,Totale,2023,91.066,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,NOT,Non cercano e non disponibili,99,Totale,2024,93.367,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,147.642,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,132.57,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,7,Diploma,2023,231.157,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,7,Diploma,2024,224.313,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,11,Laurea e post-laurea,2023,11.679,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,11,Laurea e post-laurea,2024,13.889,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,99,Totale,2023,390.478,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,99,Totale,2024,370.771,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,96.478,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,79.152,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,7,Diploma,2023,163.4,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,7,Diploma,2024,145.39,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,11,Laurea e post-laurea,2023,26.498,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,11,Laurea e post-laurea,2024,25.628,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,99,Totale,2023,286.376,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,UNEM,Disoccupati,99,Totale,2024,250.171,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,122.091,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,115.541,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,7,Diploma,2023,187.865,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,7,Diploma,2024,211.66,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,11,Laurea e post-laurea,2023,31.641,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,11,Laurea e post-laurea,2024,33.316,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,99,Totale,2023,341.598,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOTIN,Totale inattivi,99,Totale,2024,360.517,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,LFP,Forze lavoro potenziali,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,74.152,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,LFP,Forze lavoro potenziali,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,71.059,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,LFP,Forze lavoro potenziali,7,Diploma,2023,118.104,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,LFP,Forze lavoro potenziali,7,Diploma,2024,130.304,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,LFP,Forze lavoro potenziali,11,Laurea e post-laurea,2023,16.871,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,LFP,Forze lavoro potenziali,11,Laurea e post-laurea,2024,20.258,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,LFP,Forze lavoro potenziali,99,Totale,2023,209.128,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,LFP,Forze lavoro potenziali,99,Totale,2024,221.621,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,NOT,Non cercano e non disponibili,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,47.939,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,NOT,Non cercano e non disponibili,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,44.482,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,NOT,Non cercano e non disponibili,7,Diploma,2023,69.761,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,NOT,Non cercano e non disponibili,7,Diploma,2024,81.356,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,NOT,Non cercano e non disponibili,11,Laurea e post-laurea,2023,14.77,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,NOT,Non cercano e non disponibili,11,Laurea e post-laurea,2024,13.058,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,NOT,Non cercano e non disponibili,99,Totale,2023,132.47,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,NOT,Non cercano e non disponibili,99,Totale,2024,138.896,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,218.569,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,194.693,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,7,Diploma,2023,351.265,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,7,Diploma,2024,357.05,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,11,Laurea e post-laurea,2023,58.139,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,11,Laurea e post-laurea,2024,58.945,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,99,Totale,2023,627.974,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y18-29,18-29 anni,TOT,Totale,99,Totale,2024,610.687,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,99.123,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,82.201,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,7,Diploma,2023,165.244,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,7,Diploma,2024,146.037,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,11,Laurea e post-laurea,2023,26.498,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,11,Laurea e post-laurea,2024,25.628,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,99,Totale,2023,290.865,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,UNEM,Disoccupati,99,Totale,2024,253.867,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,138.691,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,131.077,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,7,Diploma,2023,189.159,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,7,Diploma,2024,212.888,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,11,Laurea e post-laurea,2023,31.641,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,11,Laurea e post-laurea,2024,33.316,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,TOTIN,Totale inattivi,99,Totale,2023,359.491,,,,,,,,,,,,,,,,,,,,,,
