1. Popolazione analizzata
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Professione svolta (%),,,,,
Imprenditori e alta dirigenza,"1,2","0,8","2,0","0,8","0,9"
"Professioni intellettuali, scientifiche e di elevata specializzazione","44,9","45,2","29,8","36,3","69,7"
Professioni tecniche,"34,7","27,0","35,9","56,5","19,5"
Professioni esecutive nel lavoro d'ufficio,"9,8","12,9","19,0","2,1","3,5"
Altre professioni,"9,5","14,0","13,3","4,3","6,4"
Tipologia dell'attività lavorativa (%),,,,,
Attività in proprio,"8,7","5,1","7,0","16,0","6,8"
Tempo indeterminato,"30,0","22,8","30,8","28,8","35,1"
Tempo determinato,"25,3","45,1","22,4","24,5","15,8"
Borsa o assegno di studio o di ricerca,"6,8","3,3","2,8","3,2","16,9"
Contratti formativi,"19,2","10,1","27,2","18,2","17,0"
Altre forme contrattuali,"7,9","10,1","7,8","8,4","6,3"
Senza contratto,"1,9","3,2","1,9","0,8","2,0"
Diffusione dello smart working (%),"24,6","15,0","32,3","4,1","40,0"
Diffusione del part-time (%),"22,3","36,2","22,6","20,8","13,8"
Diffusione del part-time involontario (%),"10,5","20,2","9,5","10,5","4,8"
Numero di ore settimanali di lavoro (medie),"35,1","29,1","36,0","36,0","37,6"

6. Caratteristiche dell'impresa
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Settore di attività (%),,,,,
Pubblico,"26,1","29,5","15,9","40,5","23,2"
Privato,"68,8","59,6","79,0","54,6","75,7"
Non profit,"4,9","10,8","4,9","4,7","1,0"
Ramo di attività economica (%),,,,,
Agricoltura,"1,1","0,3","0,6","2,8","0,6"
Metalmeccanica e meccanica di precisione,"4,5","2,0","3,1","0,3","11,6"
Edilizia,"2,9","1,1","1,5","0,3","7,9"
Chimica/Energia,"4,0","1,1","2,8","2,2","9,2"
Altra industria manifatturiera,"4,0","3,5","4,7","1,9","5,4"
Totale industria,"15,4","7,7","12,0","4,7","34,0"
Commercio,"10,9","14,3","15,0","8,1","6,2"
"Credito, assicurazioni","3,3","0,9","8,6","0,1","1,3"
"Trasporti, pubblicità, comunicazioni","4,3","6,0","7,2","0,6","3,1"
Consulenze varie,"11,2","3,9","20,4","3,8","12,0"
Informatica,"4,4","1,0","3,5","0,1","11,7"
Altri servizi alle imprese,"2,6","2,7","4,7","0,6","2,0"
"Pubblica amministrazione, forze armate","3,7","2,0","8,0","1,3","1,9"
Istruzione e ricerca,"17,5","38,1","8,1","10,7","20,0"
Sanità,"13,4","1,1","1,8","50,4","3,1"
Altri servizi,"11,8","21,5","9,5","16,5","3,5"
Totale servizi,"83,1","91,5","86,8","92,3","65,0"
Ripartizione geografica di lavoro (%),,,,,
Nord-Ovest,"28,4","24,8","31,7","26,3","28,9"
Nord-Est,"22,2","23,6","20,8","22,2","22,7"
Centro,"21,8","23,2","21,7","21,3","21,5"
Sud,"16,8","16,7","15,3","19,7","16,1"
Isole,"6,8","7,4","6,0","9,2","5,2"
Estero,"3,8","4,0","4,1","1,2","5,4"

7. Retribuzione
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
"Retribuzione mensile netta (medie, in euro)",,,,,
Uomini,1.536,1.243,1.495,1.579,1.603
Donne,1.323,1.159,1.243,1.549,1.383
Totale,1.410,1.174,1.346,1.560,1.518
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)",1.419,1.144,1.261,1.612,1.516

8. Utilizzo e richiesta della laurea nell'attuale lavoro
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%),"44,4","42,6","42,0","49,5","46,7"
Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%),,,,,
Dal punto di vista economico,"14,1","11,1","13,1","10,5","21,0"
Nella posizione lavorativa,"26,1","26,8","26,4","20,1","29,4"
Nelle mansioni svolte,"10,6","9,0","11,5","10,9","10,3"
Nelle competenze professionali,"49,0","52,5","48,8","58,1","39,1"
Sotto altri punti di vista,"0,4","0,6","0,3","0,4","0,2"
Utilizzo delle competenze acquisite con la laurea (%),,,,,
In misura elevata,"56,2","51,3","43,7","73,8","58,8"
In misura ridotta,"32,4","33,1","42,0","20,2","31,3"
Per niente,"11,3","15,4","14,2","5,9","9,8"
Adeguatezza della formazione professionale acquisita all'università (%),,,,,
Molto adeguata,"62,1","57,3","53,0","73,1","66,6"
Poco adeguata,"28,2","29,1","35,1","21,9","25,2"
Per niente adeguata,"9,4","13,2","11,6","4,9","7,9"
Richiesta della laurea per l'attività lavorativa (%),,,,,
Richiesta per legge,"39,7","35,5","21,3","69,8","37,7"
Non richiesta ma necessaria,"21,0","17,1","26,5","9,1","27,7"
Non richiesta ma utile,"29,3","33,1","39,8","15,7","26,2"
Non richiesta né utile,"9,9","14,2","12,3","5,2","8,2"

9. Efficacia della laurea e soddisfazione per l'attuale lavoro
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Efficacia della laurea nel lavoro svolto (%),,,,,
Molto efficace/Efficace,"63,5","58,2","49,5","83,2","66,1"
Abbastanza efficace,"23,8","23,9","34,2","10,1","23,5"
Poco/Per nulla efficace,"12,7","17,9","16,3","6,6","10,4"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)","7,7","7,7","7,6","7,9","7,8"
Occupati che cercano lavoro (%),"22,4","27,4","23,9","20,8","18,6"

