1. Popolazione analizzata
Diffusione del part-time (%),-,-,-,-,-
Numero di ore settimanali di lavoro (medie),-,-,-,-,-

6. Caratteristiche dell'impresa
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Settore di attività (%),,,,,
Pubblico,-,-,-,-,-
Privato,-,-,-,-,-
Non profit,-,-,-,-,-
Ramo di attività economica (%),,,,,
Agricoltura,-,-,-,-,-
Metalmeccanica e meccanica di precisione,-,-,-,-,-
Edilizia,-,-,-,-,-
Chimica/Energia,-,-,-,-,-
Altra industria manifatturiera,-,-,-,-,-
Totale industria,-,-,-,-,-
Commercio,-,-,-,-,-
"Credito, assicurazioni",-,-,-,-,-
"Trasporti, pubblicità, comunicazioni",-,-,-,-,-
Consulenze varie,-,-,-,-,-
Informatica,-,-,-,-,-
Altri servizi alle imprese,-,-,-,-,-
"Pubblica amministrazione, forze armate",-,-,-,-,-
Istruzione e ricerca,-,-,-,-,-
Sanità,-,-,-,-,-
Altri servizi,-,-,-,-,-
Totale servizi,-,-,-,-,-
Area geografica di lavoro (%),,,,,
Nord-Ovest,-,-,-,-,-
Nord-Est,-,-,-,-,-
Centro,-,-,-,-,-
Sud,-,-,-,-,-
Isole,-,-,-,-,-
Estero,-,-,-,-,-

7. Retribuzione
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
"Retribuzione mensile netta (medie, in euro)",,,,,
Uomini,-,-,-,-,-
Donne,-,-,-,-,-
Totale,-,-,-,-,-

8. Utilizzo e richiesta della laurea nell'attuale lavoro
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%),-,-,-,-,-
Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%),,,,,
Dal punto di vista economico,-,-,-,-,-
Nella posizione lavorativa,-,-,-,-,-
Nelle mansioni svolte,-,-,-,-,-
Nelle competenze professionali,-,-,-,-,-
Sotto altri punti di vista,-,-,-,-,-
Utilizzo delle competenze acquisite con la laurea (%),,,,,
In misura elevata,-,-,-,-,-
In misura ridotta,-,-,-,-,-
Per niente,-,-,-,-,-
Adeguatezza della formazione professionale acquisita all'università (%),,,,,
Molto adeguata,-,-,-,-,-
Poco adeguata,-,-,-,-,-
Per niente adeguata,-,-,-,-,-
Richiesta della laurea per l'attività lavorativa (%),,,,,
Richiesta per legge,-,-,-,-,-
Non richiesta ma necessaria,-,-,-,-,-
Non richiesta ma utile,-,-,-,-,-
Non richiesta né utile,-,-,-,-,-

9. Efficacia della laurea e soddisfazione per l'attuale lavoro
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Efficacia della laurea nel lavoro svolto (%),,,,,
Molto efficace/Efficace,-,-,-,-,-
Abbastanza efficace,-,-,-,-,-
Poco/Per nulla efficace,-,-,-,-,-
"Soddisfazione per il lavoro svolto (medie, scala 1-10)",-,-,-,-,-
Occupati che cercano lavoro (%),-,-,-,-,-

3. Condizione occupazionale
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Tasso di occupazione,,,,,
Uomini,"92,1","83,0","89,9","93,7","94,9"
Donne,"88,3","84,3","86,3","92,9","91,0"
Totale,"89,9","84,1","87,7","93,2","93,3"
Laureati che non lavoravano alla laurea: tasso di occupazione,"89,0","81,3","86,0","93,2","92,9"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)","0,5","0,5","0,8","0,4","0,4"
Esperienze di lavoro post-laurea (%),,,,,
Non lavorano ma hanno lavorato dopo la laurea,"6,7","12,1","7,6","4,0","4,5"
Non hanno mai lavorato dopo la laurea,"3,5","3,8","4,7","2,8","2,2"
Tasso di disoccupazione,"3,9","6,9","5,0","2,3","2,4"
Ricerca del lavoro (%),,,,,
Non lavorano e non cercano,"6,0","9,5","7,0","4,4","4,1"
Non lavorano ma cercano,"4,1","6,4","5,4","2,3","2,7"

4. Ingresso nel mercato del lavoro
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Numero di occupati,54.867,8.214,18.448,12.426,15.779
Occupati: condizione occupazionale alla laurea (%),,,,,
Proseguono il lavoro iniziato prima della laurea,"8,6","11,9","9,1","8,7","6,2"
Non proseguono il lavoro iniziato prima della laurea,"17,3","23,6","19,8","11,8","15,3"
Hanno iniziato a lavorare dopo la laurea,"74,1","64,5","71,1","79,5","78,5"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)",,,,,
Tempo dalla laurea all'inizio della ricerca del primo lavoro,"2,3","1,7","3,3","2,3","1,4"
Tempo dall'inizio della ricerca al reperimento del primo lavoro,"4,7","4,8","5,9","4,5","3,6"
Tempo dalla laurea al reperimento del primo lavoro,"7,0","6,5","9,2","6,8","4,9"

5. Caratteristiche dell'attuale lavoro
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Professione svolta (%),,,,,
Imprenditori e alta dirigenza,"2,6","1,2","2,9","4,1","1,8"
"Professioni intellettuali, scientifiche e di elevata specializzazione","74,3","76,0","61,9","78,5","84,8"
Professioni tecniche,"16,7","14,2","23,1","15,5","11,3"
Professioni esecutive nel lavoro d'ufficio,"4,6","5,6","9,8","0,6","1,2"
Altre professioni,"1,8","3,1","2,4","1,3","0,9"
Tipologia dell'attività lavorativa (%),,,,,
Attività in proprio,"15,2","5,9","21,4","12,9","14,7"
Tempo indeterminato,"53,3","53,7","58,8","34,4","61,5"
Tempo determinato,"13,8","32,6","11,3","9,9","10,0"
Borsa o assegno di studio o di ricerca,"5,1","3,7","2,9","2,8","10,1"
Contratti formativi,"10,0","1,5","2,7","37,6","1,2"
Altre forme contrattuali,"2,1","2,1","2,4","1,9","1,9"
Senza contratto,"0,3","0,1","0,3","0,4","0,4"
Diffusione dello smart working (%),"31,2","17,9","42,7","6,4","44,1"
Diffusione del part-time (%),"7,0","11,4","8,1","7,7","2,8"
Diffusione del part-time involontario (%),"3,9","7,6","4,4","3,9","1,4"
Numero di ore settimanali di lavoro (medie),"37,8","29,1","38,9","39,3","39,9"

6. Caratteristiche dell'impresa
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Settore di attività (%),,,,,
Pubblico,"38,1","61,2","23,3","61,8","24,8"
Privato,"59,2","33,6","72,7","36,7","74,5"
Non profit,"2,6","5,1","3,9","1,5","0,6"
Ramo di attività economica (%),,,,,
Agricoltura,"0,7","0,2","0,3","2,2","0,4"
Metalmeccanica e meccanica di precisione,"4,5","1,7","2,7","0,2","11,5"
Edilizia,"3,9","0,7","1,1","0,1","11,7"
Chimica/Energia,"5,6","0,9","3,0","5,1","11,6"
Altra industria manifatturiera,"4,2","2,9","4,2","2,2","6,4"
Totale industria,"18,1","6,2","10,9","7,6","41,1"
Commercio,"5,9","4,5","5,9","11,7","2,1"
"Credito, assicurazioni","4,4","0,7","10,9","0,1","2,0"
"Trasporti, pubblicità, comunicazioni","3,8","4,7","5,8","0,3","3,9"
Consulenze varie,"13,9","3,8","25,2","4,4","13,4"
Informatica,"3,8","1,6","4,0","0,1","7,6"
Altri servizi alle imprese,"2,2","1,7","4,4","0,4","1,4"
"Pubblica amministrazione, forze armate","6,3","3,2","13,3","1,8","3,2"
Istruzione e ricerca,"23,2","63,9","9,6","20,4","20,1"
Sanità,"13,3","0,9","4,0","47,3","3,8"
Altri servizi,"3,9","8,2","5,1","3,6","0,6"
Totale servizi,"80,7","93,2","88,3","90,0","58,1"
Ripartizione geografica di lavoro (%),,,,,
Nord-Ovest,"27,6","26,0","29,0","26,5","27,7"
Nord-Est,"20,6","23,1","18,5","21,9","20,7"
Centro,"22,8","23,7","23,1","22,5","22,3"
Sud,"16,9","15,7","18,1","17,6","15,5"
Isole,"6,7","7,0","6,3","8,7","5,4"
Estero,"5,2","4,2","4,7","2,6","8,3"

7. Retribuzione
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
"Retribuzione mensile netta (medie, in euro)",,,,,
Uomini,1.994,1.604,1.982,1.938,2.100
Donne,1.715,1.504,1.725,1.793,1.826
Totale,1.832,1.523,1.826,1.852,1.986
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)",1.825,1.519,1.793,1.859,1.963

8. Utilizzo e richiesta della laurea nell'attuale lavoro
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%),"60,8","62,4","60,0","56,4","65,8"
Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%),,,,,
Dal punto di vista economico,"11,5","7,1","13,1","9,8","14,7"
Nella posizione lavorativa,"33,2","35,4","34,8","25,7","35,9"
Nelle mansioni svolte,"10,7","7,9","10,5","12,9","11,4"
Nelle competenze professionali,"44,1","47,7","41,3","51,3","38,0"
Sotto altri punti di vista,"0,6","2,0","0,3","0,3",-
Utilizzo delle competenze acquisite con la laurea (%),,,,,
In misura elevata,"63,9","66,4","55,6","75,3","63,3"
In misura ridotta,"30,7","26,3","37,4","21,2","32,5"
Per niente,"5,3","7,2","6,9","3,4","4,1"
Adeguatezza della formazione professionale acquisita all'università (%),,,,,
Molto adeguata,"69,1","69,8","61,9","74,9","72,5"
Poco adeguata,"26,1","23,6","31,9","21,9","24,0"
Per niente adeguata,"4,6","6,5","6,0","3,1","3,3"
Richiesta della laurea per l'attività lavorativa (%),,,,,
Richiesta per legge,"55,1","60,0","41,1","79,1","50,3"
Non richiesta ma necessaria,"21,0","13,7","26,9","8,4","28,0"
Non richiesta ma utile,"20,1","20,5","27,5","10,0","19,3"
Non richiesta né utile,"3,6","5,8","4,5","2,4","2,3"

9. Efficacia della laurea e soddisfazione per l'attuale lavoro
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Efficacia della laurea nel lavoro svolto (%),,,,,
Molto efficace/Efficace,"75,3","77,1","65,6","88,4","75,3"
Abbastanza efficace,"19,5","15,0","27,5","8,3","21,3"
Poco/Per nulla efficace,"5,2","7,8","6,8","3,3","3,5"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)","7,9","8,1","7,8","7,9","7,9"
Occupati che cercano lavoro (%),"17,5","15,6","19,3","17,6","16,3"

