ANNO;CL_ETA';COD_QUALIFICA;DESC_QUALIFICA;AREA_SD;N_PERS_DR
1997;55 - 59;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;293
1997;60 - 64;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;198
1997;>= 65;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;236
1997;35 - 39;1PO;Professore I fascia (ordinario);06 - Scienze mediche;1
1997;40 - 44;1PO;Professore I fascia (ordinario);06 - Scienze mediche;30
1997;45 - 49;1PO;Professore I fascia (ordinario);06 - Scienze mediche;192
1997;50 - 54;1PO;Professore I fascia (ordinario);06 - Scienze mediche;324
1997;55 - 59;1PO;Professore I fascia (ordinario);06 - Scienze mediche;439
1997;60 - 64;1PO;Professore I fascia (ordinario);06 - Scienze mediche;428
1997;>= 65;1PO;Professore I fascia (ordinario);06 - Scienze mediche;748
1997;35 - 39;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;3
1997;40 - 44;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;20
1997;45 - 49;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;88
1997;50 - 54;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;144
1997;55 - 59;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;194
1997;60 - 64;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;168
1997;>= 65;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;192
1997;35 - 39;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;3
1997;40 - 44;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;20
1997;45 - 49;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;71
1997;50 - 54;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;171
1997;55 - 59;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;173
1997;60 - 64;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;153
1997;>= 65;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;220
1997;35 - 39;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;7
1997;40 - 44;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;59
1997;45 - 49;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;147
1997;50 - 54;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;281
1997;55 - 59;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;328
1997;60 - 64;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;160
1997;>= 65;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;164
1997;35 - 39;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;3
1997;40 - 44;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;15
1997;45 - 49;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;134
1997;50 - 54;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;297
1997;55 - 59;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;313
1997;60 - 64;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;223
1997;>= 65;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;292
1997;40 - 44;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;14
1997;45 - 49;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;99
1997;50 - 54;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;208
1997;55 - 59;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;240
1997;60 - 64;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;157
1997;>= 65;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;242
1997;30 - 34;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;3
1997;35 - 39;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;21
1997;40 - 44;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;64
1997;45 - 49;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;165
1997;50 - 54;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;223
1997;55 - 59;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;302
1997;60 - 64;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;210
1997;>= 65;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;171
1997;30 - 34;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;2
1997;35 - 39;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;11
1997;40 - 44;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;50
1997;45 - 49;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;137
1997;50 - 54;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;276
1997;55 - 59;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;252
1997;60 - 64;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;136
1997;>= 65;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;86
1997;35 - 39;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;1
1997;40 - 44;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;3
1997;45 - 49;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;36
1997;50 - 54;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;61
1997;55 - 59;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;81
1997;60 - 64;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;51
1997;>= 65;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;47
1997;40 - 44;1PO;Professore I fascia (ordinario);99 - Non definito;2
1997;45 - 49;1PO;Professore I fascia (ordinario);99 - Non definito;3
1997;55 - 59;1PO;Professore I fascia (ordinario);99 - Non definito;2
1997;60 - 64;1PO;Professore I fascia (ordinario);99 - Non definito;2
1997;>= 65;1PO;Professore I fascia (ordinario);99 - Non definito;1
1997;30 - 34;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;10
1997;35 - 39;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;79
1997;40 - 44;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;148
1997;45 - 49;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;233
1997;50 - 54;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;229
1997;55 - 59;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;142
1997;60 - 64;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;52
1997;>= 65;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;33
1997;35 - 39;2PA;Professore II fascia (associato);02 - Scienze fisiche;16
1997;40 - 44;2PA;Professore II fascia (associato);02 - Scienze fisiche;89
1997;45 - 49;2PA;Professore II fascia (associato);02 - Scienze fisiche;216
1997;50 - 54;2PA;Professore II fascia (associato);02 - Scienze fisiche;230
1997;55 - 59;2PA;Professore II fascia (associato);02 - Scienze fisiche;233
1997;60 - 64;2PA;Professore II fascia (associato);02 - Scienze fisiche;109
1997;>= 65;2PA;Professore II fascia (associato);02 - Scienze fisiche;51
1997;35 - 39;2PA;Professore II fascia (associato);03 - Scienze chimiche;12
1997;40 - 44;2PA;Professore II fascia (associato);03 - Scienze chimiche;93
1997;45 - 49;2PA;Professore II fascia (associato);03 - Scienze chimiche;224
1997;50 - 54;2PA;Professore II fascia (associato);03 - Scienze chimiche;313
1997;55 - 59;2PA;Professore II fascia (associato);03 - Scienze chimiche;259
1997;60 - 64;2PA;Professore II fascia (associato);03 - Scienze chimiche;145
1997;>= 65;2PA;Professore II fascia (associato);03 - Scienze chimiche;61
1997;35 - 39;2PA;Professore II fascia (associato);04 - Scienze della terra;3
1997;40 - 44;2PA;Professore II fascia (associato);04 - Scienze della terra;37
1997;45 - 49;2PA;Professore II fascia (associato);04 - Scienze della terra;72
1997;50 - 54;2PA;Professore II fascia (associato);04 - Scienze della terra;135
1997;55 - 59;2PA;Professore II fascia (associato);04 - Scienze della terra;105
1997;60 - 64;2PA;Professore II fascia (associato);04 - Scienze della terra;69
1997;>= 65;2PA;Professore II fascia (associato);04 - Scienze della terra;31
1997;35 - 39;2PA;Professore II fascia (associato);05 - Scienze biologiche;18
1997;40 - 44;2PA;Professore II fascia (associato);05 - Scienze biologiche;143
1997;45 - 49;2PA;Professore II fascia (associato);05 - Scienze biologiche;346
1997;50 - 54;2PA;Professore II fascia (associato);05 - Scienze biologiche;446
1997;55 - 59;2PA;Professore II fascia (associato);05 - Scienze biologiche;269
1997;60 - 64;2PA;Professore II fascia (associato);05 - Scienze biologiche;102
1997;>= 65;2PA;Professore II fascia (associato);05 - Scienze biologiche;75
1997;30 - 34;2PA;Professore II fascia (associato);06 - Scienze mediche;1
1997;35 - 39;2PA;Professore II fascia (associato);06 - Scienze mediche;40
1997;40 - 44;2PA;Professore II fascia (associato);06 - Scienze mediche;184
1997;45 - 49;2PA;Professore II fascia (associato);06 - Scienze mediche;714
1997;50 - 54;2PA;Professore II fascia (associato);06 - Scienze mediche;1071
1997;55 - 59;2PA;Professore II fascia (associato);06 - Scienze mediche;615
1997;60 - 64;2PA;Professore II fascia (associato);06 - Scienze mediche;362
1997;>= 65;2PA;Professore II fascia (associato);06 - Scienze mediche;255
1997;30 - 34;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;2
1997;35 - 39;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;41
1997;40 - 44;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;139
1997;45 - 49;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;181
1997;50 - 54;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;166
1997;55 - 59;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;105
1997;60 - 64;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;54
1997;>= 65;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;34
1997;35 - 39;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;14
1997;40 - 44;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;59
1997;45 - 49;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;167
1997;50 - 54;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;299
1997;55 - 59;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;243
1997;60 - 64;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;141
1997;>= 65;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;120
1997;30 - 34;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;7
1997;35 - 39;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;99
1997;40 - 44;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;226
1997;45 - 49;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;216
1997;50 - 54;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;249
1997;55 - 59;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;190
1997;60 - 64;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;94
1997;>= 65;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;74
1997;30 - 34;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;2
1997;35 - 39;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;27
1997;40 - 44;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;93
1997;45 - 49;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;298
1997;50 - 54;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;469
1997;55 - 59;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;365
1997;60 - 64;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;166
1997;>= 65;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;120
1997;35 - 39;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;9
1997;40 - 44;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;51
1997;45 - 49;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;270
1997;50 - 54;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;365
1997;55 - 59;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;271
1997;60 - 64;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;143
1997;>= 65;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;99
1997;30 - 34;2PA;Professore II fascia (associato);12 - Scienze giuridiche;4
1997;35 - 39;2PA;Professore II fascia (associato);12 - Scienze giuridiche;54
1997;40 - 44;2PA;Professore II fascia (associato);12 - Scienze giuridiche;96
1997;45 - 49;2PA;Professore II fascia (associato);12 - Scienze giuridiche;126
1997;50 - 54;2PA;Professore II fascia (associato);12 - Scienze giuridiche;153
1997;55 - 59;2PA;Professore II fascia (associato);12 - Scienze giuridiche;142
1997;60 - 64;2PA;Professore II fascia (associato);12 - Scienze giuridiche;72
1997;>= 65;2PA;Professore II fascia (associato);12 - Scienze giuridiche;50
1997;30 - 34;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;3
1997;35 - 39;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;74
1997;40 - 44;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;107
1997;45 - 49;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;142
1997;50 - 54;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;201
1997;55 - 59;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;157
1997;60 - 64;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;78
1997;>= 65;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;40
1997;35 - 39;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;4
1997;40 - 44;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;13
1997;45 - 49;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;78
1997;50 - 54;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;120
1997;55 - 59;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;96
1997;60 - 64;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;38
1997;>= 65;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;28
1997;35 - 39;2PA;Professore II fascia (associato);99 - Non definito;1
1997;40 - 44;2PA;Professore II fascia (associato);99 - Non definito;1
1997;50 - 54;2PA;Professore II fascia (associato);99 - Non definito;1
1997;>= 65;2PA;Professore II fascia (associato);99 - Non definito;1
1997;< 25;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;1
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;71
1997;30 - 34;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;364
1997;35 - 39;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;271
1997;40 - 44;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;157
1997;45 - 49;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;116
1997;50 - 54;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;54
1997;55 - 59;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;8
1997;>= 65;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;1
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;2
1997;30 - 34;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;128
1997;35 - 39;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;261
1997;40 - 44;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;162
1997;45 - 49;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;127
1997;50 - 54;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;59
1997;55 - 59;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;13
1997;60 - 64;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;2
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;22
1997;30 - 34;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;269
1997;35 - 39;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;372
1997;40 - 44;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;208
1997;45 - 49;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;132
1997;50 - 54;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;48
1997;55 - 59;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;11
1997;60 - 64;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;1
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;3
1997;30 - 34;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;52
1997;35 - 39;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;141
1997;40 - 44;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;91
1997;45 - 49;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;97
1997;50 - 54;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;38
1997;55 - 59;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;15
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;10
1997;30 - 34;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;156
1997;35 - 39;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;456
1997;40 - 44;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;384
1997;45 - 49;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;399
1997;50 - 54;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;137
1997;55 - 59;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;29
1997;60 - 64;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;4
1997;>= 65;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;2
1997;Età sconosciuta;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;4
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;5
1997;30 - 34;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;150
1997;35 - 39;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;487
1997;40 - 44;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;854
1997;45 - 49;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;1543
1997;50 - 54;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;662
1997;55 - 59;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;78
1997;60 - 64;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;26
1997;>= 65;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;4
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;18
1997;30 - 34;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;183
1997;35 - 39;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;475
1997;40 - 44;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;246
1997;45 - 49;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;118
1997;50 - 54;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;51
1997;55 - 59;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;17
1997;60 - 64;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;1
1997;Età sconosciuta;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;1
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;8
1997;30 - 34;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;135
1997;35 - 39;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;253
1997;40 - 44;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;205
1997;45 - 49;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;251
1997;50 - 54;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;298
1997;55 - 59;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;140
1997;60 - 64;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;27
1997;>= 65;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;7
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;70
1997;30 - 34;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;524
1997;35 - 39;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;509
1997;40 - 44;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;195
1997;45 - 49;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;86
1997;50 - 54;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;52
1997;55 - 59;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;15
1997;60 - 64;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;2
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;4
1997;30 - 34;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;97
1997;35 - 39;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;291
1997;40 - 44;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;286
1997;45 - 49;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;854
1997;50 - 54;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;508
1997;55 - 59;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;154
1997;60 - 64;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;52
1997;>= 65;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;9
1997;Età sconosciuta;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;2
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;4
1997;30 - 34;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;57
1997;35 - 39;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;197
1997;40 - 44;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;238
1997;45 - 49;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;716
1997;50 - 54;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;439
1997;55 - 59;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;116
1997;60 - 64;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;33
1997;>= 65;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;5
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;12 - Scienze giuridiche;22
