ANNO;GENERE;COD_QUALIFICA;DESC_QUALIFICA;TIPO_CONTR;AREA_FUNZ;N_PERS_ND
2003;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;4800
2003;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;38
2003;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;115
2003;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;704
2003;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;51
2003;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;172
2003;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;28
2003;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;909
2003;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;968
2003;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;195
2003;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;7102
2003;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;1183
2003;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;3744
2003;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;3602
2003;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;10676
2003;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;20
2004;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;33
2004;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;2225
2004;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;213
2004;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;532
2004;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;71
2004;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;793
2004;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;387
2004;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;71
2004;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;16373
2004;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;2449
2004;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;2403
2004;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;4206
2004;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;4622
2004;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;44
2004;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;101
2004;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;697
2004;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;48
2004;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;215
2004;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;28
2004;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;981
2004;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;176
2004;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;189
2004;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;7109
2004;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;1206
2004;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;3408
2004;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;3637
2004;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;10611
2004;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;16
2005;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;35
2005;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;2400
2005;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;243
2005;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;412
2005;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;127
2005;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;864
2005;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;8
2005;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;104
2005;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;17124
2005;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;2560
2005;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;2247
2005;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;4133
2005;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;4874
2005;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;36
2005;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;107
2005;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;644
2005;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;49
2005;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;187
2005;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;45
2005;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;934
2005;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;16
2005;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;244
2005;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;7187
2005;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;1209
2005;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;3306
2005;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;3124
2005;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;10874
2005;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;22
2006;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;61
2006;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;2040
2006;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;217
2006;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;363
2006;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;186
2006;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;778
2006;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;118
2006;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;110
2006;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;17477
2006;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;2643
2006;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;2143
2006;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;3968
2006;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;5655
2006;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;161
2006;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;96
2006;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;543
2006;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;46
2006;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;195
2006;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;178
2006;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;840
2006;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;78
2006;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;259
2006;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;7526
2006;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;1190
2006;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;3193
2006;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;3201
2006;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;10804
2006;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;165
2007;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;46
2007;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;1771
2007;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;190
2007;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;380
2007;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;107
2007;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;657
2007;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;141
2007;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;107
2007;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;18073
2007;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;2597
2007;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;2096
2007;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;4077
2007;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;5435
2007;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;114
2007;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;113
2007;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;502
2007;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;34
2007;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;175
2007;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;52
2007;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;716
2007;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;144
2007;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;249
2007;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;7300
2007;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;1161
2007;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;3077
2007;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;3036
2007;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;11282
2007;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;163
2008;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;45
2008;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;1470
2008;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;144
2008;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;268
2008;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;46
2008;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;441
2008;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;200
2008;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;133
2008;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;18977
2008;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;2660
2008;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;2082
2008;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;3916
2008;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;6023
2008;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;37
2008;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;116
2008;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;436
2008;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;32
2008;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;143
2008;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;9
2008;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;545
2008;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;223
2008;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;270
2008;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;7542
2008;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;1196
2008;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;2987
2008;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;2967
2008;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;11713
2008;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;22
2009;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;43
2009;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;987
2009;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;108
2009;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;70
2009;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;65
2009;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;313
2009;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;128
2009;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;120
2009;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;18866
2009;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;2590
2009;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;2026
2009;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;3598
2009;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;6220
2009;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;33
2009;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;97
2009;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;313
2009;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;42
2009;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;78
2009;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;15
2009;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;390
2009;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;115
2009;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;257
2009;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;7583
2009;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;1178
2009;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;2721
2009;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;2663
2009;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;11295
2009;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;29
2010;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;43
2010;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;935
2010;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;80
2010;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;79
