ANNO;GENERE;COD_QUALIFICA;DESC_QUALIFICA;AREA_SD;N_PERS_DR
1999;F;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;122
1999;M;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;1032
1999;M;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;605
1999;F;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;29
1999;F;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;80
1999;M;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;701
1999;F;1PO;Professore I fascia (ordinario);04 - Scienze della terra;24
1999;M;1PO;Professore I fascia (ordinario);04 - Scienze della terra;307
1999;F;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;239
1999;M;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;937
1999;F;1PO;Professore I fascia (ordinario);06 - Scienze mediche;120
1999;M;1PO;Professore I fascia (ordinario);06 - Scienze mediche;1939
1999;M;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;725
1999;F;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;50
1999;M;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;709
1999;F;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;58
1999;F;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;12
1999;M;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;734
1999;F;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;374
1999;M;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;827
1999;F;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;171
1999;M;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;735
1999;F;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;95
1999;M;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;1061
1999;M;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;858
1999;F;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;96
1999;F;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;27
1999;M;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;245
1999;F;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;464
1999;M;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;1187
1999;F;2PA;Professore II fascia (associato);02 - Scienze fisiche;146
1999;M;2PA;Professore II fascia (associato);02 - Scienze fisiche;868
1999;F;2PA;Professore II fascia (associato);03 - Scienze chimiche;336
1999;M;2PA;Professore II fascia (associato);03 - Scienze chimiche;953
1999;F;2PA;Professore II fascia (associato);04 - Scienze della terra;94
1999;M;2PA;Professore II fascia (associato);04 - Scienze della terra;406
1999;F;2PA;Professore II fascia (associato);05 - Scienze biologiche;674
1999;M;2PA;Professore II fascia (associato);05 - Scienze biologiche;881
1999;F;2PA;Professore II fascia (associato);06 - Scienze mediche;571
1999;M;2PA;Professore II fascia (associato);06 - Scienze mediche;2682
1999;F;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;200
1999;M;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;697
1999;F;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;210
1999;M;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;1073
1999;M;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;952
1999;F;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;75
1999;F;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;906
1999;M;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;828
1999;F;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;453
1999;M;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;913
1999;F;2PA;Professore II fascia (associato);12 - Scienze giuridiche;222
1999;M;2PA;Professore II fascia (associato);12 - Scienze giuridiche;676
1999;F;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;280
1999;M;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;850
1999;F;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;121
1999;M;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;314
1999;F;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;522
1999;M;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;884
1999;F;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;196
1999;M;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;565
1999;M;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;518
1999;F;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;499
1999;F;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;154
1999;M;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;268
1999;F;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;953
1999;M;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;684
1999;F;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;1211
1999;M;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;2793
1999;F;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;399
1999;M;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;635
1999;M;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;907
1999;F;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;336
1999;M;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;676
1999;F;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;126
1999;F;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;1441
1999;M;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;754
1999;F;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;927
1999;M;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;839
1999;F;3RU;Ricercatore a tempo indeterminato;12 - Scienze giuridiche;623
1999;M;3RU;Ricercatore a tempo indeterminato;12 - Scienze giuridiche;892
1999;M;3RU;Ricercatore a tempo indeterminato;13 - Scienze economiche e statistiche;733
1999;F;3RU;Ricercatore a tempo indeterminato;13 - Scienze economiche e statistiche;468
1999;F;3RU;Ricercatore a tempo indeterminato;14 - Scienze politiche e sociali;227
1999;M;3RU;Ricercatore a tempo indeterminato;14 - Scienze politiche e sociali;318
1999;F;3RU;Ricercatore a tempo indeterminato;99 - Non definito;1
1999;M;3RU;Ricercatore a tempo indeterminato;99 - Non definito;8
2000;F;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;152
2000;M;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;1193
2000;F;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;36
2000;M;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;690
2000;M;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;792
2000;F;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;98
2000;M;1PO;Professore I fascia (ordinario);04 - Scienze della terra;333
2000;F;1PO;Professore I fascia (ordinario);04 - Scienze della terra;33
2000;F;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;291
2000;M;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;1028
2000;F;1PO;Professore I fascia (ordinario);06 - Scienze mediche;150
2000;M;1PO;Professore I fascia (ordinario);06 - Scienze mediche;2107
2000;F;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;75
2000;M;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;801
2000;F;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;84
2000;M;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;819
2000;M;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;893
2000;F;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;20
2000;F;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;472
2000;M;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;941
2000;F;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;248
2000;M;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;894
2000;F;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;151
2000;M;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;1209
2000;F;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;138
2000;M;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;1012
2000;F;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;54
2000;M;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;312
2000;F;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;446
2000;M;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;1101
2000;F;2PA;Professore II fascia (associato);02 - Scienze fisiche;138
2000;M;2PA;Professore II fascia (associato);02 - Scienze fisiche;784
2000;F;2PA;Professore II fascia (associato);03 - Scienze chimiche;341
2000;M;2PA;Professore II fascia (associato);03 - Scienze chimiche;869
2000;F;2PA;Professore II fascia (associato);04 - Scienze della terra;97
2000;M;2PA;Professore II fascia (associato);04 - Scienze della terra;387
2000;M;2PA;Professore II fascia (associato);05 - Scienze biologiche;853
2000;F;2PA;Professore II fascia (associato);05 - Scienze biologiche;692
2000;F;2PA;Professore II fascia (associato);06 - Scienze mediche;599
2000;M;2PA;Professore II fascia (associato);06 - Scienze mediche;2684
2000;F;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;199
2000;M;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;657
2000;F;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;200
2000;M;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;977
2000;M;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;855
2000;F;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;78
2000;F;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;911
2000;M;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;779
2000;F;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;474
2000;M;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;827
2000;F;2PA;Professore II fascia (associato);12 - Scienze giuridiche;202
2000;M;2PA;Professore II fascia (associato);12 - Scienze giuridiche;609
2000;M;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;801
2000;F;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;277
2000;F;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;127
2000;M;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;295
2000;F;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;548
2000;M;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;939
2000;F;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;195
2000;M;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;564
2000;F;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;536
2000;M;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;514
2000;M;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;273
2000;F;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;154
2000;M;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;698
2000;F;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;956
2000;F;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;1241
2000;M;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;2772
2000;F;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;428
2000;M;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;630
2000;F;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;349
2000;M;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;932
2000;F;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;140
2000;M;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;676
2000;M;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;731
2000;F;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;1376
