freq,eta_intervista,corsi_formprof_dipl,istruz_terz_nonuniv,istruz_univ,itter107,natgiur_scuola,sesso,tipo_dato,tipo_scuola,titolo_studio_padre,titolo_studio_madre,cittadinanza,situaz_abit,time_period,obs_value,year
A,TOTAL,ALL,ALL,ACHI,ITD3,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,10378.0,2015
A,TOTAL,ALL,ALL,ACHI,ITD3,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,31.8,2015
A,TOTAL,ALL,ALL,ACHI,ITD4,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,2764.0,2015
A,TOTAL,ALL,ALL,ACHI,ITD4,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,36.1,2015
A,TOTAL,ALL,ALL,ACHI,ITD5,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,10663.0,2015
A,TOTAL,ALL,ALL,ACHI,ITD5,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,35.7,2015
A,TOTAL,ALL,ALL,ACHI,ITE,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,38414.0,2015
A,TOTAL,ALL,ALL,ACHI,ITE,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,41.9,2015
A,TOTAL,ALL,ALL,ACHI,ITE1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,11492.0,2015
A,TOTAL,ALL,ALL,ACHI,ITE1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,43.7,2015
A,TOTAL,ALL,ALL,ACHI,ITE2,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,2407.0,2015
A,TOTAL,ALL,ALL,ACHI,ITE2,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,40.4,2015
A,TOTAL,ALL,ALL,ACHI,ITE3,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,3830.0,2015
A,TOTAL,ALL,ALL,ACHI,ITE3,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,33.9,2015
A,TOTAL,ALL,ALL,ACHI,ITE4,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,20685.0,2015
A,TOTAL,ALL,ALL,ACHI,ITE4,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,43.0,2015
A,TOTAL,ALL,ALL,ACHI,ITF,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,47557.0,2015
A,TOTAL,ALL,ALL,ACHI,ITF1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,4925.0,2015
A,TOTAL,ALL,ALL,ACHI,ITF1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,44.9,2015
A,TOTAL,ALL,ALL,ACHI,ITF2,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,1072.0,2015
A,TOTAL,ALL,ALL,ACHI,ITF2,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,42.7,2015
A,TOTAL,ALL,ALL,ACHI,ITF3,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,23005.0,2015
A,TOTAL,ALL,ALL,ACHI,ITF3,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,38.5,2015
A,TOTAL,ALL,ALL,ACHI,ITF4,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,9781.0,2015
A,TOTAL,ALL,ALL,ACHI,ITF4,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,32.3,2015
A,TOTAL,ALL,ALL,ACHI,ITF5,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,1379.0,2015
A,TOTAL,ALL,ALL,ACHI,ITF5,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,32.9,2015
A,TOTAL,ALL,ALL,ACHI,ITF6,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,7395.0,2015
A,TOTAL,ALL,ALL,ACHI,ITF6,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,42.7,2015
A,TOTAL,ALL,ALL,ACHI,ITG,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,19804.0,2015
A,TOTAL,ALL,ALL,ACHI,ITG,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,39.4,2015
A,TOTAL,ALL,ALL,ACHI,ITG1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,15492.0,2015
A,TOTAL,ALL,ALL,ACHI,ITG1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,38.6,2015
A,TOTAL,ALL,ALL,ACHI,ITG2,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,4312.0,2015
A,TOTAL,ALL,ALL,ACHI,ITG2,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,42.8,2015
A,TOTAL,ALL,ALL,ACHI,ITS,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,1331.0,2015
A,TOTAL,ALL,ALL,ACHI,ITS,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,23.3,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,76056.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,1,GRAD_P,ALL,99,99,TOTAL,TOT,2015,34.8,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,92201.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,2,GRAD_P,ALL,99,99,TOTAL,TOT,2015,39.7,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,AER_NAU,99,99,TOTAL,TOT,2015,621.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,AGR_ENV,99,99,TOTAL,TOT,2015,320.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,AGRI,99,99,TOTAL,TOT,2015,1005.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,168256.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,ART,99,99,TOTAL,TOT,2015,1094.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,ARTI,99,99,TOTAL,TOT,2015,2744.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,CLA,99,99,TOTAL,TOT,2015,28120.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,COM_TOU,99,99,TOTAL,TOT,2015,2490.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,COMM,99,99,TOTAL,TOT,2015,15045.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,EDU,99,99,TOTAL,TOT,2015,3838.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,HOT,99,99,TOTAL,TOT,2015,1161.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,IND,99,99,TOTAL,TOT,2015,2261.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,INDU,99,99,TOTAL,TOT,2015,8473.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,LIC,99,99,TOTAL,TOT,2015,109004.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,LIN,99,99,TOTAL,TOT,2015,10706.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,PSY,99,99,TOTAL,TOT,2015,13609.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,SCI,99,99,TOTAL,TOT,2015,70178.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,SOC,99,99,TOTAL,TOT,2015,1347.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,SOCI_S,99,99,TOTAL,TOT,2015,1108.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,SUR,99,99,TOTAL,TOT,2015,6022.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,TEC,99,99,TOTAL,TOT,2015,34227.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,TOU,99,99,TOTAL,TOT,2015,1954.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD,VOC,99,99,TOTAL,TOT,2015,7579.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,AER_NAU,99,99,TOTAL,TOT,2015,18.7,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,AGR_ENV,99,99,TOTAL,TOT,2015,10.0,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,AGRI,99,99,TOTAL,TOT,2015,18.9,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,37.3,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,ART,99,99,TOTAL,TOT,2015,17.3,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,ARTI,99,99,TOTAL,TOT,2015,30.1,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,CLA,99,99,TOTAL,TOT,2015,65.5,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,COM_TOU,99,99,TOTAL,TOT,2015,13.6,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,COMM,99,99,TOTAL,TOT,2015,23.1,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,EDU,99,99,TOTAL,TOT,2015,24.9,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,HOT,99,99,TOTAL,TOT,2015,6.9,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,IND,99,99,TOTAL,TOT,2015,10.5,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,INDU,99,99,TOTAL,TOT,2015,22.3,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,LIC,99,99,TOTAL,TOT,2015,57.3,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,LIN,99,99,TOTAL,TOT,2015,45.2,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,PSY,99,99,TOTAL,TOT,2015,41.9,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,SCI,99,99,TOTAL,TOT,2015,56.8,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,SOC,99,99,TOTAL,TOT,2015,18.6,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,SOCI_S,99,99,TOTAL,TOT,2015,26.5,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,SUR,99,99,TOTAL,TOT,2015,27.1,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,TEC,99,99,TOTAL,TOT,2015,23.5,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,TOU,99,99,TOTAL,TOT,2015,26.6,2015
A,TOTAL,ALL,ALL,ACHI,ITTOT,ALL,9,GRAD_P,VOC,99,99,TOTAL,TOT,2015,11.3,2015
A,TOTAL,ALL,ALL,ALL,IT,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,215671.0,2015
A,TOTAL,ALL,ALL,ALL,IT,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,98.7,2015
A,TOTAL,ALL,ALL,ALL,IT,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,229407.0,2015
A,TOTAL,ALL,ALL,ALL,IT,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,98.7,2015
A,TOTAL,ALL,ALL,ALL,IT,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,445078.0,2015
A,TOTAL,ALL,ALL,ALL,IT,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,IT,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,98.7,2015
A,TOTAL,ALL,ALL,ALL,ITC,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,49080.0,2015
A,TOTAL,ALL,ALL,ALL,ITC,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,22.5,2015
A,TOTAL,ALL,ALL,ALL,ITC,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,52247.0,2015
A,TOTAL,ALL,ALL,ALL,ITC,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,22.5,2015
A,TOTAL,ALL,ALL,ALL,ITC,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,101326.0,2015
A,TOTAL,ALL,ALL,ALL,ITC,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITC,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,22.5,2015
A,TOTAL,ALL,ALL,ALL,ITC1,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,14044.0,2015
A,TOTAL,ALL,ALL,ALL,ITC1,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,6.4,2015
A,TOTAL,ALL,ALL,ALL,ITC1,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,13925.0,2015
A,TOTAL,ALL,ALL,ALL,ITC1,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,6.0,2015
A,TOTAL,ALL,ALL,ALL,ITC1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,27969.0,2015
A,TOTAL,ALL,ALL,ALL,ITC1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITC1,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,6.2,2015
A,TOTAL,ALL,ALL,ALL,ITC2,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,234.0,2015
A,TOTAL,ALL,ALL,ALL,ITC2,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,0.1,2015
A,TOTAL,ALL,ALL,ALL,ITC2,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,381.0,2015
A,TOTAL,ALL,ALL,ALL,ITC2,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,0.2,2015
A,TOTAL,ALL,ALL,ALL,ITC2,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,615.0,2015
A,TOTAL,ALL,ALL,ALL,ITC2,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITC2,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,0.1,2015
A,TOTAL,ALL,ALL,ALL,ITC3,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,4478.0,2015
A,TOTAL,ALL,ALL,ALL,ITC3,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,2.1,2015
A,TOTAL,ALL,ALL,ALL,ITC3,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,4595.0,2015
A,TOTAL,ALL,ALL,ALL,ITC3,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,2.0,2015
A,TOTAL,ALL,ALL,ALL,ITC3,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,9073.0,2015
A,TOTAL,ALL,ALL,ALL,ITC3,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITC3,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,2.0,2015
A,TOTAL,ALL,ALL,ALL,ITC4,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,30323.0,2015
A,TOTAL,ALL,ALL,ALL,ITC4,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,13.9,2015
A,TOTAL,ALL,ALL,ALL,ITC4,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,33346.0,2015
A,TOTAL,ALL,ALL,ALL,ITC4,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,14.4,2015
A,TOTAL,ALL,ALL,ALL,ITC4,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,63670.0,2015
A,TOTAL,ALL,ALL,ALL,ITC4,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITC4,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,14.1,2015
A,TOTAL,ALL,ALL,ALL,ITD,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,36359.0,2015
A,TOTAL,ALL,ALL,ALL,ITD,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,16.6,2015
A,TOTAL,ALL,ALL,ALL,ITD,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,40415.0,2015
A,TOTAL,ALL,ALL,ALL,ITD,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,17.4,2015
A,TOTAL,ALL,ALL,ALL,ITD,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,76774.0,2015
A,TOTAL,ALL,ALL,ALL,ITD,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITD,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,17.0,2015
A,TOTAL,ALL,ALL,ALL,ITD1,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,1266.0,2015
A,TOTAL,ALL,ALL,ALL,ITD1,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,0.6,2015
A,TOTAL,ALL,ALL,ALL,ITD1,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,1711.0,2015
A,TOTAL,ALL,ALL,ALL,ITD1,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,0.7,2015
A,TOTAL,ALL,ALL,ALL,ITD1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,2978.0,2015
A,TOTAL,ALL,ALL,ALL,ITD1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITD1,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,0.7,2015
A,TOTAL,ALL,ALL,ALL,ITD2,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,1628.0,2015
A,TOTAL,ALL,ALL,ALL,ITD2,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,0.8,2015
A,TOTAL,ALL,ALL,ALL,ITD2,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,1964.0,2015
A,TOTAL,ALL,ALL,ALL,ITD2,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,0.9,2015
A,TOTAL,ALL,ALL,ALL,ITD2,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,3592.0,2015
A,TOTAL,ALL,ALL,ALL,ITD2,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITD2,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,0.8,2015
A,TOTAL,ALL,ALL,ALL,ITD3,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,15523.0,2015
A,TOTAL,ALL,ALL,ALL,ITD3,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,7.1,2015
A,TOTAL,ALL,ALL,ALL,ITD3,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,17135.0,2015
A,TOTAL,ALL,ALL,ALL,ITD3,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,7.4,2015
A,TOTAL,ALL,ALL,ALL,ITD3,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,32658.0,2015
A,TOTAL,ALL,ALL,ALL,ITD3,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITD3,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,7.2,2015
A,TOTAL,ALL,ALL,ALL,ITD4,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,3888.0,2015
A,TOTAL,ALL,ALL,ALL,ITD4,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,1.8,2015
A,TOTAL,ALL,ALL,ALL,ITD4,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,3764.0,2015
A,TOTAL,ALL,ALL,ALL,ITD4,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,1.6,2015
A,TOTAL,ALL,ALL,ALL,ITD4,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,7652.0,2015
A,TOTAL,ALL,ALL,ALL,ITD4,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITD4,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,1.7,2015
A,TOTAL,ALL,ALL,ALL,ITD5,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,14053.0,2015
A,TOTAL,ALL,ALL,ALL,ITD5,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,6.4,2015
A,TOTAL,ALL,ALL,ALL,ITD5,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,15841.0,2015
A,TOTAL,ALL,ALL,ALL,ITD5,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,6.8,2015
A,TOTAL,ALL,ALL,ALL,ITD5,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,29894.0,2015
A,TOTAL,ALL,ALL,ALL,ITD5,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITD5,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,6.6,2015
A,TOTAL,ALL,ALL,ALL,ITE,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,44134.0,2015
A,TOTAL,ALL,ALL,ALL,ITE,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,20.2,2015
A,TOTAL,ALL,ALL,ALL,ITE,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,47565.0,2015
A,TOTAL,ALL,ALL,ALL,ITE,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,20.5,2015
A,TOTAL,ALL,ALL,ALL,ITE,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,91699.0,2015
A,TOTAL,ALL,ALL,ALL,ITE,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITE,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,20.3,2015
A,TOTAL,ALL,ALL,ALL,ITE1,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,12511.0,2015
A,TOTAL,ALL,ALL,ALL,ITE1,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,5.7,2015
A,TOTAL,ALL,ALL,ALL,ITE1,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,13777.0,2015
A,TOTAL,ALL,ALL,ALL,ITE1,ALL,2,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,5.9,2015
A,TOTAL,ALL,ALL,ALL,ITE1,ALL,9,GRAD,ALL,99,99,TOTAL,TOT,2015,26287.0,2015
A,TOTAL,ALL,ALL,ALL,ITE1,ALL,9,GRAD_P,ALL,99,99,TOTAL,TOT,2015,100.0,2015
A,TOTAL,ALL,ALL,ALL,ITE1,ALL,9,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,5.8,2015
A,TOTAL,ALL,ALL,ALL,ITE2,ALL,1,GRAD,ALL,99,99,TOTAL,TOT,2015,2798.0,2015
A,TOTAL,ALL,ALL,ALL,ITE2,ALL,1,GRAD_REG_P,ALL,99,99,TOTAL,TOT,2015,1.3,2015
A,TOTAL,ALL,ALL,ALL,ITE2,ALL,2,GRAD,ALL,99,99,TOTAL,TOT,2015,3161.0,2015
