freq,ref_area,ind_type,measure,tipo_spesa,time_period,obs_value,unit,year
A,IT,SPESA_EFF_TRASPUBB,15,024,2010,63.37,EUR,2010
A,IT,SPESA_EFF_TRASPUBB,15,024,2011,65.5,EUR,2011
A,IT,SPESA_EFF_TRASPUBB,15,025,2010,388.37,EUR,2010
A,IT,SPESA_EFF_TRASPUBB,15,025,2011,342.85,EUR,2011
A,IT,SPESA_EFF_TRASPUBB,15,026,2010,190.84,EUR,2010
A,IT,SPESA_EFF_TRASPUBB,15,026,2011,138.85,EUR,2011
A,ITC,SPESA_EFF_ABB,15,001,2010,120.34,EUR,2010
A,ITC,SPESA_EFF_ABB,15,001,2011,125.24,EUR,2011
A,ITC,SPESA_EFF_ABB,15,002,2010,119.25,EUR,2010
A,ITC,SPESA_EFF_ABB,15,002,2011,120.45,EUR,2011
A,ITC,SPESA_EFF_ABB,15,003,2010,104.31,EUR,2010
A,ITC,SPESA_EFF_ABB,15,003,2011,104.29,EUR,2011
A,ITC,SPESA_EFF_ABB,15,004,2010,81.93,EUR,2010
A,ITC,SPESA_EFF_ABB,15,004,2011,86.86,EUR,2011
A,ITC,SPESA_EFF_ABB,15,005,2010,75.58,EUR,2010
A,ITC,SPESA_EFF_ABB,15,005,2011,76.38,EUR,2011
A,ITC,SPESA_EFF_ABB,15,006,2010,57.08,EUR,2010
A,ITC,SPESA_EFF_ABB,15,006,2011,64.34,EUR,2011
A,ITC,SPESA_EFF_ABITAZ,15,038,2010,81.88,EUR,2010
A,ITC,SPESA_EFF_ABITAZ,15,038,2011,78.35,EUR,2011
A,ITC,SPESA_EFF_ABITAZ,15,039,2010,76.79,EUR,2010
A,ITC,SPESA_EFF_ABITAZ,15,039,2011,72.6,EUR,2011
A,ITC,SPESA_EFF_ABITAZ,15,040,2010,148.2,EUR,2010
A,ITC,SPESA_EFF_ABITAZ,15,040,2011,149.42,EUR,2011
A,ITC,SPESA_EFF_ABITAZ,15,041,2010,69.25,EUR,2010
A,ITC,SPESA_EFF_ABITAZ,15,041,2011,61.73,EUR,2011
A,ITC,SPESA_EFF_ABITAZ,15,042,2010,321.43,EUR,2010
A,ITC,SPESA_EFF_ABITAZ,15,042,2011,316.89,EUR,2011
A,ITC,SPESA_EFF_GIORN,15,007,2010,22.15,EUR,2010
A,ITC,SPESA_EFF_GIORN,15,007,2011,22.95,EUR,2011
A,ITC,SPESA_EFF_GIORN,15,008,2010,146.97,EUR,2010
A,ITC,SPESA_EFF_GIORN,15,008,2011,163.16,EUR,2011
A,ITC,SPESA_EFF_GIORN,15,009,2010,58.31,EUR,2010
A,ITC,SPESA_EFF_GIORN,15,009,2011,61.37,EUR,2011
A,ITC,SPESA_EFF_PASTI,15,027,2010,49.84,EUR,2010
A,ITC,SPESA_EFF_PASTI,15,027,2011,52.2,EUR,2011
A,ITC,SPESA_EFF_PASTI,15,028,2010,151.91,EUR,2010
A,ITC,SPESA_EFF_PASTI,15,028,2011,157.61,EUR,2011
A,ITC,SPESA_EFF_PASTI,15,029,2010,45.03,EUR,2010
A,ITC,SPESA_EFF_PASTI,15,029,2011,42.58,EUR,2011
A,ITC,SPESA_EFF_PASTI,15,030,2010,71.15,EUR,2010
A,ITC,SPESA_EFF_PASTI,15,030,2011,83.33,EUR,2011
A,ITC,SPESA_EFF_PASTI,15,043,2010,62.96,EUR,2010
A,ITC,SPESA_EFF_PASTI,15,043,2011,63.4,EUR,2011
A,ITC,SPESA_EFF_SANIT,15,031,2010,87.28,EUR,2010
A,ITC,SPESA_EFF_SANIT,15,031,2011,85.5,EUR,2011
A,ITC,SPESA_EFF_SANIT,15,032,2010,42.48,EUR,2010
A,ITC,SPESA_EFF_SANIT,15,032,2011,41.95,EUR,2011
A,ITC,SPESA_EFF_SANIT,15,033,2010,121.64,EUR,2010
A,ITC,SPESA_EFF_SANIT,15,033,2011,116.01,EUR,2011
A,ITC,SPESA_EFF_SANIT,15,034,2010,414.13,EUR,2010
A,ITC,SPESA_EFF_SANIT,15,034,2011,389.42,EUR,2011
A,ITC,SPESA_EFF_SANIT,15,035,2010,174.02,EUR,2010
A,ITC,SPESA_EFF_SANIT,15,035,2011,181.57,EUR,2011
A,ITC,SPESA_EFF_SANIT,15,036,2010,55.97,EUR,2010
A,ITC,SPESA_EFF_SANIT,15,036,2011,60.28,EUR,2011
A,ITC,SPESA_EFF_SANIT,15,037,2010,69.21,EUR,2010
A,ITC,SPESA_EFF_SANIT,15,037,2011,71.63,EUR,2011
A,ITC,SPESA_EFF_TRASPRIV,15,015,2010,16627.01,EUR,2010
A,ITC,SPESA_EFF_TRASPRIV,15,015,2011,17126.26,EUR,2011
A,ITC,SPESA_EFF_TRASPRIV,15,016,2010,915.16,EUR,2010
A,ITC,SPESA_EFF_TRASPRIV,15,016,2011,922.07,EUR,2011
A,ITC,SPESA_EFF_TRASPRIV,15,017,2010,166.74,EUR,2010
A,ITC,SPESA_EFF_TRASPRIV,15,017,2011,171.52,EUR,2011
A,ITC,SPESA_EFF_TRASPRIV,15,018,2010,141.11,EUR,2010
A,ITC,SPESA_EFF_TRASPRIV,15,018,2011,152.65,EUR,2011
A,ITC,SPESA_EFF_TRASPRIV,15,019,2010,116.84,EUR,2010
A,ITC,SPESA_EFF_TRASPRIV,15,019,2011,80.96,EUR,2011
A,ITC,SPESA_EFF_TRASPRIV,15,020,2010,33.21,EUR,2010
A,ITC,SPESA_EFF_TRASPRIV,15,020,2011,34.22,EUR,2011
A,ITC,SPESA_EFF_TRASPUBB,15,021,2010,47.62,EUR,2010
A,ITC,SPESA_EFF_TRASPUBB,15,021,2011,44.44,EUR,2011
A,ITC,SPESA_EFF_TRASPUBB,15,022,2010,40.11,EUR,2010
A,ITC,SPESA_EFF_TRASPUBB,15,022,2011,42.96,EUR,2011
A,ITC,SPESA_EFF_TRASPUBB,15,023,2010,76.14,EUR,2010
A,ITC,SPESA_EFF_TRASPUBB,15,023,2011,49.95,EUR,2011
A,ITC,SPESA_EFF_TRASPUBB,15,024,2010,63.24,EUR,2010
A,ITC,SPESA_EFF_TRASPUBB,15,024,2011,68.24,EUR,2011
A,ITC,SPESA_EFF_TRASPUBB,15,025,2010,459.22,EUR,2010
A,ITC,SPESA_EFF_TRASPUBB,15,025,2011,371.23,EUR,2011
A,ITC,SPESA_EFF_TRASPUBB,15,026,2010,269.19,EUR,2010
A,ITC,SPESA_EFF_TRASPUBB,15,026,2011,163.74,EUR,2011
A,ITD,SPESA_EFF_ABB,15,001,2010,128.46,EUR,2010
A,ITD,SPESA_EFF_ABB,15,001,2011,118.56,EUR,2011
A,ITD,SPESA_EFF_ABB,15,002,2010,125.62,EUR,2010
A,ITD,SPESA_EFF_ABB,15,002,2011,123.19,EUR,2011
A,ITD,SPESA_EFF_ABB,15,003,2010,101.22,EUR,2010
A,ITD,SPESA_EFF_ABB,15,003,2011,98.95,EUR,2011
A,ITD,SPESA_EFF_ABB,15,004,2010,79.56,EUR,2010
A,ITD,SPESA_EFF_ABB,15,004,2011,82.12,EUR,2011
A,ITD,SPESA_EFF_ABB,15,005,2010,77.49,EUR,2010
A,ITD,SPESA_EFF_ABB,15,005,2011,76.15,EUR,2011
A,ITD,SPESA_EFF_ABB,15,006,2010,58.1,EUR,2010
A,ITD,SPESA_EFF_ABB,15,006,2011,58.87,EUR,2011
A,ITD,SPESA_EFF_ABITAZ,15,038,2010,89.78,EUR,2010
A,ITD,SPESA_EFF_ABITAZ,15,038,2011,82.93,EUR,2011
A,ITD,SPESA_EFF_ABITAZ,15,039,2010,81.4,EUR,2010
A,ITD,SPESA_EFF_ABITAZ,15,039,2011,76.16,EUR,2011
A,ITD,SPESA_EFF_ABITAZ,15,040,2010,176.58,EUR,2010
A,ITD,SPESA_EFF_ABITAZ,15,040,2011,178.97,EUR,2011
A,ITD,SPESA_EFF_ABITAZ,15,041,2010,63.08,EUR,2010
A,ITD,SPESA_EFF_ABITAZ,15,041,2011,59.17,EUR,2011
A,ITD,SPESA_EFF_ABITAZ,15,042,2010,247.77,EUR,2010
A,ITD,SPESA_EFF_ABITAZ,15,042,2011,246.92,EUR,2011
A,ITD,SPESA_EFF_GIORN,15,007,2010,24.14,EUR,2010
A,ITD,SPESA_EFF_GIORN,15,007,2011,23.91,EUR,2011
A,ITD,SPESA_EFF_GIORN,15,008,2010,121.58,EUR,2010
A,ITD,SPESA_EFF_GIORN,15,008,2011,134.76,EUR,2011
A,ITD,SPESA_EFF_GIORN,15,009,2010,63.45,EUR,2010
A,ITD,SPESA_EFF_GIORN,15,009,2011,66.57,EUR,2011
A,ITD,SPESA_EFF_PASTI,15,027,2010,49.96,EUR,2010
A,ITD,SPESA_EFF_PASTI,15,027,2011,51.75,EUR,2011
A,ITD,SPESA_EFF_PASTI,15,028,2010,151.24,EUR,2010
A,ITD,SPESA_EFF_PASTI,15,028,2011,153.39,EUR,2011
A,ITD,SPESA_EFF_PASTI,15,029,2010,42.29,EUR,2010
A,ITD,SPESA_EFF_PASTI,15,029,2011,39.25,EUR,2011
A,ITD,SPESA_EFF_PASTI,15,030,2010,61.49,EUR,2010
A,ITD,SPESA_EFF_PASTI,15,030,2011,65.91,EUR,2011
A,ITD,SPESA_EFF_PASTI,15,043,2010,51.51,EUR,2010
A,ITD,SPESA_EFF_PASTI,15,043,2011,52.28,EUR,2011
A,ITD,SPESA_EFF_SANIT,15,031,2010,86.43,EUR,2010
A,ITD,SPESA_EFF_SANIT,15,031,2011,91.68,EUR,2011
A,ITD,SPESA_EFF_SANIT,15,032,2010,40.53,EUR,2010
A,ITD,SPESA_EFF_SANIT,15,032,2011,36.74,EUR,2011
A,ITD,SPESA_EFF_SANIT,15,033,2010,109.62,EUR,2010
A,ITD,SPESA_EFF_SANIT,15,033,2011,114.97,EUR,2011
A,ITD,SPESA_EFF_SANIT,15,034,2010,423.47,EUR,2010
A,ITD,SPESA_EFF_SANIT,15,034,2011,445.35,EUR,2011
A,ITD,SPESA_EFF_SANIT,15,035,2010,177.6,EUR,2010
A,ITD,SPESA_EFF_SANIT,15,035,2011,128.47,EUR,2011
A,ITD,SPESA_EFF_SANIT,15,036,2010,55.32,EUR,2010
A,ITD,SPESA_EFF_SANIT,15,036,2011,57.74,EUR,2011
A,ITD,SPESA_EFF_SANIT,15,037,2010,75.73,EUR,2010
A,ITD,SPESA_EFF_SANIT,15,037,2011,71.48,EUR,2011
A,ITD,SPESA_EFF_TRASPRIV,15,015,2010,16762.55,EUR,2010
A,ITD,SPESA_EFF_TRASPRIV,15,015,2011,15313.44,EUR,2011
A,ITD,SPESA_EFF_TRASPRIV,15,016,2010,882.64,EUR,2010
A,ITD,SPESA_EFF_TRASPRIV,15,016,2011,884.14,EUR,2011
A,ITD,SPESA_EFF_TRASPRIV,15,017,2010,160.64,EUR,2010
A,ITD,SPESA_EFF_TRASPRIV,15,017,2011,176.29,EUR,2011
A,ITD,SPESA_EFF_TRASPRIV,15,018,2010,139.2,EUR,2010
A,ITD,SPESA_EFF_TRASPRIV,15,018,2011,154.1,EUR,2011
A,ITD,SPESA_EFF_TRASPRIV,15,019,2010,74.03,EUR,2010
A,ITD,SPESA_EFF_TRASPRIV,15,019,2011,89.82,EUR,2011
A,ITD,SPESA_EFF_TRASPRIV,15,020,2010,29.77,EUR,2010
A,ITD,SPESA_EFF_TRASPRIV,15,020,2011,29.05,EUR,2011
A,ITD,SPESA_EFF_TRASPUBB,15,021,2010,48.1,EUR,2010
A,ITD,SPESA_EFF_TRASPUBB,15,021,2011,46.87,EUR,2011
A,ITD,SPESA_EFF_TRASPUBB,15,022,2010,38.72,EUR,2010
A,ITD,SPESA_EFF_TRASPUBB,15,022,2011,46.69,EUR,2011
A,ITD,SPESA_EFF_TRASPUBB,15,023,2010,72.27,EUR,2010
A,ITD,SPESA_EFF_TRASPUBB,15,023,2011,56.34,EUR,2011
A,ITD,SPESA_EFF_TRASPUBB,15,024,2010,57.61,EUR,2010
A,ITD,SPESA_EFF_TRASPUBB,15,024,2011,56.28,EUR,2011
A,ITD,SPESA_EFF_TRASPUBB,15,025,2010,401.72,EUR,2010
A,ITD,SPESA_EFF_TRASPUBB,15,025,2011,367.07,EUR,2011
A,ITD,SPESA_EFF_TRASPUBB,15,026,2010,118.4,EUR,2010
A,ITD,SPESA_EFF_TRASPUBB,15,026,2011,119.21,EUR,2011
A,ITE,SPESA_EFF_ABB,15,001,2010,127.1,EUR,2010
A,ITE,SPESA_EFF_ABB,15,001,2011,114.11,EUR,2011
A,ITE,SPESA_EFF_ABB,15,002,2010,120.2,EUR,2010
A,ITE,SPESA_EFF_ABB,15,002,2011,111.66,EUR,2011
A,ITE,SPESA_EFF_ABB,15,003,2010,112.39,EUR,2010
A,ITE,SPESA_EFF_ABB,15,003,2011,101.95,EUR,2011
A,ITE,SPESA_EFF_ABB,15,004,2010,80.47,EUR,2010
A,ITE,SPESA_EFF_ABB,15,004,2011,81.27,EUR,2011
A,ITE,SPESA_EFF_ABB,15,005,2010,74.28,EUR,2010
A,ITE,SPESA_EFF_ABB,15,005,2011,77.94,EUR,2011
A,ITE,SPESA_EFF_ABB,15,006,2010,67.16,EUR,2010
A,ITE,SPESA_EFF_ABB,15,006,2011,72.06,EUR,2011
A,ITE,SPESA_EFF_ABITAZ,15,038,2010,89.12,EUR,2010
A,ITE,SPESA_EFF_ABITAZ,15,038,2011,86.41,EUR,2011
A,ITE,SPESA_EFF_ABITAZ,15,039,2010,79.42,EUR,2010
A,ITE,SPESA_EFF_ABITAZ,15,039,2011,76.59,EUR,2011
A,ITE,SPESA_EFF_ABITAZ,15,040,2010,137.28,EUR,2010
A,ITE,SPESA_EFF_ABITAZ,15,040,2011,136.02,EUR,2011
A,ITE,SPESA_EFF_ABITAZ,15,041,2010,66.25,EUR,2010
A,ITE,SPESA_EFF_ABITAZ,15,041,2011,68.69,EUR,2011
A,ITE,SPESA_EFF_ABITAZ,15,042,2010,171.58,EUR,2010
A,ITE,SPESA_EFF_ABITAZ,15,042,2011,155.4,EUR,2011
A,ITE,SPESA_EFF_GIORN,15,007,2010,21.23,EUR,2010
A,ITE,SPESA_EFF_GIORN,15,007,2011,20.04,EUR,2011
A,ITE,SPESA_EFF_GIORN,15,008,2010,122.47,EUR,2010
A,ITE,SPESA_EFF_GIORN,15,008,2011,123.42,EUR,2011
A,ITE,SPESA_EFF_GIORN,15,009,2010,60.1,EUR,2010
A,ITE,SPESA_EFF_GIORN,15,009,2011,59.22,EUR,2011
A,ITE,SPESA_EFF_PASTI,15,027,2010,44.23,EUR,2010
A,ITE,SPESA_EFF_PASTI,15,027,2011,42.4,EUR,2011
A,ITE,SPESA_EFF_PASTI,15,028,2010,138.0,EUR,2010
A,ITE,SPESA_EFF_PASTI,15,028,2011,147.98,EUR,2011
A,ITE,SPESA_EFF_PASTI,15,029,2010,43.24,EUR,2010
A,ITE,SPESA_EFF_PASTI,15,029,2011,44.85,EUR,2011
A,ITE,SPESA_EFF_PASTI,15,030,2010,55.71,EUR,2010
A,ITE,SPESA_EFF_PASTI,15,030,2011,72.38,EUR,2011
A,ITE,SPESA_EFF_PASTI,15,043,2010,53.08,EUR,2010
A,ITE,SPESA_EFF_PASTI,15,043,2011,60.78,EUR,2011
A,ITE,SPESA_EFF_SANIT,15,031,2010,76.36,EUR,2010
A,ITE,SPESA_EFF_SANIT,15,031,2011,81.46,EUR,2011
A,ITE,SPESA_EFF_SANIT,15,032,2010,35.96,EUR,2010
A,ITE,SPESA_EFF_SANIT,15,032,2011,28.75,EUR,2011
A,ITE,SPESA_EFF_SANIT,15,033,2010,117.76,EUR,2010
A,ITE,SPESA_EFF_SANIT,15,033,2011,135.0,EUR,2011
A,ITE,SPESA_EFF_SANIT,15,034,2010,332.68,EUR,2010
A,ITE,SPESA_EFF_SANIT,15,034,2011,331.35,EUR,2011
A,ITE,SPESA_EFF_SANIT,15,035,2010,223.92,EUR,2010
A,ITE,SPESA_EFF_SANIT,15,035,2011,175.32,EUR,2011
A,ITE,SPESA_EFF_SANIT,15,036,2010,59.38,EUR,2010
A,ITE,SPESA_EFF_SANIT,15,036,2011,67.51,EUR,2011
A,ITE,SPESA_EFF_SANIT,15,037,2010,79.1,EUR,2010
A,ITE,SPESA_EFF_SANIT,15,037,2011,85.15,EUR,2011
A,ITE,SPESA_EFF_TRASPRIV,15,015,2010,14891.31,EUR,2010
A,ITE,SPESA_EFF_TRASPRIV,15,015,2011,16174.26,EUR,2011
A,ITE,SPESA_EFF_TRASPRIV,15,016,2010,941.19,EUR,2010
A,ITE,SPESA_EFF_TRASPRIV,15,016,2011,957.42,EUR,2011
A,ITE,SPESA_EFF_TRASPRIV,15,017,2010,150.85,EUR,2010
A,ITE,SPESA_EFF_TRASPRIV,15,017,2011,163.99,EUR,2011
A,ITE,SPESA_EFF_TRASPRIV,15,018,2010,127.84,EUR,2010
A,ITE,SPESA_EFF_TRASPRIV,15,018,2011,139.42,EUR,2011
A,ITE,SPESA_EFF_TRASPRIV,15,019,2010,74.93,EUR,2010
A,ITE,SPESA_EFF_TRASPRIV,15,019,2011,101.01,EUR,2011
A,ITE,SPESA_EFF_TRASPRIV,15,020,2010,22.28,EUR,2010
A,ITE,SPESA_EFF_TRASPRIV,15,020,2011,23.88,EUR,2011
A,ITE,SPESA_EFF_TRASPUBB,15,021,2010,48.27,EUR,2010
A,ITE,SPESA_EFF_TRASPUBB,15,021,2011,48.65,EUR,2011
A,ITE,SPESA_EFF_TRASPUBB,15,022,2010,41.71,EUR,2010
A,ITE,SPESA_EFF_TRASPUBB,15,022,2011,40.46,EUR,2011
A,ITE,SPESA_EFF_TRASPUBB,15,023,2010,61.84,EUR,2010
A,ITE,SPESA_EFF_TRASPUBB,15,023,2011,56.2,EUR,2011
A,ITE,SPESA_EFF_TRASPUBB,15,024,2010,66.55,EUR,2010
A,ITE,SPESA_EFF_TRASPUBB,15,024,2011,66.3,EUR,2011
A,ITE,SPESA_EFF_TRASPUBB,15,025,2010,326.76,EUR,2010
A,ITE,SPESA_EFF_TRASPUBB,15,025,2011,313.99,EUR,2011
A,ITE,SPESA_EFF_TRASPUBB,15,026,2011,126.35,EUR,2011
A,ITF,SPESA_EFF_ABB,15,001,2010,121.61,EUR,2010
A,ITF,SPESA_EFF_ABB,15,001,2011,113.21,EUR,2011
A,ITF,SPESA_EFF_ABB,15,002,2010,125.33,EUR,2010
A,ITF,SPESA_EFF_ABB,15,002,2011,116.46,EUR,2011
A,ITF,SPESA_EFF_ABB,15,003,2010,116.9,EUR,2010
A,ITF,SPESA_EFF_ABB,15,003,2011,113.12,EUR,2011
A,ITF,SPESA_EFF_ABB,15,004,2010,80.96,EUR,2010
A,ITF,SPESA_EFF_ABB,15,004,2011,76.92,EUR,2011
A,ITF,SPESA_EFF_ABB,15,005,2010,73.37,EUR,2010
A,ITF,SPESA_EFF_ABB,15,005,2011,72.47,EUR,2011
A,ITF,SPESA_EFF_ABB,15,006,2010,68.57,EUR,2010
A,ITF,SPESA_EFF_ABB,15,006,2011,65.35,EUR,2011
A,ITF,SPESA_EFF_ABITAZ,15,038,2010,90.02,EUR,2010
A,ITF,SPESA_EFF_ABITAZ,15,038,2011,89.88,EUR,2011
A,ITF,SPESA_EFF_ABITAZ,15,039,2010,68.38,EUR,2010
A,ITF,SPESA_EFF_ABITAZ,15,039,2011,65.39,EUR,2011
A,ITF,SPESA_EFF_ABITAZ,15,040,2010,118.9,EUR,2010
A,ITF,SPESA_EFF_ABITAZ,15,040,2011,114.77,EUR,2011
A,ITF,SPESA_EFF_ABITAZ,15,041,2010,68.78,EUR,2010
A,ITF,SPESA_EFF_ABITAZ,15,041,2011,68.41,EUR,2011
A,ITF,SPESA_EFF_ABITAZ,15,042,2010,79.56,EUR,2010
A,ITF,SPESA_EFF_ABITAZ,15,042,2011,82.02,EUR,2011
A,ITF,SPESA_EFF_GIORN,15,007,2010,18.12,EUR,2010
A,ITF,SPESA_EFF_GIORN,15,007,2011,17.67,EUR,2011
A,ITF,SPESA_EFF_GIORN,15,008,2010,189.28,EUR,2010
A,ITF,SPESA_EFF_GIORN,15,008,2011,165.63,EUR,2011
A,ITF,SPESA_EFF_GIORN,15,009,2010,49.6,EUR,2010
A,ITF,SPESA_EFF_GIORN,15,009,2011,46.71,EUR,2011
A,ITF,SPESA_EFF_PASTI,15,027,2010,36.17,EUR,2010
A,ITF,SPESA_EFF_PASTI,15,027,2011,37.3,EUR,2011
A,ITF,SPESA_EFF_PASTI,15,028,2010,129.59,EUR,2010
A,ITF,SPESA_EFF_PASTI,15,028,2011,135.12,EUR,2011
A,ITF,SPESA_EFF_PASTI,15,029,2010,48.76,EUR,2010
A,ITF,SPESA_EFF_PASTI,15,029,2011,51.79,EUR,2011
A,ITF,SPESA_EFF_PASTI,15,030,2010,50.84,EUR,2010
A,ITF,SPESA_EFF_PASTI,15,030,2011,45.47,EUR,2011
A,ITF,SPESA_EFF_PASTI,15,043,2010,52.39,EUR,2010
A,ITF,SPESA_EFF_PASTI,15,043,2011,53.15,EUR,2011
A,ITF,SPESA_EFF_SANIT,15,031,2010,67.75,EUR,2010
A,ITF,SPESA_EFF_SANIT,15,031,2011,70.9,EUR,2011
A,ITF,SPESA_EFF_SANIT,15,032,2010,29.42,EUR,2010
A,ITF,SPESA_EFF_SANIT,15,032,2011,29.02,EUR,2011
A,ITF,SPESA_EFF_SANIT,15,033,2010,132.75,EUR,2010
A,ITF,SPESA_EFF_SANIT,15,033,2011,119.87,EUR,2011
A,ITF,SPESA_EFF_SANIT,15,034,2010,318.7,EUR,2010
A,ITF,SPESA_EFF_SANIT,15,034,2011,296.27,EUR,2011
