freq,fasecontoec,itter107,unit_ist_aggr,time_period,obs_value,year
A,209,IT,2I,2023,701861,2023
A,210,IT,2I,2016,11482480561,2016
A,210,IT,2I,2017,11257784660,2017
A,210,IT,2I,2018,11217136176,2018
A,210,IT,2I,2019,11498886378,2019
A,210,IT,2I,2020,11308082585,2020
A,210,IT,2I,2021,12158474573,2021
A,210,IT,2I,2022,13451230839,2022
A,210,IT,2I,2023,14428327614,2023
A,211,IT,2I,2016,6827907727,2016
A,211,IT,2I,2017,6700356261,2017
A,211,IT,2I,2018,6602574106,2018
A,211,IT,2I,2019,6739639390,2019
A,211,IT,2I,2020,6789191107,2020
A,211,IT,2I,2021,7063496567,2021
A,211,IT,2I,2022,7522009662,2022
A,211,IT,2I,2023,7973382826,2023
A,212,IT,2I,2016,3442464021,2016
A,212,IT,2I,2017,3414185890,2017
A,212,IT,2I,2018,3561854369,2018
A,212,IT,2I,2019,3766160266,2019
A,212,IT,2I,2020,3537279810,2020
A,212,IT,2I,2021,4025228783,2021
A,212,IT,2I,2022,4819810257,2022
A,212,IT,2I,2023,5205907390,2023
A,213,IT,2I,2016,597948700,2016
A,213,IT,2I,2017,572482671,2017
A,213,IT,2I,2018,582488125,2018
A,213,IT,2I,2019,561131970,2019
A,213,IT,2I,2020,582484263,2020
A,213,IT,2I,2021,645354303,2021
A,213,IT,2I,2022,696665633,2022
A,213,IT,2I,2023,751898284,2023
A,214,IT,2I,2016,441525915,2016
A,214,IT,2I,2017,421888346,2017
A,214,IT,2I,2018,307507634,2018
A,214,IT,2I,2019,320208037,2019
A,214,IT,2I,2020,284958890,2020
A,214,IT,2I,2021,294175222,2021
A,214,IT,2I,2022,280176000,2022
A,214,IT,2I,2023,330257243,2023
A,215,IT,2I,2016,172634198,2016
A,215,IT,2I,2017,148871492,2017
A,215,IT,2I,2018,162711942,2018
A,215,IT,2I,2019,111746715,2019
A,215,IT,2I,2020,114168515,2020
A,215,IT,2I,2021,130219698,2021
A,215,IT,2I,2022,132569287,2022
A,215,IT,2I,2023,166881871,2023
A,216,IT,2I,2016,841882076,2016
A,216,IT,2I,2017,939745231,2017
A,216,IT,2I,2018,949617143,2018
A,216,IT,2I,2019,865166698,2019
A,216,IT,2I,2020,1295234052,2020
A,216,IT,2I,2021,1359724459,2021
A,216,IT,2I,2022,1228142463,2022
A,216,IT,2I,2023,1405157917,2023
A,217,IT,2I,2016,-42432382,2016
A,217,IT,2I,2017,-30878945,2017
A,217,IT,2I,2018,-30851604,2018
A,217,IT,2I,2019,-22713799,2019
A,217,IT,2I,2020,-30347327,2020
A,217,IT,2I,2021,-23726765,2021
A,217,IT,2I,2022,-22408721,2022
A,217,IT,2I,2023,-18741150,2023
A,218,IT,2I,2016,-999626,2016
A,218,IT,2I,2017,-2327808,2017
A,218,IT,2I,2018,-1625153,2018
A,218,IT,2I,2019,-581230,2019
A,218,IT,2I,2020,-1222668,2020
A,218,IT,2I,2021,-502011,2021
A,218,IT,2I,2022,-637446,2022
A,218,IT,2I,2023,200242,2023
A,219,IT,2I,2016,48373564,2016
A,219,IT,2I,2017,119107230,2017
A,219,IT,2I,2018,38089722,2018
A,219,IT,2I,2019,72678015,2019
A,219,IT,2I,2020,170453050,2020
A,219,IT,2I,2021,101082288,2021
A,219,IT,2I,2022,64179271,2022
A,219,IT,2I,2023,115154517,2023
A,220,IT,2I,2016,217151630,2016
A,220,IT,2I,2017,280081657,2017
A,220,IT,2I,2018,342485964,2018
A,220,IT,2I,2019,393299018,2019
A,220,IT,2I,2020,406680172,2020
A,220,IT,2I,2021,416587561,2021
A,220,IT,2I,2022,442069464,2022
A,220,IT,2I,2023,482670174,2023
