AnnoA;CorsoTIPO;ClasseNUMERO;ClasseNOME;Diploma_tipo;SESSO;Imm
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma di liceo musicale e coreutico;F;5
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma di liceo scientifico;F;690
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma in indirizzo professionale;F;193
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma in indirizzo tecnico;F;215
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Altro diploma;M;42
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma di liceo artistico;M;5
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma di liceo classico;M;44
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma di liceo delle scienze umane;M;33
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma di liceo linguistico;M;52
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma di liceo musicale e coreutico;M;3
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma di liceo scientifico;M;731
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma in indirizzo professionale;M;64
2024/2025;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;Diploma in indirizzo tecnico;M;132
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Altro diploma;F;96
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma di liceo artistico;F;23
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma di liceo classico;F;115
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma di liceo delle scienze umane;F;238
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma di liceo linguistico;F;191
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma di liceo musicale e coreutico;F;3
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma di liceo scientifico;F;614
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma in indirizzo professionale;F;256
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma in indirizzo tecnico;F;300
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Altro diploma;M;49
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma di liceo artistico;M;5
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma di liceo classico;M;43
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma di liceo delle scienze umane;M;25
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma di liceo linguistico;M;49
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma di liceo musicale e coreutico;M;2
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma di liceo scientifico;M;530
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma in indirizzo professionale;M;153
2024/2025;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;Diploma in indirizzo tecnico;M;281
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Altro diploma;F;9
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma di liceo artistico;F;8
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma di liceo classico;F;12
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma di liceo delle scienze umane;F;85
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma di liceo linguistico;F;37
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma di liceo musicale e coreutico;F;1
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma di liceo scientifico;F;91
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma in indirizzo professionale;F;73
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma in indirizzo tecnico;F;86
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Altro diploma;M;13
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma di liceo artistico;M;2
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma di liceo classico;M;15
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma di liceo delle scienze umane;M;17
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma di liceo linguistico;M;16
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma di liceo musicale e coreutico;M;1
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma di liceo scientifico;M;92
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma in indirizzo professionale;M;50
2024/2025;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;Diploma in indirizzo tecnico;M;124
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Altro diploma;F;218
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma di liceo artistico;F;602
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma di liceo classico;F;508
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma di liceo delle scienze umane;F;426
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma di liceo linguistico;F;473
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma di liceo musicale e coreutico;F;19
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma di liceo scientifico;F;327
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma in indirizzo professionale;F;170
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma in indirizzo tecnico;F;588
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Altro diploma;M;132
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma di liceo artistico;M;127
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma di liceo classico;M;150
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma di liceo delle scienze umane;M;105
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma di liceo linguistico;M;102
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma di liceo musicale e coreutico;M;11
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma di liceo scientifico;M;184
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma in indirizzo professionale;M;75
2024/2025;Laurea - dm 270/04;L-1;Beni culturali;Diploma in indirizzo tecnico;M;235
2024/2025;Laurea - dm 270/04;L-10;Lettere;Altro diploma;F;372
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma di liceo artistico;F;200
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma di liceo classico;F;1917
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma di liceo delle scienze umane;F;1269
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma di liceo linguistico;F;665
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma di liceo musicale e coreutico;F;38
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma di liceo scientifico;F;965
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma in indirizzo professionale;F;295
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma in indirizzo tecnico;F;529
2024/2025;Laurea - dm 270/04;L-10;Lettere;Altro diploma;M;331
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma di liceo artistico;M;52
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma di liceo classico;M;707
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma di liceo delle scienze umane;M;237
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma di liceo linguistico;M;156
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma di liceo musicale e coreutico;M;16
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma di liceo scientifico;M;536
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma in indirizzo professionale;M;141
2024/2025;Laurea - dm 270/04;L-10;Lettere;Diploma in indirizzo tecnico;M;371
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Altro diploma;F;409
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma di liceo artistico;F;216
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma di liceo classico;F;648
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma di liceo delle scienze umane;F;708
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma di liceo linguistico;F;2913
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma di liceo musicale e coreutico;F;21
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma di liceo scientifico;F;652
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma in indirizzo professionale;F;506
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma in indirizzo tecnico;F;1052
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Altro diploma;M;154
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma di liceo artistico;M;33
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma di liceo classico;M;140
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma di liceo delle scienze umane;M;103
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma di liceo linguistico;M;523
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma di liceo musicale e coreutico;M;5
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma di liceo scientifico;M;276
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma in indirizzo professionale;M;146
2024/2025;Laurea - dm 270/04;L-11;Lingue e culture moderne;Diploma in indirizzo tecnico;M;413
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Altro diploma;F;282
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma di liceo artistico;F;119
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma di liceo classico;F;321
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma di liceo delle scienze umane;F;379
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma di liceo linguistico;F;2357
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma di liceo musicale e coreutico;F;8
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma di liceo scientifico;F;436
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma in indirizzo professionale;F;310
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma in indirizzo tecnico;F;821
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Altro diploma;M;107
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma di liceo artistico;M;11
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma di liceo classico;M;59
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma di liceo delle scienze umane;M;36
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma di liceo linguistico;M;345
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma di liceo scientifico;M;141
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma in indirizzo professionale;M;101
2024/2025;Laurea - dm 270/04;L-12;Mediazione linguistica;Diploma in indirizzo tecnico;M;278
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo scientifico;9;1
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Altro diploma;F;259
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo artistico;F;82
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo classico;F;986
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo delle scienze umane;F;693
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo linguistico;F;636
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo musicale e coreutico;F;9
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo scientifico;F;3055
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma in indirizzo professionale;F;417
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma in indirizzo tecnico;F;832
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Altro diploma;M;104
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo artistico;M;20
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo classico;M;247
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo delle scienze umane;M;93
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo linguistico;M;86
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo musicale e coreutico;M;5
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma di liceo scientifico;M;1606
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma in indirizzo professionale;M;257
2024/2025;Laurea - dm 270/04;L-13;Scienze biologiche;Diploma in indirizzo tecnico;M;603
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Altro diploma;F;588
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma di liceo artistico;F;79
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma di liceo classico;F;369
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma di liceo delle scienze umane;F;877
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma di liceo linguistico;F;586
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma di liceo musicale e coreutico;F;6
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma di liceo scientifico;F;701
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma in indirizzo professionale;F;505
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma in indirizzo tecnico;F;1589
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Altro diploma;M;635
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma di liceo artistico;M;40
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma di liceo classico;M;182
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma di liceo delle scienze umane;M;239
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma di liceo linguistico;M;155
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma di liceo scientifico;M;1042
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma in indirizzo professionale;M;569
2024/2025;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;Diploma in indirizzo tecnico;M;2291
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Altro diploma;F;88
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma di liceo artistico;F;33
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma di liceo classico;F;37
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma di liceo delle scienze umane;F;92
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma di liceo linguistico;F;382
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma di liceo musicale e coreutico;F;3
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma di liceo scientifico;F;65
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma in indirizzo professionale;F;231
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma in indirizzo tecnico;F;423
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Altro diploma;M;85
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma di liceo artistico;M;5
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma di liceo classico;M;20
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma di liceo delle scienze umane;M;26
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma di liceo linguistico;M;84
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma di liceo musicale e coreutico;M;1
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma di liceo scientifico;M;65
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma in indirizzo professionale;M;97
2024/2025;Laurea - dm 270/04;L-15;Scienze del turismo;Diploma in indirizzo tecnico;M;181
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Altro diploma;F;186
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma di liceo artistico;F;14
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma di liceo classico;F;94
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma di liceo delle scienze umane;F;194
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma di liceo linguistico;F;127
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma di liceo musicale e coreutico;F;3
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma di liceo scientifico;F;96
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma in indirizzo professionale;F;83
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma in indirizzo tecnico;F;273
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Altro diploma;M;133
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma di liceo artistico;M;6
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma di liceo classico;M;40
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma di liceo delle scienze umane;M;46
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma di liceo linguistico;M;45
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma di liceo musicale e coreutico;M;2
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma di liceo scientifico;M;166
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma in indirizzo professionale;M;61
2024/2025;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;Diploma in indirizzo tecnico;M;286
2024/2025;Laurea - dm 270/04;L-17;Scienze dell'architettura;Altro diploma;F;246
2024/2025;Laurea - dm 270/04;L-17;Scienze dell'architettura;Diploma di liceo artistico;F;185
2024/2025;Laurea - dm 270/04;L-17;Scienze dell'architettura;Diploma di liceo classico;F;242
2024/2025;Laurea - dm 270/04;L-17;Scienze dell'architettura;Diploma di liceo delle scienze umane;F;63
2024/2025;Laurea - dm 270/04;L-17;Scienze dell'architettura;Diploma di liceo linguistico;F;128
2024/2025;Laurea - dm 270/04;L-17;Scienze dell'architettura;Diploma di liceo scientifico;F;676
2024/2025;Laurea - dm 270/04;L-17;Scienze dell'architettura;Diploma in indirizzo professionale;F;17
2024/2025;Laurea - dm 270/04;L-17;Scienze dell'architettura;Diploma in indirizzo tecnico;F;257
2024/2025;Laurea - dm 270/04;L-17;Scienze dell'architettura;Altro diploma;M;138
