AnnoA;AnnoNascita;SESSO;Imm
2023/2024;1980;F;306
2023/2024;1980;M;263
2023/2024;1981;F;296
2023/2024;1981;M;262
2023/2024;1982;F;269
2023/2024;1982;M;255
2023/2024;1983;F;257
2023/2024;1983;M;218
2023/2024;1984;F;283
2023/2024;1984;M;237
2023/2024;1985;F;320
2023/2024;1985;M;286
2023/2024;1986;F;345
2023/2024;1986;M;296
2023/2024;1987;F;317
2023/2024;1987;M;325
2023/2024;1988;F;394
2023/2024;1988;M;404
2023/2024;1989;F;476
2023/2024;1989;M;429
2023/2024;1990;F;473
2023/2024;1990;M;517
2023/2024;1991;F;569
2023/2024;1991;M;582
2023/2024;1992;F;588
2023/2024;1992;M;642
2023/2024;1993;F;595
2023/2024;1993;M;719
2023/2024;1994;F;771
2023/2024;1994;M;765
2023/2024;1995;F;824
2023/2024;1995;M;873
2023/2024;1996;F;942
2023/2024;1996;M;1063
2023/2024;1997;F;1169
2023/2024;1997;M;1435
2023/2024;1998;F;1415
2023/2024;1998;M;1736
2023/2024;1999;F;1795
2023/2024;1999;M;2077
2023/2024;2000;F;2448
2023/2024;2000;M;2839
2023/2024;2001;F;3423
2023/2024;2001;M;3617
2023/2024;2002;F;6741
2023/2024;2002;M;6537
2023/2024;2003;F;22435
2023/2024;2003;M;17970
2023/2024;2004;F;125718
2023/2024;2004;M;95359
2023/2024;2005 e successivi;F;18112
2023/2024;2005 e successivi;M;12233
2022/2023;1961 e precedenti;F;151
2022/2023;1961 e precedenti;M;286
2022/2023;1962;F;41
2022/2023;1962;M;49
2022/2023;1963;F;41
2022/2023;1963;M;76
2022/2023;1964;F;70
2022/2023;1964;M;73
2022/2023;1965;F;98
2022/2023;1965;M;82
2022/2023;1966;F;87
2022/2023;1966;M;95
2022/2023;1967;F;139
2022/2023;1967;M;98
2022/2023;1968;F;140
2022/2023;1968;M;134
2022/2023;1969;F;138
2022/2023;1969;M;134
2022/2023;1970;F;172
2022/2023;1970;M;134
2022/2023;1971;F;207
2022/2023;1971;M;167
2022/2023;1972;F;234
2022/2023;1972;M;177
2022/2023;1973;F;226
2022/2023;1973;M;200
2022/2023;1974;F;276
2022/2023;1974;M;235
2022/2023;1975;F;255
2022/2023;1975;M;246
2022/2023;1976;F;297
2022/2023;1976;M;256
2022/2023;1977;F;291
2022/2023;1977;M;252
2022/2023;1978;F;283
2022/2023;1978;M;278
2022/2023;1979;F;289
2022/2023;1979;M;249
2022/2023;1980;F;260
2022/2023;1980;M;267
2022/2023;1981;F;252
2022/2023;1981;M;220
2022/2023;1982;F;251
2022/2023;1982;M;200
2022/2023;1983;F;228
2022/2023;1983;M;207
2022/2023;1984;F;230
2022/2023;1984;M;243
2022/2023;1985;F;255
2022/2023;1985;M;258
2022/2023;1986;F;266
2022/2023;1986;M;253
2022/2023;1987;F;272
2022/2023;1987;M;321
2022/2023;1988;F;307
2022/2023;1988;M;370
2022/2023;1989;F;325
2022/2023;1989;M;388
2022/2023;1990;F;368
2022/2023;1990;M;436
2022/2023;1991;F;430
2022/2023;1991;M;540
2022/2023;1992;F;490
2022/2023;1992;M;632
2022/2023;1993;F;622
2022/2023;1993;M;720
2022/2023;1994;F;663
2022/2023;1994;M;806
2022/2023;1995;F;792
2022/2023;1995;M;1052
2022/2023;1996;F;1073
2022/2023;1996;M;1254
2022/2023;1997;F;1269
2022/2023;1997;M;1510
2022/2023;1998;F;1660
2022/2023;1998;M;1926
2022/2023;1999;F;2193
2022/2023;1999;M;2508
2022/2023;2000;F;3355
2022/2023;2000;M;3554
2022/2023;2001;F;6401
2022/2023;2001;M;6376
2022/2023;2002;F;20928
2022/2023;2002;M;17665
2022/2023;2003;F;122960
2022/2023;2003;M;93810
2022/2023;2004 e successivi;F;17839
2022/2023;2004 e successivi;M;12348
2021/2022;1961 e precedenti;F;139
2021/2022;1961 e precedenti;M;284
2021/2022;1962;F;59
2021/2022;1962;M;38
2021/2022;1963;F;57
2021/2022;1963;M;71
2021/2022;1964;F;79
2021/2022;1964;M;66
2021/2022;1965;F;87
2021/2022;1965;M;75
2021/2022;1966;F;112
2021/2022;1966;M;116
2021/2022;1967;F;124
2021/2022;1967;M;105
2021/2022;1968;F;159
2021/2022;1968;M;112
2021/2022;1969;F;181
2021/2022;1969;M;142
2021/2022;1970;F;180
2021/2022;1970;M;138
2021/2022;1971;F;197
2021/2022;1971;M;165
2021/2022;1972;F;204
2021/2022;1972;M;189
2021/2022;1973;F;245
2021/2022;1973;M;233
2021/2022;1974;F;265
2021/2022;1974;M;238
2021/2022;1975;F;260
2021/2022;1975;M;249
2021/2022;1976;F;275
2021/2022;1976;M;270
2021/2022;1977;F;271
2021/2022;1977;M;246
2021/2022;1978;F;290
2021/2022;1978;M;257
2021/2022;1979;F;295
2021/2022;1979;M;237
2021/2022;1980;F;250
2021/2022;1980;M;200
2021/2022;1981;F;239
2021/2022;1981;M;211
2021/2022;1982;F;218
2021/2022;1982;M;224
2021/2022;1983;F;236
2021/2022;1983;M;189
2021/2022;1984;F;219
2021/2022;1984;M;215
2021/2022;1985;F;244
2021/2022;1985;M;253
2021/2022;1986;F;237
2021/2022;1986;M;272
2021/2022;1987;F;282
2021/2022;1987;M;359
2021/2022;1988;F;304
2021/2022;1988;M;382
2021/2022;1989;F;389
2021/2022;1989;M;443
2021/2022;1990;F;411
2021/2022;1990;M;552
2021/2022;1991;F;458
2021/2022;1991;M;637
2021/2022;1992;F;574
2021/2022;1992;M;753
2021/2022;1993;F;714
2021/2022;1993;M;892
2021/2022;1994;F;806
2021/2022;1994;M;1057
2021/2022;1995;F;927
2021/2022;1995;M;1204
2021/2022;1996;F;1204
2021/2022;1996;M;1479
2021/2022;1997;F;1623
2021/2022;1997;M;1905
2021/2022;1998;F;2238
2021/2022;1998;M;2510
2021/2022;1999;F;3296
2021/2022;1999;M;3517
2021/2022;2000;F;6603
2021/2022;2000;M;6671
2021/2022;2001;F;19886
2021/2022;2001;M;17907
2021/2022;2002;F;120862
2021/2022;2002;M;91422
2021/2022;2003 e successivi;F;17379
2021/2022;2003 e successivi;M;11877
2020/2021;1960 e precedenti;F;123
2020/2021;1960 e precedenti;M;268
2020/2021;1961;F;44
2020/2021;1961;M;42
2020/2021;1962;F;28
2020/2021;1962;M;46
2020/2021;1963;F;63
2020/2021;1963;M;67
2020/2021;1964;F;80
2020/2021;1964;M;77
2020/2021;1965;F;103
2020/2021;1965;M;84
2020/2021;1966;F;128
2020/2021;1966;M;111
2020/2021;1967;F;137
2020/2021;1967;M;109
2020/2021;1968;F;158
2020/2021;1968;M;130
2020/2021;1969;F;185
2020/2021;1969;M;140
2020/2021;1970;F;190
2020/2021;1970;M;145
2020/2021;1971;F;216
2020/2021;1971;M;165
2020/2021;1972;F;218
2020/2021;1972;M;217
2020/2021;1973;F;258
2020/2021;1973;M;272
2020/2021;1974;F;258
2020/2021;1974;M;261
2020/2021;1975;F;249
2020/2021;1975;M;258
2020/2021;1976;F;288
2020/2021;1976;M;274
2020/2021;1977;F;276
2020/2021;1977;M;252
2020/2021;1978;F;269
2020/2021;1978;M;245
2020/2021;1979;F;235
2020/2021;1979;M;274
2020/2021;1980;F;232
2020/2021;1980;M;265
2020/2021;1981;F;241
2020/2021;1981;M;244
2020/2021;1982;F;223
2020/2021;1982;M;230
2020/2021;1983;F;218
2020/2021;1983;M;221
2020/2021;1984;F;217
2020/2021;1984;M;240
2020/2021;1985;F;250
2020/2021;1985;M;268
2020/2021;1986;F;259
2020/2021;1986;M;314
2020/2021;1987;F;263
2020/2021;1987;M;351
2020/2021;1988;F;315
2020/2021;1988;M;446
2020/2021;1989;F;370
2020/2021;1989;M;508
2020/2021;1990;F;418
2020/2021;1990;M;590
2020/2021;1991;F;500
2020/2021;1991;M;675
2020/2021;1992;F;663
2020/2021;1992;M;908
2020/2021;1993;F;800
2020/2021;1993;M;1089
2020/2021;1994;F;998
2020/2021;1994;M;1366
2020/2021;1995;F;1295
2020/2021;1995;M;1552
2020/2021;1996;F;1695
2020/2021;1996;M;1971
2020/2021;1997;F;2263
2020/2021;1997;M;2703
2020/2021;1998;F;3540
2020/2021;1998;M;3839
2020/2021;1999;F;7485
2020/2021;1999;M;7127
2020/2021;2000;F;23316
2020/2021;2000;M;20350
2020/2021;2001;F;120242
2020/2021;2001;M;89830
2020/2021;2002 e successivi;F;17081
2020/2021;2002 e successivi;M;11919
2019/2020;1959 e precedenti;F;102
2019/2020;1959 e precedenti;M;232
2019/2020;1960;F;32
2019/2020;1960;M;35
2019/2020;1961;F;35
2019/2020;1961;M;45
2019/2020;1962;F;38
2019/2020;1962;M;36
2019/2020;1963;F;53
2019/2020;1963;M;60
2019/2020;1964;F;69
2019/2020;1964;M;71
2019/2020;1965;F;84
2019/2020;1965;M;75
2019/2020;1966;F;107
2019/2020;1966;M;73
2019/2020;1967;F;123
2019/2020;1967;M;94
2019/2020;1968;F;128
2019/2020;1968;M;120
2019/2020;1969;F;131
2019/2020;1969;M;106
2019/2020;1970;F;130
2019/2020;1970;M;133
2019/2020;1971;F;149
2019/2020;1971;M;129
2019/2020;1972;F;179
2019/2020;1972;M;193
2019/2020;1973;F;191
2019/2020;1973;M;169
2019/2020;1974;F;187
2019/2020;1974;M;202
2019/2020;1975;F;168
2019/2020;1975;M;220
2019/2020;1976;F;209
2019/2020;1976;M;205
2019/2020;1977;F;178
2019/2020;1977;M;211
2019/2020;1978;F;189
2019/2020;1978;M;232
2019/2020;1979;F;181
2019/2020;1979;M;214
2019/2020;1980;F;196
2019/2020;1980;M;216
2019/2020;1981;F;169
2019/2020;1981;M;184
2019/2020;1982;F;162
2019/2020;1982;M;181
2019/2020;1983;F;143
2019/2020;1983;M;201
2019/2020;1984;F;192
2019/2020;1984;M;165
2019/2020;1985;F;186
2019/2020;1985;M;231
2019/2020;1986;F;203
2019/2020;1986;M;250
2019/2020;1987;F;222
2019/2020;1987;M;323
2019/2020;1988;F;247
2019/2020;1988;M;382
2019/2020;1989;F;304
2019/2020;1989;M;417
2019/2020;1990;F;367
2019/2020;1990;M;526
2019/2020;1991;F;444
2019/2020;1991;M;630
2019/2020;1992;F;615
2019/2020;1992;M;875
2019/2020;1993;F;699
2019/2020;1993;M;1065
2019/2020;1994;F;974
2019/2020;1994;M;1291
2019/2020;1995;F;1213
2019/2020;1995;M;1615
2019/2020;1996;F;1787
2019/2020;1996;M;2220
2019/2020;1997;F;2757
2019/2020;1997;M;3220
2019/2020;1998;F;6505
2019/2020;1998;M;6590
2019/2020;1999;F;21438
2019/2020;1999;M;18535
2019/2020;2000;F;113526
2019/2020;2000;M;86381
2019/2020;2001 e successivi;F;17819
2019/2020;2001 e successivi;M;12251
2018/2019;1958 e precedenti;F;93
2018/2019;1958 e precedenti;M;224
2018/2019;1959;F;25
2018/2019;1959;M;37
2018/2019;1960;F;27
2018/2019;1960;M;30
2018/2019;1961;F;41
2018/2019;1961;M;38
2018/2019;1962;F;42
2018/2019;1962;M;62
2018/2019;1963;F;65
2018/2019;1963;M;80
2018/2019;1964;F;78
2018/2019;1964;M;88
2018/2019;1965;F;91
2018/2019;1965;M;67
2018/2019;1966;F;112
2018/2019;1966;M;66
2018/2019;1967;F;116
2018/2019;1967;M;89
2018/2019;1968;F;120
2018/2019;1968;M;103
2018/2019;1969;F;133
2018/2019;1969;M;115
2018/2019;1970;F;138
2018/2019;1970;M;113
2018/2019;1971;F;160
2018/2019;1971;M;136
2018/2019;1972;F;158
2018/2019;1972;M;152
2018/2019;1973;F;177
2018/2019;1973;M;158
2018/2019;1974;F;174
2018/2019;1974;M;176
2018/2019;1975;F;200
2018/2019;1975;M;194
2018/2019;1976;F;195
2018/2019;1976;M;209
2018/2019;1977;F;201
2018/2019;1977;M;189
2018/2019;1978;F;195
2018/2019;1978;M;182
2018/2019;1979;F;185
2018/2019;1979;M;210
2018/2019;1980;F;182
2018/2019;1980;M;180
2018/2019;1981;F;162
2018/2019;1981;M;150
2018/2019;1982;F;152
2018/2019;1982;M;191
2018/2019;1983;F;163
2018/2019;1983;M;177
2018/2019;1984;F;174
2018/2019;1984;M;183
2018/2019;1985;F;201
2018/2019;1985;M;234
2018/2019;1986;F;207
2018/2019;1986;M;238
2018/2019;1987;F;221
2018/2019;1987;M;298
2018/2019;1988;F;276
2018/2019;1988;M;372
2018/2019;1989;F;330
2018/2019;1989;M;422
2018/2019;1990;F;353
2018/2019;1990;M;595
2018/2019;1991;F;525
2018/2019;1991;M;733
2018/2019;1992;F;689
2018/2019;1992;M;885
2018/2019;1993;F;870
2018/2019;1993;M;1137
2018/2019;1994;F;1144
2018/2019;1994;M;1481
2018/2019;1995;F;1604
2018/2019;1995;M;2077
2018/2019;1996;F;2675
2018/2019;1996;M;3083
2018/2019;1997;F;6049
2018/2019;1997;M;6373
2018/2019;1998;F;20469
2018/2019;1998;M;18224
2018/2019;1999;F;109182
2018/2019;1999;M;82533
2018/2019;2000 e successivi;F;16104
2018/2019;2000 e successivi;M;11396
2017/2018;1957 e precedenti;F;75
2017/2018;1957 e precedenti;M;168
2017/2018;1958;F;20
2017/2018;1958;M;32
2017/2018;1959;F;24
2017/2018;1959;M;35
2017/2018;1960;F;28
2017/2018;1960;M;37
2017/2018;1961;F;56
2017/2018;1961;M;50
2017/2018;1962;F;59
2017/2018;1962;M;52
2017/2018;1963;F;78
2017/2018;1963;M;71
2017/2018;1964;F;74
2017/2018;1964;M;70
2017/2018;1965;F;91
2017/2018;1965;M;86
2017/2018;1966;F;109
2017/2018;1966;M;94
2017/2018;1967;F;102
2017/2018;1967;M;103
2017/2018;1968;F;103
2017/2018;1968;M;116
2017/2018;1969;F;117
2017/2018;1969;M;110
2017/2018;1970;F;125
2017/2018;1970;M;130
2017/2018;1971;F;136
2017/2018;1971;M;136
2017/2018;1972;F;136
2017/2018;1972;M;150
2017/2018;1973;F;136
2017/2018;1973;M;161
2017/2018;1974;F;158
2017/2018;1974;M;167
2017/2018;1975;F;167
2017/2018;1975;M;186
2017/2018;1976;F;164
2017/2018;1976;M;176
2017/2018;1977;F;184
2017/2018;1977;M;184
2017/2018;1978;F;168
2017/2018;1978;M;201
2017/2018;1979;F;165
2017/2018;1979;M;207
2017/2018;1980;F;181
2017/2018;1980;M;217
2017/2018;1981;F;154
2017/2018;1981;M;202
2017/2018;1982;F;152
2017/2018;1982;M;194
2017/2018;1983;F;154
2017/2018;1983;M;205
2017/2018;1984;F;163
2017/2018;1984;M;243
2017/2018;1985;F;178
2017/2018;1985;M;250
2017/2018;1986;F;199
2017/2018;1986;M;264
2017/2018;1987;F;209
2017/2018;1987;M;288
2017/2018;1988;F;277
2017/2018;1988;M;397
2017/2018;1989;F;338
2017/2018;1989;M;483
2017/2018;1990;F;416
2017/2018;1990;M;701
2017/2018;1991;F;536
2017/2018;1991;M;797
2017/2018;1992;F;782
2017/2018;1992;M;1131
2017/2018;1993;F;1082
2017/2018;1993;M;1430
2017/2018;1994;F;1534
2017/2018;1994;M;1864
2017/2018;1995;F;2657
2017/2018;1995;M;3062
2017/2018;1996;F;6101
2017/2018;1996;M;6490
2017/2018;1997;F;21210
2017/2018;1997;M;18713
2017/2018;1998;F;107518
2017/2018;1998;M;81774
2017/2018;1999 e successivi;F;14116
2017/2018;1999 e successivi;M;10093
2016/2017;1956 e precedenti;F;52
2016/2017;1956 e precedenti;M;171
2016/2017;1957;F;15
2016/2017;1957;M;29
2016/2017;1958;F;22
2016/2017;1958;M;29
2016/2017;1959;F;18
2016/2017;1959;M;42
2016/2017;1960;F;39
2016/2017;1960;M;60
2016/2017;1961;F;47
2016/2017;1961;M;49
2016/2017;1962;F;48
2016/2017;1962;M;59
2016/2017;1963;F;71
2016/2017;1963;M;57
2016/2017;1964;F;80
2016/2017;1964;M;79
2016/2017;1965;F;88
2016/2017;1965;M;93
2016/2017;1966;F;94
2016/2017;1966;M;95
2016/2017;1967;F;119
2016/2017;1967;M;105
2016/2017;1968;F;121
2016/2017;1968;M;115
2016/2017;1969;F;158
2016/2017;1969;M;117
2016/2017;1970;F;127
2016/2017;1970;M;132
2016/2017;1971;F;160
2016/2017;1971;M;131
2016/2017;1972;F;156
2016/2017;1972;M;150
2016/2017;1973;F;141
2016/2017;1973;M;161
2016/2017;1974;F;146
2016/2017;1974;M;172
2016/2017;1975;F;167
2016/2017;1975;M;170
2016/2017;1976;F;158
2016/2017;1976;M;234
2016/2017;1977;F;162
2016/2017;1977;M;180
2016/2017;1978;F;173
2016/2017;1978;M;190
2016/2017;1979;F;160
2016/2017;1979;M;200
2016/2017;1980;F;163
2016/2017;1980;M;160
2016/2017;1981;F;117
2016/2017;1981;M;166
2016/2017;1982;F;150
2016/2017;1982;M;168
2016/2017;1983;F;150
2016/2017;1983;M;173
2016/2017;1984;F;183
2016/2017;1984;M;210
2016/2017;1985;F;185
2016/2017;1985;M;235
2016/2017;1986;F;177
2016/2017;1986;M;266
2016/2017;1987;F;211
2016/2017;1987;M;308
2016/2017;1988;F;322
2016/2017;1988;M;419
2016/2017;1989;F;383
2016/2017;1989;M;548
2016/2017;1990;F;489
2016/2017;1990;M;758
2016/2017;1991;F;672
2016/2017;1991;M;1025
2016/2017;1992;F;941
2016/2017;1992;M;1414
2016/2017;1993;F;1455
2016/2017;1993;M;1874
2016/2017;1994;F;2339
2016/2017;1994;M;2949
2016/2017;1995;F;5841
2016/2017;1995;M;6530
2016/2017;1996;F;21141
2016/2017;1996;M;19040
2016/2017;1997;F;107596
2016/2017;1997;M;82067
2016/2017;1998 e successivi;F;13081
2016/2017;1998 e successivi;M;9287
2015/2016;1955 e precedenti;F;41
2015/2016;1955 e precedenti;M;103
2015/2016;1956;F;9
2015/2016;1956;M;20
2015/2016;1957;F;18
2015/2016;1957;M;27
2015/2016;1958;F;11
2015/2016;1958;M;25
2015/2016;1959;F;30
2015/2016;1959;M;37
2015/2016;1960;F;40
2015/2016;1960;M;38
2015/2016;1961;F;39
2015/2016;1961;M;51
2015/2016;1962;F;50
2015/2016;1962;M;62
2015/2016;1963;F;72
2015/2016;1963;M;70
2015/2016;1964;F;91
2015/2016;1964;M;74
2015/2016;1965;F;78
2015/2016;1965;M;73
2015/2016;1966;F;105
2015/2016;1966;M;87
2015/2016;1967;F;110
2015/2016;1967;M;104
2015/2016;1968;F;136
2015/2016;1968;M;110
2015/2016;1969;F;122
2015/2016;1969;M;99
2015/2016;1970;F;149
2015/2016;1970;M;112
2015/2016;1971;F;135
2015/2016;1971;M;126
2015/2016;1972;F;145
2015/2016;1972;M;144
2015/2016;1973;F;139
2015/2016;1973;M;125
2015/2016;1974;F;174
2015/2016;1974;M;177
2015/2016;1975;F;149
2015/2016;1975;M;138
2015/2016;1976;F;165
2015/2016;1976;M;157
2015/2016;1977;F;149
2015/2016;1977;M;166
2015/2016;1978;F;166
2015/2016;1978;M;145
2015/2016;1979;F;175
2015/2016;1979;M;157
2015/2016;1980;F;149
2015/2016;1980;M;164
2015/2016;1981;F;147
2015/2016;1981;M;171
2015/2016;1982;F;140
2015/2016;1982;M;173
2015/2016;1983;F;160
2015/2016;1983;M;149
2015/2016;1984;F;157
2015/2016;1984;M;163
2015/2016;1985;F;196
2015/2016;1985;M;209
2015/2016;1986;F;169
2015/2016;1986;M;275
2015/2016;1987;F;251
2015/2016;1987;M;318
2015/2016;1988;F;296
2015/2016;1988;M;424
2015/2016;1989;F;371
2015/2016;1989;M;604
2015/2016;1990;F;524
2015/2016;1990;M;875
2015/2016;1991;F;837
2015/2016;1991;M;1197
2015/2016;1992;F;1344
2015/2016;1992;M;1842
2015/2016;1993;F;2300
2015/2016;1993;M;2858
2015/2016;1994;F;5681
2015/2016;1994;M;6245
2015/2016;1995;F;20127
2015/2016;1995;M;18068
2015/2016;1996;F;106819
2015/2016;1996;M;80953
2015/2016;1997 e successivi;F;8577
2015/2016;1997 e successivi;M;6489
2014/2015;1954 e precedenti;F;38
2014/2015;1954 e precedenti;M;119
2014/2015;1955;F;14
2014/2015;1955;M;22
2014/2015;1956;F;17
2014/2015;1956;M;23
2014/2015;1957;F;16
2014/2015;1957;M;31
2014/2015;1958;F;29
2014/2015;1958;M;25
2014/2015;1959;F;27
2014/2015;1959;M;28
2014/2015;1960;F;45
2014/2015;1960;M;45
2014/2015;1961;F;52
2014/2015;1961;M;50
2014/2015;1962;F;64
2014/2015;1962;M;59
2014/2015;1963;F;75
2014/2015;1963;M;53
2014/2015;1964;F;79
2014/2015;1964;M;85
2014/2015;1965;F;84
2014/2015;1965;M;80
2014/2015;1966;F;93
2014/2015;1966;M;96
2014/2015;1967;F;91
2014/2015;1967;M;102
2014/2015;1968;F;128
2014/2015;1968;M;110
2014/2015;1969;F;109
2014/2015;1969;M;129
2014/2015;1970;F;123
2014/2015;1970;M;127
2014/2015;1971;F;144
2014/2015;1971;M;158
2014/2015;1972;F;118
2014/2015;1972;M;115
2014/2015;1973;F;151
2014/2015;1973;M;145
2014/2015;1974;F;151
2014/2015;1974;M;136
2014/2015;1975;F;155
2014/2015;1975;M;158
2014/2015;1976;F;198
2014/2015;1976;M;126
2014/2015;1977;F;140
2014/2015;1977;M;173
2014/2015;1978;F;210
2014/2015;1978;M;171
2014/2015;1979;F;177
2014/2015;1979;M;211
2014/2015;1980;F;168
2014/2015;1980;M;160
2014/2015;1981;F;178
2014/2015;1981;M;188
2014/2015;1982;F;183
2014/2015;1982;M;169
2014/2015;1983;F;170
2014/2015;1983;M;177
2014/2015;1984;F;201
2014/2015;1984;M;183
2014/2015;1985;F;185
2014/2015;1985;M;259
2014/2015;1986;F;236
2014/2015;1986;M;321
2014/2015;1987;F;289
2014/2015;1987;M;444
2014/2015;1988;F;393
2014/2015;1988;M;609
2014/2015;1989;F;581
2014/2015;1989;M;789
2014/2015;1990;F;828
2014/2015;1990;M;1211
2014/2015;1991;F;1275
2014/2015;1991;M;1808
2014/2015;1992;F;2403
2014/2015;1992;M;2899
2014/2015;1993;F;5682
2014/2015;1993;M;6427
2014/2015;1994;F;20554
2014/2015;1994;M;18334
2014/2015;1995;F;105668
2014/2015;1995;M;78443
2014/2015;1996 e successivi;F;7183
2014/2015;1996 e successivi;M;5360
2013/2014;1953 e precedenti;F;32
2013/2014;1953 e precedenti;M;118
2013/2014;1954;F;15
2013/2014;1954;M;23
2013/2014;1955;F;16
2013/2014;1955;M;24
2013/2014;1956;F;19
2013/2014;1956;M;30
2013/2014;1957;F;26
2013/2014;1957;M;40
2013/2014;1958;F;29
2013/2014;1958;M;33
2013/2014;1959;F;42
2013/2014;1959;M;45
2013/2014;1960;F;54
2013/2014;1960;M;54
2013/2014;1961;F;74
2013/2014;1961;M;70
2013/2014;1962;F;62
2013/2014;1962;M;80
2013/2014;1963;F;84
2013/2014;1963;M;97
2013/2014;1964;F;96
2013/2014;1964;M;101
2013/2014;1965;F;101
2013/2014;1965;M;115
2013/2014;1966;F;116
2013/2014;1966;M;115
2013/2014;1967;F;131
2013/2014;1967;M;119
2013/2014;1968;F;114
2013/2014;1968;M;126
2013/2014;1969;F;155
2013/2014;1969;M;145
2013/2014;1970;F;156
2013/2014;1970;M;144
2013/2014;1971;F;138
2013/2014;1971;M;144
2013/2014;1972;F;158
2013/2014;1972;M;163
2013/2014;1973;F;150
2013/2014;1973;M;167
2013/2014;1974;F;146
2013/2014;1974;M;189
2013/2014;1975;F;205
2013/2014;1975;M;201
2013/2014;1976;F;188
2013/2014;1976;M;193
2013/2014;1977;F;181
2013/2014;1977;M;210
2013/2014;1978;F;215
2013/2014;1978;M;202
2013/2014;1979;F;215
2013/2014;1979;M;199
2013/2014;1980;F;236
2013/2014;1980;M;196
2013/2014;1981;F;203
2013/2014;1981;M;220
2013/2014;1982;F;216
2013/2014;1982;M;187
2013/2014;1983;F;181
2013/2014;1983;M;219
2013/2014;1984;F;250
2013/2014;1984;M;239
2013/2014;1985;F;249
2013/2014;1985;M;281
2013/2014;1986;F;328
2013/2014;1986;M;389
2013/2014;1987;F;367
2013/2014;1987;M;515
2013/2014;1988;F;532
2013/2014;1988;M;696
2013/2014;1989;F;754
2013/2014;1989;M;1047
2013/2014;1990;F;1219
2013/2014;1990;M;1601
2013/2014;1991;F;2241
2013/2014;1991;M;2714
2013/2014;1992;F;5939
2013/2014;1992;M;6591
2013/2014;1993;F;21343
2013/2014;1993;M;18910
2013/2014;1994;F;105079
2013/2014;1994;M;77048
2013/2014;1995 e successivi;F;7218
