AnnoA;AteneoNOME;CorsoTIPO;ClasseNUMERO;ClasseNOME;SESSO;Isc
2024/2025;Parma;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;530
2024/2025;Brescia;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;528
2024/2025;Novedrate e-Campus - telematica;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;M;526
2024/2025;Milano;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;522
2024/2025;Bologna;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;519
2024/2025;Milano Bocconi;Laurea - dm 270/04;L-33;Scienze economiche;M;517
2024/2025;Milano Politecnico;Laurea Magistrale - dm 270/04;LM-12;Design;F;514
2024/2025;Milano Bocconi;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;F;513
2024/2025;Roma Tor Vergata;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;513
2024/2025;Roma San Raffaele - telematica;Laurea Magistrale - dm 270/04;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;F;510
2024/2025;Roma  Mercatorum - telematica;Laurea Magistrale - dm 270/04;LM-31;Ingegneria gestionale;M;509
2024/2025;Torino;Laurea - dm 270/04;L-33;Scienze economiche;F;506
2024/2025;Roma Tre;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;502
2024/2025;Padova;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;F;500
2024/2025;Bologna;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;F;500
2024/2025;Genova;Laurea - dm 270/04;L-9;Ingegneria industriale;M;499
2024/2025;Roma Luiss;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;F;499
2024/2025;Torino;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;499
2024/2025;Catania;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;495
2024/2025;Brescia;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;494
2024/2025;Firenze;Laurea - dm 270/04;L-9;Ingegneria industriale;M;492
2024/2025;Roma Tre;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;F;491
2024/2025;Milano;Laurea - dm 270/04;L-31;Scienze e tecnologie informatiche;M;490
2024/2025;Roma Tor Vergata;Laurea - dm 270/04;L-9;Ingegneria industriale;M;486
2024/2025;Messina;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;483
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;481
2024/2025;Roma San Raffaele - telematica;Laurea - dm 270/04;L-26;Scienze e tecnologie alimentari;M;480
2024/2025;Napoli Vanvitelli;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;F;480
2024/2025;Napoli Federico II;Laurea - dm 270/04;L-40;Sociologia;F;479
2024/2025;Chieti e Pescara;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;F;475
2024/2025;Firenze;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;471
2024/2025;Napoli Pegaso - telematica;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;M;467
2024/2025;Roma Luiss;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;467
2024/2025;Salerno;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;464
2024/2025;Napoli Federico II;Laurea - dm 270/04;L-39;Servizio sociale;F;464
2024/2025;Parma;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;464
2024/2025;L'Aquila;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;F;463
2024/2025;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-36;Scienze politiche e delle relazioni internazionali;M;463
2024/2025;Salento;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;461
2024/2025;Catanzaro;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;461
2024/2025;Ferrara;Laurea - dm 270/04;L-22;Scienze delle attività motorie e sportive;M;458
2024/2025;Milano Cattolica;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;F;458
2024/2025;Napoli Vanvitelli;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;455
2024/2025;Napoli Pegaso - telematica;Laurea - dm 270/04;L-10;Lettere;F;455
2024/2025;Torino Politecnico;Laurea Magistrale - dm 270/04;LM-33;Ingegneria meccanica;M;453
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;452
2024/2025;Napoli Benincasa;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;452
2024/2025;Roma Tre;Laurea - dm 270/04;L-20;Scienze della comunicazione;F;450
2024/2025;Messina;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;F;449
2024/2025;Napoli Pegaso - telematica;Laurea Magistrale - dm 270/04;LM-26;Ingegneria della sicurezza;M;448
2024/2025;Torino;Laurea - dm 270/04;L-22;Scienze delle attività motorie e sportive;M;447
2024/2025;Modena e Reggio Emilia;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;446
2024/2025;Genova;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;446
2024/2025;Palermo;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;444
2024/2025;Torino;Laurea Magistrale - dm 270/04;LM-51;Psicologia;F;444
2024/2025;Bari;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;444
2024/2025;Pisa;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;443
2024/2025;Milano Bicocca;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-85 bis;Scienze della formazione primaria;F;442
2024/2025;Bologna;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;442
2024/2025;Milano Cattolica;Laurea Magistrale - dm 270/04;LM-51;Psicologia;F;441
2024/2025;Palermo;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;440
2024/2025;Salerno;Laurea - dm 270/04;L-31;Scienze e tecnologie informatiche;M;440
2024/2025;Firenze;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;F;439
2024/2025;Milano;Laurea - dm 270/04;L-1;Beni culturali;F;435
2024/2025;Palermo;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;F;435
2024/2025;Modena e Reggio Emilia;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;435
2024/2025;Torino;Laurea - dm 270/04;L-20;Scienze della comunicazione;M;435
2024/2025;Piemonte Orientale;Laurea - dm 270/04;L-2;Biotecnologie;F;435
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L-36;Scienze politiche e delle relazioni internazionali;F;432
2024/2025;Napoli Federico II;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;432
2024/2025;Milano Politecnico;Laurea Magistrale - dm 270/04;LM-4;Architettura e ingegneria edile-architettura;M;431
2024/2025;Milano;Laurea - dm 270/04;L-10;Lettere;F;431
2024/2025;Milano Bicocca;Laurea Magistrale - dm 270/04;LM-51;Psicologia;F;429
2024/2025;Padova;Laurea - dm 270/04;L-9;Ingegneria industriale;F;423
2024/2025;Firenze;Laurea - dm 270/04;L-20;Scienze della comunicazione;F;422
2024/2025;Torino;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;F;421
2024/2025;Salerno;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-85 bis;Scienze della formazione primaria;F;421
2024/2025;Roma Tre;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;420
2024/2025;Padova;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;F;420
2024/2025;Perugia;Laurea - dm 270/04;L-22;Scienze delle attività motorie e sportive;M;416
2024/2025;Roma Tor Vergata;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;415
2024/2025;Roma San Raffaele - telematica;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;F;415
2024/2025;Roma La Sapienza;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;M;412
2024/2025;Roma Foro Italico;Laurea - dm 270/04;L-22;Scienze delle attività motorie e sportive;M;412
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;411
2024/2025;Ferrara;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;411
2024/2025;Bergamo;Laurea - dm 270/04;L-9;Ingegneria industriale;M;411
2024/2025;Bari;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;411
2024/2025;Torino Politecnico;Laurea Magistrale - dm 270/04;LM-31;Ingegneria gestionale;M;409
2024/2025;Catania;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;F;408
2024/2025;Milano Cattolica;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;408
2024/2025;Bologna;Laurea - dm 270/04;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;407
2024/2025;Parma;Laurea - dm 270/04;L-9;Ingegneria industriale;M;406
2024/2025;Catania;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;406
2024/2025;Novedrate e-Campus - telematica;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;405
2024/2025;Roma  Mercatorum - telematica;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;M;403
2024/2025;Torino;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;M;402
2024/2025;Torino;Laurea - dm 270/04;L-36;Scienze politiche e delle relazioni internazionali;F;402
2024/2025;Milano;Laurea - dm 270/04;L-36;Scienze politiche e delle relazioni internazionali;F;402
2024/2025;Brescia;Laurea - dm 270/04;L-9;Ingegneria industriale;M;401
2024/2025;Piemonte Orientale;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;401
2024/2025;Trento;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;F;400
2024/2025;Ferrara;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;F;400
2024/2025;Pisa;Laurea - dm 270/04;L-31;Scienze e tecnologie informatiche;M;398
2024/2025;Bari;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;F;395
2024/2025;Roma UNICUSANO - telematica;Laurea - dm 270/04;L-9;Ingegneria industriale;M;394
2024/2025;Palermo;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;F;393
2024/2025;Palermo;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-85 bis;Scienze della formazione primaria;F;392
2024/2025;Napoli Federico II;Laurea - dm 270/04;L-13;Scienze biologiche;F;392
2024/2025;Ferrara;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;390
2024/2025;Napoli Federico II;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;389
2024/2025;Modena e Reggio Emilia;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;389
2024/2025;Napoli Federico II;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;F;388
2024/2025;Milano;Laurea - dm 270/04;L-12;Mediazione linguistica;F;388
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L-11;Lingue e culture moderne;F;388
2024/2025;Roma Tre;Laurea - dm 270/04;L-33;Scienze economiche;M;388
2024/2025;Roma  Mercatorum - telematica;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-66;Sicurezza informatica;M;387
2024/2025;Foggia;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;386
2024/2025;Palermo;Laurea - dm 270/04;L-9;Ingegneria industriale;F;385
2024/2025;Bologna;Laurea - dm 270/04;L-36;Scienze politiche e delle relazioni internazionali;M;385
2024/2025;Ferrara;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;384
2024/2025;Ferrara;Laurea - dm 270/04;L-13;Scienze biologiche;F;384
2024/2025;Roma La Sapienza;Laurea - dm 270/04;L-40;Sociologia;F;384
2024/2025;Novedrate e-Campus - telematica;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;M;383
2024/2025;Marche;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;382
2024/2025;Firenze;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;F;381
2024/2025;Pavia;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;M;381
2024/2025;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-20;Scienze della comunicazione;M;381
2024/2025;Roma Tor Vergata;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;F;381
2024/2025;Torino;Laurea - dm 270/04;L-12;Mediazione linguistica;F;378
