AnnoA;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeC;CODIstatProv;Isc
2024/2025;101;Torino;L-22;Scienze e Tecniche delle Attività Motorie e Sportive;CUNEO;4;120
2024/2025;101;Torino;L-22;Scienze e Tecniche delle Attività Motorie e Sportive;ASTI;5;190
2024/2025;101;Torino;L-24;Scienze e Tecniche Psicologiche;TORINO;1;386
2024/2025;101;Torino;L-25;Scienze e Tecnologie Agrarie;GRUGLIASCO;1;103
2024/2025;101;Torino;L-25;Scienze e Tecnologie per la Montagna;GRUGLIASCO;1;26
2024/2025;101;Torino;L-25;Scienze Forestali e Ambientali;GRUGLIASCO;1;37
2024/2025;101;Torino;L-26;Tecnologie Alimentari;GRUGLIASCO;1;110
2024/2025;101;Torino;L-26;Viticoltura ed Enologia;GRUGLIASCO;1;55
2024/2025;101;Torino;L-27;Chimica e Tecnologie Chimiche;TORINO;1;252
2024/2025;101;Torino;L-27;Chimica per la Manifattura Sostenibile;BIELLA;96;2
2024/2025;101;Torino;L-29;Tecniche Erboristiche;SAVIGLIANO;4;30
2024/2025;101;Torino;L-3;Dams (Discipline delle Arti, della Musica e dello Spettacolo);TORINO;1;457
2024/2025;101;Torino;L-30;Fisica;TORINO;1;287
2024/2025;101;Torino;L-30;Ottica e Optometria;TORINO;1;56
2024/2025;101;Torino;L-31;Informatica;TORINO;1;716
2024/2025;101;Torino;L-32;Scienze e Tecnologie per la Montagna;GRUGLIASCO;1;21
2024/2025;101;Torino;L-32;Scienze Naturali;TORINO;1;312
2024/2025;101;Torino;L-33;Economia;TORINO;1;955
2024/2025;101;Torino;L-33;Economia e Statistica per le Organizzazioni;TORINO;1;255
2024/2025;101;Torino;L-34;Scienze Geologiche;TORINO;1;27
2024/2025;101;Torino;L-35;Matematica;TORINO;1;167
2024/2025;101;Torino;L-35;Matematica per L’Economia, la Finanza e l'Assicurazione;TORINO;1;54
2024/2025;101;Torino;L-36;Scienze Internazionali, dello Sviluppo e della Cooperazione;TORINO;1;417
2024/2025;101;Torino;L-36;Scienze Politiche e Sociali;TORINO;1;290
2024/2025;101;Torino;L-38;Sistemi Zootecnici Sostenibili;GRUGLIASCO;1;73
2024/2025;101;Torino;L-38;Tecniche di Assistenza Veterinaria;GRUGLIASCO;1;73
2024/2025;101;Torino;L-39;Servizio Sociale;TORINO;1;93
2024/2025;101;Torino;L-39;Servizio Sociale;BIELLA;96;67
2024/2025;101;Torino;L-42;Storia;TORINO;1;300
2024/2025;101;Torino;L-5;Filosofia;TORINO;1;331
2024/2025;101;Torino;LM/DS;Scienze Strategiche;TORINO;1;44
2024/2025;101;Torino;LM/DS;Scienze Strategiche e Militari;TORINO;1;121
2024/2025;101;Torino;LM/SNT1;Scienze Infermieristiche e Ostetriche;TORINO;1;35
2024/2025;101;Torino;LM/SNT1;Scienze Infermieristiche e Ostetriche;ASTI;5;35
2024/2025;101;Torino;LM/SNT2;Scienze Riabilitative delle Professioni Sanitarie;ORBASSANO;1;18
2024/2025;101;Torino;LM/SNT3;Scienze delle Professioni Sanitarie Tecniche Diagnostiche;TORINO;1;16
2024/2025;101;Torino;LM/SNT4;Scienze delle Professioni Sanitarie della Prevenzione;TORINO;1;13
2024/2025;101;Torino;LM-1;Antropologia Culturale ed Etnologia;TORINO;1;127
2024/2025;101;Torino;LM-13;Chimica e Tecnologia Farmaceutiche;TORINO;1;98
2024/2025;101;Torino;LM-13;Farmacia;TORINO;1;149
2024/2025;101;Torino;LM-14;Culture Moderne Comparate;TORINO;1;55
2024/2025;101;Torino;LM-14;Letteratura, Filologia e Linguistica Italiana;TORINO;1;74
2024/2025;101;Torino;LM-15;Filologia, Letterature e Storia dell'Antichità;TORINO;1;18
2024/2025;101;Torino;LM-17;Fisica;TORINO;1;93
2024/2025;101;Torino;LM-17;Fisica dei Sistemi Complessi;TORINO;1;41
2024/2025;101;Torino;LM-18;Informatica;TORINO;1;88
2024/2025;101;Torino;LM-2;Archeologia e Storia Antica;TORINO;1;29
2024/2025;101;Torino;LM-37;English And American Studies;TORINO;1;33
2024/2025;101;Torino;LM-37;Lingue e Letterature Moderne;TORINO;1;95
2024/2025;101;Torino;LM-38;Lingue dell'Asia e dell'Africa per la Comunicazione e la Cooperazione Internazionale;TORINO;1;33
2024/2025;101;Torino;LM-38;Lingue per Lo Sviluppo Turistico del Territorio;TORINO;1;23
2024/2025;101;Torino;LM-38;Lingue Straniere per la Comunicazione Internazionale;TORINO;1;198
2024/2025;101;Torino;LM-39;Scienze Linguistiche;TORINO;1;51
2024/2025;101;Torino;LM-40;Matematica;TORINO;1;67
2024/2025;101;Torino;LM-40;Stochastics And Data Science;TORINO;1;31
2024/2025;101;Torino;LM-41;Medicina e Chirurgia;TORINO;1;519
2024/2025;101;Torino;LM-41;Medicine And Surgery;ORBASSANO;1;102
2024/2025;101;Torino;LM-42;Medicina Veterinaria;GRUGLIASCO;1;137
2024/2025;101;Torino;LM-43;Language Technologies And Digital Humanities;TORINO;1;45
2024/2025;101;Torino;LM-46;Odontoiatria e Protesi Dentaria;TORINO;1;43
2024/2025;101;Torino;LM-49;Cultural Heritage And Creativity For Tourism And Territorial Development;BIELLA;96;12
2024/2025;101;Torino;LM-5;Scienze del Libro, del Documento, del Patrimonio Culturale;TORINO;1;67
2024/2025;101;Torino;LM-50;Programmazione e Gestione dei Servizi Educativi e Formativi;TORINO;1;59
2024/2025;101;Torino;LM-51;Psicologia Clinica;TORINO;1;275
2024/2025;101;Torino;LM-51;Psicologia Criminologica e Forense;TORINO;1;67
2024/2025;101;Torino;LM-51;Psicologia del Lavoro e dell'Organizzazione;TORINO;1;83
2024/2025;101;Torino;LM-51;Scienze del Corpo e della Mente;TORINO;1;126
2024/2025;101;Torino;LM-52;Scienze Internazionali;TORINO;1;195
2024/2025;101;Torino;LM-54;Biotechnological And Chemical Sciences in Diagnostics;TORINO;1;4
2024/2025;101;Torino;LM-54;Chimica;TORINO;1;40
2024/2025;101;Torino;LM-54;Chimica Clinica, Forense e dello Sport;TORINO;1;62
2024/2025;101;Torino;LM-54;Chimica dell'Ambiente;TORINO;1;30
2024/2025;101;Torino;LM-56;Economia dell'Ambiente, della Cultura e del Territorio;TORINO;1;70
2024/2025;101;Torino;LM-56;Economia e Management;TORINO;1;138
2024/2025;101;Torino;LM-56;Economic Analysis And Policy;TORINO;1;12
2024/2025;101;Torino;LM-56;Economics;TORINO;1;28
2024/2025;101;Torino;LM-56;Economics Of Innovation For Sustainable Development;TORINO;1;6
2024/2025;101;Torino;LM-59;Comunicazione Pubblica e Politica;TORINO;1;117
2024/2025;101;Torino;LM-59;Comunicazione, Ict e Media;TORINO;1;93
2024/2025;101;Torino;LM-6;Biologia dell'Ambiente;TORINO;1;64
2024/2025;101;Torino;LM-6;Biotecnologie Vegetali;GRUGLIASCO;1;12
2024/2025;101;Torino;LM-6;Cellular And Molecular Biology-Biologia Cellulare e Molecolare;TORINO;1;45
2024/2025;101;Torino;LM-60;Evoluzione del Comportamento Animale e dell'Uomo;TORINO;1;92
2024/2025;101;Torino;LM-60;Scienze dei Sistemi Naturali;TORINO;1;40
2024/2025;101;Torino;LM-61;Scienze degli Alimenti e della Nutrizione Umana;TORINO;1;30
2024/2025;101;Torino;LM-62;Scienze del Governo;TORINO;1;78
2024/2025;101;Torino;LM-63;Scienze Amministrative e Giuridiche delle Organizzazioni Pubbliche e Private;TORINO;1;94
2024/2025;101;Torino;LM-64;Scienze delle Religioni;TORINO;1;23
2024/2025;101;Torino;LM-65;Cam - Cinema, Arti della Scena, Musica e Media;TORINO;1;116
2024/2025;101;Torino;LM-67;Scienze delle Attività Motorie Preventive e Adattate;TORINO;1;79
2024/2025;101;Torino;LM-68;Scienze dello Sport;TORINO;1;81
2024/2025;101;Torino;LM-69;Scienze Agrarie;GRUGLIASCO;1;37
2024/2025;101;Torino;LM-7;Biotecnologie Vegetali;GRUGLIASCO;1;27
2024/2025;101;Torino;LM-70;Scienze e Tecnologie Alimentari;CUNEO;4;33
2024/2025;101;Torino;LM-70;Scienze Viticole ed Enologiche;ASTI;5;34
2024/2025;101;Torino;LM-71;Chimica Industriale;TORINO;1;31
2024/2025;101;Torino;LM-73;Scienze dei Sistemi Forestali e dell'Ambiente;GRUGLIASCO;1;27
2024/2025;101;Torino;LM-74;Scienze Geologiche Applicate;TORINO;1;13
2024/2025;101;Torino;LM-75;Monitoraggio Ambientale, Tutela e Ripristino;TORINO;1;19
2024/2025;101;Torino;LM-76;Georisorse e Gestione Ecosostenibile d'Impresa;TORINO;1;36
2024/2025;101;Torino;LM-77;Amministrazione e Controllo Aziendale;TORINO;1;191
2024/2025;101;Torino;LM-77;Amministrazione e Gestione Digitale delle Aziende;TORINO;1;133
2024/2025;101;Torino;LM-77;Business Administration;TORINO;1;100
2024/2025;101;Torino;LM-77;Direzione d'Impresa, Marketing e Strategia;TORINO;1;225
2024/2025;101;Torino;LM-77;Finanza Aziendale e Mercati Finanziari;TORINO;1;122
2024/2025;101;Torino;LM-78;Filosofia;TORINO;1;125
2024/2025;101;Torino;LM-8;Biotechnological And Chemical Sciences in Diagnostics;TORINO;1;6
2024/2025;101;Torino;LM-8;Biotecnologie Industriali;TORINO;1;43
2024/2025;101;Torino;LM-80;Geografia e Scienze Territoriali;TORINO;1;37
2024/2025;101;Torino;LM-81;Area & Global Studies For International Cooperation;TORINO;1;114
2024/2025;101;Torino;LM-82;Metodi Statistici ed Economici per le Decisioni;TORINO;1;44
2024/2025;101;Torino;LM-83;Quantitative Finance And Insurance - Finanza Quantitativa e Assicurazioni;TORINO;1;32
2024/2025;101;Torino;LM-84;Scienze Storiche;TORINO;1;134
2024/2025;101;Torino;LM-85;Scienze Pedagogiche;TORINO;1;113
2024/2025;101;Torino;LM-85 bis;Scienze della Formazione Primaria;COLLEGNO;1;196
2024/2025;101;Torino;LM-85 bis;Scienze della Formazione Primaria;SAVIGLIANO;4;122
2024/2025;101;Torino;LM-85 bis;Scienze della Formazione Primaria;BIELLA;96;75
2024/2025;101;Torino;LM-86;Scienze Animali;GRUGLIASCO;1;17
2024/2025;101;Torino;LM-87;Politiche e Servizi Sociali;TORINO;1;101
2024/2025;101;Torino;LM-88;Sociologia;TORINO;1;70
2024/2025;101;Torino;LM-89;Storia dell'Arte;TORINO;1;53
2024/2025;101;Torino;LM-9;Biotechnology For Neuroscience;TORINO;1;45
2024/2025;101;Torino;LM-9;Biotecnologie Mediche;TORINO;1;92
2024/2025;101;Torino;LM-9;Molecular Biotechnology;TORINO;1;40
2024/2025;101;Torino;LM-90;European Legal Studies;TORINO;1;53
2024/2025;101;Torino;LM-91;Artificial Intelligence For Biomedicine And Healthcare;ORBASSANO;1;18
2024/2025;101;Torino;LM-92;Comunicazione e Culture dei Media;TORINO;1;119
2024/2025;101;Torino;LM-94;Traduzione;TORINO;1;107
2024/2025;101;Torino;LMG/01;Giurisprudenza;TORINO;1;728
2024/2025;101;Torino;LMG/01;Giurisprudenza;CUNEO;4;44
2024/2025;101;Torino;LMR/02;Conservazione e Restauro dei Beni Culturali (Abilitante Ai Sensi del D.Lgs N.42/2004);VENARIA REALE;1;24
2024/2025;101;Torino;LM-Sc.Mat.;Materials Science;TORINO;1;21
2024/2025;101;Torino;L-Sc.Mat.;Scienza dei Materiali;TORINO;1;25
2024/2025;102;Torino Politecnico;L-17;Architettura;TORINO;1;382
2024/2025;102;Torino Politecnico;L-21;Pianificazione Territoriale, Urbanistica e Paesaggistico-Ambientale;TORINO;1;61
2024/2025;102;Torino Politecnico;L-23;Ingegneria Edile;TORINO;1;82
2024/2025;102;Torino Politecnico;L-35;Matematica per l'Ingegneria;TORINO;1;158
2024/2025;102;Torino Politecnico;L-4;Design e Comunicazione;TORINO;1;221
2024/2025;102;Torino Politecnico;L-7;Civil And Environmental Engineering;TORINO;1;61
2024/2025;102;Torino Politecnico;L-7;Ingegneria Civile;TORINO;1;125
2024/2025;102;Torino Politecnico;L-7;Ingegneria per l'Ambiente e il Territorio;TORINO;1;78
2024/2025;102;Torino Politecnico;L-8;Electronic And Communications Engineering (Ingegneria Elettronica e delle Comunicazioni);TORINO;1;75
2024/2025;102;Torino Politecnico;L-8;Ingegneria del Cinema e dei Mezzi di Comunicazione;TORINO;1;101
2024/2025;102;Torino Politecnico;L-8;Ingegneria Elettronica;TORINO;1;188
2024/2025;102;Torino Politecnico;L-8;Ingegneria Fisica;TORINO;1;163
2024/2025;102;Torino Politecnico;L-8;Ingegneria Gestionale;TORINO;1;162
2024/2025;102;Torino Politecnico;L-8;Ingegneria Informatica;TORINO;1;974
2024/2025;102;Torino Politecnico;L-9;Ingegneria Aerospaziale;TORINO;1;395
2024/2025;102;Torino Politecnico;L-9;Ingegneria Biomedica;TORINO;1;344
2024/2025;102;Torino Politecnico;L-9;Ingegneria Chimica e Alimentare;TORINO;1;122
2024/2025;102;Torino Politecnico;L-9;Ingegneria dei Materiali;TORINO;1;52
2024/2025;102;Torino Politecnico;L-9;Ingegneria della Produzione Industriale;TORINO;1;74
2024/2025;102;Torino Politecnico;L-9;Ingegneria dell'Autoveicolo;TORINO;1;238
2024/2025;102;Torino Politecnico;L-9;Ingegneria Elettrica;TORINO;1;89
2024/2025;102;Torino Politecnico;L-9;Ingegneria Energetica;TORINO;1;229
2024/2025;102;Torino Politecnico;L-9;Ingegneria Gestionale;TORINO;1;259
2024/2025;102;Torino Politecnico;L-9;Ingegneria Meccanica;TORINO;1;661
2024/2025;102;Torino Politecnico;LM-12;Design Sistemico;TORINO;1;71
2024/2025;102;Torino Politecnico;LM-20;Ingegneria Aerospaziale;TORINO;1;410
2024/2025;102;Torino Politecnico;LM-21;Ingegneria Biomedica;TORINO;1;473
2024/2025;102;Torino Politecnico;LM-22;Ingegneria Chimica e dei Processi Sostenibili;TORINO;1;111
2024/2025;102;Torino Politecnico;LM-23;Ingegneria Civile;TORINO;1;181
2024/2025;102;Torino Politecnico;LM-24;Ingegneria Edile;TORINO;1;47
2024/2025;102;Torino Politecnico;LM-25;Mechatronic Engineering (Ingegneria Meccatronica);TORINO;1;205
2024/2025;102;Torino Politecnico;LM-26;Agritech Engineering;TORINO;1;13
2024/2025;102;Torino Politecnico;LM-27;Communications Engineering;TORINO;1;45
2024/2025;102;Torino Politecnico;LM-27;Ict For Smart Societies (Ict per la Società del Futuro);TORINO;1;33
2024/2025;102;Torino Politecnico;LM-28;Ingegneria Elettrica;TORINO;1;64
2024/2025;102;Torino Politecnico;LM-29;Ingegneria Elettronica;TORINO;1;219
2024/2025;102;Torino Politecnico;LM-29;Nanotechnologies For Icts (Nanotecnologie per le Ict);TORINO;1;80
2024/2025;102;Torino Politecnico;LM-29;Quantum Engineering;TORINO;1;48
2024/2025;102;Torino Politecnico;LM-3;Architettura del Paesaggio;TORINO;1;44
2024/2025;102;Torino Politecnico;LM-30;Ingegneria Energetica e Nucleare;TORINO;1;279
2024/2025;102;Torino Politecnico;LM-31;Ingegneria Gestionale;TORINO;1;614
2024/2025;102;Torino Politecnico;LM-32;Cybersecurity;TORINO;1;157
2024/2025;102;Torino Politecnico;LM-32;Data Science And Engineering;TORINO;1;229
2024/2025;102;Torino Politecnico;LM-32;Ingegneria del Cinema e dei Mezzi di Comunicazione;TORINO;1;65
2024/2025;102;Torino Politecnico;LM-32;Ingegneria Informatica;TORINO;1;542
2024/2025;102;Torino Politecnico;LM-33;Automotive Engineering (Ingegneria dell'Autoveicolo);TORINO;1;157
2024/2025;102;Torino Politecnico;LM-33;Ingegneria della Produzione Industriale e dell'Innovazione Tecnologica;TORINO;1;82
2024/2025;102;Torino Politecnico;LM-33;Ingegneria Meccanica;TORINO;1;312
2024/2025;102;Torino Politecnico;LM-35;Georesources And Geoenergy Engineering;TORINO;1;41
2024/2025;102;Torino Politecnico;LM-35;Ingegneria per l'Ambiente e il Territorio;TORINO;1;102
2024/2025;102;Torino Politecnico;LM-4;Architettura Costruzione Città;TORINO;1;206
2024/2025;102;Torino Politecnico;LM-4;Architettura per il Patrimonio;TORINO;1;93
2024/2025;102;Torino Politecnico;LM-4;Architettura per la Sostenibilità;TORINO;1;162
2024/2025;102;Torino Politecnico;LM-44;Ingegneria Matematica;TORINO;1;94
2024/2025;102;Torino Politecnico;LM-44;Physics Of Complex Systems;TORINO;1;45
2024/2025;102;Torino Politecnico;LM-48;Pianificazione Urbanistica e Territoriale;TORINO;1;65
2024/2025;102;Torino Politecnico;LM-53;Ingegneria dei Materiali per l'Industria 4.0;TORINO;1;149
2024/2025;102;Torino Politecnico;LM-91;Digital Skills For Sustainable Societal Transitions;TORINO;1;65
2024/2025;102;Torino Politecnico;L-P03;Tecnologie per l'Industria Manifatturiera;TORINO;1;43
2024/2025;201;Piemonte Orientale;L/SNT1;Infermieristica (abilitante alla professione sanitaria di Infermiere);VERCELLI;2;29
2024/2025;201;Piemonte Orientale;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);NOVARA;3;103
2024/2025;201;Piemonte Orientale;L/SNT1;Infermieristica (abilitante alla professione sanitaria di Infermiere);ALBA;4;28
2024/2025;201;Piemonte Orientale;L/SNT1;Infermieristica (abilitante alla professione sanitaria di Infermiere);ALESSANDRIA;6;55
2024/2025;201;Piemonte Orientale;L/SNT1;Infermieristica (abilitante alla professione sanitaria di Infermiere);BIELLA;96;28
2024/2025;201;Piemonte Orientale;L/SNT1;Infermieristica (abilitante alla professione sanitaria di Infermiere);VERBANIA;103;28
2024/2025;201;Piemonte Orientale;L/SNT2;Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale);ALESSANDRIA;6;13
2024/2025;201;Piemonte Orientale;L/SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);NOVARA;3;34
2024/2025;201;Piemonte Orientale;L/SNT2;Fisioterapia (abilitante alla professione sanitaria di Fisioterapista);FOSSANO;4;20
2024/2025;201;Piemonte Orientale;L/SNT2;Fisioterapia (abilitante alla professione sanitaria di Fisioterapista);ALESSANDRIA;6;24
2024/2025;201;Piemonte Orientale;L/SNT3;Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale);NOVARA;3;25
2024/2025;201;Piemonte Orientale;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);NOVARA;3;25
2024/2025;201;Piemonte Orientale;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);NOVARA;3;22
2024/2025;201;Piemonte Orientale;L-10;Lettere;VERCELLI;2;61
2024/2025;201;Piemonte Orientale;L-11;Lingue Straniere Moderne;VERCELLI;2;169
2024/2025;201;Piemonte Orientale;L-13;Scienze Biologiche;VERCELLI;2;247
2024/2025;201;Piemonte Orientale;L-13;Scienze Biologiche;ALESSANDRIA;6;245
2024/2025;201;Piemonte Orientale;L-15;Promozione e Gestione del Turismo;NOVARA;3;96
2024/2025;201;Piemonte Orientale;L-18;Economia Aziendale;NOVARA;3;558
2024/2025;201;Piemonte Orientale;L-18;ECONOMIA AZIENDALE;ALESSANDRIA;6;184
2024/2025;201;Piemonte Orientale;L-2;Biotecnologie;NOVARA;3;605
2024/2025;201;Piemonte Orientale;L-27;Chimica;ALESSANDRIA;6;42
2024/2025;201;Piemonte Orientale;L-27;Chimica Verde;VERCELLI;2;44
2024/2025;201;Piemonte Orientale;L-30;Fisica Applicata;VERCELLI;2;15
2024/2025;201;Piemonte Orientale;L-31;Informatica;VERCELLI;2;161
2024/2025;201;Piemonte Orientale;L-31;Informatica;ALESSANDRIA;6;136
2024/2025;201;Piemonte Orientale;L-32;Gestione Ambientale e Sviluppo Sostenibile;VERCELLI;2;32
2024/2025;201;Piemonte Orientale;L-36;Scienze Politiche e dell'Amministrazione;ALESSANDRIA;6;98
2024/2025;201;Piemonte Orientale;L-39;Servizio Sociale;ASTI;5;72
2024/2025;201;Piemonte Orientale;L-5;Filosofia e Comunicazione;VERCELLI;2;93
2024/2025;201;Piemonte Orientale;LM/SNT1;Scienze Infermieristiche e Ostetriche;NOVARA;3;64
2024/2025;201;Piemonte Orientale;LM-13;Chimica e Tecnologia Farmaceutiche;NOVARA;3;60
2024/2025;201;Piemonte Orientale;LM-13;Farmacia;NOVARA;3;72
2024/2025;201;Piemonte Orientale;LM-14;Filologia Moderna, Classica e Comparata;VERCELLI;2;26
2024/2025;201;Piemonte Orientale;LM-18;Intelligenza Artificiale e Innovazione Digitale;VERCELLI;2;37
2024/2025;201;Piemonte Orientale;LM-37;Lingue, Culture, Turismo;VERCELLI;2;27
2024/2025;201;Piemonte Orientale;LM-41;Medicina e Chirurgia;NOVARA;3;135
2024/2025;201;Piemonte Orientale;LM-41;Medicina e chirurgia;ALESSANDRIA;6;90
2024/2025;201;Piemonte Orientale;LM-49;Lingue, Culture, Turismo;VERCELLI;2;10
2024/2025;201;Piemonte Orientale;LM-54;Scienze Chimiche;ALESSANDRIA;6;17
2024/2025;201;Piemonte Orientale;LM-56;Economia e Management;ALESSANDRIA;6;61
2024/2025;201;Piemonte Orientale;LM-6;Biologia;VERCELLI;2;11
2024/2025;201;Piemonte Orientale;LM-6;Biologia;ALESSANDRIA;6;56
2024/2025;201;Piemonte Orientale;LM-6;Food Health And Environment;VERCELLI;2;76
2024/2025;201;Piemonte Orientale;LM-62;Filosofia, Politica e Studi Culturali;VERCELLI;2;14
2024/2025;201;Piemonte Orientale;LM-77;Amministrazione, Professione e Persone;NOVARA;3;57
2024/2025;201;Piemonte Orientale;LM-77;Management e Finanza;NOVARA;3;71
2024/2025;201;Piemonte Orientale;LM-78;Filosofia, Politica e Studi Culturali;VERCELLI;2;28
2024/2025;201;Piemonte Orientale;LM-81;Disaster And Health Crisis Management;VERCELLI;2;42
2024/2025;201;Piemonte Orientale;LM-9;Biotecnologie Farmaceutiche;NOVARA;3;44
