AnnoA;Area_Disc;GruppoCOD;Nome Gruppo Disciplinare;SESSO;Imm
2023/2024;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;32096
2023/2024;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;5778
2023/2024;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;8643
2023/2024;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;16588
2023/2024;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;13087
2022/2023;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3247
2022/2023;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10012
2022/2023;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3203
2022/2023;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;10004
2022/2023;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;18400
2022/2023;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;9915
2022/2023;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;3665
2022/2023;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;15285
2022/2023;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;22580
2022/2023;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1066
2022/2023;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1408
2022/2023;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;3208
2022/2023;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3590
2022/2023;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;16148
2022/2023;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;6239
2022/2023;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;8953
2022/2023;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;25340
2022/2023;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;14698
2022/2023;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;11828
2022/2023;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5868
2022/2023;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;13010
2022/2023;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;10167
2022/2023;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;28991
2022/2023;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;31728
2022/2023;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10118
2022/2023;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;5393
2022/2023;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;10742
2022/2023;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;7786
2022/2023;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;3766
2022/2023;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;21851
2021/2022;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;14849
2021/2022;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;9801
2021/2022;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;7683
2021/2022;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;16050
2021/2022;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;28657
2021/2022;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5437
2021/2022;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;24637
2021/2022;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;9300
2021/2022;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;10049
2021/2022;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1285
2021/2022;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;8555
2021/2022;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;6278
2021/2022;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;9352
2021/2022;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;14733
2021/2022;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1007
2021/2022;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10026
2021/2022;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;3306
2021/2022;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3883
2021/2022;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;22046
2021/2022;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;10084
2021/2022;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;31832
2021/2022;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3568
2021/2022;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;9592
2021/2022;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;14919
2021/2022;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4853
2021/2022;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;3591
2021/2022;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;21916
2021/2022;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;18106
2021/2022;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;2691
2021/2022;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3354
2020/2021;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;7170
2020/2021;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;8807
2020/2021;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;9597
2020/2021;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;29289
2020/2021;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;23723
2020/2021;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;17825
2020/2021;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5649
2020/2021;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;9210
2020/2021;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;9811
2020/2021;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;11174
2020/2021;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;5804
2020/2021;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;3967
2020/2021;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1105
2020/2021;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;22759
2020/2021;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3706
2020/2021;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;4032
2020/2021;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;9328
2020/2021;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;9582
2020/2021;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;9095
2020/2021;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;18017
2020/2021;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;2513
2020/2021;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;15460
2020/2021;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;3630
2020/2021;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;15157
2020/2021;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;23176
2020/2021;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1042
2020/2021;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4422
2020/2021;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;32034
2020/2021;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;15185
2020/2021;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4564
2019/2020;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;13213
