AnnoA;AteneoNOME;AteneoCOD;Diploma_Paese;Continente;Imm_D
2024/2025;Camerino;4302;Camerun;Africa;8
2024/2025;Catania;8701;Camerun;Africa;1
2024/2025;Ferrara;3801;Camerun;Africa;82
2024/2025;Firenze;4801;Camerun;Africa;41
2024/2025;Genova;1001;Camerun;Africa;32
2024/2025;Insubria;1202;Camerun;Africa;5
2024/2025;Marche;4201;Camerun;Africa;9
2024/2025;Messina;8301;Camerun;Africa;2
2024/2025;Milano;1501;Camerun;Africa;10
2024/2025;Milano Bicocca;1509;Camerun;Africa;3
2024/2025;Milano Cattolica;1504;Camerun;Africa;1
2024/2025;Milano Politecnico;1502;Camerun;Africa;3
2024/2025;Modena e Reggio Emilia;3601;Camerun;Africa;91
2024/2025;Napoli Vanvitelli;6306;Camerun;Africa;1
2024/2025;Novedrate e-Campus - telematica;1301;Camerun;Africa;1
2024/2025;Padova;2801;Camerun;Africa;21
2024/2025;Parma;3401;Camerun;Africa;45
2024/2025;Pavia;1801;Camerun;Africa;13
2024/2025;Perugia;5401;Camerun;Africa;10
2024/2025;Perugia Stranieri;5403;Camerun;Africa;2
2024/2025;Piemonte Orientale;201;Camerun;Africa;75
2024/2025;Pisa;5001;Camerun;Africa;82
2024/2025;Roma La Sapienza;5801;Camerun;Africa;3
2024/2025;Roma Saint Camillus;5818;Camerun;Africa;3
2024/2025;Roma Tor Vergata;5802;Camerun;Africa;10
2024/2025;Roma Tre;5807;Camerun;Africa;2
2024/2025;Roma UNICUSANO - telematica;5815;Camerun;Africa;1
2024/2025;Roma UNINETTUNO - telematica;5813;Camerun;Africa;2
2024/2025;Sassari;9001;Camerun;Africa;1
2024/2025;Siena;5201;Camerun;Africa;8
2024/2025;Siena Stranieri;5202;Camerun;Africa;2
2024/2025;Torino;101;Camerun;Africa;7
2024/2025;Torino Politecnico;102;Camerun;Africa;6
2024/2025;Trento;2201;Camerun;Africa;1
2024/2025;Trieste;3201;Camerun;Africa;16
2024/2025;Tuscia;5601;Camerun;Africa;7
2024/2025;Udine;3001;Camerun;Africa;15
2024/2025;Urbino;4101;Camerun;Africa;1
2024/2025;Verona;2301;Camerun;Africa;15
2024/2025;Napoli Parthenope;6302;Capo Verde;Africa;1
2024/2025;Brescia;1701;Ciad;Africa;1
2024/2025;Chieti e Pescara;6901;Ciad;Africa;1
2024/2025;Ferrara;3801;Ciad;Africa;1
2024/2025;Aosta;701;Congo;Africa;2
2024/2025;Bologna;3701;Congo;Africa;3
2024/2025;Brescia;1701;Congo;Africa;5
2024/2025;Catania;8701;Congo;Africa;1
2024/2025;Ferrara;3801;Congo;Africa;1
2024/2025;Firenze;4801;Congo;Africa;17
2024/2025;Insubria;1202;Congo;Africa;2
2024/2025;L'Aquila;6601;Congo;Africa;1
2024/2025;Milano Cattolica;1504;Congo;Africa;2
2024/2025;Modena e Reggio Emilia;3601;Congo;Africa;3
2024/2025;Novedrate e-Campus - telematica;1301;Congo;Africa;1
2024/2025;Parma;3401;Congo;Africa;4
2024/2025;Perugia;5401;Congo;Africa;14
2024/2025;Perugia Stranieri;5403;Congo;Africa;4
2024/2025;Pisa;5001;Congo;Africa;82
2024/2025;Roma Tor Vergata;5802;Congo;Africa;1
2024/2025;Roma Tre;5807;Congo;Africa;2
2024/2025;Sassari;9001;Congo;Africa;1
2024/2025;Tuscia;5601;Congo;Africa;3
2024/2025;Udine;3001;Congo;Africa;2
2024/2025;Urbino;4101;Congo;Africa;2
2024/2025;Verona;2301;Congo;Africa;17
2024/2025;Bergamo;1601;Costa d'Avorio;Africa;1
2024/2025;Bologna;3701;Costa d'Avorio;Africa;2
2024/2025;Firenze;4801;Costa d'Avorio;Africa;1
2024/2025;Milano Cattolica;1504;Costa d'Avorio;Africa;1
2024/2025;Modena e Reggio Emilia;3601;Costa d'Avorio;Africa;2
2024/2025;Napoli Federico II;6301;Costa d'Avorio;Africa;1
2024/2025;Napoli Vanvitelli;6306;Costa d'Avorio;Africa;1
2024/2025;Padova;2801;Costa d'Avorio;Africa;1
2024/2025;Parma;3401;Costa d'Avorio;Africa;1
2024/2025;Pavia;1801;Costa d'Avorio;Africa;1
2024/2025;Perugia;5401;Costa d'Avorio;Africa;2
2024/2025;Piemonte Orientale;201;Costa d'Avorio;Africa;7
2024/2025;Pisa;5001;Costa d'Avorio;Africa;1
2024/2025;Roma La Sapienza;5801;Costa d'Avorio;Africa;1
2024/2025;Roma UNICUSANO - telematica;5815;Costa d'Avorio;Africa;1
2024/2025;Verona;2301;Costa d'Avorio;Africa;4
2024/2025;Benevento Giustino Fortunato - telematica;6202;Egitto;Africa;1
2024/2025;Bergamo;1601;Egitto;Africa;8
2024/2025;Bologna;3701;Egitto;Africa;13
2024/2025;Bolzano;2101;Egitto;Africa;1
2024/2025;Brescia;1701;Egitto;Africa;18
2024/2025;Ca' Foscari Venezia;2701;Egitto;Africa;1
2024/2025;Cagliari;9201;Egitto;Africa;1
2024/2025;Calabria;7801;Egitto;Africa;2
2024/2025;Cassino;6001;Egitto;Africa;7
2024/2025;Catania;8701;Egitto;Africa;7
2024/2025;Ferrara;3801;Egitto;Africa;2
2024/2025;Firenze;4801;Egitto;Africa;6
2024/2025;Genova;1001;Egitto;Africa;2
2024/2025;Insubria;1202;Egitto;Africa;8
2024/2025;L'Aquila;6601;Egitto;Africa;2
2024/2025;Marche;4201;Egitto;Africa;4
2024/2025;Messina;8301;Egitto;Africa;11
2024/2025;Milano;1501;Egitto;Africa;30
2024/2025;Milano Bicocca;1509;Egitto;Africa;6
2024/2025;Milano Politecnico;1502;Egitto;Africa;5
2024/2025;Modena e Reggio Emilia;3601;Egitto;Africa;5
2024/2025;Napoli Parthenope;6302;Egitto;Africa;1
2024/2025;Napoli Vanvitelli;6306;Egitto;Africa;1
2024/2025;Novedrate e-Campus - telematica;1301;Egitto;Africa;4
2024/2025;Padova;2801;Egitto;Africa;13
2024/2025;Parma;3401;Egitto;Africa;8
2024/2025;Pavia;1801;Egitto;Africa;177
2024/2025;Perugia;5401;Egitto;Africa;9
2024/2025;Perugia Stranieri;5403;Egitto;Africa;7
2024/2025;Piemonte Orientale;201;Egitto;Africa;25
2024/2025;Pisa;5001;Egitto;Africa;18
2024/2025;Reggio Calabria;8001;Egitto;Africa;9
2024/2025;Roma  Mercatorum - telematica;5814;Egitto;Africa;1
2024/2025;Roma La Sapienza;5801;Egitto;Africa;6
2024/2025;Roma Link Campus;5817;Egitto;Africa;1
2024/2025;Roma Luiss;5805;Egitto;Africa;5
2024/2025;Roma Saint Camillus;5818;Egitto;Africa;1
2024/2025;Roma Tor Vergata;5802;Egitto;Africa;13
2024/2025;Roma Tre;5807;Egitto;Africa;3
2024/2025;Roma UNINETTUNO - telematica;5813;Egitto;Africa;11
2024/2025;Salento;7501;Egitto;Africa;1
2024/2025;Torino;101;Egitto;Africa;6
2024/2025;Torino Politecnico;102;Egitto;Africa;8
2024/2025;Trento;2201;Egitto;Africa;1
2024/2025;Trieste;3201;Egitto;Africa;17
2024/2025;Udine;3001;Egitto;Africa;13
2024/2025;Urbino;4101;Egitto;Africa;1
2024/2025;Verona;2301;Egitto;Africa;2
2024/2025;Bergamo;1601;Eritrea;Africa;1
2024/2025;Firenze;4801;Eritrea;Africa;1
2024/2025;Milano;1501;Eritrea;Africa;1
2024/2025;Basilicata;7601;Etiopia;Africa;1
2024/2025;Bologna;3701;Etiopia;Africa;1
2024/2025;Brescia;1701;Etiopia;Africa;4
2024/2025;Ca' Foscari Venezia;2701;Etiopia;Africa;5
2024/2025;Cassino;6001;Etiopia;Africa;56
2024/2025;Firenze;4801;Etiopia;Africa;2
2024/2025;Genova;1001;Etiopia;Africa;1
2024/2025;Macerata;4301;Etiopia;Africa;1
2024/2025;Marche;4201;Etiopia;Africa;39
2024/2025;Messina;8301;Etiopia;Africa;46
2024/2025;Milano Bicocca;1509;Etiopia;Africa;1
2024/2025;Napoli Parthenope;6302;Etiopia;Africa;1
2024/2025;Napoli Vanvitelli;6306;Etiopia;Africa;10
2024/2025;Novedrate e-Campus - telematica;1301;Etiopia;Africa;1
2024/2025;Padova;2801;Etiopia;Africa;2
2024/2025;Parma;3401;Etiopia;Africa;1
2024/2025;Pavia;1801;Etiopia;Africa;1
2024/2025;Perugia;5401;Etiopia;Africa;27
2024/2025;Perugia Stranieri;5403;Etiopia;Africa;2
2024/2025;Pisa;5001;Etiopia;Africa;3
2024/2025;Roma La Sapienza;5801;Etiopia;Africa;3
2024/2025;Roma Tre;5807;Etiopia;Africa;2
2024/2025;Torino;101;Etiopia;Africa;1
2024/2025;Torino Politecnico;102;Etiopia;Africa;1
2024/2025;Firenze;4801;Gabon;Africa;3
2024/2025;Modena e Reggio Emilia;3601;Gabon;Africa;1
2024/2025;Parma;3401;Gabon;Africa;1
2024/2025;Perugia;5401;Gabon;Africa;1
2024/2025;Piemonte Orientale;201;Gabon;Africa;2
2024/2025;Pisa;5001;Gabon;Africa;1
2024/2025;Siena;5201;Gabon;Africa;1
2024/2025;Siena Stranieri;5202;Gabon;Africa;1
2024/2025;Parma;3401;Gambia;Africa;1
2024/2025;Pavia;1801;Gambia;Africa;4
2024/2025;Roma Saint Camillus;5818;Gambia;Africa;1
2024/2025;Trieste;3201;Gambia;Africa;6
2024/2025;Bologna;3701;Ghana;Africa;3
2024/2025;Bra Scienze Gastronomiche;401;Ghana;Africa;1
2024/2025;Cassino;6001;Ghana;Africa;1
2024/2025;Catania;8701;Ghana;Africa;1
2024/2025;Ferrara;3801;Ghana;Africa;1
2024/2025;Marche;4201;Ghana;Africa;1
2024/2025;Milano;1501;Ghana;Africa;1
2024/2025;Modena e Reggio Emilia;3601;Ghana;Africa;1
2024/2025;Napoli Federico II;6301;Ghana;Africa;1
2024/2025;Padova;2801;Ghana;Africa;1
2024/2025;Palermo;8201;Ghana;Africa;2
2024/2025;Parma;3401;Ghana;Africa;1
2024/2025;Pavia;1801;Ghana;Africa;3
2024/2025;Roma Saint Camillus;5818;Ghana;Africa;1
2024/2025;Roma Tor Vergata;5802;Ghana;Africa;2
2024/2025;Roma UNINETTUNO - telematica;5813;Ghana;Africa;2
2024/2025;Torino;101;Ghana;Africa;1
2024/2025;Torino Politecnico;102;Ghana;Africa;2
2024/2025;Trieste;3201;Ghana;Africa;1
2024/2025;Napoli Federico II;6301;Gibuti;Africa;1
2024/2025;Pisa;5001;Gibuti;Africa;1
2024/2025;Calabria;7801;Guinea;Africa;1
2024/2025;Udine;3001;Guinea;Africa;1
2024/2025;Milano Cattolica;1504;Guinea-Bissau;Africa;1
2024/2025;Bergamo;1601;Kenya;Africa;1
2024/2025;Bologna;3701;Kenya;Africa;1
2024/2025;Bra Scienze Gastronomiche;401;Kenya;Africa;1
2024/2025;Brescia;1701;Kenya;Africa;1
2024/2025;Ca' Foscari Venezia;2701;Kenya;Africa;1
2024/2025;Milano Bicocca;1509;Kenya;Africa;1
2024/2025;Molise;7001;Kenya;Africa;1
2024/2025;Pavia;1801;Kenya;Africa;2
2024/2025;Roma Saint Camillus;5818;Kenya;Africa;1
2024/2025;Roma UNINETTUNO - telematica;5813;Kenya;Africa;2
2024/2025;Siena;5201;Kenya;Africa;4
2024/2025;Torino;101;Kenya;Africa;1
2024/2025;Urbino;4101;Kenya;Africa;1
2024/2025;Verona;2301;Kenya;Africa;1
2024/2025;Bologna;3701;Liberia;Africa;1
2024/2025;Camerino;4302;Liberia;Africa;1
2024/2025;Ferrara;3801;Libia;Africa;1
2024/2025;Genova;1001;Libia;Africa;2
2024/2025;Milano IULM;1505;Libia;Africa;1
2024/2025;Modena e Reggio Emilia;3601;Libia;Africa;5
2024/2025;Napoli Federico II;6301;Libia;Africa;3
2024/2025;Pavia;1801;Libia;Africa;8
2024/2025;Perugia Stranieri;5403;Libia;Africa;2
2024/2025;Pisa;5001;Libia;Africa;3
2024/2025;Roma La Sapienza;5801;Libia;Africa;3
2024/2025;Roma Link Campus;5817;Libia;Africa;4
2024/2025;Roma Tor Vergata;5802;Libia;Africa;2
2024/2025;Bari;7201;Madagascar;Africa;3
2024/2025;Bergamo;1601;Madagascar;Africa;2
2024/2025;Brescia;1701;Madagascar;Africa;1
2024/2025;Cagliari;9201;Madagascar;Africa;2
2024/2025;Calabria;7801;Madagascar;Africa;5
2024/2025;Cassino;6001;Madagascar;Africa;6
2024/2025;Catania;8701;Madagascar;Africa;21
2024/2025;Enna KORE;8601;Madagascar;Africa;2
2024/2025;Firenze;4801;Madagascar;Africa;3
2024/2025;Foggia;7101;Madagascar;Africa;1
2024/2025;Genova;1001;Madagascar;Africa;1
2024/2025;L'Aquila;6601;Madagascar;Africa;1
2024/2025;Messina;8301;Madagascar;Africa;4
2024/2025;Milano;1501;Madagascar;Africa;1
2024/2025;Milano Cattolica;1504;Madagascar;Africa;2
2024/2025;Modena e Reggio Emilia;3601;Madagascar;Africa;1
2024/2025;Napoli Benincasa;6304;Madagascar;Africa;1
2024/2025;Palermo;8201;Madagascar;Africa;11
2024/2025;Perugia;5401;Madagascar;Africa;1
2024/2025;Pisa;5001;Madagascar;Africa;1
2024/2025;Roma La Sapienza;5801;Madagascar;Africa;1
2024/2025;Roma LUMSA;5803;Madagascar;Africa;2
2024/2025;Roma Tre;5807;Madagascar;Africa;1
2024/2025;Sannio;6201;Madagascar;Africa;2
2024/2025;Siena;5201;Madagascar;Africa;1
2024/2025;Siena Stranieri;5202;Madagascar;Africa;1
2024/2025;Teramo;6701;Madagascar;Africa;1
2024/2025;Tuscia;5601;Madagascar;Africa;29
2024/2025;Verona;2301;Madagascar;Africa;2
2024/2025;Marche;4201;Mali;Africa;2
2024/2025;Sassari;9001;Mali;Africa;3
2024/2025;Aosta;701;Marocco;Africa;1
2024/2025;Bari;7201;Marocco;Africa;4
2024/2025;Basilicata;7601;Marocco;Africa;1
2024/2025;Bergamo;1601;Marocco;Africa;10
2024/2025;Bologna;3701;Marocco;Africa;12
2024/2025;Brescia;1701;Marocco;Africa;10
2024/2025;Ca' Foscari Venezia;2701;Marocco;Africa;1
2024/2025;Calabria;7801;Marocco;Africa;3
2024/2025;Camerino;4302;Marocco;Africa;5
2024/2025;Cassino;6001;Marocco;Africa;4
2024/2025;Catania;8701;Marocco;Africa;3
2024/2025;Catanzaro;7901;Marocco;Africa;3
2024/2025;Chieti e Pescara;6901;Marocco;Africa;2
2024/2025;Ferrara;3801;Marocco;Africa;20
2024/2025;Firenze;4801;Marocco;Africa;114
2024/2025;Foggia;7101;Marocco;Africa;5
2024/2025;Genova;1001;Marocco;Africa;16
2024/2025;Insubria;1202;Marocco;Africa;8
2024/2025;L'Aquila;6601;Marocco;Africa;2
2024/2025;Marche;4201;Marocco;Africa;6
2024/2025;Messina;8301;Marocco;Africa;13
2024/2025;Milano;1501;Marocco;Africa;7
2024/2025;Milano Bicocca;1509;Marocco;Africa;2
2024/2025;Milano Bocconi;1503;Marocco;Africa;37
2024/2025;Milano Cattolica;1504;Marocco;Africa;2
2024/2025;Milano IULM;1505;Marocco;Africa;1
2024/2025;Milano Politecnico;1502;Marocco;Africa;2
2024/2025;Modena e Reggio Emilia;3601;Marocco;Africa;9
2024/2025;Molise;7001;Marocco;Africa;2
2024/2025;Napoli Federico II;6301;Marocco;Africa;4
2024/2025;Napoli L'Orientale;6303;Marocco;Africa;3
2024/2025;Napoli Parthenope;6302;Marocco;Africa;6
2024/2025;Novedrate e-Campus - telematica;1301;Marocco;Africa;4
2024/2025;Padova;2801;Marocco;Africa;13
2024/2025;Palermo;8201;Marocco;Africa;3
2024/2025;Parma;3401;Marocco;Africa;9
2024/2025;Pavia;1801;Marocco;Africa;6
2024/2025;Perugia;5401;Marocco;Africa;33
2024/2025;Perugia Stranieri;5403;Marocco;Africa;16
2024/2025;Piemonte Orientale;201;Marocco;Africa;24
2024/2025;Pisa;5001;Marocco;Africa;386
2024/2025;Reggio Calabria;8001;Marocco;Africa;1
2024/2025;Roma La Sapienza;5801;Marocco;Africa;6
2024/2025;Roma Luiss;5805;Marocco;Africa;1
2024/2025;Roma Marconi - telematica;5810;Marocco;Africa;1
2024/2025;Roma Saint Camillus;5818;Marocco;Africa;1
2024/2025;Roma San Raffaele - telematica;5816;Marocco;Africa;1
2024/2025;Roma Tor Vergata;5802;Marocco;Africa;5
2024/2025;Roma Tre;5807;Marocco;Africa;2
2024/2025;Roma UNICUSANO - telematica;5815;Marocco;Africa;1
2024/2025;Roma UNINETTUNO - telematica;5813;Marocco;Africa;2
2024/2025;Rozzano (MI) Humanitas University;1510;Marocco;Africa;3
2024/2025;Salento;7501;Marocco;Africa;3
2024/2025;Salerno;6501;Marocco;Africa;2
2024/2025;Sannio;6201;Marocco;Africa;1
2024/2025;Sassari;9001;Marocco;Africa;6
2024/2025;Siena;5201;Marocco;Africa;3
2024/2025;Siena Stranieri;5202;Marocco;Africa;65
2024/2025;Teramo;6701;Marocco;Africa;17
2024/2025;Torino;101;Marocco;Africa;139
2024/2025;Torino Politecnico;102;Marocco;Africa;3
2024/2025;Trieste;3201;Marocco;Africa;7
2024/2025;Tuscia;5601;Marocco;Africa;1
2024/2025;Udine;3001;Marocco;Africa;44
2024/2025;Urbino;4101;Marocco;Africa;2
2024/2025;Verona;2301;Marocco;Africa;14
2024/2025;Milano Bocconi;1503;Maurizio;Africa;1
2024/2025;Roma La Sapienza;5801;Maurizio;Africa;1
2024/2025;Siena;5201;Maurizio;Africa;1
2024/2025;Bologna;3701;Mozambico;Africa;1
2024/2025;Ca' Foscari Venezia;2701;Mozambico;Africa;1
2024/2025;Cagliari;9201;Mozambico;Africa;1
2024/2025;Catania;8701;Mozambico;Africa;1
2024/2025;Roma Link Campus;5817;Mozambico;Africa;1
2024/2025;Roma Luiss;5805;Mozambico;Africa;1
2024/2025;Roma UNINT;5809;Mozambico;Africa;1
2024/2025;Torino Politecnico;102;Mozambico;Africa;1
2024/2025;Rozzano (MI) Humanitas University;1510;Namibia;Africa;1
2024/2025;Ca' Foscari Venezia;2701;Nigeria;Africa;3
2024/2025;Firenze;4801;Nigeria;Africa;1
2024/2025;Marche;4201;Nigeria;Africa;3
2024/2025;Messina;8301;Nigeria;Africa;4
2024/2025;Milano;1501;Nigeria;Africa;1
2024/2025;Napoli Pegaso - telematica;6307;Nigeria;Africa;1
2024/2025;Napoli Vanvitelli;6306;Nigeria;Africa;1
2024/2025;Padova;2801;Nigeria;Africa;1
2024/2025;Parma;3401;Nigeria;Africa;1
2024/2025;Pavia;1801;Nigeria;Africa;1
2024/2025;Perugia;5401;Nigeria;Africa;2
2024/2025;Roma La Sapienza;5801;Nigeria;Africa;3
2024/2025;Roma Link Campus;5817;Nigeria;Africa;2
2024/2025;Roma Saint Camillus;5818;Nigeria;Africa;41
2024/2025;Roma Tor Vergata;5802;Nigeria;Africa;3
2024/2025;Roma UNICUSANO - telematica;5815;Nigeria;Africa;1
2024/2025;Roma UNINETTUNO - telematica;5813;Nigeria;Africa;2
2024/2025;Rozzano (MI) Humanitas University;1510;Nigeria;Africa;1
2024/2025;Sassari;9001;Nigeria;Africa;1
2024/2025;Torino;101;Nigeria;Africa;3
2024/2025;Trieste;3201;Nigeria;Africa;2
2024/2025;Milano Cattolica;1504;Repubblica Centrafricana;Africa;1
2024/2025;Bergamo;1601;Repubblica Democratica del Congo;Africa;3
2024/2025;Cassino;6001;Repubblica Democratica del Congo;Africa;2
2024/2025;Catania;8701;Repubblica Democratica del Congo;Africa;1
2024/2025;Chieti e Pescara;6901;Repubblica Democratica del Congo;Africa;1
2024/2025;Firenze;4801;Repubblica Democratica del Congo;Africa;4
2024/2025;Firenze IUL - telematica;4804;Repubblica Democratica del Congo;Africa;1
2024/2025;Insubria;1202;Repubblica Democratica del Congo;Africa;1
2024/2025;Marche;4201;Repubblica Democratica del Congo;Africa;4
2024/2025;Messina;8301;Repubblica Democratica del Congo;Africa;1
2024/2025;Modena e Reggio Emilia;3601;Repubblica Democratica del Congo;Africa;7
2024/2025;Padova;2801;Repubblica Democratica del Congo;Africa;1
2024/2025;Palermo;8201;Repubblica Democratica del Congo;Africa;2
2024/2025;Parma;3401;Repubblica Democratica del Congo;Africa;1
2024/2025;Perugia Stranieri;5403;Repubblica Democratica del Congo;Africa;3
2024/2025;Piemonte Orientale;201;Repubblica Democratica del Congo;Africa;7
2024/2025;Roma La Sapienza;5801;Repubblica Democratica del Congo;Africa;1
2024/2025;Roma LUMSA;5803;Repubblica Democratica del Congo;Africa;1
2024/2025;Roma Saint Camillus;5818;Repubblica Democratica del Congo;Africa;1
2024/2025;Roma Tre;5807;Repubblica Democratica del Congo;Africa;5
2024/2025;Rozzano (MI) Humanitas University;1510;Repubblica Democratica del Congo;Africa;1
2024/2025;Sassari;9001;Repubblica Democratica del Congo;Africa;1
2024/2025;Siena;5201;Repubblica Democratica del Congo;Africa;1
2024/2025;Siena Stranieri;5202;Repubblica Democratica del Congo;Africa;1
2024/2025;Torino Politecnico;102;Repubblica Democratica del Congo;Africa;1
2024/2025;Tuscia;5601;Repubblica Democratica del Congo;Africa;4
2024/2025;Urbino;4101;Repubblica Democratica del Congo;Africa;2
2024/2025;Camerino;4302;Ruanda;Africa;1
2024/2025;Cassino;6001;Ruanda;Africa;3
2024/2025;Genova;1001;Ruanda;Africa;1
2024/2025;Marche;4201;Ruanda;Africa;3
2024/2025;Messina;8301;Ruanda;Africa;5
2024/2025;Milano Bocconi;1503;Ruanda;Africa;2
2024/2025;Roma Luiss;5805;Ruanda;Africa;2
2024/2025;Roma Saint Camillus;5818;Ruanda;Africa;4
2024/2025;Roma Tor Vergata;5802;Ruanda;Africa;6
2024/2025;Torino;101;Ruanda;Africa;5
2024/2025;Trieste;3201;Ruanda;Africa;2
2024/2025;Urbino;4101;Ruanda;Africa;1
2024/2025;Bari;7201;Senegal;Africa;1
2024/2025;Bergamo;1601;Senegal;Africa;7
2024/2025;Bologna;3701;Senegal;Africa;3
2024/2025;Brescia;1701;Senegal;Africa;2
2024/2025;Calabria;7801;Senegal;Africa;3
2024/2025;Ferrara;3801;Senegal;Africa;2
2024/2025;Firenze;4801;Senegal;Africa;2
2024/2025;Genova;1001;Senegal;Africa;2
2024/2025;Marche;4201;Senegal;Africa;1
2024/2025;Milano;1501;Senegal;Africa;4
2024/2025;Milano Bicocca;1509;Senegal;Africa;3
2024/2025;Milano Politecnico;1502;Senegal;Africa;1
2024/2025;Novedrate e-Campus - telematica;1301;Senegal;Africa;2
2024/2025;Padova;2801;Senegal;Africa;2
2024/2025;Parma;3401;Senegal;Africa;5
2024/2025;Perugia;5401;Senegal;Africa;1
2024/2025;Perugia Stranieri;5403;Senegal;Africa;5
2024/2025;Pisa;5001;Senegal;Africa;3
2024/2025;Roma Luiss;5805;Senegal;Africa;1
2024/2025;Roma Tre;5807;Senegal;Africa;1
2024/2025;Roma UNICUSANO - telematica;5815;Senegal;Africa;1
2024/2025;Roma UNITELMA - telematica;5811;Senegal;Africa;1
2024/2025;Salento;7501;Senegal;Africa;1
2024/2025;Sassari;9001;Senegal;Africa;1
2024/2025;Siena Stranieri;5202;Senegal;Africa;18
2024/2025;Torino Politecnico;102;Senegal;Africa;1
2024/2025;Urbino;4101;Senegal;Africa;4
2024/2025;Bergamo;1601;Somalia;Africa;1
2024/2025;Pisa;5001;Somalia;Africa;1
2024/2025;Cagliari;9201;Sudafrica;Africa;1
2024/2025;Castellanza LIUC;1201;Sudafrica;Africa;1
2024/2025;Firenze;4801;Sudafrica;Africa;1
2024/2025;Messina;8301;Sudafrica;Africa;1
2024/2025;Milano Bocconi;1503;Sudafrica;Africa;4
2024/2025;Milano IULM;1505;Sudafrica;Africa;1
2024/2025;Milano Politecnico;1502;Sudafrica;Africa;2
2024/2025;Napoli Federico II;6301;Sudafrica;Africa;1
2024/2025;Padova;2801;Sudafrica;Africa;2
2024/2025;Pavia;1801;Sudafrica;Africa;1
2024/2025;Roma La Sapienza;5801;Sudafrica;Africa;1
2024/2025;Roma Tor Vergata;5802;Sudafrica;Africa;1
