STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,EDUCATION_LEV,Education level,MEASURE,Measure,EDUCATION_TYPE,Education type,INTENSITY,Intensity,EDUCATION_FIELD,Field of education,GRADE,Grade,FREQ,Frequency of observation,ORIGIN,Origin,DESTINATION,Destination,INST_TYPE_EDU,Type of educational institution,MOBILITY,Mobility,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_AGES,Reference date for ages,ORIGIN_CRITERION,Origin criterion,REPYEARSTART,Reference year start,REPYEAREND,Reference year end,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,COMMENT_OBS,Observation comment,DECIMALS,Decimals,TIME_PER_COLLECT,Time period collection,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2014,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2015,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2016,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2017,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2018,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2019,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2020,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2021,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2013,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2014,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2015,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2016,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2017,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2018,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2019,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2020,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2021,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_45,Post-secondary non-tertiary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,F,Female,_T,Total,2017,,,,,,,,,,,,K,Data included in another category,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_45,Post-secondary non-tertiary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2017,,,,,,,,,,,,K,Data included in another category,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_45,Post-secondary non-tertiary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2017,,,,,,,,,,,,K,Data included in another category,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_45,Post-secondary non-tertiary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2018,,,,,,,,,,,,K,Data included in another category,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_45,Post-secondary non-tertiary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,F,Female,_T,Total,2018,,,,,,,,,,,,K,Data included in another category,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_45,Post-secondary non-tertiary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2018,,,,,,,,,,,,K,Data included in another category,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_45,Post-secondary non-tertiary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,F,Female,_T,Total,2019,,,,,,,,,,,,K,Data included in another category,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_45,Post-secondary non-tertiary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2019,,,,,,,,,,,,K,Data included in another category,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_45,Post-secondary non-tertiary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2019,,,,,,,,,,,,K,Data included in another category,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,F,Female,_T,Total,2023,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2023,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2023,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,F,Female,_T,Total,2022,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2022,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_25,Lower secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2022,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_35,Upper secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,_T,Total,_T,Total,2017,,99.3017716893588,,,,,,,,,,W,Includes data from another category,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_VET(1.0),Distribution of students in vocational education and training programmes by level of education,I,ITA,Italy,ISCED11_35,Upper secondary vocational education,ENRL,Students enrolled,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_T,Total,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST_SUB,Percentage of students in the same subgroup,M,Male,_T,Total,2017,,99.1855665189965,,,,,,,,,,W,Includes data from another category,,,,,2,Two,,,0,Units
