STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,ACTIVITY,Economic activity,SECTOR,Institutional sector,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1958-04,,9.899912,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1958-05,,9.899912,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1958-06,,9.950166,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1958-07,,9.950166,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1958-08,,9.950166,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1958-09,,10.00042,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1958-10,,10.00042,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1958-11,,10.20143,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1958-12,,10.30194,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1959-01,,10.30194,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1959-02,,10.30194,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1959-03,,10.40245,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1959-04,,10.4527,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1959-05,,10.4527,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1959-06,,10.50295,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1959-07,,10.50295,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1959-08,,10.25169,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1959-09,,10.40245,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1959-10,,10.35219,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1959-11,,10.4527,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1959-12,,10.65371,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1960-01,,10.75422,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1960-02,,10.75422,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1960-03,,10.75422,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1960-04,,10.75422,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1960-05,,10.75422,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1960-06,,10.75422,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1960-07,,10.75422,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1960-08,,10.70397,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1960-09,,10.80447,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1960-10,,10.80447,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1960-11,,10.80447,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1960-12,,10.90498,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1961-01,,10.90498,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1961-02,,10.90498,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1961-03,,10.90498,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1961-04,,10.95523,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1961-05,,11.05574,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1961-06,,11.05574,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1961-07,,11.05574,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1961-08,,10.95523,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1961-09,,11.05574,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1961-10,,11.15625,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1961-11,,11.2065,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1961-12,,11.35726,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1962-01,,11.40751,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1962-02,,11.35726,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1962-03,,11.35726,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1962-04,,11.40751,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1962-05,,11.40751,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1962-06,,11.40751,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1962-07,,11.40751,,2015,,A,Normal value,0,Units,2,Two
