ANNO_ACCADEMICO;CODICE_REGIONE;NOME_REGIONE;CODICE_ENTE;NOME_ENTE;CODICE_ISTITUTO;NOME_ISTITUTO;TIPO_ISTITUTO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;5;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;6;Mobilità internazionale - N° domande contributi;153;47;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;7;Mobilità internazionale - N° contributi concessi;140;38;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;8;Mobilità internazionale - N° complessivo di mesi in mobilità;967;245;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;9;Interventi a favore di studenti in situazione di disabilità - N° domande;7;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;10;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;7;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;11;Attività di collaborazione a tempo parziale - N° collaborazioni;14;1;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;12;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);9;9;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;13;Posti alloggio e contributi-alloggio - N° domande posti alloggio;2580;1578;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;14;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati;940;620;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;15;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a borsisti;791;485;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;16;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a idonei non borsisti;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;17;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a studenti non idonei alla borsa;149;135;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;18;Posti alloggio e contributi-alloggio - N° domande contributi-alloggio;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;19;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;20;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a borsisti (non beneficiari di alloggio);0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;21;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a idonei non borsisti  (non beneficiari di alloggio);0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;22;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a studenti non idonei alla borsa;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;23;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;349;57;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;24;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;25;Altri interventi di tipo finanziario - N° contributi straordinari;13;10;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;26;Altri interventi di tipo finanziario - N° altri sussidi concessi;455;318;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;27;(*) Borse di studio - precisazioni - N° borse concesse a studenti in sede;275;21;2;1
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;28;(*) Borse di studio - precisazioni - N° borse concesse a studenti pendolari;1196;323;3;1
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;29;(*) Borse di studio - precisazioni - N° borse concesse a studenti fuori sede;5526;3202;5;1
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;30;(*) Borse di studio - precisazioni - N° borse concesse tramite FSE e altri fondi europei (PON, PNRR);2084;935;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;1;Borse di studio - N° domande;538;230;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;2;Borse di studio - N° idonei (beneficiari e non beneficiari);445;193;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;3;Borse di studio - N° borse concesse - incluse borse concesse con FSE e altri fondi europei (PON, PNRR) (*);445;193;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;4;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;5;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;6;Mobilità internazionale - N° domande contributi;2;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;7;Mobilità internazionale - N° contributi concessi;1;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;8;Mobilità internazionale - N° complessivo di mesi in mobilità;10;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;9;Interventi a favore di studenti in situazione di disabilità - N° domande;N;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;10;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;N;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;11;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;12;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;13;Posti alloggio e contributi-alloggio - N° domande posti alloggio;97;35;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;14;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati;34;10;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;15;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a borsisti;29;8;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;16;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a idonei non borsisti;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;17;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a studenti non idonei alla borsa;5;2;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;18;Posti alloggio e contributi-alloggio - N° domande contributi-alloggio;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;19;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;20;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a borsisti (non beneficiari di alloggio);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;21;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a idonei non borsisti  (non beneficiari di alloggio);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;22;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a studenti non idonei alla borsa;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;23;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;34;17;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;24;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;25;Altri interventi di tipo finanziario - N° contributi straordinari;1;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;26;Altri interventi di tipo finanziario - N° altri sussidi concessi;7;4;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;27;(*) Borse di studio - precisazioni - N° borse concesse a studenti in sede;31;4;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;28;(*) Borse di studio - precisazioni - N° borse concesse a studenti pendolari;124;29;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;29;(*) Borse di studio - precisazioni - N° borse concesse a studenti fuori sede;290;160;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;30;(*) Borse di studio - precisazioni - N° borse concesse tramite FSE e altri fondi europei (PON, PNRR);179;75;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;1;Borse di studio - N° domande;96;31;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;2;Borse di studio - N° idonei (beneficiari e non beneficiari);78;25;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;3;Borse di studio - N° borse concesse - incluse borse concesse con FSE e altri fondi europei (PON, PNRR) (*);78;25;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;4;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;5;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;6;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;7;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;8;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;9;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;10;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;11;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;12;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;13;Posti alloggio e contributi-alloggio - N° domande posti alloggio;18;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;14;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati;5;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;15;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a borsisti;5;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;16;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a idonei non borsisti;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;17;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a studenti non idonei alla borsa;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;18;Posti alloggio e contributi-alloggio - N° domande contributi-alloggio;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;19;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;20;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a borsisti (non beneficiari di alloggio);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;21;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a idonei non borsisti  (non beneficiari di alloggio);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;22;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a studenti non idonei alla borsa;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;23;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;8;3;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;24;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;25;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;26;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;27;(*) Borse di studio - precisazioni - N° borse concesse a studenti in sede;10;2;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;28;(*) Borse di studio - precisazioni - N° borse concesse a studenti pendolari;22;4;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;29;(*) Borse di studio - precisazioni - N° borse concesse a studenti fuori sede;46;19;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;30;(*) Borse di studio - precisazioni - N° borse concesse tramite FSE e altri fondi europei (PON, PNRR);39;17;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;1;Borse di studio - N° domande;44;2;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;2;Borse di studio - N° idonei (beneficiari e non beneficiari);37;2;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;3;Borse di studio - N° borse concesse - incluse borse concesse con FSE e altri fondi europei (PON, PNRR) (*);37;2;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;4;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;5;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;6;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;7;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;8;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;9;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;10;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;11;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;12;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;001803001272;Istituto di Arte Applicata e Design (IAAD) di Torino;AltaFormazione;13;Posti alloggio e contributi-alloggio - N° domande posti alloggio;9;0;;
