DATA;CODICE_REGIONE;NOME_REGIONE;CODICE_PROVINCIA;NOME_PROVINCIA;NOME_COMUNE;NUMERO
01/11/2025;09;Toscana;048;Firenze;CALENZANO;75
01/11/2025;09;Toscana;048;Firenze;FIRENZE;1779
01/11/2025;09;Toscana;048;Firenze;SESTO FIORENTINO;91
01/11/2025;09;Toscana;050;Pisa;PISA;1268
01/11/2025;09;Toscana;050;Pisa;San Giuliano Terme;242
01/11/2025;09;Toscana;051;Arezzo;AREZZO;25
01/11/2025;09;Toscana;052;Siena;Monteriggioni;340
01/11/2025;09;Toscana;052;Siena;SIENA;835
01/11/2025;10;Umbria;054;Perugia;PERUGIA;1278
01/11/2025;10;Umbria;055;Terni;TERNI;57
01/11/2025;11;Marche;041;Pesaro e Urbino;PESARO;42
01/11/2025;11;Marche;041;Pesaro e Urbino;URBINO;1341
01/11/2025;11;Marche;042;Ancona;ANCONA;474
01/11/2025;11;Marche;043;Macerata;CAMERINO;1138
01/11/2025;11;Marche;043;Macerata;MACERATA;527
01/11/2025;11;Marche;043;Macerata;MATELICA;12
01/11/2025;11;Marche;044;Ascoli Piceno;ASCOLI PICENO;47
01/11/2025;11;Marche;109;Fermo;FERMO;41
01/11/2025;12;Lazio;056;Viterbo;VITERBO;218
01/11/2025;12;Lazio;058;Roma;ROMA;3077
01/11/2025;12;Lazio;059;Latina;LATINA;48
01/11/2025;12;Lazio;060;Frosinone;CASSINO;305
01/11/2025;13;Abruzzo;066;L'Aquila;L'AQUILA;218
01/11/2025;13;Abruzzo;068;Pescara;PESCARA;73
01/11/2025;13;Abruzzo;069;Chieti;CHIETI;90
01/11/2025;15;Campania;061;Caserta;AVERSA;40
01/11/2025;15;Campania;062;Benevento;BENEVENTO;5
01/11/2025;15;Campania;063;Napoli;NAPOLI;405
01/11/2025;15;Campania;065;Salerno;FISCIANO;456
01/11/2025;16;Puglia;071;Foggia;FOGGIA;246
01/11/2025;16;Puglia;072;Bari;BARI;1432
01/11/2025;16;Puglia;073;Taranto;TARANTO;40
01/11/2025;16;Puglia;075;Lecce;LECCE;588
01/11/2025;17;Basilicata;076;Potenza;POTENZA;110
01/11/2025;18;Calabria;078;Cosenza;COSENZA;68
01/11/2025;18;Calabria;078;Cosenza;RENDE;2308
01/11/2025;18;Calabria;079;Catanzaro;CATANZARO;240
01/11/2025;18;Calabria;080;Reggio di Calabria;REGGIO CALABRIA;104
01/11/2025;19;Sicilia;082;Palermo;PALERMO;913
01/11/2025;19;Sicilia;083;Messina;MESSINA;298
01/11/2025;19;Sicilia;085;Caltanissetta;CALTANISSETTA;25
01/11/2025;19;Sicilia;086;Enna;ENNA;70
01/11/2025;19;Sicilia;087;Catania;CATANIA;429
01/11/2025;19;Sicilia;088;Ragusa;RAGUSA;10
01/11/2025;19;Sicilia;089;Siracusa;SIRACUSA;20
01/11/2025;20;Sardegna;090;Sassari;ALGHERO;9
01/11/2025;20;Sardegna;090;Sassari;OLBIA;30
01/11/2025;20;Sardegna;090;Sassari;SASSARI;605
01/11/2025;20;Sardegna;091;Nuoro;NUORO;8
01/11/2025;20;Sardegna;092;Città Metropolitana di Cagliari;CAGLIARI;396
