DATA;CODICE_REGIONE;NOME_REGIONE;CODICE_ENTE;NOME_ENTE;CODICE_SERVIZIO;DESCRIZIONE_SERVIZIO;NUMERO
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);0
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;0
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;7;Mense attive a gestione diretta - anno corrente;0
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;8;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;9;Mense attive a gestione indiretta - anno corrente;0
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;10;Posti a sedere in mense a gestione indiretta - anno corrente;0
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;0
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;1;Posti alloggio in residenze - anno corrente;1636
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);985
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;443
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);0
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;94
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;7;Mense attive a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;8;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;9;Mense attive a gestione indiretta - anno corrente;9
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;10;Posti a sedere in mense a gestione indiretta - anno corrente;1351
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;0
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;1;Posti alloggio in residenze - anno corrente;1654
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);690
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;759
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);80
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;125
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;7;Mense attive a gestione diretta - anno corrente;1
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;8;Posti a sedere in mense a gestione diretta - anno corrente;148
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;9;Mense attive a gestione indiretta - anno corrente;3
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;10;Posti a sedere in mense a gestione indiretta - anno corrente;700
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;03;Lombardia;0303;EDiSU di Pavia;136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;0
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;1;Posti alloggio in residenze - anno corrente;1705
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);372
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;1327
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);0
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;0
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;7;Mense attive a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;8;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;9;Mense attive a gestione indiretta - anno corrente;2
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;10;Posti a sedere in mense a gestione indiretta - anno corrente;420
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;0
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;1;Posti alloggio in residenze - anno corrente;204
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);187
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;16
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);0
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;0
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;7;Mense attive a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;8;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;9;Mense attive a gestione indiretta - anno corrente;5
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;10;Posti a sedere in mense a gestione indiretta - anno corrente;752
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;03;Lombardia;0305;SIS - Università degli studi di Bergamo;136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;0
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;1;Posti alloggio in residenze - anno corrente;468
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);182
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;200
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);60
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;25
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;7;Mense attive a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;8;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;9;Mense attive a gestione indiretta - anno corrente;2
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;10;Posti a sedere in mense a gestione indiretta - anno corrente;673
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;03;Lombardia;0306;CEDISU  - Università degli studi di Brescia;136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;0
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;1;Posti alloggio in residenze - anno corrente;1395
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);363
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;931
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);28
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;73
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;7;Mense attive a gestione diretta - anno corrente;4
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;8;Posti a sedere in mense a gestione diretta - anno corrente;1025
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;9;Mense attive a gestione indiretta - anno corrente;10
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;10;Posti a sedere in mense a gestione indiretta - anno corrente;1385
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;03;Lombardia;0307;Fondazione EDUCatt di Milano;136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;0
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;1;Posti alloggio in residenze - anno corrente;38
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);33
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;5
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);0
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;0
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;7;Mense attive a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;8;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;9;Mense attive a gestione indiretta - anno corrente;1
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;10;Posti a sedere in mense a gestione indiretta - anno corrente;150
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;03;Lombardia;0308;Università Carlo Cattaneo, Ufficio diritto allo studio;136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;0
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);1;Posti alloggio in residenze - anno corrente;307
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);85
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;184
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);14
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;24
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);7;Mense attive a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);8;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);9;Mense attive a gestione indiretta - anno corrente;1
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);10;Posti a sedere in mense a gestione indiretta - anno corrente;280
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;03;Lombardia;0309;Ufficio per il DSU - Libera Università di Lingue e Comunicazione (IULM);136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;0
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";1;Posti alloggio in residenze - anno corrente;35
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);34
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;0
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);0
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;0
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";7;Mense attive a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";8;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";9;Mense attive a gestione indiretta - anno corrente;0
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";10;Posti a sedere in mense a gestione indiretta - anno corrente;0
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;03;Lombardia;0311;"Università ''Vita-Salute"" San Raffaele";136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;0
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";1;Posti alloggio in residenze - anno corrente;0
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);0
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;0
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);0
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;0
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";7;Mense attive a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";8;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";9;Mense attive a gestione indiretta - anno corrente;10
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";10;Posti a sedere in mense a gestione indiretta - anno corrente;400
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;03;Lombardia;0320;"Ufficio per il DSU - Accademia di Belle Arti ''BRERA"" di Milano";136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";1;Posti alloggio in residenze - anno corrente;0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";7;Mense attive a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";8;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";9;Mense attive a gestione indiretta - anno corrente;0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";10;Posti a sedere in mense a gestione indiretta - anno corrente;0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;03;Lombardia;0321;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Milano";136;Posti alloggio in residenze - creati con fondi PNRR - convenzione - assegnati;0
01/11/2025;03;Lombardia;0322;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Como";1;Posti alloggio in residenze - anno corrente;0
01/11/2025;03;Lombardia;0322;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Como";2a;Posti alloggio in residenze - di cui assegnati a studenti idonei (borsisti e non borsisti);0
01/11/2025;03;Lombardia;0322;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Como";4;Posti alloggio in residenze - anno corrente - di cui assegnati a studenti non idonei;0
01/11/2025;03;Lombardia;0322;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Como";5;Posti alloggio in residenze - anno corrente - di cui riservati a studenti in mobilità (es. Erasmus);0
01/11/2025;03;Lombardia;0322;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Como";6;Posti alloggio in residenze - anno corrente - di cui riservati ad uso foresteria;0
01/11/2025;03;Lombardia;0322;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Como";7;Mense attive a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0322;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Como";8;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;03;Lombardia;0322;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Como";9;Mense attive a gestione indiretta - anno corrente;0
01/11/2025;03;Lombardia;0322;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Como";10;Posti a sedere in mense a gestione indiretta - anno corrente;0
01/11/2025;03;Lombardia;0322;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Como";130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;03;Lombardia;0322;"Ufficio per il DSU - Conservatorio ''Giuseppe Verdi"" di Como";132;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta - assegnati;0
