Year,Series,Subject,Region,Local authority,Sex,Ethnicity,Ethnic group,Special educational needs (SEN) status,Disadvantaged status,Free school meal status,First language,Unit measure,Observation status,GeoCode,Value
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,Mixed,,,,,,Percentage (%),Normal value,E12000004,68.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000004,43.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,White,,,,,,Percentage (%),Normal value,E12000004,68.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,,,All SEN,,,,Percentage (%),Normal value,E12000004,36.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,,,No SEN,,,,Percentage (%),Normal value,E12000004,78.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,56.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,75.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000004,55.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000004,75.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000004,46.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000004,70.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000004,65.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,,,,,,,Percentage (%),Normal value,E12000004,68.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,67.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,Asian,,,,,,Percentage (%),Normal value,E12000004,71.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,Black,,,,,,Percentage (%),Normal value,E12000004,69.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,Mixed,,,,,,Percentage (%),Normal value,E12000004,68.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,Unclassified,,,,,,Percentage (%),Normal value,E12000004,48.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,White,,,,,,Percentage (%),Normal value,E12000004,66.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,,,All SEN,,,,Percentage (%),Normal value,E12000004,31.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,,,No SEN,,,,Percentage (%),Normal value,E12000004,75.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,54.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,75.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,,,,,FSM eligible,,Percentage (%),Normal value,E12000004,53.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000004,74.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,,,,,,First language unclassified,Percentage (%),Normal value,E12000004,38.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000004,69.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000004,63.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,,,,,,,,Percentage (%),Normal value,E12000004,67.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,54.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,Asian,,,,,,Percentage (%),Normal value,E12000004,81.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,Black,,,,,,Percentage (%),Normal value,E12000004,67.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,Mixed,,,,,,Percentage (%),Normal value,E12000004,77.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000004,49.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,White,,,,,,Percentage (%),Normal value,E12000004,69.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,,,All SEN,,,,Percentage (%),Normal value,E12000004,28.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,,,No SEN,,,,Percentage (%),Normal value,E12000004,76.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,53.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,76.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,,,,,FSM eligible,,Percentage (%),Normal value,E12000004,52.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000004,75.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,,,,,,First language unclassified,Percentage (%),Normal value,E12000004,33.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000004,69.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000004,70.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Female,,,,,,,Percentage (%),Normal value,E12000004,69.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,60.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,Asian,,,,,,Percentage (%),Normal value,E12000004,85.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,Black,,,,,,Percentage (%),Normal value,E12000004,69.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,Mixed,,,,,,Percentage (%),Normal value,E12000004,71.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000004,51.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,White,,,,,,Percentage (%),Normal value,E12000004,73.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,,,All SEN,,,,Percentage (%),Normal value,E12000004,38.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,,,No SEN,,,,Percentage (%),Normal value,E12000004,85.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,59.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,79.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000004,58.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000004,78.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000004,17.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000004,72.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000004,80.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,Male,,,,,,,Percentage (%),Normal value,E12000004,73.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,57.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,Asian,,,,,,Percentage (%),Normal value,E12000004,83.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,Black,,,,,,Percentage (%),Normal value,E12000004,68.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,Mixed,,,,,,Percentage (%),Normal value,E12000004,74.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,Unclassified,,,,,,Percentage (%),Normal value,E12000004,50.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,White,,,,,,Percentage (%),Normal value,E12000004,71.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,,,All SEN,,,,Percentage (%),Normal value,E12000004,35.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,,,No SEN,,,,Percentage (%),Normal value,E12000004,80.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,56.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,78.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,,,,,FSM eligible,,Percentage (%),Normal value,E12000004,55.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000004,77.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,,,,,,First language unclassified,Percentage (%),Normal value,E12000004,27.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000004,71.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000004,76.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derbyshire,,,,,,,,Percentage (%),Normal value,E12000004,71.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,69.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,Asian,,,,,,Percentage (%),Normal value,E12000004,78.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,Black,,,,,,Percentage (%),Normal value,E12000004,74.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,Mixed,,,,,,Percentage (%),Normal value,E12000004,71.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000004,41.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,White,,,,,,Percentage (%),Normal value,E12000004,65.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,,,All SEN,,,,Percentage (%),Normal value,E12000004,28.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,,,No SEN,,,,Percentage (%),Normal value,E12000004,79.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,61.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,77.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,,,,,FSM eligible,,Percentage (%),Normal value,E12000004,61.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000004,76.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,,,,,,First language unclassified,Percentage (%),Normal value,E12000004,22.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000004,68.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000004,76.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Female,,,,,,,Percentage (%),Normal value,E12000004,72.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,72.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,Asian,,,,,,Percentage (%),Normal value,E12000004,82.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,Black,,,,,,Percentage (%),Normal value,E12000004,72.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,Mixed,,,,,,Percentage (%),Normal value,E12000004,68.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000004,58.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,White,,,,,,Percentage (%),Normal value,E12000004,65.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,,,All SEN,,,,Percentage (%),Normal value,E12000004,41.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,,,No SEN,,,,Percentage (%),Normal value,E12000004,84.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,60.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,80.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000004,59.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000004,80.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000004,52.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000004,70.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000004,78.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,Male,,,,,,,Percentage (%),Normal value,E12000004,74.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,70.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,Asian,,,,,,Percentage (%),Normal value,E12000004,80.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,Black,,,,,,Percentage (%),Normal value,E12000004,73.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,Mixed,,,,,,Percentage (%),Normal value,E12000004,70.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,Unclassified,,,,,,Percentage (%),Normal value,E12000004,52.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,White,,,,,,Percentage (%),Normal value,E12000004,65.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,,,All SEN,,,,Percentage (%),Normal value,E12000004,37.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,,,No SEN,,,,Percentage (%),Normal value,E12000004,81.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,61.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,79.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,,,,,FSM eligible,,Percentage (%),Normal value,E12000004,60.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000004,78.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,,,,,,First language unclassified,Percentage (%),Normal value,E12000004,44.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000004,69.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000004,77.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicester,,,,,,,,Percentage (%),Normal value,E12000004,73.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,56.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,Asian,,,,,,Percentage (%),Normal value,E12000004,88.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,Black,,,,,,Percentage (%),Normal value,E12000004,58.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,Mixed,,,,,,Percentage (%),Normal value,E12000004,74.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000004,58.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,White,,,,,,Percentage (%),Normal value,E12000004,72.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,,,All SEN,,,,Percentage (%),Normal value,E12000004,29.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,,,No SEN,,,,Percentage (%),Normal value,E12000004,81.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,55.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,78.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,,,,,FSM eligible,,Percentage (%),Normal value,E12000004,53.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000004,77.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,,,,,,First language unclassified,Percentage (%),Normal value,E12000004,47.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000004,73.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000004,80.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Female,,,,,,,Percentage (%),Normal value,E12000004,73.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,75.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,Asian,,,,,,Percentage (%),Normal value,E12000004,89.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,Black,,,,,,Percentage (%),Normal value,E12000004,73.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,Mixed,,,,,,Percentage (%),Normal value,E12000004,72.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000004,70.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,White,,,,,,Percentage (%),Normal value,E12000004,76.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,,,All SEN,,,,Percentage (%),Normal value,E12000004,41.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,,,No SEN,,,,Percentage (%),Normal value,E12000004,89.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,58.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,81.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000004,57.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000004,81.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000004,67.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000004,76.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000004,84.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,Male,,,,,,,Percentage (%),Normal value,E12000004,77.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,66.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,Asian,,,,,,Percentage (%),Normal value,E12000004,89.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,Black,,,,,,Percentage (%),Normal value,E12000004,65.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,Mixed,,,,,,Percentage (%),Normal value,E12000004,73.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,Unclassified,,,,,,Percentage (%),Normal value,E12000004,63.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,White,,,,,,Percentage (%),Normal value,E12000004,74.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,,,All SEN,,,,Percentage (%),Normal value,E12000004,37.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,,,No SEN,,,,Percentage (%),Normal value,E12000004,84.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,57.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,79.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,,,,,FSM eligible,,Percentage (%),Normal value,E12000004,55.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000004,79.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,,,,,,First language unclassified,Percentage (%),Normal value,E12000004,55.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000004,74.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000004,82.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Leicestershire,,,,,,,,Percentage (%),Normal value,E12000004,75.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Lincolnshire,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,63.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Lincolnshire,Female,Asian,,,,,,Percentage (%),Normal value,E12000004,85.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Lincolnshire,Female,Black,,,,,,Percentage (%),Normal value,E12000004,82.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Lincolnshire,Female,Mixed,,,,,,Percentage (%),Normal value,E12000004,69.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Lincolnshire,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000004,64.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Lincolnshire,Female,White,,,,,,Percentage (%),Normal value,E12000004,67.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Lincolnshire,Female,,,All SEN,,,,Percentage (%),Normal value,E12000004,22.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Lincolnshire,Female,,,No SEN,,,,Percentage (%),Normal value,E12000004,76.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Lincolnshire,Female,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,51.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Lincolnshire,Female,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,75.0
