GRADO;MATERIA;Anno_scolastico;Cod_Reg;WLE_MEDIO
G13 - Istituti tecnici;ITALIANO;2024-2025;20;160,820009505364
G13 - Istituti tecnici;ITALIANO;2024-2025;51;171,347478188406
G13 - Istituti tecnici;ITALIANO;2024-2025;54;185,198309137836
G13 - Istituti professionali;ITALIANO;2024-2025;1;167,438341810136
G13 - Istituti professionali;ITALIANO;2024-2025;2;160,96272938396
G13 - Istituti professionali;ITALIANO;2024-2025;3;155,925159336307
G13 - Istituti professionali;ITALIANO;2024-2025;4;163,055579105718
G13 - Istituti professionali;ITALIANO;2024-2025;6;161,818430458597
G13 - Istituti professionali;ITALIANO;2024-2025;7;162,595829820451
G13 - Istituti professionali;ITALIANO;2024-2025;8;155,226254197292
G13 - Istituti professionali;ITALIANO;2024-2025;9;152,240310836771
G13 - Istituti professionali;ITALIANO;2024-2025;10;154,211563520691
G13 - Istituti professionali;ITALIANO;2024-2025;11;153,088934215393
G13 - Istituti professionali;ITALIANO;2024-2025;12;149,437664219945
G13 - Istituti professionali;ITALIANO;2024-2025;13;151,022471800686
G13 - Istituti professionali;ITALIANO;2024-2025;14;149,228643901087
G13 - Istituti professionali;ITALIANO;2024-2025;15;149,141543987636
G13 - Istituti professionali;ITALIANO;2024-2025;16;151,542890692588
G13 - Istituti professionali;ITALIANO;2024-2025;17;149,734752363756
G13 - Istituti professionali;ITALIANO;2024-2025;18;149,243367172343
G13 - Istituti professionali;ITALIANO;2024-2025;19;146,814823698422
G13 - Istituti professionali;ITALIANO;2024-2025;20;142,571520490044
G13 - Istituti professionali;ITALIANO;2024-2025;51;159,310211081263
G13 - Istituti professionali;ITALIANO;2024-2025;54;169,52828670511
G13 - Licei scientifici;Matematica;2024-2025;99;219,490942474149
G13 - Altri licei;Matematica;2024-2025;99;181,491889783171
G13 - Istituti tecnici;Matematica;2024-2025;99;186,967051189877
G13 - Istituti professionali;Matematica;2024-2025;99;161,595914280052
G13 - Licei scientifici;Matematica;2024-2025;1;245,286465111804
G13 - Licei scientifici;Matematica;2024-2025;2;227,316995010985
G13 - Licei scientifici;Matematica;2024-2025;3;223,116047250892
G13 - Licei scientifici;Matematica;2024-2025;4;235,456767150818
G13 - Licei scientifici;Matematica;2024-2025;6;236,961564521496
G13 - Licei scientifici;Matematica;2024-2025;7;230,229676490258
G13 - Licei scientifici;Matematica;2024-2025;8;232,547223957032
G13 - Licei scientifici;Matematica;2024-2025;9;223,753873267193
G13 - Licei scientifici;Matematica;2024-2025;10;222,015020535542
G13 - Licei scientifici;Matematica;2024-2025;11;227,919122672949
G13 - Licei scientifici;Matematica;2024-2025;12;209,872057547149
G13 - Licei scientifici;Matematica;2024-2025;13;214,35616899558
G13 - Licei scientifici;Matematica;2024-2025;14;214,669328478658
G13 - Licei scientifici;Matematica;2024-2025;15;206,763466150141
G13 - Licei scientifici;Matematica;2024-2025;16;215,144244034672
G13 - Licei scientifici;Matematica;2024-2025;17;213,284180492105
G13 - Licei scientifici;Matematica;2024-2025;18;201,742243346225
G13 - Licei scientifici;Matematica;2024-2025;19;207,315576232791
G13 - Licei scientifici;Matematica;2024-2025;20;194,4360141878
G13 - Licei scientifici;Matematica;2024-2025;51;221,494474746354
G13 - Licei scientifici;Matematica;2024-2025;53;230,307515973405
G13 - Licei scientifici;Matematica;2024-2025;54;236,380532201252
G13 - Altri licei;Matematica;2024-2025;1;196,231612899265
G13 - Altri licei;Matematica;2024-2025;2;187,701034232255
G13 - Altri licei;Matematica;2024-2025;3;183,842001873285
G13 - Altri licei;Matematica;2024-2025;4;193,710303285229
G13 - Altri licei;Matematica;2024-2025;6;195,062694615605
G13 - Altri licei;Matematica;2024-2025;7;192,673810837276
G13 - Altri licei;Matematica;2024-2025;8;190,102921821245
G13 - Altri licei;Matematica;2024-2025;9;181,063420104526
G13 - Altri licei;Matematica;2024-2025;10;180,468159616674
G13 - Altri licei;Matematica;2024-2025;11;184,700958799943
G13 - Altri licei;Matematica;2024-2025;12;173,848437802564
G13 - Altri licei;Matematica;2024-2025;13;176,473013205719
G13 - Altri licei;Matematica;2024-2025;14;175,703391520381
G13 - Altri licei;Matematica;2024-2025;15;171,699720754335
G13 - Altri licei;Matematica;2024-2025;16;177,912331547494
G13 - Altri licei;Matematica;2024-2025;17;180,892805600801
G13 - Altri licei;Matematica;2024-2025;18;175,464654322305
G13 - Altri licei;Matematica;2024-2025;19;170,678627412934
G13 - Altri licei;Matematica;2024-2025;20;168,861418059638
G13 - Altri licei;Matematica;2024-2025;51;182,440880486322
G13 - Altri licei;Matematica;2024-2025;52;184,980396884345
G13 - Altri licei;Matematica;2024-2025;53;198,456512336141
G13 - Altri licei;Matematica;2024-2025;54;190,396811281711
G13 - Istituti tecnici;Matematica;2024-2025;1;195,463797308564
G13 - Istituti tecnici;Matematica;2024-2025;2;194,190885864264
G13 - Istituti tecnici;Matematica;2024-2025;3;187,801490039622
G13 - Istituti tecnici;Matematica;2024-2025;4;198,530309910397
G13 - Istituti tecnici;Matematica;2024-2025;6;203,519256902773
G13 - Istituti tecnici;Matematica;2024-2025;7;202,485267388859
G13 - Istituti tecnici;Matematica;2024-2025;8;199,584023774163
G13 - Istituti tecnici;Matematica;2024-2025;9;190,819968629483
G13 - Istituti tecnici;Matematica;2024-2025;10;188,312653228203
G13 - Istituti tecnici;Matematica;2024-2025;11;191,426609330599
G13 - Istituti tecnici;Matematica;2024-2025;12;175,877554962529
G13 - Istituti tecnici;Matematica;2024-2025;13;180,646169611245
G13 - Istituti tecnici;Matematica;2024-2025;14;182,475386944092
G13 - Istituti tecnici;Matematica;2024-2025;15;169,472583874006
G13 - Istituti tecnici;Matematica;2024-2025;16;183,085077990615
G13 - Istituti tecnici;Matematica;2024-2025;17;186,34006418239
G13 - Istituti tecnici;Matematica;2024-2025;18;176,524694230924
G13 - Istituti tecnici;Matematica;2024-2025;19;176,370421764603
G13 - Istituti tecnici;Matematica;2024-2025;20;170,358107903347
G13 - Istituti tecnici;Matematica;2024-2025;51;188,203344895752
G13 - Istituti tecnici;Matematica;2024-2025;52;203,360174070074
G13 - Istituti tecnici;Matematica;2024-2025;53;211,347633062923
G13 - Istituti tecnici;Matematica;2024-2025;54;203,531002296928
G13 - Istituti professionali;Matematica;2024-2025;1;172,608644811315
G13 - Istituti professionali;Matematica;2024-2025;2;167,474431289695
G13 - Istituti professionali;Matematica;2024-2025;3;162,265696063692
G13 - Istituti professionali;Matematica;2024-2025;4;170,161915677975
G13 - Istituti professionali;Matematica;2024-2025;6;171,716012896876
G13 - Istituti professionali;Matematica;2024-2025;7;171,24330454013
G13 - Istituti professionali;Matematica;2024-2025;8;164,701753143319
G13 - Istituti professionali;Matematica;2024-2025;9;162,709760201623
G13 - Istituti professionali;Matematica;2024-2025;10;164,535423453207
G13 - Istituti professionali;Matematica;2024-2025;11;161,153017889156
G13 - Istituti professionali;Matematica;2024-2025;12;152,053916074432
G13 - Istituti professionali;Matematica;2024-2025;13;159,810708413171
G13 - Istituti professionali;Matematica;2024-2025;14;154,95696760454
G13 - Istituti professionali;Matematica;2024-2025;15;153,275782711455
G13 - Istituti professionali;Matematica;2024-2025;16;156,580206940899
G13 - Istituti professionali;Matematica;2024-2025;17;156,200793902508
G13 - Istituti professionali;Matematica;2024-2025;18;154,491512974298
G13 - Istituti professionali;Matematica;2024-2025;19;152,678126646415
G13 - Istituti professionali;Matematica;2024-2025;20;146,293075239906
G13 - Istituti professionali;Matematica;2024-2025;51;171,436292981194
G13 - Istituti professionali;Matematica;2024-2025;53;196,735481906174
G13 - Istituti professionali;Matematica;2024-2025;54;177,831275785595
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;99;229,104346455918
G13 - Altri licei;Inglese L;2024-2025;99;203,068418176066
G13 - Istituti tecnici;Inglese L;2024-2025;99;197,281186390345
G13 - Istituti professionali;Inglese L;2024-2025;99;176,993817425165
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;1;255,262291299722
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;2;240,160780328571
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;3;232,254473444121
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;4;246,077115258775
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;6;247,738659103541
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;7;248,475093124985
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;8;244,871498920306
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;9;232,958608298316
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;10;232,999246886189
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;11;235,60251873661
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;12;224,238548161687
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;13;226,11661397943
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;14;223,628607313232
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;15;212,651500757792
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;16;219,466722400946
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;17;220,817124407029
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;18;205,394327524643
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;19;212,494782237556
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;20;218,399557403365
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;51;249,91664113336
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;53;263,743703584269
G13 - Licei scientifici classici e linguistici;Inglese L;2024-2025;54;252,312745044573
G13 - Altri licei;Inglese L;2024-2025;1;235,373274738687
G13 - Altri licei;Inglese L;2024-2025;2;213,598105651243
G13 - Altri licei;Inglese L;2024-2025;3;207,415233259473
G13 - Altri licei;Inglese L;2024-2025;4;220,642535439061
G13 - Altri licei;Inglese L;2024-2025;6;223,496271313873
G13 - Altri licei;Inglese L;2024-2025;7;222,935881543686
G13 - Altri licei;Inglese L;2024-2025;8;219,094636677754
G13 - Altri licei;Inglese L;2024-2025;9;206,384675475021
G13 - Altri licei;Inglese L;2024-2025;10;201,902600821939
G13 - Altri licei;Inglese L;2024-2025;11;203,925049619465
G13 - Altri licei;Inglese L;2024-2025;12;192,381266565107
G13 - Altri licei;Inglese L;2024-2025;13;192,185545697154
G13 - Altri licei;Inglese L;2024-2025;14;193,161279318215
G13 - Altri licei;Inglese L;2024-2025;15;182,182040534806
G13 - Altri licei;Inglese L;2024-2025;16;190,606341920055
G13 - Altri licei;Inglese L;2024-2025;17;189,363258617494
G13 - Altri licei;Inglese L;2024-2025;18;183,891427963918
G13 - Altri licei;Inglese L;2024-2025;19;181,582224374855
G13 - Altri licei;Inglese L;2024-2025;20;190,514036181479
G13 - Altri licei;Inglese L;2024-2025;51;228,082731701558
G13 - Altri licei;Inglese L;2024-2025;52;243,623273543683
G13 - Altri licei;Inglese L;2024-2025;53;248,874828448106
G13 - Altri licei;Inglese L;2024-2025;54;221,196149723784
G13 - Istituti tecnici;Inglese L;2024-2025;1;216,623547565198
G13 - Istituti tecnici;Inglese L;2024-2025;2;206,526072946913
G13 - Istituti tecnici;Inglese L;2024-2025;3;200,999575430377
G13 - Istituti tecnici;Inglese L;2024-2025;4;215,47639249905
G13 - Istituti tecnici;Inglese L;2024-2025;6;219,55113156473
G13 - Istituti tecnici;Inglese L;2024-2025;7;223,567196356102
G13 - Istituti tecnici;Inglese L;2024-2025;8;214,756103241848
G13 - Istituti tecnici;Inglese L;2024-2025;9;203,159399797302
G13 - Istituti tecnici;Inglese L;2024-2025;10;196,13083062238
G13 - Istituti tecnici;Inglese L;2024-2025;11;202,154173710434
G13 - Istituti tecnici;Inglese L;2024-2025;12;187,330118877592
G13 - Istituti tecnici;Inglese L;2024-2025;13;188,565680608868
G13 - Istituti tecnici;Inglese L;2024-2025;14;188,840945263201
G13 - Istituti tecnici;Inglese L;2024-2025;15;173,355621546082
G13 - Istituti tecnici;Inglese L;2024-2025;16;185,411878074729
G13 - Istituti tecnici;Inglese L;2024-2025;17;182,784125150444
G13 - Istituti tecnici;Inglese L;2024-2025;18;176,246670161036
G13 - Istituti tecnici;Inglese L;2024-2025;19;178,493215179825
G13 - Istituti tecnici;Inglese L;2024-2025;20;181,797428357506
G13 - Istituti tecnici;Inglese L;2024-2025;51;224,663760133319
G13 - Istituti tecnici;Inglese L;2024-2025;52;252,72598024614
G13 - Istituti tecnici;Inglese L;2024-2025;53;248,418808451854
G13 - Istituti tecnici;Inglese L;2024-2025;54;219,498883330018
G13 - Istituti professionali;Inglese L;2024-2025;1;196,171210837868
G13 - Istituti professionali;Inglese L;2024-2025;2;184,085108248981
G13 - Istituti professionali;Inglese L;2024-2025;3;177,502642294327
G13 - Istituti professionali;Inglese L;2024-2025;4;190,153777345823
G13 - Istituti professionali;Inglese L;2024-2025;6;190,720955018083
G13 - Istituti professionali;Inglese L;2024-2025;7;194,607183536562
G13 - Istituti professionali;Inglese L;2024-2025;8;184,623087370521
G13 - Istituti professionali;Inglese L;2024-2025;9;177,412716030949
G13 - Istituti professionali;Inglese L;2024-2025;10;174,765047020107
G13 - Istituti professionali;Inglese L;2024-2025;11;177,189901024743
G13 - Istituti professionali;Inglese L;2024-2025;12;169,17591768616
G13 - Istituti professionali;Inglese L;2024-2025;13;167,867046140629
G13 - Istituti professionali;Inglese L;2024-2025;14;166,488373408704
G13 - Istituti professionali;Inglese L;2024-2025;15;165,857486283233
G13 - Istituti professionali;Inglese L;2024-2025;16;165,105669475668
G13 - Istituti professionali;Inglese L;2024-2025;17;164,090565488489
G13 - Istituti professionali;Inglese L;2024-2025;18;160,833949538256
G13 - Istituti professionali;Inglese L;2024-2025;19;161,190181925151
G13 - Istituti professionali;Inglese L;2024-2025;20;161,577430831429
G13 - Istituti professionali;Inglese L;2024-2025;51;202,672338741793
G13 - Istituti professionali;Inglese L;2024-2025;53;241,168036929968
G13 - Istituti professionali;Inglese L;2024-2025;54;198,614079940779
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;99;220,260368654495
G13 - Altri licei;Inglese R;2024-2025;99;194,375707252208
G13 - Istituti tecnici;Inglese R;2024-2025;99;193,748916997854
G13 - Istituti professionali;Inglese R;2024-2025;99;172,341521868785
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;1;235,639529167576
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;2;225,510013859426
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;3;220,02681775119
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;4;232,079744777205
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;6;234,648561638773
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;7;236,122520613502
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;8;230,770668611795
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;9;217,545608711587
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;10;220,696357033207
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;11;224,016168449009
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;12;212,633951576483
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;13;218,634657796705
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;14;217,193229264528
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;15;212,665740295288
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;16;216,551881262093
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;17;218,481823373674
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;18;210,384506822063
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;19;210,107423406428
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;20;208,592476297585
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;51;231,41591236723
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;53;243,895300489156
G13 - Licei scientifici classici e linguistici;Inglese R;2024-2025;54;233,837403935054
G13 - Altri licei;Inglese R;2024-2025;1;217,941736048853
G13 - Altri licei;Inglese R;2024-2025;2;198,424648573033
G13 - Altri licei;Inglese R;2024-2025;3;196,512558514588
G13 - Altri licei;Inglese R;2024-2025;4;208,115960920281
G13 - Altri licei;Inglese R;2024-2025;6;211,384536389011
G13 - Altri licei;Inglese R;2024-2025;7;209,917947655379
G13 - Altri licei;Inglese R;2024-2025;8;205,477747854349
G13 - Altri licei;Inglese R;2024-2025;9;191,909095681063
G13 - Altri licei;Inglese R;2024-2025;10;193,199488135173
G13 - Altri licei;Inglese R;2024-2025;11;191,468984221391
G13 - Altri licei;Inglese R;2024-2025;12;183,18580960979
G13 - Altri licei;Inglese R;2024-2025;13;183,680427017789
G13 - Altri licei;Inglese R;2024-2025;14;194,069166593349
G13 - Altri licei;Inglese R;2024-2025;15;181,760431403542
G13 - Altri licei;Inglese R;2024-2025;16;189,039781101654
G13 - Altri licei;Inglese R;2024-2025;17;189,696358418713
G13 - Altri licei;Inglese R;2024-2025;18;190,10892391124
G13 - Altri licei;Inglese R;2024-2025;19;181,459054237778
G13 - Altri licei;Inglese R;2024-2025;20;179,212656854212
G13 - Altri licei;Inglese R;2024-2025;51;205,063637453102
G13 - Altri licei;Inglese R;2024-2025;52;212,102339537541
G13 - Altri licei;Inglese R;2024-2025;53;218,750801763921
G13 - Altri licei;Inglese R;2024-2025;54;202,380550779932
G13 - Istituti tecnici;Inglese R;2024-2025;1;201,72301627653
G13 - Istituti tecnici;Inglese R;2024-2025;2;198,388959476643
G13 - Istituti tecnici;Inglese R;2024-2025;3;195,791031646203
G13 - Istituti tecnici;Inglese R;2024-2025;4;205,885057943362
G13 - Istituti tecnici;Inglese R;2024-2025;6;209,773485642082
G13 - Istituti tecnici;Inglese R;2024-2025;7;211,964833061053
G13 - Istituti tecnici;Inglese R;2024-2025;8;205,181644953539
G13 - Istituti tecnici;Inglese R;2024-2025;9;193,712580969487
G13 - Istituti tecnici;Inglese R;2024-2025;10;190,626533859754
G13 - Istituti tecnici;Inglese R;2024-2025;11;196,503337214849
G13 - Istituti tecnici;Inglese R;2024-2025;12;184,363039134275
G13 - Istituti tecnici;Inglese R;2024-2025;13;186,124310533936
G13 - Istituti tecnici;Inglese R;2024-2025;14;191,173611510231
G13 - Istituti tecnici;Inglese R;2024-2025;15;175,945535282922
G13 - Istituti tecnici;Inglese R;2024-2025;16;191,323381722146
G13 - Istituti tecnici;Inglese R;2024-2025;17;191,918637485571
G13 - Istituti tecnici;Inglese R;2024-2025;18;186,462317169414
G13 - Istituti tecnici;Inglese R;2024-2025;19;185,917822795787
G13 - Istituti tecnici;Inglese R;2024-2025;20;177,978016973016
G13 - Istituti tecnici;Inglese R;2024-2025;51;204,726472552835
G13 - Istituti tecnici;Inglese R;2024-2025;52;230,872291400279
G13 - Istituti tecnici;Inglese R;2024-2025;53;221,457075462174
G13 - Istituti tecnici;Inglese R;2024-2025;54;206,555438005045
G13 - Istituti professionali;Inglese R;2024-2025;1;179,542882932253
G13 - Istituti professionali;Inglese R;2024-2025;2;175,622305165555
G13 - Istituti professionali;Inglese R;2024-2025;3;171,564463819534
G13 - Istituti professionali;Inglese R;2024-2025;4;180,596864249745
G13 - Istituti professionali;Inglese R;2024-2025;6;180,609003094966
G13 - Istituti professionali;Inglese R;2024-2025;7;181,526297705642
G13 - Istituti professionali;Inglese R;2024-2025;8;175,947496473086
G13 - Istituti professionali;Inglese R;2024-2025;9;168,757914617864
G13 - Istituti professionali;Inglese R;2024-2025;10;172,005484849395
G13 - Istituti professionali;Inglese R;2024-2025;11;169,301851867561
G13 - Istituti professionali;Inglese R;2024-2025;12;162,808408063918
G13 - Istituti professionali;Inglese R;2024-2025;13;166,942452348672
G13 - Istituti professionali;Inglese R;2024-2025;14;165,218842376022
G13 - Istituti professionali;Inglese R;2024-2025;15;167,660247605685
G13 - Istituti professionali;Inglese R;2024-2025;16;168,676742575488
G13 - Istituti professionali;Inglese R;2024-2025;17;165,204218772069
G13 - Istituti professionali;Inglese R;2024-2025;18;169,686533021605
G13 - Istituti professionali;Inglese R;2024-2025;19;165,057746587153
G13 - Istituti professionali;Inglese R;2024-2025;20;154,161716226717
G13 - Istituti professionali;Inglese R;2024-2025;51;186,505989389565
G13 - Istituti professionali;Inglese R;2024-2025;53;213,686904839856
G13 - Istituti professionali;Inglese R;2024-2025;54;183,51571068671
