Ripartizione_geografica;Ordinatore;Significatività_18vs19;Significatività_19vs21;Significatività_21vs22;Significatività_19vs22;Significatività_22vs23;Significatività_23vs24;Significatività_24vs25;Grado;Materia;Anno_new;VALORI;LIVELLO_SUFF
Valle d'Aosta;2,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Listening;2023-2024;4,66;NON raggiungono il traguardo
Puglia;21,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;4,69;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Inglese Listening;2021-2022;4,75;NON raggiungono il traguardo
Piemonte;3,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;4,81;NON raggiungono il traguardo
Lombardia;5,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;4,88;NON raggiungono il traguardo
Liguria;4,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;4,91;NON raggiungono il traguardo
Umbria;14,00;;;;;;;Statistically significant;Grado 5;Inglese Listening;2024-2025;4,93;NON raggiungono il traguardo
Molise;19,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;4,94;NON raggiungono il traguardo
Basilicata;23,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;4,96;NON raggiungono il traguardo
Lazio;16,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;4,99;NON raggiungono il traguardo
Marche;15,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;5,00;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;5,05;NON raggiungono il traguardo
Lazio;16,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;5,06;NON raggiungono il traguardo
Toscana;13,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;5,09;NON raggiungono il traguardo
Emilia-Romagna;11,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;5,10;NON raggiungono il traguardo
Marche;15,00;;;;;;;Not Statistically significant;Grado 5;Inglese Reading;2024-2025;5,19;NON raggiungono il traguardo
Umbria;14,00;;;;;;;Not Statistically significant;Grado 5;Inglese Reading;2024-2025;5,31;NON raggiungono il traguardo
Puglia;21,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;5,34;NON raggiungono il traguardo
Piemonte;3,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;5,34;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;5,42;NON raggiungono il traguardo
Valle d'Aosta;2,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;5,51;NON raggiungono il traguardo
Basilicata;23,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;5,61;NON raggiungono il traguardo
Marche;15,00;;;;;;;Statistically significant;Grado 5;Inglese Listening;2024-2025;5,73;NON raggiungono il traguardo
Lombardia;5,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;5,75;NON raggiungono il traguardo
Abruzzo;18,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;5,80;NON raggiungono il traguardo
Molise;19,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;5,84;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;2023-2024;5,86;NON raggiungono il traguardo
Molise;19,00;;;;;;;Not Statistically significant;Grado 5;Inglese Reading;2024-2025;6,21;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 5;Inglese Listening;2022-2023;6,41;NON raggiungono il traguardo
Veneto;9,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;6,55;NON raggiungono il traguardo
Valle d'Aosta;2,00;;Not Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;6,61;NON raggiungono il traguardo
Campania;20,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;6,64;NON raggiungono il traguardo
Calabria;24,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;6,80;NON raggiungono il traguardo
Toscana;13,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;6,83;NON raggiungono il traguardo
Valle d'Aosta;2,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;6,84;NON raggiungono il traguardo
Lazio;16,00;;Not Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;6,92;NON raggiungono il traguardo
Valle d'Aosta;2,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;6,94;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;6,94;NON raggiungono il traguardo
Lombardia;5,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;6,97;NON raggiungono il traguardo
Piemonte;3,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;7,02;NON raggiungono il traguardo
Lazio;16,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;7,09;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;7,13;NON raggiungono il traguardo
Valle d'Aosta;2,00;;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;7,14;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;7,27;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;7,40;NON raggiungono il traguardo
Marche;15,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;7,46;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;;;;;;Not Statistically significant;Grado 5;Inglese Reading;2024-2025;7,50;NON raggiungono il traguardo
Emilia-Romagna;11,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;7,62;NON raggiungono il traguardo
Liguria;4,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;7,62;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;Not Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;7,67;NON raggiungono il traguardo
Toscana;13,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;7,71;NON raggiungono il traguardo
Abruzzo;18,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;7,85;NON raggiungono il traguardo
Toscana;13,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;7,88;NON raggiungono il traguardo
Basilicata;23,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;8,16;NON raggiungono il traguardo
Umbria;14,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;8,22;NON raggiungono il traguardo
Lombardia;5,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;8,28;NON raggiungono il traguardo
Emilia-Romagna;11,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;8,39;NON raggiungono il traguardo
Umbria;14,00;;;;;;Not Statistically significant;Statistically significant;Grado 5;Inglese Listening;2023-2024;8,44;NON raggiungono il traguardo
Umbria;14,00;Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;8,54;NON raggiungono il traguardo
Valle d'Aosta;2,00;;;;;;;Statistically significant;Grado 5;Inglese Listening;2024-2025;8,55;NON raggiungono il traguardo
Emilia-Romagna;11,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;8,56;NON raggiungono il traguardo
Veneto;9,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;8,63;NON raggiungono il traguardo
Sardegna;26,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;8,83;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;8,84;NON raggiungono il traguardo
Piemonte;3,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;8,86;NON raggiungono il traguardo
Emilia-Romagna;11,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;8,88;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;8,95;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;9,00;NON raggiungono il traguardo
Toscana;13,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;9,05;NON raggiungono il traguardo
Lazio;16,00;Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;9,07;NON raggiungono il traguardo
Umbria;14,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;9,12;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;9,16;NON raggiungono il traguardo
Sicilia;25,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;9,18;NON raggiungono il traguardo
Calabria;24,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;9,19;NON raggiungono il traguardo
Valle d'Aosta;2,00;;Not Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;9,21;NON raggiungono il traguardo
Piemonte;3,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;9,25;NON raggiungono il traguardo
Sardegna;26,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;9,28;NON raggiungono il traguardo
Campania;20,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;9,39;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;9,40;NON raggiungono il traguardo
Liguria;4,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;9,48;NON raggiungono il traguardo
Abruzzo;18,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;9,49;NON raggiungono il traguardo
Valle d'Aosta;2,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;9,50;NON raggiungono il traguardo
Marche;15,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;9,52;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;9,61;NON raggiungono il traguardo
Veneto;9,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;9,63;NON raggiungono il traguardo
Abruzzo;18,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;9,66;NON raggiungono il traguardo
Veneto;9,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;9,71;NON raggiungono il traguardo
Umbria;14,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Inglese Listening;2021-2022;9,73;NON raggiungono il traguardo
Lombardia;5,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;9,86;NON raggiungono il traguardo
Abruzzo;18,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;9,87;NON raggiungono il traguardo
Marche;15,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;9,88;NON raggiungono il traguardo
Veneto;9,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;9,91;NON raggiungono il traguardo
Emilia-Romagna;11,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;10,02;NON raggiungono il traguardo
Molise;19,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;10,06;NON raggiungono il traguardo
Molise;19,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;10,07;NON raggiungono il traguardo
Emilia-Romagna;11,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;10,13;NON raggiungono il traguardo
Abruzzo;18,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;10,14;NON raggiungono il traguardo
Sardegna;26,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;10,17;NON raggiungono il traguardo
Molise;19,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;10,23;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;10,31;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;10,44;NON raggiungono il traguardo
Umbria;14,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 5;Inglese Listening;2022-2023;10,45;NON raggiungono il traguardo
Molise;19,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;10,49;NON raggiungono il traguardo
Marche;15,00;;;Not Statistically significant;;Not Statistically significant;;;Grado 5;Inglese Listening;2021-2022;10,53;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;Not Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;10,56;NON raggiungono il traguardo
Puglia;21,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;10,57;NON raggiungono il traguardo
Toscana;13,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;10,57;NON raggiungono il traguardo
Calabria;24,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;10,63;NON raggiungono il traguardo
Basilicata;23,00;Not Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;10,70;NON raggiungono il traguardo
Piemonte;3,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;10,85;NON raggiungono il traguardo
Basilicata;23,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;10,93;NON raggiungono il traguardo
Puglia;21,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;10,94;NON raggiungono il traguardo
Piemonte;3,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;10,97;NON raggiungono il traguardo
Lombardia;5,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;10,99;NON raggiungono il traguardo
Piemonte;3,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;11,03;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;11,13;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;11,23;NON raggiungono il traguardo
Lombardia;5,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;11,24;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;11,28;NON raggiungono il traguardo
Marche;15,00;;;;;;Not Statistically significant;Statistically significant;Grado 5;Inglese Listening;2023-2024;11,28;NON raggiungono il traguardo
Campania;20,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;11,33;NON raggiungono il traguardo
Sicilia;25,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;11,38;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;11,49;NON raggiungono il traguardo
Liguria;4,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;11,49;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;11,55;NON raggiungono il traguardo
Lombardia;5,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;11,55;NON raggiungono il traguardo
Lombardia;5,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;11,57;NON raggiungono il traguardo
Lazio;16,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;11,62;NON raggiungono il traguardo
Lazio;16,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;11,63;NON raggiungono il traguardo
Campania;20,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;11,73;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;11,80;NON raggiungono il traguardo
Liguria;4,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;11,81;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;11,82;Non sufficienza
Umbria;14,00;Not Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;11,86;NON raggiungono il traguardo
Emilia-Romagna;11,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;11,87;NON raggiungono il traguardo
Veneto;9,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Inglese Listening;2022-2023;11,88;NON raggiungono il traguardo
Puglia;21,00;Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;11,89;NON raggiungono il traguardo
Veneto;9,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;11,96;NON raggiungono il traguardo
Liguria;4,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;11,97;NON raggiungono il traguardo
Lazio;16,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;12,00;NON raggiungono il traguardo
Veneto;9,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;12,02;NON raggiungono il traguardo
Molise;19,00;Not Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;12,16;NON raggiungono il traguardo
Marche;15,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 5;Inglese Listening;2022-2023;12,19;NON raggiungono il traguardo
Valle d'Aosta;2,00;;;Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;12,31;Non sufficienza
Emilia-Romagna;11,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;12,32;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;12,38;NON raggiungono il traguardo
Sicilia;25,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;12,58;NON raggiungono il traguardo
Toscana;13,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;12,71;NON raggiungono il traguardo
Marche;15,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;12,72;Non sufficienza
Sicilia;25,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;12,80;NON raggiungono il traguardo
Toscana;13,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;12,83;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;;Not Statistically significant;;Not Statistically significant;;;Grado 5;Inglese Listening;2021-2022;12,91;NON raggiungono il traguardo
Abruzzo;18,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;13,02;Non sufficienza
Toscana;13,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;13,12;NON raggiungono il traguardo
Veneto;9,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;13,13;NON raggiungono il traguardo
Lombardia;5,00;;Statistically significant;Statistically significant;;;;;Grado 5;Italiano;2020-2021;13,18;Non sufficienza
Valle d'Aosta;2,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;13,29;NON raggiungono il traguardo
Piemonte;3,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;13,37;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 5;Inglese Listening;2022-2023;13,37;NON raggiungono il traguardo
Veneto;9,00;Not Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;13,39;NON raggiungono il traguardo
Campania;20,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;13,44;NON raggiungono il traguardo
Marche;15,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;13,56;NON raggiungono il traguardo
Sardegna;26,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;13,56;NON raggiungono il traguardo
Basilicata;23,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;13,59;NON raggiungono il traguardo
Liguria;4,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;13,62;NON raggiungono il traguardo
Umbria;14,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Italiano;2021-2022;13,75;Non sufficienza
Puglia;21,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;13,76;NON raggiungono il traguardo
Liguria;4,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;13,79;NON raggiungono il traguardo
Emilia-Romagna;11,00;Not Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;13,96;NON raggiungono il traguardo
Calabria;24,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;13,98;NON raggiungono il traguardo
Lombardia;5,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;13,99;NON raggiungono il traguardo
Basilicata;23,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;14,05;Non sufficienza
Toscana;13,00;;;Not Statistically significant;;Not Statistically significant;;;Grado 5;Inglese Listening;2021-2022;14,09;NON raggiungono il traguardo
Umbria;14,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Italiano;2022-2023;14,19;Non sufficienza
Prov. Aut. Trento;8,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;14,26;NON raggiungono il traguardo
Piemonte;3,00;Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;14,43;NON raggiungono il traguardo
Molise;19,00;;;Not Statistically significant;;Not Statistically significant;;;Grado 5;Inglese Listening;2021-2022;14,48;NON raggiungono il traguardo
Toscana;13,00;;Not Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;14,49;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;;;;Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;14,49;Non sufficienza
Sardegna;26,00;;Statistically significant;Statistically significant;;;;;Grado 5;Italiano;2020-2021;14,55;Non sufficienza
Abruzzo;18,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;14,58;NON raggiungono il traguardo
Campania;20,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;14,59;NON raggiungono il traguardo
Molise;19,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;14,60;NON raggiungono il traguardo
Basilicata;23,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;14,66;Non sufficienza
Prov. Aut. Trento;8,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;14,66;Non sufficienza
