codice_ente,data_inizio,data_fine,codice_fiscale,denominazione,codice_regione,codice_provincia,codice_comune,sottocomparto
029400886,2023-06-23,9999-12-31,92559840159,ISTITUTO COMPRENSIVO RICCARDO MORZENTI,050,098,N.A.,ENTI_VOL_FIN_IS
029400887,2023-10-27,9999-12-31,92559860157,ISTITUTO COMPRENSIVO DI LODI III,031,098,N.A.,ENTI_VOL_FIN_IS
029400941,2026-02-18,9999-12-31,92044590633,ISTITUTO COMPRENSIVO STATALE DE FILIPPO - RUGGIERO,010,063,N.A.,ENTI_VOL_FIN_IS
029400972,2025-05-26,9999-12-31,94034000185,ISTITUTO COMPRENSIVO DI VIALE LIBERTA',177,018,N.A.,ENTI_VOL_FIN_IS
029401074,2023-11-01,2023-11-02,93015030138,ISTITUTO COMPRENSIVO G. PUECHER,095,013,N.A.,ENTI_VOL_FIN_IS
029401081,2025-06-23,9999-12-31,90164410277,ISTITUTO COMPRENSIVO STATALE TINA ANSELMI,012,027,N.A.,ENTI_VOL_FIN_IS
029401082,2023-03-20,9999-12-31,90164460272,ISTITUTO COMPRENSIVO LUIGI NONO,023,027,N.A.,ENTI_VOL_FIN_IS
029401276,2024-07-11,9999-12-31,90035940361,ISTITUTO COMPRENSIVO CARPI 3,005,036,N.A.,ENTI_VOL_FIN_IS
029401311,2025-07-01,9999-12-31,97110560832,ISTITUTO DI ISTRUZIONE SUPERIORE LA FARINA - BASILE,048,083,N.A.,ENTI_VOL_FIN_IS
029401338,2025-05-05,9999-12-31,93086240616,ISTITUTO COMPRENSIVO GRAZZANISE,042,061,N.A.,ENTI_VOL_FIN_IS
029401345,2026-03-17,9999-12-31,92017990026,ISTITUTO COMPRENSIVO VALDENGO,071,096,N.A.,ENTI_VOL_FIN_IS
029401350,2025-10-31,9999-12-31,93073790664,ISTITUTO DI ISTRUZIONE SUPERIORE ANDREA BAFILE,049,066,N.A.,ENTI_VOL_FIN_IS
029401354,2023-03-20,9999-12-31,93085170384,ISTITUTO COMPRENSIVO G. BASSANI,001,038,N.A.,ENTI_VOL_FIN_IS
029401424,2024-05-30,9999-12-31,93085180383,ISTITUTO COMPRENSIVO DON G. MINZONI DI ARGENTA,001,038,N.A.,ENTI_VOL_FIN_IS
029401429,2026-01-19,9999-12-31,95186960639,ISTITUTO COMPRENSIVO STATALE 4 CIRCOLO STANZIALE,067,063,N.A.,ENTI_VOL_FIN_IS
029401439,2025-01-01,9999-12-31,95146350657,ISTITUTO COMPRENSIVO STATALE BELLIZZI,158,065,N.A.,ENTI_VOL_FIN_IS
029401455,2025-05-26,9999-12-31,95186770632,ISTITUTO COMPRENSIVO 35 SCUDILLO CARAFA SALVEMINI,049,063,N.A.,ENTI_VOL_FIN_IS
029401477,2024-11-04,9999-12-31,91037290193,ISTITUTO COMPRENSIVO CREMA UNO,035,019,N.A.,ENTI_VOL_FIN_IS
029401479,2024-02-23,9999-12-31,91037340196,ISTITUTO COMPRENSIVO RITA LEVI MONTALCINI,005,019,N.A.,ENTI_VOL_FIN_IS
029401481,2023-12-14,9999-12-31,92047700155,I.S.I.S. ANTONIO BERNOCCHI,118,015,N.A.,ENTI_VOL_FIN_IS
029401500,2025-09-29,9999-12-31,94627670154,ISTITUTO COMPRENSIVO VIA CORREGGIO,033,108,N.A.,ENTI_VOL_FIN_IS
029401506,2024-05-13,9999-12-31,92047710154,ISTITUTO COMPRENSIVO VIALE LEGNANO,168,015,N.A.,ENTI_VOL_FIN_IS
029401558,2024-07-31,9999-12-31,94034040181,ISTITUTO COMPRENSIVO STATALE DI PIAZZA VITTORIO VENETO,177,018,N.A.,ENTI_VOL_FIN_IS
029401570,2024-07-01,9999-12-31,93049270254,ISTITUTO COMPRENSIVO STATALE TINA MERLIN DI BELLUNO,006,025,N.A.,ENTI_VOL_FIN_IS
029401574,2025-04-04,9999-12-31,93056840635,ISTITUTO COMPRENSIVO FILIPPO PALIZZI,023,063,N.A.,ENTI_VOL_FIN_IS
029401578,2026-01-19,9999-12-31,92044680632,ISTITUTO COMPRENSIVO SAN GIOVANNI 1,065,063,N.A.,ENTI_VOL_FIN_IS
029401580,2024-11-25,9999-12-31,91029950366,ISTITUTO COMPRENSIVO SAN PROSPERO - MEDOLLA,039,036,N.A.,ENTI_VOL_FIN_IS
029401590,2025-06-03,9999-12-31,95186600631,ISTITUTO COMPRENSIVO STATALE NICOLINI - DI GIACOMO,049,063,N.A.,ENTI_VOL_FIN_IS
029401597,2025-03-24,9999-12-31,93056800639,ISTITUTO COMPRENSIVO M. POLO - G. GALILEI - DON BOSCO,016,063,N.A.,ENTI_VOL_FIN_IS
029401600,2026-03-17,9999-12-31,93061360710,ISTITUTO COMPRENSIVO PALMIERI - SAN GIOVANNI BOSCO,051,071,N.A.,ENTI_VOL_FIN_IS
029401627,2023-10-27,9999-12-31,93022020148,ISTITUTO COMPRENSIVO MARTINO ANZI,009,014,N.A.,ENTI_VOL_FIN_IS
029401647,2024-10-21,9999-12-31,97667040154,ISTITUTO COMPRENSIVO SALVADOR ALLENDE,166,015,N.A.,ENTI_VOL_FIN_IS
029401649,2024-06-21,9999-12-31,97667130153,ISTITUTO COMPRENSIVO STATALE PIAZZA LEONARDO DA VINCI,146,015,N.A.,ENTI_VOL_FIN_IS
029401650,2024-07-05,9999-12-31,97667170159,ISTITUTO COMPRENSIVO STATALE TEODORO CROCI,166,015,N.A.,ENTI_VOL_FIN_IS
029401652,2023-03-20,9999-12-31,97666920158,ISTITUTO COMPRENSIVO VIA LINNEO,146,015,N.A.,ENTI_VOL_FIN_IS
029401673,2024-06-30,9999-12-31,90031610158,ISTITUTO COMPRENSIVO VIA PALESTRO,002,015,N.A.,ENTI_VOL_FIN_IS
029401692,2025-04-11,9999-12-31,93056740637,ISTITUTO SUPERIORE BRUNO MUNARI,001,063,N.A.,ENTI_VOL_FIN_IS
029401698,2025-06-23,9999-12-31,95187210638,ISTITUTO COMPRENSIVO PERTINI - 87 DON GUANELLA,049,063,N.A.,ENTI_VOL_FIN_IS
029401699,2025-01-01,9999-12-31,95146610654,ISTITUTO COMPRENSIVO CARDUCCI TREZZA,037,065,N.A.,ENTI_VOL_FIN_IS
029401703,2024-11-15,9999-12-31,93546600151,ISTITUTO COMPRENSIVO EZIO FRANCESCHINI,182,015,N.A.,ENTI_VOL_FIN_IS
029401728,2020-11-13,9999-12-31,94230450481,ISTITUTO COMPRENSIVO LASTRA A SIGNA,024,048,N.A.,ENTI_VOL_FIN_IS
030567724,2023-04-24,9999-12-31,92183350344,CENTRO PROVINCIALE PER L'ISTRUZIONE DEGLI ADULTI DI PARMA,027,034,N.A.,ENTI_VOL_FIN_IS
030569800,2024-02-23,9999-12-31,93024610581,ISTITUTO DI ISTRUZIONE SUPERIORE ELIANO - LUZZATTI,074,058,N.A.,ENTI_VOL_FIN_IS
030570397,2025-04-11,9999-12-31,93036500291,CENTRO PROVINCIALE ISTRUZIONE ADULTI DI ROVIGO,041,029,N.A.,ENTI_VOL_FIN_IS
030571282,2022-07-14,9999-12-31,93050030910,"ISTITUTO ISTRUZIONE SUPERIORE """"SEBASTIANO SATTA",023,114,N.A.,ENTI_VOL_FIN_IS
030571478,2025-01-07,9999-12-31,93051950256,CPIA DI BELLUNO,006,025,N.A.,ENTI_VOL_FIN_IS
030572931,2026-03-17,9999-12-31,93071340843,ISTITUTO DI ISTRUZIONE SUPERIORE ENRICO FERMI,003,084,N.A.,ENTI_VOL_FIN_IS
030574109,2025-11-10,9999-12-31,93085130669,CPIA L'AQUILA,049,066,N.A.,ENTI_VOL_FIN_IS
030574597,2023-11-24,9999-12-31,93088940387,CENTRO PROVINCIALE ISTRUZIONE ADULTI CPIA FERRARA,008,038,N.A.,ENTI_VOL_FIN_IS
030574891,2024-06-24,9999-12-31,93093660616,ISTITUTO COMPRENSIVO FIERAMOSCA MARTUCCI,015,061,N.A.,ENTI_VOL_FIN_IS
030585250,2025-05-26,9999-12-31,95083740126,LICEO SCIENTIFICO CURIE,127,012,N.A.,ENTI_VOL_FIN_IS
030585763,2024-10-21,9999-12-31,95125790246,CENTRO PROVINCIALE PER L' ISTRUZIONE DEGLI ADULTI DI VICENZA,116,024,N.A.,ENTI_VOL_FIN_IS
030586130,2024-07-07,9999-12-31,95156800658,CENTRO PROVINCIALE PER L' ISTRUZIONE DEGLI ADULTI PAULO FREIRE DI SALERNO,116,065,N.A.,ENTI_VOL_FIN_IS
030586131,2025-03-03,9999-12-31,95156810657,ISTITUTO COMPRENSIVO PICENTIA,099,065,N.A.,ENTI_VOL_FIN_IS
030586645,2023-12-07,9999-12-31,95182390104,CPIA CENTRO PONENTE,025,010,N.A.,ENTI_VOL_FIN_IS
030587513,2025-03-24,9999-12-31,95215830639,ISTITUTO SUPERIORE STATALE CARLO LEVI,041,063,N.A.,ENTI_VOL_FIN_IS
030587517,2024-11-25,9999-12-31,95215870635,ISTITUTO COMPRENSIVO SAN ROCCO - D'AZEGLIO,041,063,N.A.,ENTI_VOL_FIN_IS
030591144,2026-01-19,9999-12-31,96081330761,CENTRO PROVINCIALE PER L'ISTRUZIONE PER GLI ADULTI DELLA PROVINCIA DI POTENZA,063,076,N.A.,ENTI_VOL_FIN_IS
030596857,2023-11-17,9999-12-31,97796280010,ISTITUTO COMPRENSIVO TORINO II,272,001,N.A.,ENTI_VOL_FIN_IS
030598279,2026-02-18,9999-12-31,97846600589,CENTRO PROVINCIALE PER L'ISTRUZIONE DEGLI ADULTI 7 ANNA MARIA LORENZETTO,079,058,N.A.,ENTI_VOL_FIN_IS
029401729,2025-09-29,9999-12-31,94230630488,ISTITUTO COMPRENSIVO STATALE DI PONTASSIEVE,033,048,N.A.,ENTI_VOL_FIN_IS
029401735,2024-04-29,2024-09-30,90044950740,SCUOLA SECONDARIA DI PRIMO GRADO BARNABA - BOSCO,012,074,N.A.,ENTI_VOL_FIN_IS
029402251,2024-07-23,9999-12-31,92030810870,ISTITUTO ISTRUZIONE SUPERIORE E.FERMI - GUTTUSO,017,087,N.A.,ENTI_VOL_FIN_IS
029402257,2025-05-26,9999-12-31,95187140637,ISTITUTO COMPRENSIVO STATALE NOVIO ATELLANO,033,063,N.A.,ENTI_VOL_FIN_IS
029402687,2024-04-22,9999-12-31,91016550385,ISTITUTO COMPRENSIVO COMACCHIO,006,038,N.A.,ENTI_VOL_FIN_IS
029534612,2023-11-10,9999-12-31,90025480543,ISTITUTO COMPRENSIVO UMBERTIDE MONTONE PIETRALUNGA,056,054,N.A.,ENTI_VOL_FIN_IS
029535022,2024-07-16,9999-12-31,91020360391,CENTRO PROVINCIALE PER L'ISTRUZIONE DEGLI ADULTI RAVENNA,012,039,N.A.,ENTI_VOL_FIN_IS
029536812,2026-04-10,9999-12-31,94152400548,ISTITUTO COMPRENSIVO PERUGIA 6,039,054,N.A.,ENTI_VOL_FIN_IS
030862963,2022-10-05,9999-12-31,91017490144,ISTITUTO SUPERIORE SARACENO - ROMEGIALLI DI MORBEGNO,045,014,N.A.,ENTI_VOL_FIN_IS
030863258,2025-09-29,9999-12-31,91028670874,ISTITUTO SUPERIORE SECUSIO,011,087,N.A.,ENTI_VOL_FIN_IS
030863259,2024-07-11,9999-12-31,91028680873,ISTITUTO SUPERIORE MAJORANA - ARCOLEO,011,087,N.A.,ENTI_VOL_FIN_IS
030864837,2024-08-01,9999-12-31,91161340400,ISTITUTO STATALE DI ISTRUZIONE SUPERIORE L. EINAUDI - R. MOLARI,018,099,N.A.,ENTI_VOL_FIN_IS
030866728,2025-12-05,9999-12-31,92089370404,ISTITUTO COMPRENSIVO N. 2 - FORLI',012,040,N.A.,ENTI_VOL_FIN_IS
030866729,2025-01-02,9999-12-31,92089390402,ISTITUTO COMPRENSIVO N. 4 ANNALENA TONELLI,012,040,N.A.,ENTI_VOL_FIN_IS
030867648,2023-10-06,9999-12-31,92521270014,ISTITUTO COMPRENSIVO SAN BENIGNO CANAVESE,236,001,N.A.,ENTI_VOL_FIN_IS
030868339,2025-03-24,9999-12-31,93066130639,ISTITUTO COMPRENSIVO 3 DON LORENZO MILANI - CAPASSO,001,063,N.A.,ENTI_VOL_FIN_IS
030872984,2024-07-16,9999-12-31,96093960043,ISTITUTO COMPRENSIVO CUNEO VIA SOBRERO,078,004,N.A.,ENTI_VOL_FIN_IS
030873174,2024-06-21,9999-12-31,97087800799,"ITT """"MALAFARINA"""" SOVERATO",137,079,N.A.,ENTI_VOL_FIN_IS
030874512,2025-10-17,9999-12-31,97808080010,ISTITUTO DI ISTRUZIONE SUPERIORE GOBETTI MARCHESINI CASALE ARDUINO,272,001,N.A.,ENTI_VOL_FIN_IS
030875816,2025-05-26,9999-12-31,98113140788,ISTITUTO DI ISTRUZIONE SUPERIORE LEONARDO DA VINCI,119,078,N.A.,ENTI_VOL_FIN_IS
030875817,2025-04-11,9999-12-31,98113150787,ISTITUTO DI ISTRUZIONE SUPERIORE L. S. - ISA - IPSIA,119,078,N.A.,ENTI_VOL_FIN_IS
030948286,2024-08-20,9999-12-31,97317830822,ISTITUTO DI ISTRUZIONE SUPERIORE EINAUDI - PARETO,053,082,N.A.,ENTI_VOL_FIN_IS
029953467,2025-01-01,9999-12-31,92083840402,ISTITUTO PROFESSIONALE RUFFILLI,012,040,N.A.,ENTI_VOL_FIN_IS
029953486,2023-11-01,9999-12-31,92083960408,ISTITUTO TECNICO SAFFI/ALBERTI,012,040,N.A.,ENTI_VOL_FIN_IS
029958033,2023-12-14,9999-12-31,93023670149,ISTITUTO TECNICO A. DE SIMONI - M. QUADRIO,061,014,N.A.,ENTI_VOL_FIN_IS
029958887,2023-03-29,9999-12-31,93038920364,ISTITUTO DI ISTRUZIONE SUPERIORE ELSA MORANTE,040,036,N.A.,ENTI_VOL_FIN_IS
029960180,2025-04-04,9999-12-31,93057140191,CPIA 1 CREMONA,036,019,N.A.,ENTI_VOL_FIN_IS
029965193,2026-03-02,9999-12-31,93253450238,CPIA DI VERONA,091,023,N.A.,ENTI_VOL_FIN_IS
029970369,2025-09-29,9999-12-31,94134550303,ISTITUTO COMPRENSIVO UDINE VI,129,030,N.A.,ENTI_VOL_FIN_IS
029970383,2024-12-12,9999-12-31,94134770307,CPIA 1 UDINE,129,030,N.A.,ENTI_VOL_FIN_IS
029970688,2025-10-17,9999-12-31,94149170261,"CPIA """"ALBERTO MANZI"""" DI TREVISO",086,026,N.A.,ENTI_VOL_FIN_IS
029971519,2024-07-05,9999-12-31,94177210369,ISTITUTO COMPRENSIVO SUPERIORE F.CORNI LICEO E TECNICO,023,036,N.A.,ENTI_VOL_FIN_IS
029973864,2024-02-23,9999-12-31,95081700122,CPIA 2 VARESE TULLIO DE MAURO,133,012,N.A.,ENTI_VOL_FIN_IS
029974910,2024-07-01,9999-12-31,95152560652,LICEO ARTISTICO SABATINI - MENNA,116,065,N.A.,ENTI_VOL_FIN_IS
029976692,2025-03-03,9999-12-31,95203630637,ISTITUTO COMPRENSIVO MARCONI - TORRICELLI,020,063,N.A.,ENTI_VOL_FIN_IS
029976694,2025-04-04,9999-12-31,95203650635,ISTITUTO DI ISTRUZIONE SUPERIORE ARCHIMEDE,049,063,N.A.,ENTI_VOL_FIN_IS
029976701,2025-04-04,9999-12-31,95203740634,ISTITUTO COMPRENSIVO 76 F. MASTRIANI - BONGHI,049,063,N.A.,ENTI_VOL_FIN_IS
029976743,2025-06-23,9999-12-31,95204340632,ISTITUTO COMPRENSIVO STATALE 13 IGNAZIO DI LOYOLA,049,063,N.A.,ENTI_VOL_FIN_IS
029980046,2023-06-16,9999-12-31,96091050045,"CENTRO PROVINCIALE ISTRUZIONE ADULTI C.P.I.A. 1 """"A.LATTES"""" DI CUNEO - SALUZZO",078,004,N.A.,ENTI_VOL_FIN_IS
029988248,2026-03-17,9999-12-31,97804440580,ISTITUTO DI ISTRUZIONE SUPERIORE EINSTEIN - BACHELET,091,058,N.A.,ENTI_VOL_FIN_IS
029992099,2024-01-10,9999-12-31,98180790176,CPIA 1 BRESCIA,029,017,N.A.,ENTI_VOL_FIN_IS
030259434,2026-02-18,9999-12-31,92070270704,ISTITUTO COMPRENSIVO MONTINI,006,070,N.A.,ENTI_VOL_FIN_IS
030259585,2024-11-04,9999-12-31,91370230376,CPIA 2 EDUARD C. LINDEMAN,006,037,N.A.,ENTI_VOL_FIN_IS
031674283,2024-06-01,9999-12-31,91020240031,ISTITUTO COMPRENSIVO BORGOMANERO 1,024,003,N.A.,ENTI_VOL_FIN_IS
031686878,2024-02-23,9999-12-31,92522690012,ISTITUTO COMPRENSIVO DI CASTELLAMONTE,066,001,N.A.,ENTI_VOL_FIN_IS
031705874,2024-07-20,9999-12-31,97833100015,ISTITUTO COMPRENSIVO C. ALVARO - P. GOBETTI,272,001,N.A.,ENTI_VOL_FIN_IS
031705877,2025-03-03,9999-12-31,97833130012,ISTITUTO COMPRENSIVO STATALE EZIO BOSSO,272,001,N.A.,ENTI_VOL_FIN_IS
031918689,2023-11-24,9999-12-31,90128410561,ISTITUTO DI ISTRUZIONE SUPERIORE ALESSANDRO FARNESE - CAPRAROLA,015,056,N.A.,ENTI_VOL_FIN_IS
031918690,2025-05-02,9999-12-31,90128420560,ISTITUTO DI ISTRUZIONE SUPERIORE A. MEUCCI,045,056,N.A.,ENTI_VOL_FIN_IS
031920346,2024-10-01,9999-12-31,91127730728,LICEO MAJORANA LATERZA,036,072,N.A.,ENTI_VOL_FIN_IS
031920808,2024-07-11,9999-12-31,91407710374,ISTITUTO ISTRUZIONE SUPERIORE CRESCENZI - PACINOTTI - SIRANI,006,037,N.A.,ENTI_VOL_FIN_IS
031921422,2023-12-07,9999-12-31,92044880422,ISTITUTO DI ISTRUZIONE SUPERIORE MARCONI PIERALISI,021,042,N.A.,ENTI_VOL_FIN_IS
030283251,2026-03-02,9999-12-31,92064970525,ISTITUTO DI ISTRUZIONE SUPERIORE SALLUSTIO BANDINI,032,052,N.A.,ENTI_VOL_FIN_IS
030283779,2026-03-02,9999-12-31,95125800243,ISTITUTO PROFESSIONALE PER SERVIZI SOCIALI B. MONTAGNA,116,024,N.A.,ENTI_VOL_FIN_IS
031921785,2022-12-14,9999-12-31,92066060713,ISTITUTO COMPRENSIVO RODARI - ALIGHIERI - SPALATRO,060,071,N.A.,ENTI_VOL_FIN_IS
031922357,2026-01-19,9999-12-31,92104720807,ISTITUTO TECNICO STATALE PER IL SETTORE ECONOMICO RAFFAELE PIRIA - FERRARIS DA EMPOLI,063,080,N.A.,ENTI_VOL_FIN_IS
031923600,2025-03-03,9999-12-31,93074150207,ISTITUTO SUPERIORE BONOMI - MAZZOLARI,030,020,N.A.,ENTI_VOL_FIN_IS
031925969,2023-09-28,9999-12-31,95090370123,ISTITUTO TECNICO ECONOMICO EUGENIO MONTALE,127,012,N.A.,ENTI_VOL_FIN_IS
031926492,2024-07-01,9999-12-31,95235160165,ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANO CESARE PESENTI,024,016,N.A.,ENTI_VOL_FIN_IS
031927177,2024-07-01,9999-12-31,96077960183,ISTITUTO ISTRUZIONE SUPERIORE L. COSSA,110,018,N.A.,ENTI_VOL_FIN_IS
031928215,2024-11-04,9999-12-31,97817100155,ISTITUTO COMPRENSIVO G. B. PERASSO,146,015,N.A.,ENTI_VOL_FIN_IS
031996356,2025-04-11,9999-12-31,92247680926,ISTITUTO DI ISTRUZIONE SUPERIORE EINAUDI,050,118,N.A.,ENTI_VOL_FIN_IS
000041456,2024-11-25,9999-12-31,00224160531,ISTITUTO ISTRUZIONE SUPERIORE LEOPOLDO II DI LORENA,011,053,N.A.,ENTI_VOL_FIN_IS
000096977,2024-10-01,9999-12-31,00506300060,ISTITUTO TECNICO INDUSTRIALE STATALE ALESSANDRO VOLTA,003,006,N.A.,ENTI_VOL_FIN_IS
